id,title,abstract
PRJNA1185761,Methyltransferase-independent effects of METTL1 on RNA expression and translation efficiency,"The overall study is focused on investigating oncogenic transformation by a methyltransferase-independent function of METTL1. METTL1, which is best-known for its ability to methylate tRNAs, is recurrently amplified in human liposarcoma, a disease characterized by aberrant AKT activation. We found that METTL1 overexpression accelerates the onset of AKT-induced liposarcoma in a zebrafish model of the disease. This was surprising because AKT was previously shown to phosphorylate METTL1 and inactivate its methyltransferase activity. Indeed, phosphomimetic S27D or catalytically dead alleles phenocopied the oncogenic activity of wild-type METTL1. We found that METTL1 binds the multi-tRNA synthetase complex, which contains many of the cellular aminoacyl-tRNA synthetases, and promotes tRNA aminoacylation, polysome formation and protein synthesis independent of its methyltransferase activity. METTL1-amplified liposarcomas were hypersensitive to actinomycin D, a clinical inhibitor of ribosome biogenesis. Thus, METTL1 stimulates tRNA aminoacylation and protein synthesis independent of its methyltransferase activity, and this tumor-promoting function confers susceptibility to inhibition of ribosome biogenesis.This SRA submission is the raw data for ribosome profiling (Ribo-seq) and RNA sequencing (RNA-seq) analysis of mouse embryonic fibroblasts (MEFs) transduced with pairs of transgenes: EGFP + dTomato (negative controls), EGFP + a constitutively active AKT2 allele (hereafter, AKT), a catalytically dead METTL1 allele (hereafter, METTL1-CD) + dTomato, and METTL1-CD + AKT. Analysis of these data revealed that METTL1-CD has modest effects on mRNA expression or relative translation efficiency. While we cannot rule out the possibility that METTL1 has some transcript-selective effects below the limit of detection of these assays, these are not prominent effects. These data thus support a model in which the methyltransferase-independent oncogenic function of METTL1 is mediated by global stimulation of tRNA aminoacylation, protein synthesis and tumor cell growth."
PRJNA1182390,High-throughput specificity profiling of antibody libraries using ribosome display and microfluidics,"High-throughput methods for pair-wise mapping of protein-protein interactions would enable deeper understanding of biological processes, such as natural antibody responses, however current techniques are limited by the number of interactions that can be screened at once. To overcome this, we have developed PolyMap (polyclonal mapping), a system based on bulk binding of a ribosome-displayed antibody library to a library of cell-surface expressed antigens, combined with single cell analysis using droplet microfluidics. We demonstrate the mapping of thousands of antigen-antibody interactions between diverse antibody libraries isolated from convalescent and vaccinated COVID-19 donors and a set of clinically relevant SARS-CoV-2 spike variants. We identify over 150 antibodies with a variety of distinctive binding patterns towards the antigen variants, and find a broader binding profile, including targeting of the Omicron variant, in the antibody repertoires of more recent donors. We then use this data to select mixtures of a small number of clones with complementary reactivity that together provide strong potency and broad neutralization. PolyMap is a generalizable platform that can be used for one-pot epitope mapping, immune repertoire profiling, and therapeutic design, and in the future could be expanded to other families of interacting proteins."
PRJNA1177760,Citrus Phloem Transcriptional Profiling Using a Citrus Tristeza Virus Vectored Translating Ribosome Affinity Purification System,"A phloem-limited citrus tristeza virus (CTV) vector was developed for the expression of an immune-tagged ribosomal protein, hfRPL18. CTV expressed hfRPL18 was used to pull down phloem derived polysomes from infected Citrus macrophylla leaf tissues. Associated hfRPL18 mRNAs were subsequently isolated and sequenced. To remove background mRNAs, isolated mRNAs from leaf tissues infected with the empty CTV vector were similarly sequenced. In summary, the CTV-hfRPL18 vector provides a transgene-free means to examine translating mRNAs within citrus phloem tissues."
PRJNA1177427,Discovery and analysis of NFE2L1's non-transcriptional activity by transcriptome sequencing in hepatocellular carcinoma HepG2 cells,"Antitumor transcription activator NFE2L1 regulates redox homeostasis, protein turnover, and material metabolism, playing a crucial role in embryonic development and the specialization of tissue and organ functions. Deficiency of the NFE2L1 gene in different regions yields distinct phenotypes, suggesting that NFE2L1 may possess functions independent of its transcription factor activity. In this study, we originally discovered the non-transcription factor activity of NFE2L1 by constructing a truncated protein, NFE2L1?C, which lacks the 152 amino acids at the C-terminus and loses its transcription factor activity. By studying the function of the truncated NFE2L1 protein, we revealed that the suppressor effect of NFE2L1 on tumor cells does not require its transcription factor activity and nuclear localization. Then, transcriptome sequencing was performed to decipher the function of NFE2L1, and the results revealed that NFE2L1 regulated redox homeostasis, proteasome function, and antiviral and proinflammatory responses primarily through its transcriptional activation function in the nucleus. In contrast, NFE2L1's regulation of developmental related signals, ribosome function, and canceration were closely associated with its non-transcription factor activity in the cytoplasm. In this study, the non-transcription factor activity of NFE2L1 was discovered and described for the first time, laying a foundation for both basic and applied research on NFE2L1. Overall design: We established NFE2L1 and NFE2L1DC overexpression HepG2 cell lines, and then performed gene expression profiling analysis using data obtained from RNA-seq of 3 cell lines."
PRJNA1176138,Cytosolic Ribosomal Protein Haploinsufficiency affects Mitochondrial Morphology and Respiration,"The interplay between ribosomal protein composition and mitochondrial function is essential for sustaining energy homeostasis. Precise stoichiometric production of ribosomal proteins is crucial to maximize protein synthesis efficiency while reducing the energy costs to the cell. However, the impact of this balance on mitochondrial ATP generation, morphology and function remains unclear. Particularly, the loss of a single copy ribosomal protein gene is observed in Mendelian disorders like Diamond Blackfan Anemia and is common in somatic tumors, yet the implications of this imbalance on mitochondrial function and energy dynamics are still unclear. In this study, we investigated the impact of haploinsufficiency for four ribosomal protein genes implicated in ribosomopathy disorders (rps-10, rpl-5, rpl-33, rps-23) in Caenorhabditis elegans and corresponding reductions in human lymphoblast cells. Our findings uncover significant, albeit variably penetrant, mitochondrial morphological differences across these mutants, alongside an upregulation of glutathione transferases, and SKN-1 dependent increase in oxidative stress resistance, indicative of increased ROS production. Specifically, loss of a single copy of rps-10 in C. elegans led to decreased mitochondrial activity, characterized by lower energy levels and reduced oxygen consumption. A similar reduction in mitochondrial activity and energy levels was observed in human leukemia cells with a 50% reduction in RPS10 transcript levels. Importantly, we also observed alterations in the translation efficiency of nuclear and mitochondrial electron transport chain components in response to reductions in ribosomal protein genes' expression in both C. elegans and human cells. This suggests a conserved mechanism whereby the synthesis of components vital for mitochondrial function are adjusted in the face of compromised ribosomal machinery. Finally, mitochondrial membrane and cytosolic ribosomal components exhibited significant covariation at the RNA and translation efficiency level in lymphoblastoid cells across a diverse group of individuals, emphasizing the interplay between the protein synthesis machinery and mitochondrial energy production. By uncovering the impact of ribosomal protein haploinsufficiency on the translation efficiency of electron transport chain components, mitochondrial physiology, and the adaptive stress responses, we provide evidence for an evolutionarily conserved strategy to safeguard cellular functionality under genetic stress. Overall design: Ribo-Seq and RNA-Seq libraries of C. elegans heterozygous mutants for four different ribosomal protein genes (rpl-5, rpl-33, rps-23 and rps-10)"
PRJNA1170270,Ribo-seq of mouse spermatocytes,The role of METTL16 in male meiosis.
PRJNA1166334,Distinct modes of non-canonical initiation regulate selective host versus viral mRNA translation during poxvirus-induced shutoff,"Many viruses potently inhibit host protein synthesis while employing unconventional strategies to sustain their own translation, but how and why certain cellular mRNAs continue to be translated remains unclear. Here, we show that during shutoff by Vaccinia Virus (VacV) several host mRNAs increase in polysome occupancy but few, topped by JUN, result in increased protein abundance. Translation of viral mRNAs depended on the small ribosomal protein, Receptor for Activated C Kinase 1 (RACK1) and the eukaryotic Initiation Factor, eIF3. Cryo-electron microscopy (cryo-EM) further showed that eIF3 bound to virus-modified RACK1-containing 40S subunits that exhibit altered head rotation during infection. By contrast, RACK1 and eIF3 were dispensable for JUN translation. Moreover, structurally distinct 5' untranslated regions (5'UTRs) in viral versus JUN mRNAs conferred differential eIF3 dependencies. Altogether, we reveal how distinct modes of non-canonical initiation support the production of both host and viral proteins that facilitate poxvirus replication despite infection-induced shutoff. Overall design: To investigate how vaccinia virus infection alters host mRNA expression, we used HAP1 cell lines and RACK1 knock out cell lines with or without VacV infection then, performed ribosome profiling and subsequently samples were subjected for polyA selected RNA sequencing."
PRJNA1160843,Efficient suppression of premature termination codons with alanine by engineered chimeric pyrrolysine tRNAs [Ribo-Seq],"Mutations that introduce premature termination codons (PTCs) within protein-coding genes are associated with incurable and severe genetic diseases. Many PTC-associated disorders are life-threatening and have no approved medical treatment options. Suppressor transfer RNAs (sup-tRNAs) with the capacity to promote translational readthrough of PTCs represent a promising therapeutic strategy to treat these conditions; however, developing novel sup-tRNAs with high efficiency and specificity often requires extensive engineering and screening. Moreover, these efforts are not always successful at producing more efficient sup-tRNAs. Here we show that a pyrrolysine tRNA (tRNAPyl), which naturally translates the UAG stop codon, offers an attractive scaffold for developing effective sup-tRNAs that restore protein synthesis from PTC-containing genes. We created a series of rationally designed Pyrrolysine tRNA Scaffold Suppressor-tRNAs (PASS-tRNAs) that are substrates of bacterial and human alanyl-tRNA synthetase. Using a PTC-containing fluorescent reporter gene, PASS-tRNAs restore protein synthesis to wild-type levels in bacterial cells. In human cells, PASS-tRNAs display robust and consistent PTC suppression in multiple reporter genes, including pathogenic mutations in the tumor suppressor gene BRCA1 associated with breast and ovarian cancer. Moreover, PTC suppression occurred with high codon specificity and no observed cytotoxic effects. Collectively, these results unveil a class of sup-tRNAs with great potential for tRNA-based therapeutics. Overall design: Ribosome protected footprint libraries were prepared from HEK 293 cells transfected with a sup-tRNA-expressing plasmid or an empty vector control to determine the impact of sup-tRNA expression on native stop codon readthrough."
PRJNA1159806,Rio-seq Analysis on SETD2-Deficient and Control Intestinal Epithelial Cells,"Protein abundance does not necessarily correlate with mRNA levels, highlighting the highly variable efficiency of translation. Ribosome biogenesis, the process of ribosome production, affects translation efficiency and plays a crucial role in various biological processes. However, its role in maintaining epithelial barrier integrity has not been definitively established. SETD2 is a methyltransferase critical for the integrity of epithelial barrier. Here, we examined intact intestinal barrier with SETD2 present and compromised intestinal barrier with SETD2 loss. Overall design: Since mRNA translation in ribosomes determines protein abundance and discordant translational efficiency (TE) causes protein-mRNA discrepancies, we utilized ribosome profiling sequencing (Ribo-seq) to investigate genome-wide TE changes during the loss of epithelial integrity. In this process, mRNA undergoing translation, represented as ribosome footprints (RFs), was sequenced and compared to total mRNA sequencing data to illustrate changes in the TE of genes."
PRJNA1158720,Chemotherapeutic agents and leucine deprivation induce codon-biased aberrant protein production in cancer,"Messenger RNA (mRNA) translation is a tightly controlled process frequently deregulated in cancer. Key to this deregulation are transfer RNAs (tRNAs), whose expression, processing, and post-transcriptional modifications are often altered in cancer to support cellular transformation. In conditions of limiting levels of amino acids, this deregulated control of protein synthesis leads to aberrant protein production in the form of ribosomal frameshifting or misincorporation of non-cognate amino acids. Here, we studied leucine, an essential amino acid coded for in mRNA by six different codons. Surprisingly, we found that leucine deprivation leads to ribosomal stalling and aberrant protein production in various cancer cell types, predominantly at one codon, UUA. Similar effects were observed after treatment with chemotherapeutic agents, implying a shared mechanism controlling the downstream effects on mRNA translation. In both conditions, a limitation in the availability of tRNALeu(UAA) for protein production was shown to be the cause for this dominant effect on UUA codons. The induced aberrant proteins can be processed and immune-presented as neoepitopes, and can direct T-cell killing. Altogether, we uncovered a novel mode of interplay between DNA damage, regulation of tRNA availability for mRNA translation, and aberrant protein production in cancer that could be exploited for anti-cancer therapy. Overall design: Ribosome profiling to measure mRNA levels and mRNA translation"
PRJNA1157223,GRP7 mediates translational regulation in ABA signaling and drought stress in Arabidopsis thaliana,"We revealed the ABA signal regulation of protein translation efficiency and resulting in aberrant pre-rRNA processing, and found GRP7/8 mediated ABA signal regulation of translation by combing the Ribo-seq data and CLIP-seq data. The polysome profilings discovered that GRP7/8 also mediated the translation regulation of other abiotic stresses, such as drought, revealing novel regulation model for environmental stresses participation on plant growth."
PRJNA1156803,Translational profiling of stress-induced small proteins uncovers a connection among distinct signaling systems,"Bacteria utilize sophisticated mechanisms to detect and adapt to challenging environmental conditions by activating specific genes that help counteract stressors. Over 150 small proteins (= 50 amino acids long) are documented in Escherichia coli, but only a fraction of them are well-studied. Many of these proteins do not have an associated phenotype and their biological roles remain elusive. Here, we investigate small proteins induced in response to magnesium limitation using ribosome profiling, RNA sequencing, and transcriptional reporter assays. We uncover 17 small proteins with increased translation initiation, a majority of which are transcriptionally upregulated by the PhoQ-PhoP two-component signaling system, central for magnesium homeostasis. Next, we describe small protein-specific deletion and overexpression phenotypes, which underscore the significance of their expression to cellular physiology in low magnesium stress. Most remarkably, our study reveals the small protein YoaI as a connector of the major signaling networks – PhoR-PhoB and EnvZ-OmpR in E. coli. Overall design: To investigate low magnesium stress induced small proteins in E. coli K-12 MG1655 strain, we utilized translation initiation profiling (Ribo-RET) and RNA-Seq under conditions of magnesium starvation and no stress. Code for processing the data can be found at https://github.com/yadavalli-lab/Small-proteins-induced-under-low-magnesium-stress"
PRJEB78417,YebC enhances translation of prolin-rich motifs,"Bacteria use RNA binding proteins (RBPs) to express and regulate genes. Despite decades of studies on bacterial genetics and physiology there are still proteins whose function is unknown. We used two proteomics approaches to uncover a repertoire of RNA binding proteins in the pathogenic bacterium Streptococcus pyogenes: Orthogonal Organic Phase Purification (OOPS) and RNA Binding Sites Identification (RBS-ID). The combination of these approaches successfully identified most of the annotated RBPs including proteins involved in translation. However, the function of some of the proteins found to interact with RNA is unknown. One of these proteins - YebC - was selected for further study. YebC is a highly conserved protein present in almost all organisms. In mitochondria, the YebC homolog TACO1 has previously been shown to be required for the translation of COX I mRNA.  The knock-out of yebC moderately affects the growth, transcriptome and proteome of S. pyogenes. Limited site-directed mutagenesis performed in S. pyogenes identified several mutations that inactivate the protein without significantly affecting its stability. According to the results of the iCLIP experiment, YebC cross-links with helix 89 of the 23S rRNA near the peptidyl-transferase centre. However, the protein does not stably associate with ribosomes. We performed ribo-seq analysis and detected increased pausing at and downstream of the amino acid stretches PPP, PPG, PIP and DIP. Further results obtained with in vivo reporters and the in vitro translation system suggest that YebC can alleviate ribosome stalling at the polyproline stretches. In conclusion, our results and the ubiquity of YebC suggest that this protein is a novel elongation factor that enhances translation of proline-rich amino acid stretches."
PRJNA1151704,Probing the orthogonality and robustness of the mammalian RNA-binding protein Musashi-1 in Escherichia coli [Ribo-seq],"RNA recognition motifs (RRMs) are widespread RNA-binding protein domains in eukaryotes, which represent promising synthetic biology tools due to their compact structure and efficient activity. Yet, their use in prokaryotes is limited and their functionality poorly characterized. Recently, we repurposed a mammalian Musashi protein containing two RRMs as a translation regulator in Escherichia coli. Here, employing high-throughput RNA sequencing, we explored the impact of Musashi expression on the transcriptomic and translatomic profiles of E. coli, revealing certain metabolic interference, induction of post-transcriptional regulatory processes, and spurious protein-RNA interactions. Engineered Musashi protein mutants displayed compromised regulatory activity, emphasizing the importance of both RRMs for specific and sensitive RNA binding. We found that a mutation known to impede allosteric regulation led to similar translation control activity. Evolutionary experiments disclosed a loss of function of the synthetic circuit in about 40 generations, with the gene coding for the Musashi protein showing a stability comparable to other heterologous genes. Overall, this work expands our understanding of RRMs for post-transcriptional regulation in prokaryotes and highlight their potential for biotechnological and biomedical applications. Overall design: To investigate the effect of Musashi on Escherichia coli gene expression, a vector encoding (or devoid of) MSI gene was transformed into JS006 strain."
PRJEB65590,Ribo-seq of Eif6 WT and Eif6 S235A Mouse Embryonic Fibroblasts (MEFs),Analysis of global variability of translation between the Eif6 WT control genotype and the Eif6 S235A mutated MEF lines. Ribosome Protected Fragments (RPFs) were obtained followwing the procedure reported in McGlincy NJ & Ingolia NT. Methods. 2017 (doi: 10.1016/j.ymeth.2017.05.028).
PRJNA1150324,Sense codon-misassociated eRF1 elicits widespread ribosome stalling subjected to quality control,"The ribosome-associated quality control (RQC) is a surveillance system for aberrant translation, sensing ribosome collisions. Although the molecular mechanism has been extensively studied, the endogenous targets of RQC in human cells were poorly understood. Here, starting from the study of codon specificity of eukaryotic termination factor eRF1, we unexpectedly find that misrecognition of UUA sense codon by eRF1 leads to ribosome collisions and provides the source of RQC substrates in humans. eRF1-selective Monosome-Seq and Disome-Seq reveal that eRF1 recruitment to ribosome was not restricted to the stop codons but also the sub-cognate sense codons, including the UUA codon. The UUA misrecognition by eRF1 causes ribosome collision without termination reaction. Remarkably, Disome-Seq with the depletion of ASCC3 and 4EHP, key factors in RQC, showed that ribosome stalled at UUA codons are the predominant sub-populations rescued by RQC. Failure to resolve ribosome collisions by RQC triggers p38 phosphorylation and upregulation of stress response transcription factor ATF3. This study presents the impact of sense codon misrecognition by the termination factor on translation homeostasis in human cells. Overall design: Ribosome profiling (including monosome and disome) data from HEK293 Flp-In T-REx cells overexpressing SBP-eRF1. Ribosome footprints were collected from input and IP samples. Ribosome profiling (including monosome and disome) and RNA-seq data from HEK293 Flp-In TREx cells transfected with siRNA."
PRJNA1148496,Ribosome Profiling Reveals Differences in Global Translational vs. Transcriptional Gene Expression Changes During Early Candida albicans Biofilm Formation,"Candida albicans, a major human fungal pathogen, can form biofilms on a variety of inert and biological surfaces. C. albicans biofilms allow for immune evasion, are highly resistant to antifungal therapies, and represent a significant complication for a wide variety of immunocompromised patients in clinical settings. While transcriptional regulators and global transcriptional profiles of C. albicans biofilm formation have been well-characterized, much less is known about translational regulation of this important C. albicans virulence property. Here, using ribosome profiling, we define the first global translational profile of genes that are expressed during early biofilm development in a human fungal pathogen, C. albicans.  We show that C. albicans biofilm formation involves altered translational regulation of genes and gene classes associated with protein synthesis, pathogenesis, transport, plasma membrane, polarized growth, the cell cycle, secretion and signal transduction. Interestingly, while similar, but not identical, classes of genes showed transcriptional alterations during early C. albicans biofilm development, we observed very little overlap between specific genes that are up-regulated or down-regulated at the translational vs. transcriptional levels. Our results suggest that distinct translational mechanisms play an important role in regulating early biofilm development of a major human fungal pathogen.  These mechanisms, in turn, could serve as potential targets for novel antifungal strategies. Overall design: C. albicans cells were grown under either biofilm or planktonic conditions using 3 biological replicates. Separate samples from cells grown under each condition were prepared for both Ribo-seq and RNA-seq analysis. Overall there are 12 total samples: 3 replicates of biofilm Ribo-seq, 3 replicates of planktonic Ribo-seq, 3 replicates of biofilm RNA-seq and 3 replicates of planktonic RNA-seq."
PRJNA1145378,"RAPIDASH: Tag-free enrichment of ribosome-associated proteins reveals compositional dynamics in embryonic tissues, cancer cells, and macrophages [RNA-Seq and Ribo-Seq]","Ribosomes are emerging as direct regulators of gene expression, with ribosome-associated proteins (RAPs) allowing ribosomes to modulate translation. Nevertheless, a lack of technologies to enrich RAPs across sample types has prevented systematic analysis of RAP identities, dynamics, and functions. We have developed a label-free methodology called RAPIDASH to enrich ribosomes and RAPs from any sample. We applied RAPIDASH to mouse embryonic tissues and identified hundreds of potential RAPs, including DHX30 and LLPH, two forebrain RAPs important for neurodevelopment. We identified a critical role of LLPH in neural development linked to the translation of genes with long coding sequences. In addition, we showed RAPIDASH can identify ribosome changes in cancer cells. Finally, we characterized ribosome composition remodeling during immune cell activation and observed extensive changes post-stimulation. RAPIDASH has therefore enabled the discovery of RAPs in multiple cell types, tissues, and stimuli and is adaptable to characterize ribosome remodeling in several contexts. Overall design: RAPIDASH characterization by short read sequencing of polyA-selected RNAs differentially enriched by the additional sulfhydryl-charged resin chromatography step compared to sucrose cushion alone. Refer to Figure S2"
PRJEB77738,Impact of EFP on translational efficiency of specific motifs,"Translation dynamics are influenced by the chemical and structural properties of the amino acids incorporated into the polypeptide chain. Consecutive prolines can slow down translation speed and cause ribosome stalling. Translation elongation factor P (EF-P) facilitates peptide bond formation in these motifs, thereby alleviating the stalled ribosomes and enabling regular translational speed. Ribosome pausing at various polyproline motifs has been studied using labor-intensive techniques such as ribosome profiling, proteomics, and in vivo screenings with reporters incorporated into the chromosome.  Here, we describe a plasmid-based dual reporter for rapid assessment of translation efficiencies at various motifs. We demonstrate that the construction of a system with  coupled genes encoding mScarlet-I and chloramphenicol acetyltransferase enables sensitive screenings of translation efficiencies at motifs based on bacterial fluorescence and survival. Plate-based screenings of diprolyl motif libraries in an E. coli strain lacking efp (?efp) reveals sequences which have diverse translation efficiencies. Ultimately, high-throughput screening of motif libraries sorted by fluorescence-associated cell sorting (FACS) reveals that sequences lacking prolines can cause intermediate to strong ribosome pauses in ?efp. Our study offers insights into unusual ribosome stalling motifs and provides an in vivo platform for rapid screening of the translational efficiency of diverse motifs."
PRJNA1144439,Structural determinants of co-translational protein complex assembly,"Protein assembly into functional complexes is critical to life s processes. While complex assembly is classically described as occurring between fully synthesized proteins, recent work showed that co-translational assembly is prevalent in human cells. However, the biological basis for the existence of this process and the identity of protein pairs that assemble co translationally remain unknown. We show that co-translational assembly is governed by structural characteristics of complexes and involves mutually stabilized subunits. Accordingly, co-translationally assembling subunits are unstable in isolation and exhibit synchronized proteostasis with their partner. By leveraging structural signatures and AlphaFold2 based predictions, we accurately predicted co-translational assembly, including pairs identities, at proteome scale and across species. We validated our predictions by ribosome profiling, stoichiometry perturbations, and smFISH experiments that revealed co-localized mRNAs. This work establishes a fundamental connection between protein structure and the translation process, highlighting the overarching impact of three dimensional structure on gene expression, mRNA localization, and proteostasis."
PRJNA1141893,Genome-wide rearrangement of protein translation levels for cell and organelle proliferation in a simple unicellular alga,"Cell proliferation is a fundamental characteristic of organisms, driven by the holistic functions of multiple proteins encoded in the genome. However, the individual contributions of thousands of genes and the millions of protein molecules they express to cell proliferation are still not fully understood, even in simple eukaryotes. Here, we present proteome maps of cells during proliferation in the unicellular alga Cyanidioschyzon merolae, based on the sequencing of ribosome-protected messenger RNA (mRNA) fragments. Ribosome footprint profiling of genes encoded by nuclear, mitochondrial, and chloroplast DNAs has revealed qualitative and quantitative changes in mRNA transcription and protein translation within each gene during cell division. Comparisons of ribosome footprints from non-dividing and dividing cells allowed the identification of proteins involved in cell proliferation. Given that in vivo experiments on two selected candidate proteins identified a division-phase-specific mitochondrial nucleoid protein and a mitochondrial division protein, these results offer key insights into the comprehensive protein functions that facilitate cell and organelle division. Overall design: 2 replicates in 2 different states in same strain"
