Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,library type,geo_loc_name,collection_date,treatment
SRR27099180,51143621,1196533061,23,659,SRX22788396,GSM7947760,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772441,SAMN38679079,simple,1423,Bacillus subtilis,GSM7947760,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 1h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099179,48944947,1638093930,33,806,SRX22788397,GSM7947761,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772440,SAMN38679078,simple,1423,Bacillus subtilis,GSM7947761,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 1h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099178,43587785,1069198387,24,585,SRX22788398,GSM7947762,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772444,SAMN38679077,simple,1423,Bacillus subtilis,GSM7947762,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 2h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099177,23125026,752402007,32,351,SRX22788399,GSM7947763,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772443,SAMN38679076,simple,1423,Bacillus subtilis,GSM7947763,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 2h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099176,41635464,1057647541,25,567,SRX22788400,GSM7947764,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772445,SAMN38679075,simple,1423,Bacillus subtilis,GSM7947764,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 3h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099175,33290165,1697798415,51,529,SRX22788401,GSM7947765,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772446,SAMN38679074,simple,1423,Bacillus subtilis,GSM7947765,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 3h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099174,43617150,1151735401,26,611,SRX22788402,GSM7947766,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772447,SAMN38679073,simple,1423,Bacillus subtilis,GSM7947766,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 4h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27103833,31379524,1600355724,51,471,SRX22792999,GSM7947719,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777023,SAMN38687213,simple,1423,Bacillus subtilis,GSM7947719,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 4h post sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
SRR27103832,28306098,657986224,23,351,SRX22793000,GSM7947720,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777024,SAMN38687212,simple,1423,Bacillus subtilis,GSM7947720,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 5h post sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
SRR27103831,22038048,521749395,23,272,SRX22793001,GSM7947721,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777025,SAMN38687211,simple,1423,Bacillus subtilis,GSM7947721,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 5h post sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
SRR27103830,30163188,711744085,23,372,SRX22793002,GSM7947722,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777026,SAMN38687210,simple,1423,Bacillus subtilis,GSM7947722,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 6h post sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
SRR27103829,40227476,906335835,22,480,SRX22793003,GSM7947723,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777027,SAMN38687209,simple,1423,Bacillus subtilis,GSM7947723,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 6h post sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
SRR27103828,29420001,672520621,22,359,SRX22793004,GSM7947724,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777028,SAMN38687208,simple,1423,Bacillus subtilis,GSM7947724,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 7h post sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
SRR27103827,27743618,639760601,23,341,SRX22793005,GSM7947725,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777029,SAMN38687207,simple,1423,Bacillus subtilis,GSM7947725,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 7h post sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
SRR27103826,28248741,666096514,23,349,SRX22793006,GSM7947726,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777030,SAMN38687206,simple,1423,Bacillus subtilis,GSM7947726,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"3KO 0h, prior to sporulation induction, replicate 1",strain 168,strain 168,3KO,RIBO-seq,missing,missing,bacterial cells
SRR27103825,46491873,2371085523,51,704,SRX22793007,GSM7947727,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777031,SAMN38687205,simple,1423,Bacillus subtilis,GSM7947727,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"3KO 0h, prior to sporulation induction, replicate 2",strain 168,strain 168,3KO,RIBO-seq,missing,missing,bacterial cells
SRR27103824,40987874,960749833,23,523,SRX22793008,GSM7947728,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777032,SAMN38687204,simple,1423,Bacillus subtilis,GSM7947728,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"3KO 1h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RIBO-seq,missing,missing,bacterial cells
SRR27103823,44965940,1049531272,23,572,SRX22793009,GSM7947729,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777033,SAMN38687203,simple,1423,Bacillus subtilis,GSM7947729,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"3KO 1h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RIBO-seq,missing,missing,bacterial cells
SRR27103822,35171896,819478944,23,442,SRX22793010,GSM7947730,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777034,SAMN38687202,simple,1423,Bacillus subtilis,GSM7947730,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"3KO 2h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RIBO-seq,missing,missing,bacterial cells
SRR27103821,40816096,983670596,24,530,SRX22793011,GSM7947731,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777035,SAMN38687201,simple,1423,Bacillus subtilis,GSM7947731,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"3KO 2h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RIBO-seq,missing,missing,bacterial cells
SRR27103820,42366989,1004859498,23,534,SRX22793012,GSM7947732,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777036,SAMN38687200,simple,1423,Bacillus subtilis,GSM7947732,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"3KO 3h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RIBO-seq,missing,missing,bacterial cells
SRR27103819,28708508,1464133908,51,441,SRX22793013,GSM7947733,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777037,SAMN38687199,simple,1423,Bacillus subtilis,GSM7947733,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"3KO 3h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RIBO-seq,missing,missing,bacterial cells
SRR27103818,37361208,860342852,23,462,SRX22793014,GSM7947734,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777038,SAMN38687198,simple,1423,Bacillus subtilis,GSM7947734,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"3KO 4h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RIBO-seq,missing,missing,bacterial cells
SRR27103817,30354190,750905520,24,391,SRX22793015,GSM7947710,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777039,SAMN38687222,simple,1423,Bacillus subtilis,GSM7947710,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 0h, prior to sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
SRR27103816,27414010,1398114510,51,415,SRX22793016,GSM7947711,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777040,SAMN38687221,simple,1423,Bacillus subtilis,GSM7947711,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 0h, prior to sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
SRR27103815,51211359,1187423481,23,651,SRX22793017,GSM7947712,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777042,SAMN38687220,simple,1423,Bacillus subtilis,GSM7947712,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 1h post sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
SRR27103814,26633286,616127460,23,326,SRX22793018,GSM7947713,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777041,SAMN38687219,simple,1423,Bacillus subtilis,GSM7947713,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 1h post sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
SRR27103813,37017085,891207454,24,481,SRX22793019,GSM7947714,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777043,SAMN38687218,simple,1423,Bacillus subtilis,GSM7947714,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 2h post sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
SRR27103812,28302663,679838220,24,349,SRX22793020,GSM7947715,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777044,SAMN38687217,simple,1423,Bacillus subtilis,GSM7947715,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 2h post sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
SRR27103811,48793536,1210713911,24,640,SRX22793021,GSM7947716,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,,"",SRS19777045,SAMN38687216,simple,1423,Bacillus subtilis,GSM7947716,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Starosta,strain 168,"WT 3h post sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,missing,missing,bacterial cells
