Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,developmental stage,Sex,cell line,ecotype,GEO Accession
SRR1146617,26798795,1071951800,40,650,SRX384678,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508877,SAMN02423225,simple,7955,Danio rerio,GSM1276549,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_132_4hpf_RNA,zebrafish embryo,AB,4 hours post-fertilization,,,,GSM1276549
SRR1039869,28228711,1129148440,40,698,SRX384679,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508878,SAMN02423236,simple,7955,Danio rerio,GSM1276550,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_155_4hpf_RNA,zebrafish embryo,AB,4 hours post-fertilization,,,,GSM1276550
SRR1039870,31984378,1279375120,40,794,SRX384680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508879,SAMN02423232,simple,7955,Danio rerio,GSM1276551,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_mock_6hpf_RNA,zebrafish embryo,AB,6 hours post-fertilization,,,,GSM1276551
SRR1039871,26059472,1042378880,40,639,SRX384681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508880,SAMN02423238,simple,7955,Danio rerio,GSM1276552,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_132_6hpf_RNA,zebrafish embryo,AB,6 hours post-fertilization,,,,GSM1276552
SRR1039872,27989013,1119560520,40,687,SRX384682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508881,SAMN02423231,simple,7955,Danio rerio,GSM1276553,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_155_6hpf_RNA,zebrafish embryo,AB,6 hours post-fertilization,,,,GSM1276553
SRR1039873,31433608,1257344320,40,777,SRX384683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508882,SAMN02423237,simple,7955,Danio rerio,GSM1276554,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_mock_2hpf_RPF,zebrafish embryo,AB,2 hours post-fertilization,,,,GSM1276554
SRR1039874,29465089,1178603560,40,726,SRX384684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508884,SAMN02423235,simple,7955,Danio rerio,GSM1276555,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_132_2hpf_RPF,zebrafish embryo,AB,2 hours post-fertilization,,,,GSM1276555
SRR1039875,29593285,1183731400,40,733,SRX384685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508883,SAMN02423239,simple,7955,Danio rerio,GSM1276556,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_155_2hpf_RPF,zebrafish embryo,AB,2 hours post-fertilization,,,,GSM1276556
SRR1039876,30629842,1225193680,40,759,SRX384686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508886,SAMN02423240,simple,7955,Danio rerio,GSM1276557,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_mock_4hpf_RPF,zebrafish embryo,AB,4 hours post-fertilization,,,,GSM1276557
SRR1039877,27556730,1102269200,40,692,SRX384687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508885,SAMN02423244,simple,7955,Danio rerio,GSM1276558,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_132_4hpf_RPF,zebrafish embryo,AB,4 hours post-fertilization,,,,GSM1276558
SRR1039878,28053051,1122122040,40,705,SRX384688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508887,SAMN02423241,simple,7955,Danio rerio,GSM1276559,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_155_4hpf_RPF,zebrafish embryo,AB,4 hours post-fertilization,,,,GSM1276559
SRR1039879,28385780,1135431200,40,716,SRX384689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508888,SAMN02423242,simple,7955,Danio rerio,GSM1276560,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_mock_6hpf_RPF,zebrafish embryo,AB,6 hours post-fertilization,,,,GSM1276560
SRR1039880,26922372,1076894880,40,682,SRX384690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508889,SAMN02423243,simple,7955,Danio rerio,GSM1276561,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_132_6hpf_RPF,zebrafish embryo,AB,6 hours post-fertilization,,,,GSM1276561
SRR1039881,26048102,1041924080,40,661,SRX384691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508890,SAMN02423245,simple,7955,Danio rerio,GSM1276562,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_155_6hpf_RPF,zebrafish embryo,AB,6 hours post-fertilization,,,,GSM1276562
SRR1039882,16623887,664955480,40,406,SRX384692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508891,SAMN02423247,simple,8355,Xenopus laevis,GSM1276563,GEO,SRA114402,07,2015,Subtelny,xenopus laevis embryo,Xla_st3_4_RNA,xenopus laevis embryo,,stage 3-4,,,,GSM1276563
SRR1146618,67385391,2695415640,40,1717,SRX384693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508892,SAMN02423249,simple,8355,Xenopus laevis,GSM1276564,GEO,SRA114402,07,2015,Subtelny,xenopus laevis embryo,Xla_st3_4_RPF,xenopus laevis embryo,,stage 3-4,,,,GSM1276564
SRR1039884,24580088,983203520,40,599,SRX384694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508893,SAMN02423251,simple,8355,Xenopus laevis,GSM1276565,GEO,SRA114402,07,2015,Subtelny,xenopus laevis embryo,Xla_st9_RNA,xenopus laevis embryo,,stage 9,,,,GSM1276565
SRR1146615,34036534,1361461360,40,808,SRX384695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508894,SAMN02423250,simple,8355,Xenopus laevis,GSM1276566,GEO,SRA114402,07,2015,Subtelny,xenopus laevis embryo,Xla_st9_RPF,xenopus laevis embryo,,stage 9,,,,GSM1276566
SRR1146542,14733883,604089203,41,339,SRX451671,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544807,SAMN02598788,simple,4932,Saccharomyces cerevisiae,GSM1316794,GEO,SRA114402,07,2015,Subtelny,saccharomyces cerevisiae cells,Cerevisiae_total_PAL,saccharomyces cerevisiae cells,BY4741,,,,,GSM1316794
SRR1146543,8815496,361435336,41,205,SRX451672,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544808,SAMN02598791,simple,4932,Saccharomyces cerevisiae,GSM1316795,GEO,SRA114402,07,2015,Subtelny,saccharomyces cerevisiae cells,Cerevisiae_PAL,saccharomyces cerevisiae cells,BY4741,,,,,GSM1316795
SRR1146544,8450049,346452009,41,196,SRX451673,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544809,SAMN02598811,simple,4896,Schizosaccharomyces pombe,GSM1316796,GEO,SRA114402,07,2015,Subtelny,schizosaccharomyces pombe cells,Pombe_PAL,schizosaccharomyces pombe cells,972,,,,,GSM1316796
SRR1146545,6517486,260699440,40,138,SRX451674,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544810,SAMN02598789,simple,3702,Arabidopsis thaliana,GSM1316797,GEO,SRA114402,07,2015,Subtelny,arabidopsis thaliana leaves,Arabidopsis_PAL_only,arabidopsis thaliana leaves,,,,,Columbia,GSM1316797
SRR1146546,17028507,698168787,41,392,SRX451675,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544812,SAMN02598790,simple,7227,Drosophila melanogaster,GSM1316798,GEO,SRA114402,07,2015,Subtelny,Drosophila melanogaster S2 cells,Drosophila_PAL_only,Drosophila melanogaster S2 cells,,,,S2,,GSM1316798
SRR1146547,26484702,1085872782,41,661,SRX451676,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544811,SAMN02598815,simple,10090,Mus musculus,GSM1316799,GEO,SRA114402,07,2015,Subtelny,mouse liver,Liver_PAL,mouse liver,C57BL/6,6 week,male,,,GSM1316799
SRR1146548,20493536,840234976,41,486,SRX451677,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544813,SAMN02598792,simple,9606,Homo sapiens,GSM1316800,GEO,SRA114402,07,2015,Subtelny,HEK293T cells,Hek293T_PAL,HEK293T cells,,,,HEK293T,,GSM1316800
SRR1146549,10637761,425510440,40,237,SRX451678,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544814,SAMN02598794,simple,10090,Mus musculus,GSM1316801,GEO,SRA114402,07,2015,Subtelny,3T3 cells,3T3_PAL,3T3 cells,,,,3T3,,GSM1316801
SRR1146550,10471852,429345932,41,249,SRX451679,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544815,SAMN02598812,simple,10090,Mus musculus,GSM1316802,GEO,SRA114402,07,2015,Subtelny,3T3 cells,3T3_contact_inhibited_1_PAL_only,3T3 cells,,,,3T3,,GSM1316802
SRR1146551,11665810,466632400,40,253,SRX451680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544816,SAMN02598793,simple,10090,Mus musculus,GSM1316803,GEO,SRA114402,07,2015,Subtelny,3T3 cells,3T3_contact_inhibited_2_PAL_only,3T3 cells,,,,3T3,,GSM1316803
SRR1146552,10401535,426462935,41,248,SRX451681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544817,SAMN02598795,simple,10090,Mus musculus,GSM1316804,GEO,SRA114402,07,2015,Subtelny,3T3 cells,3T3_polysome_profile_0_ribosomes_PAL_only,3T3 cells,,,,3T3,,GSM1316804
SRR1146553,11478296,470610136,41,280,SRX451682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544818,SAMN02598816,simple,10090,Mus musculus,GSM1316805,GEO,SRA114402,07,2015,Subtelny,3T3 cells,3T3_polysome_profile_1_ribosome_PAL_only,3T3 cells,,,,3T3,,GSM1316805
SRR1146554,11679672,478866552,41,289,SRX451683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544819,SAMN02598796,simple,10090,Mus musculus,GSM1316806,GEO,SRA114402,07,2015,Subtelny,3T3 cells,3T3_polysome_profile_2_ribosomes_PAL_only,3T3 cells,,,,3T3,,GSM1316806
SRR1146555,8819465,361598065,41,213,SRX451684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544820,SAMN02598797,simple,10090,Mus musculus,GSM1316807,GEO,SRA114402,07,2015,Subtelny,3T3 cells,3T3_polysome_profile_3_ribosomes_PAL_only,3T3 cells,,,,3T3,,GSM1316807
SRR1146556,5549813,227542333,41,136,SRX451685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544821,SAMN02598814,simple,10090,Mus musculus,GSM1316808,GEO,SRA114402,07,2015,Subtelny,3T3 cells,3T3_polysome_profile_4_ribosomes_PAL_only,3T3 cells,,,,3T3,,GSM1316808
SRR1146557,12060115,494464715,41,296,SRX451686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544822,SAMN02598798,simple,10090,Mus musculus,GSM1316809,GEO,SRA114402,07,2015,Subtelny,3T3 cells,3T3_polysome_profile_5.5_ribosomes_PAL_only,3T3 cells,,,,3T3,,GSM1316809
SRR1146558,11220604,460044764,41,278,SRX451687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544823,SAMN02598800,simple,10090,Mus musculus,GSM1316810,GEO,SRA114402,07,2015,Subtelny,3T3 cells,3T3_polysome_profile_7.5_ribosomes_PAL_only,3T3 cells,,,,3T3,,GSM1316810
SRR1146559,15528508,636668828,41,378,SRX451688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544824,SAMN02598813,simple,10090,Mus musculus,GSM1316811,GEO,SRA114402,07,2015,Subtelny,3T3 cells,3T3_polysome_profile_11_ribosomes_PAL_only,3T3 cells,,,,3T3,,GSM1316811
SRR1146560,8102520,324100800,40,180,SRX451689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544825,SAMN02598802,simple,9606,Homo sapiens,GSM1316812,GEO,SRA114402,07,2015,Subtelny,HeLa cells,HeLa_PAL_only,HeLa cells,,,,HeLa,,GSM1316812
SRR1146561,5929168,237166720,40,129,SRX451690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544826,SAMN02598799,simple,9606,Homo sapiens,GSM1316813,GEO,SRA114402,07,2015,Subtelny,HeLa cells,HeLa_total_PAL_only,HeLa cells,,,,HeLa,,GSM1316813
SRR1146562,9210911,377647351,41,216,SRX451691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544827,SAMN02598817,simple,7955,Danio rerio,GSM1316814,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_mock_2hpf_PAL,zebrafish embryo,AB,2 hours post-fertilization,,,,GSM1316814
SRR1146563,9298710,381247110,41,213,SRX451692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544828,SAMN02598801,simple,7955,Danio rerio,GSM1316815,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_132_2hpf_PAL,zebrafish embryo,AB,2 hours post-fertilization,,,,GSM1316815
SRR1146564,8775328,359788448,41,207,SRX451693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544829,SAMN02598806,simple,7955,Danio rerio,GSM1316816,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_155_2hpf_PAL,zebrafish embryo,AB,2 hours post-fertilization,,,,GSM1316816
SRR1146565,9420001,386220041,41,215,SRX451694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544830,SAMN02598819,simple,7955,Danio rerio,GSM1316817,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_mock_4hpf_PAL,zebrafish embryo,AB,4 hours post-fertilization,,,,GSM1316817
SRR1146566,10626865,435701465,41,241,SRX451695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544831,SAMN02598804,simple,7955,Danio rerio,GSM1316818,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_132_4hpf_PAL,zebrafish embryo,AB,4 hours post-fertilization,,,,GSM1316818
SRR1146567,9758976,400118016,41,211,SRX451696,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544832,SAMN02598805,simple,7955,Danio rerio,GSM1316819,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_155_4hpf_PAL,zebrafish embryo,AB,4 hours post-fertilization,,,,GSM1316819
SRR1146568,8599622,352584502,41,190,SRX451697,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544833,SAMN02598820,simple,7955,Danio rerio,GSM1316820,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_mock_6hpf_PAL,zebrafish embryo,AB,6 hours post-fertilization,,,,GSM1316820
SRR1146569,10847229,444736389,41,249,SRX451698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544834,SAMN02598803,simple,7955,Danio rerio,GSM1316821,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_132_6hpf_PAL,zebrafish embryo,AB,6 hours post-fertilization,,,,GSM1316821
SRR1146570,11129573,456312493,41,256,SRX451699,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544835,SAMN02598808,simple,7955,Danio rerio,GSM1316822,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_155_6hpf_PAL,zebrafish embryo,AB,6 hours post-fertilization,,,,GSM1316822
SRR1146571,8413095,344936895,41,190,SRX451700,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544836,SAMN02598821,simple,8355,Xenopus laevis,GSM1316823,GEO,SRA114402,07,2015,Subtelny,xenopus laevis embryo,Xla_st3_4_PAL,xenopus laevis embryo,,stage 3-4,,,,GSM1316823
SRR1146572,8815496,361435336,41,205,SRX451701,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP033369,PRJNA230112,24476825,"",SRS544837,SAMN02598807,simple,8355,Xenopus laevis,GSM1316824,GEO,SRA114402,07,2015,Subtelny,xenopus laevis embryo,Xla_st9_PAL,xenopus laevis embryo,,stage 9,,,,GSM1316824
SRR1146573,33384509,1335380360,40,773,SRX451702,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS544838,SAMN02598810,simple,8355,Xenopus laevis,GSM1316825,GEO,SRA114402,07,2015,Subtelny,xenopus laevis embryo,Xla_st12_12.5_RNA,xenopus laevis embryo,,stage 12-12.5,,,,GSM1316825
SRR1146574,41792210,1671688400,40,972,SRX451703,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS544839,SAMN02598818,simple,8355,Xenopus laevis,GSM1316826,GEO,SRA114402,07,2015,Subtelny,xenopus laevis embryo,Xla_st12_12.5_RPF,xenopus laevis embryo,,stage 12-12.5,,,,GSM1316826
