Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,library type,treatment,geo_loc_name,collection_date
SRR27103822,35171896,819478944,23,442,SRX22793010,GSM7947730,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777034,SAMN38687202,simple,1423,Bacillus subtilis,GSM7947730,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 2h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103821,40816096,983670596,24,530,SRX22793011,GSM7947731,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777035,SAMN38687201,simple,1423,Bacillus subtilis,GSM7947731,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 2h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103820,42366989,1004859498,23,534,SRX22793012,GSM7947732,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777036,SAMN38687200,simple,1423,Bacillus subtilis,GSM7947732,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 3h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103819,28708508,1464133908,51,441,SRX22793013,GSM7947733,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777037,SAMN38687199,simple,1423,Bacillus subtilis,GSM7947733,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 3h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103818,37361208,860342852,23,462,SRX22793014,GSM7947734,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777038,SAMN38687198,simple,1423,Bacillus subtilis,GSM7947734,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 4h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103817,30354190,750905520,24,391,SRX22793015,GSM7947710,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777039,SAMN38687222,simple,1423,Bacillus subtilis,GSM7947710,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 0h, prior to sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103816,27414010,1398114510,51,415,SRX22793016,GSM7947711,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777040,SAMN38687221,simple,1423,Bacillus subtilis,GSM7947711,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 0h, prior to sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103815,51211359,1187423481,23,651,SRX22793017,GSM7947712,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777042,SAMN38687220,simple,1423,Bacillus subtilis,GSM7947712,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 1h post sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103814,26633286,616127460,23,326,SRX22793018,GSM7947713,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777041,SAMN38687219,simple,1423,Bacillus subtilis,GSM7947713,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 1h post sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103813,37017085,891207454,24,481,SRX22793019,GSM7947714,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777043,SAMN38687218,simple,1423,Bacillus subtilis,GSM7947714,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 2h post sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103812,28302663,679838220,24,349,SRX22793020,GSM7947715,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777044,SAMN38687217,simple,1423,Bacillus subtilis,GSM7947715,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 2h post sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103811,48793536,1210713911,24,640,SRX22793021,GSM7947716,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777045,SAMN38687216,simple,1423,Bacillus subtilis,GSM7947716,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 3h post sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103810,29704183,1514913333,51,446,SRX22793022,GSM7947717,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777046,SAMN38687215,simple,1423,Bacillus subtilis,GSM7947717,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 3h post sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103809,47040167,1116114835,23,601,SRX22793023,GSM7947718,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777047,SAMN38687214,simple,1423,Bacillus subtilis,GSM7947718,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 4h post sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103808,23487554,1197865254,51,348,SRX22793024,GSM7947735,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777048,SAMN38687197,simple,1423,Bacillus subtilis,GSM7947735,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 4h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103807,32528707,797111640,24,415,SRX22793025,GSM7947736,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777049,SAMN38687196,simple,1423,Bacillus subtilis,GSM7947736,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 5h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103806,43105730,1043732145,24,556,SRX22793026,GSM7947737,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777051,SAMN38687195,simple,1423,Bacillus subtilis,GSM7947737,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 5h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103805,32370942,762827267,23,400,SRX22793027,GSM7947738,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777050,SAMN38687194,simple,1423,Bacillus subtilis,GSM7947738,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 6h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103804,52474800,1192011380,22,651,SRX22793028,GSM7947739,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777053,SAMN38687193,simple,1423,Bacillus subtilis,GSM7947739,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 6h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103803,28264103,653653276,23,339,SRX22793029,GSM7947740,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777052,SAMN38687192,simple,1423,Bacillus subtilis,GSM7947740,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 7h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103802,44501761,1044037892,23,562,SRX22793030,GSM7947741,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777054,SAMN38687191,simple,1423,Bacillus subtilis,GSM7947741,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 7h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
