Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,ecotype,dev_stage,collection_date,geo_loc_name,tissue,treatment,BioSampleModel
SRR30548761,32064065,9619219500,150,3219,SRX25972102,Mock-G7-GFP-CLIP-2,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549611,SAMN43508922,simple,3702,Arabidopsis thaliana,Mock-G7-GFP-CLIP-2,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-G7-GFP-CLIP-2,Columbia,3 days after germination,2023-07,China: Beijing,Seedling,Mock,Plant
SRR30548760,11463794,3439138200,150,1132,SRX25972103,ABA-Col-0-3-RNA,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549630,SAMN43508905,simple,3702,Arabidopsis thaliana,ABA-Col-0-3-RNA,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-Col-0-3-RNA,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,ABA,Plant
SRR30548759,32559042,9767712600,150,3716,SRX25972104,ABA-Col-0-1-Ribo,Ribo-seq,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549632,SAMN43508923,simple,3702,Arabidopsis thaliana,ABA-Col-0-1-Ribo,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-Col-0-1-Ribo,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,ABA,Plant
SRR30548758,39828919,11948675700,150,4708,SRX25972105,ABA-Col-0-2-Ribo,Ribo-seq,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549612,SAMN43508924,simple,3702,Arabidopsis thaliana,ABA-Col-0-2-Ribo,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-Col-0-2-Ribo,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,ABA,Plant
SRR30548757,42711145,12813343500,150,5011,SRX25972106,ABA-Col-0-3-Ribo,Ribo-seq,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549616,SAMN43508925,simple,3702,Arabidopsis thaliana,ABA-Col-0-3-Ribo,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-Col-0-3-Ribo,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,ABA,Plant
SRR30548756,33426634,10027990200,150,3851,SRX25972107,ABA-g7g8-1-Ribo,Ribo-seq,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549614,SAMN43508926,simple,3702,Arabidopsis thaliana,ABA-g7g8-1-Ribo,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-g7g8-1-Ribo,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,ABA,Plant
SRR30548755,32271972,9681591600,150,3703,SRX25972108,ABA-g7g8-2-Ribo,Ribo-seq,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549613,SAMN43508927,simple,3702,Arabidopsis thaliana,ABA-g7g8-2-Ribo,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-g7g8-2-Ribo,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,ABA,Plant
SRR30548754,31895956,9568786800,150,3671,SRX25972109,ABA-g7g8-3-Ribo,Ribo-seq,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549615,SAMN43508928,simple,3702,Arabidopsis thaliana,ABA-g7g8-3-Ribo,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-g7g8-3-Ribo,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,ABA,Plant
SRR30548753,36680665,11004199500,150,4174,SRX25972110,Mock-Col-0-1-Ribo,Ribo-seq,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549617,SAMN43508929,simple,3702,Arabidopsis thaliana,Mock-Col-0-1-Ribo,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-Col-0-1-Ribo,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,Mock,Plant
SRR30548752,31013398,9304019400,150,3526,SRX25972111,Mock-Col-0-2-Ribo,Ribo-seq,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549618,SAMN43508930,simple,3702,Arabidopsis thaliana,Mock-Col-0-2-Ribo,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-Col-0-2-Ribo,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,Mock,Plant
SRR30548751,28838006,8651401800,150,3285,SRX25972112,Mock-Col-0-3-Ribo,Ribo-seq,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549619,SAMN43508931,simple,3702,Arabidopsis thaliana,Mock-Col-0-3-Ribo,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-Col-0-3-Ribo,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,Mock,Plant
SRR30548750,46342962,13902888600,150,5295,SRX25972113,Mock-g7g8-1-Ribo,Ribo-seq,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549620,SAMN43508932,simple,3702,Arabidopsis thaliana,Mock-g7g8-1-Ribo,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-g7g8-1-Ribo,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,Mock,Plant
SRR30548749,11530883,3459264900,150,1142,SRX25972114,ABA-g7g8-1-RNA,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549621,SAMN43508906,simple,3702,Arabidopsis thaliana,ABA-g7g8-1-RNA,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-g7g8-1-RNA,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,ABA,Plant
SRR30548748,56190279,16857083700,150,6334,SRX25972115,Mock-g7g8-2-Ribo,Ribo-seq,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549625,SAMN43508933,simple,3702,Arabidopsis thaliana,Mock-g7g8-2-Ribo,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-g7g8-2-Ribo,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,Mock,Plant
SRR30548747,35340688,10602206400,150,4259,SRX25972116,Mock-g7g8-3-Ribo,Ribo-seq,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549622,SAMN43508934,simple,3702,Arabidopsis thaliana,Mock-g7g8-3-Ribo,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-g7g8-3-Ribo,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,Mock,Plant
SRR30548746,11371427,3411428100,150,1100,SRX25972117,ABA-g7g8-2-RNA,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549624,SAMN43508907,simple,3702,Arabidopsis thaliana,ABA-g7g8-2-RNA,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-g7g8-2-RNA,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,ABA,Plant
SRR30548745,11454954,3436486200,150,1104,SRX25972118,ABA-g7g8-3-RNA,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549623,SAMN43508908,simple,3702,Arabidopsis thaliana,ABA-g7g8-3-RNA,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-g7g8-3-RNA,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,ABA,Plant
SRR30548744,11853539,3556061700,150,1160,SRX25972119,Mock-Col-0-1-RNA,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549627,SAMN43508909,simple,3702,Arabidopsis thaliana,Mock-Col-0-1-RNA,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-Col-0-1-RNA,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,Mock,Plant
SRR30548743,11970758,3591227400,150,1187,SRX25972120,Mock-Col-0-2-RNA,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549628,SAMN43508910,simple,3702,Arabidopsis thaliana,Mock-Col-0-2-RNA,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-Col-0-2-RNA,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,Mock,Plant
SRR30548742,11483643,3445092900,150,1126,SRX25972121,Mock-Col-0-3-RNA,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549629,SAMN43508911,simple,3702,Arabidopsis thaliana,Mock-Col-0-3-RNA,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-Col-0-3-RNA,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,Mock,Plant
SRR30548741,11376537,3412961100,150,1122,SRX25972122,Mock-g7g8-1-RNA,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549631,SAMN43508912,simple,3702,Arabidopsis thaliana,Mock-g7g8-1-RNA,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-g7g8-1-RNA,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,Mock,Plant
