Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,organism,collection date,scientific_name,common name,geographic location (country and/or sea),ENA-LAST-UPDATE
ERR12549925,211223166,10772381466,51,4292,ERX11924203,rm_lv_RiN8_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985180,SAMEA115164712,simple,9544,Macaca mulatta,rm_lv_RiN8_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549885,63961836,9652635664,75,3388,ERX11924163,pt_lv_Fangina_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985184,SAMEA115164716,simple,9598,Pan troglodytes,pt_lv_Fangina_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549936,262993096,9214154809,35,3438,ERX11924214,rm_CM_WT103_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985201,SAMEA115164732,simple,9544,Macaca mulatta,rm_CM_WT103_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549884,51934509,7835912316,75,2973,ERX11924162,pt_lv_Emmanuel_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985183,SAMEA115164715,simple,9598,Pan troglodytes,pt_lv_Emmanuel_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549921,204329095,10420783845,51,4171,ERX11924199,pt_lv_Theo_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985176,SAMEA115164708,simple,9598,Pan troglodytes,pt_lv_Theo_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549937,315089158,16069547058,51,6405,ERX11924215,gg_CM_AssumboCG02_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985202,SAMEA115164733,simple,9593,Gorilla gorilla,gg_CM_AssumboCG02_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Gorilla gorilla,not provided,Gorilla gorilla,western gorilla,Netherlands,2024-01-30
ERR12549926,212541556,7446077879,35,2852,ERX11924204,hs_CM_BIHi242-C1_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985191,SAMEA115164722,simple,9606,Homo sapiens,hs_CM_BIHi242-C1_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Homo sapiens,not provided,Homo sapiens,human,Netherlands,2024-01-30
ERR12549892,34083124,6804455956,99,2431,ERX11924170,hs_CM_BIHi242-C2_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985207,SAMEA115164737,simple,9606,Homo sapiens,hs_CM_BIHi242-C2_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Homo sapiens,not provided,Homo sapiens,human,Netherlands,2024-01-30
ERR12549902,89207953,13443037006,75,4738,ERX11924180,gg_CM_AssumboCG02_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985217,SAMEA115164747,simple,9593,Gorilla gorilla,gg_CM_AssumboCG02_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Gorilla gorilla,not provided,Gorilla gorilla,western gorilla,Netherlands,2024-01-30
ERR12549931,149709636,7635191436,51,3085,ERX11924209,pt_CM_KarlchenCG23_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985196,SAMEA115164727,simple,9598,Pan troglodytes,pt_CM_KarlchenCG23_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549899,27507694,5498987349,99,1972,ERX11924177,rm_CM_WT101_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985214,SAMEA115164744,simple,9544,Macaca mulatta,rm_CM_WT101_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549924,206827987,10548227337,51,4227,ERX11924202,rm_lv_Ri9809011_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985179,SAMEA115164711,simple,9544,Macaca mulatta,rm_lv_Ri9809011_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549927,191924877,6724941043,35,2533,ERX11924205,hs_CM_BIHi242-C2_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985192,SAMEA115164723,simple,9606,Homo sapiens,hs_CM_BIHi242-C2_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Homo sapiens,not provided,Homo sapiens,human,Netherlands,2024-01-30
ERR12549933,245775775,12534564525,51,5043,ERX11924211,pt_CM_KarlchenDM07_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985198,SAMEA115164729,simple,9598,Pan troglodytes,pt_CM_KarlchenDM07_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549895,28515557,5705587220,99,2082,ERX11924173,hs_CM_BIHi242-C5_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985210,SAMEA115164740,simple,9606,Homo sapiens,hs_CM_BIHi242-C5_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Homo sapiens,not provided,Homo sapiens,human,Netherlands,2024-01-30
ERR12549911,34999543,7010908237,100,2547,ERX11924189,rm_iPS_WT101_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985226,SAMEA115164756,simple,9544,Macaca mulatta,rm_iPS_WT101_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549922,252915476,12898689276,51,5131,ERX11924200,rm_lv_9125_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985177,SAMEA115164709,simple,9544,Macaca mulatta,rm_lv_9125_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549906,37984909,7595914660,99,2746,ERX11924184,hs_iPS_BIHi242-C02_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985221,SAMEA115164751,simple,9606,Homo sapiens,hs_iPS_BIHi242-C02_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Homo sapiens,not provided,Homo sapiens,human,Netherlands,2024-01-30
ERR12549909,80703059,12180976774,75,4182,ERX11924187,pt_iPS_Chimp02_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985224,SAMEA115164754,simple,9598,Pan troglodytes,pt_iPS_Chimp02_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549882,72531441,10947793045,75,3760,ERX11924160,pt_lv_Barney_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985181,SAMEA115164713,simple,9598,Pan troglodytes,pt_lv_Barney_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549896,64927470,9799886782,75,3364,ERX11924174,pt_CM_KarlchenCG23_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985211,SAMEA115164741,simple,9598,Pan troglodytes,pt_CM_KarlchenCG23_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549888,81183017,12218434402,75,4207,ERX11924166,rm_lv_R00067_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985187,SAMEA115164719,simple,9544,Macaca mulatta,rm_lv_R00067_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549889,84443159,12739787655,75,4425,ERX11924167,rm_lv_Ri9809011_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985188,SAMEA115164720,simple,9544,Macaca mulatta,rm_lv_Ri9809011_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549938,195202602,9955332702,51,4007,ERX11924216,gg_CM_AssumboDM05_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985203,SAMEA115164734,simple,9593,Gorilla gorilla,gg_CM_AssumboDM05_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Gorilla gorilla,not provided,Gorilla gorilla,western gorilla,Netherlands,2024-01-30
ERR12549935,177698526,6226202374,35,2355,ERX11924213,rm_CM_WT102_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985200,SAMEA115164731,simple,9544,Macaca mulatta,rm_CM_WT102_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549914,84957573,12815493127,75,4464,ERX11924192,gg_iPS_Gorilla01_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985230,SAMEA115164759,simple,9593,Gorilla gorilla,gg_iPS_Gorilla01_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Gorilla gorilla,not provided,Gorilla gorilla,western gorilla,Netherlands,2024-01-30
ERR12549930,160549848,5625466323,35,2129,ERX11924208,hs_CM_BIHi242-C5_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985195,SAMEA115164726,simple,9606,Homo sapiens,hs_CM_BIHi242-C5_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Homo sapiens,not provided,Homo sapiens,human,Netherlands,2024-01-30
ERR12549912,40563812,8120911553,100,2919,ERX11924190,rm_iPS_WT102_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985227,SAMEA115164757,simple,9544,Macaca mulatta,rm_iPS_WT102_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549910,62134888,9378790502,75,3248,ERX11924188,pt_iPS_Chimp03_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985225,SAMEA115164755,simple,9598,Pan troglodytes,pt_iPS_Chimp03_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549900,29335320,5870122398,100,2095,ERX11924178,rm_CM_WT102_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985215,SAMEA115164745,simple,9544,Macaca mulatta,rm_CM_WT102_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549923,145153125,7402809375,51,2953,ERX11924201,rm_lv_R00067_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985178,SAMEA115164710,simple,9544,Macaca mulatta,rm_lv_R00067_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549905,33550443,6705823992,99,2430,ERX11924183,hs_iPS_BIHi242-C01_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985220,SAMEA115164750,simple,9606,Homo sapiens,hs_iPS_BIHi242-C01_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Homo sapiens,not provided,Homo sapiens,human,Netherlands,2024-01-30
ERR12549897,66499839,10038810086,75,3681,ERX11924175,pt_CM_KarlchenDM02_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985212,SAMEA115164742,simple,9598,Pan troglodytes,pt_CM_KarlchenDM02_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549904,68787668,10367824524,75,3551,ERX11924182,gg_CM_AssumboSK09_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985219,SAMEA115164749,simple,9593,Gorilla gorilla,gg_CM_AssumboSK09_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Gorilla gorilla,not provided,Gorilla gorilla,western gorilla,Netherlands,2024-01-30
ERR12549894,33355846,6672319265,100,2422,ERX11924172,hs_CM_BIHi242-C4_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985209,SAMEA115164739,simple,9606,Homo sapiens,hs_CM_BIHi242-C4_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Homo sapiens,not provided,Homo sapiens,human,Netherlands,2024-01-30
ERR12549907,32285151,6453170534,99,2341,ERX11924185,hs_iPS_BIHi242-C03_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985222,SAMEA115164752,simple,9606,Homo sapiens,hs_iPS_BIHi242-C03_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Homo sapiens,not provided,Homo sapiens,human,Netherlands,2024-01-30
ERR12549928,216816775,7604583267,35,2861,ERX11924206,hs_CM_BIHi242-C3_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985193,SAMEA115164724,simple,9606,Homo sapiens,hs_CM_BIHi242-C3_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Homo sapiens,not provided,Homo sapiens,human,Netherlands,2024-01-30
ERR12549890,91827656,13853461423,75,4766,ERX11924168,rm_lv_RiN8_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985189,SAMEA115164721,simple,9544,Macaca mulatta,rm_lv_RiN8_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549918,128410205,6548920455,51,2636,ERX11924196,pt_lv_Dirk1_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985173,SAMEA115164705,simple,9598,Pan troglodytes,pt_lv_Dirk1_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549932,189522576,9665651376,51,3893,ERX11924210,pt_CM_KarlchenDM02_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985197,SAMEA115164728,simple,9598,Pan troglodytes,pt_CM_KarlchenDM02_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549886,72135245,10879860447,75,3753,ERX11924164,pt_lv_Theo_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985185,SAMEA115164717,simple,9598,Pan troglodytes,pt_lv_Theo_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549934,202208403,7085508582,35,2662,ERX11924212,rm_CM_WT101_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985199,SAMEA115164730,simple,9544,Macaca mulatta,rm_CM_WT101_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
