Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolation_source,collection_date,geo_loc_name,sample_type,BioSampleModel
SRR28476222,10823748,265039713,24,59,SRX24079040,dEFPplEFPL_1_ribo,Ribo-seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869071,SAMN40631741,simple,562,Escherichia coli,JW4107 /+pBAD33_efpL_His6 (E. coli) replicate 1,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25122,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476221,19754797,2794590302,141,322,SRX24079041,dEFPplEFPL_1_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869071,SAMN40631741,simple,562,Escherichia coli,JW4107 /+pBAD33_efpL_His6 (E. coli) replicate 1,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25122,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476220,9486305,224702825,23,52,SRX24079042,WT_2_ribo,Ribo-seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869072,SAMN40631733,simple,562,Escherichia coli,wild type replicate 2,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25114,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476219,8479260,207099208,24,48,SRX24079043,dEFPplEFPL_2_ribo,Ribo-seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869073,SAMN40631742,simple,562,Escherichia coli,JW4107 /+pBAD33_efpL_His6 (E. coli) replicate 2,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25123,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476218,19399437,2757070167,142,294,SRX24079044,dEFPplEFPL_2_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869073,SAMN40631742,simple,562,Escherichia coli,JW4107 /+pBAD33_efpL_His6 (E. coli) replicate 2,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25123,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476217,7712081,186250880,24,43,SRX24079045,dEFPplEFPL_3_ribo,Ribo-seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869074,SAMN40631743,simple,562,Escherichia coli,JW4107 /+pBAD33_efpL_His6 (E. coli) replicate 3,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25124,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476216,20446446,2928213874,143,311,SRX24079046,dEFPplEFPL_3_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869074,SAMN40631743,simple,562,Escherichia coli,JW4107 /+pBAD33_efpL_His6 (E. coli) replicate 3,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25124,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476215,21594943,3153804685,146,285,SRX24079047,WT_2_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869072,SAMN40631733,simple,562,Escherichia coli,wild type replicate 2,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25114,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476214,13522335,322893080,23,69,SRX24079048,WT_3_ribo,Ribo-seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869075,SAMN40631734,simple,562,Escherichia coli,wild type replicate 3,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25115,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476213,20084336,2868452179,142,267,SRX24079049,WT_3_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869075,SAMN40631734,simple,562,Escherichia coli,wild type replicate 3,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25115,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476212,12233581,296581586,24,66,SRX24079050,dEFPL_1_ribo,Ribo-seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869076,SAMN40631735,simple,562,Escherichia coli,JW5362 replicate 1,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25116,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476211,21386049,3052772297,142,293,SRX24079051,dEFPL_1_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869076,SAMN40631735,simple,562,Escherichia coli,JW5362 replicate 1,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25116,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476210,8085057,194470702,24,43,SRX24079052,dEFPL_2_ribo,Ribo-seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869067,SAMN40631736,simple,562,Escherichia coli,JW5362 replicate 2,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25117,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476209,23302650,3409260194,146,314,SRX24079053,dEFPL_2_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869067,SAMN40631736,simple,562,Escherichia coli,JW5362 replicate 2,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25117,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
