Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,treatment,GEO Accession
SRR15912598,27229163,1388470131,50,473,SRX12202959,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179537,SAMN21450318,simple,9606,Homo sapiens,GSM5582421,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A1_siControl_pulldown_replicate2,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A1,Control siRNA,GSM5582421
SRR15912603,25684787,1309746208,50,446,SRX12202964,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179542,SAMN21450323,simple,9606,Homo sapiens,GSM5582426,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A1_siLARP1_input_replicate1,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A1,LARP1 siRNA,GSM5582426
SRR15912604,25175739,1283786795,50,434,SRX12202965,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179543,SAMN21450324,simple,9606,Homo sapiens,GSM5582427,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A1_siLARP1_input_replicate2,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A1,LARP1 siRNA,GSM5582427
SRR15912605,34215386,1744730833,50,598,SRX12202966,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179544,SAMN21450325,simple,9606,Homo sapiens,GSM5582428,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A1_siLARP1_pulldown,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A1,LARP1 siRNA,GSM5582428
SRR26125249,96430855,4914344485,50,1735,SRX21838985,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS18937349,SAMN37481207,simple,9606,Homo sapiens,GSM7792333,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RNA_naive_rep1,HEK293 T-REx,HEK293 T-REx,Naive,,GSM7792333
SRR26125250,93170281,4748538575,50,1670,SRX21838986,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS18937351,SAMN37481208,simple,9606,Homo sapiens,GSM7792334,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RNA_naive_rep2,HEK293 T-REx,HEK293 T-REx,Naive,,GSM7792334
SRR26125251,92852358,4732229753,50,1675,SRX21838987,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS18937348,SAMN37481210,simple,9606,Homo sapiens,GSM7792335,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RNA_4A1KO_rep1,HEK293 T-REx,HEK293 T-REx,EIF4A1 KO,,GSM7792335
SRR26125252,88233987,4496796875,50,1582,SRX21838988,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS18937354,SAMN37481211,simple,9606,Homo sapiens,GSM7792336,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RNA_4A1KO_rep2,HEK293 T-REx,HEK293 T-REx,EIF4A1 KO,,GSM7792336
SRR26125253,34145208,1707016749,49,1164,SRX21838989,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS18937361,SAMN37481213,simple,9606,Homo sapiens,GSM7792337,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A2_input_rep1,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A2,,GSM7792337
SRR26125254,35087308,1754107649,49,1190,SRX21838990,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS18937358,SAMN37481214,simple,9606,Homo sapiens,GSM7792338,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A2_input_rep2,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A2,,GSM7792338
SRR26125255,30469128,1523004835,49,883,SRX21838991,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS18937355,SAMN37481215,simple,9606,Homo sapiens,GSM7792339,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A2_pulldown_rep1,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A2,,GSM7792339
SRR26125256,31411790,1569155057,49,910,SRX21838992,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS18937360,SAMN37481216,simple,9606,Homo sapiens,GSM7792340,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A2_pulldown_rep2,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A2,,GSM7792340
SRR26125257,15606826,467756173,29,529,SRX21838993,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS18937356,SAMN37481217,simple,9606,Homo sapiens,GSM7792341,GEO,SRA1295324,02,2024,"",HEK293 T-REx,Ribo_4A2KO_DMSO_rep1,HEK293 T-REx,HEK293 T-REx,EIF4A2 KO,DMSO,GSM7792341
SRR26125258,16766884,499447908,29,568,SRX21838994,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS18937359,SAMN37481218,simple,9606,Homo sapiens,GSM7792342,GEO,SRA1295324,02,2024,"",HEK293 T-REx,Ribo_4A2KO_DMSO_rep2,HEK293 T-REx,HEK293 T-REx,EIF4A2 KO,DMSO,GSM7792342
SRR26125259,19071022,575352002,30,647,SRX21838995,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS18937362,SAMN37481219,simple,9606,Homo sapiens,GSM7792343,GEO,SRA1295324,02,2024,"",HEK293 T-REx,Ribo_4A2KO_PP242_10uM,HEK293 T-REx,HEK293 T-REx,EIF4A2 KO,PP242 10 µM,GSM7792343
SRR26125260,18859449,569365418,30,640,SRX21838996,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS18937357,SAMN37481220,simple,9606,Homo sapiens,GSM7792344,GEO,SRA1295324,02,2024,"",HEK293 T-REx,Ribo_4A2KO_PP242_1uM,HEK293 T-REx,HEK293 T-REx,EIF4A2 KO,PP242 1 µM,GSM7792344
