Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,genotype,geo_loc_name,collection_date
SRR29164326,34167375,2186712000,64,737,SRX24684615,GSM8289650,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418896,SAMN41526224,simple,9606,Homo sapiens,GSM8289650,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgCNOT3-chase 12h_rep1_SLAM23,Human embryonic kidney,Human embryonic kidney,HEK293T,CNOT3-knockout,missing,missing
SRR29164325,34255912,2192378368,64,732,SRX24684616,GSM8289651,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418898,SAMN41526223,simple,9606,Homo sapiens,GSM8289651,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgCNOT3-chase 12h_rep2_SLAM24,Human embryonic kidney,Human embryonic kidney,HEK293T,CNOT3-knockout,missing,missing
SRR29164324,49351639,3158504896,64,1054,SRX24684617,GSM8289652,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418899,SAMN41526222,simple,9606,Homo sapiens,GSM8289652,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgNT-chase 0h_rep1_SLAM1,Human embryonic kidney,Human embryonic kidney,HEK293T,control,missing,missing
SRR29164323,40576266,2596881024,64,861,SRX24684618,GSM8289653,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418900,SAMN41526221,simple,9606,Homo sapiens,GSM8289653,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgNT-chase 0h_rep2_SLAM2,Human embryonic kidney,Human embryonic kidney,HEK293T,control,missing,missing
SRR29164322,41165714,2634605696,64,874,SRX24684619,GSM8289654,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418901,SAMN41526220,simple,9606,Homo sapiens,GSM8289654,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgNT-chase 1h_rep1_SLAM5,Human embryonic kidney,Human embryonic kidney,HEK293T,control,missing,missing
SRR29164321,34957650,2237289600,64,744,SRX24684620,GSM8289655,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418902,SAMN41526219,simple,9606,Homo sapiens,GSM8289655,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgNT-chase 1h_rep2_SLAM6,Human embryonic kidney,Human embryonic kidney,HEK293T,control,missing,missing
SRR29164320,48960032,3133442048,64,1042,SRX24684621,GSM8289656,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418903,SAMN41526218,simple,9606,Homo sapiens,GSM8289656,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgNT-chase 2h_rep1_SLAM9,Human embryonic kidney,Human embryonic kidney,HEK293T,control,missing,missing
SRR29164319,48023245,3073487680,64,1021,SRX24684622,GSM8289657,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418904,SAMN41526217,simple,9606,Homo sapiens,GSM8289657,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgNT-chase 2h_rep2_SLAM10,Human embryonic kidney,Human embryonic kidney,HEK293T,control,missing,missing
SRR29164318,37305849,2387574336,64,799,SRX24684623,GSM8289658,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418905,SAMN41526216,simple,9606,Homo sapiens,GSM8289658,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgNT-chase 4h_rep1_SLAM13,Human embryonic kidney,Human embryonic kidney,HEK293T,control,missing,missing
SRR29164317,32387863,2072823232,64,695,SRX24684624,GSM8289659,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418906,SAMN41526215,simple,9606,Homo sapiens,GSM8289659,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgNT-chase 4h_rep2_SLAM14,Human embryonic kidney,Human embryonic kidney,HEK293T,control,missing,missing
SRR29164316,78321919,5012602816,64,1654,SRX24684625,GSM8289660,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418907,SAMN41526214,simple,9606,Homo sapiens,GSM8289660,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgNT-chase 8h_rep1_SLAM17,Human embryonic kidney,Human embryonic kidney,HEK293T,control,missing,missing
SRR29164315,43283401,2770137664,64,922,SRX24684626,GSM8289661,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418908,SAMN41526213,simple,9606,Homo sapiens,GSM8289661,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgNT-chase 8h_rep2_SLAM18,Human embryonic kidney,Human embryonic kidney,HEK293T,control,missing,missing
SRR29164314,33858656,2166953984,64,724,SRX24684627,GSM8289662,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418909,SAMN41526212,simple,9606,Homo sapiens,GSM8289662,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgNT-chase 12h_rep1_SLAM21,Human embryonic kidney,Human embryonic kidney,HEK293T,control,missing,missing
SRR29164313,43820483,2804510912,64,932,SRX24684628,GSM8289663,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418910,SAMN41526211,simple,9606,Homo sapiens,GSM8289663,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgNT-chase 12h_rep2_SLAM22,Human embryonic kidney,Human embryonic kidney,HEK293T,control,missing,missing
