Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line background,cell type,knock-out,time point,GEO Accession
SRR12146106,92158892,23039723000,125,10023,SRX8666830,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947399,SAMN15448038,simple,10090,Mus musculus,GSM4654327,GEO,SRA1094715,08,2024,"","Quaking KO, time 10","Quaking KO, time 10, replicate 3 [RNA-seq]","Quaking KO, time 10",E14,mouse embryonic stem cells,Quaking,t10,GSM4654327
SRR12146107,92958574,23239643500,125,10118,SRX8666831,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947400,SAMN15448037,simple,10090,Mus musculus,GSM4654328,GEO,SRA1094715,08,2024,"","Quaking KO, time 3","Quaking KO, time 3, replicate 3 [RNA-seq]","Quaking KO, time 3",E14,mouse embryonic stem cells,Quaking,t3,GSM4654328
SRR12146108,91354108,22838527000,125,10057,SRX8666832,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947401,SAMN15448035,simple,10090,Mus musculus,GSM4654329,GEO,SRA1094715,08,2024,"","Wild Type, time 0","Wild Type, time 0, replicate 1 [RNA-seq]","Wild Type, time 0",E14,mouse embryonic stem cells,Wild Type,t0,GSM4654329
SRR12146109,90528355,22632088750,125,9939,SRX8666833,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947402,SAMN15448034,simple,10090,Mus musculus,GSM4654330,GEO,SRA1094715,08,2024,"","Wild Type, time 10","Wild Type, time 10, replicate 1 [RNA-seq]","Wild Type, time 10",E14,mouse embryonic stem cells,Wild Type,t10,GSM4654330
SRR12146110,89364875,22341218750,125,9844,SRX8666834,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947403,SAMN15448033,simple,10090,Mus musculus,GSM4654331,GEO,SRA1094715,08,2024,"","Wild Type, time 3","Wild Type, time 3, replicate 1 [RNA-seq]","Wild Type, time 3",E14,mouse embryonic stem cells,Wild Type,t3,GSM4654331
SRR12146111,91955523,22988880750,125,10321,SRX8666835,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947404,SAMN15448032,simple,10090,Mus musculus,GSM4654332,GEO,SRA1094715,08,2024,"","Wild Type, time 0","Wild Type, time 0, replicate 2 [RNA-seq]","Wild Type, time 0",E14,mouse embryonic stem cells,Wild Type,t0,GSM4654332
SRR12146112,92349099,23087274750,125,10135,SRX8666836,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947405,SAMN15448014,simple,10090,Mus musculus,GSM4654333,GEO,SRA1094715,08,2024,"","Wild Type, time 10","Wild Type, time 10, replicate 2 [RNA-seq]","Wild Type, time 10",E14,mouse embryonic stem cells,Wild Type,t10,GSM4654333
SRR12146113,90340215,22585053750,125,9921,SRX8666837,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947406,SAMN15448013,simple,10090,Mus musculus,GSM4654334,GEO,SRA1094715,08,2024,"","Wild Type, time 3","Wild Type, time 3, replicate 2 [RNA-seq]","Wild Type, time 3",E14,mouse embryonic stem cells,Wild Type,t3,GSM4654334
SRR12146114,92016607,23004151750,125,10014,SRX8666838,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947407,SAMN15448036,simple,10090,Mus musculus,GSM4654335,GEO,SRA1094715,08,2024,"","Wild Type, time 0","Wild Type, time 0, replicate 3 [RNA-seq]","Wild Type, time 0",E14,mouse embryonic stem cells,Wild Type,t0,GSM4654335
SRR12146115,92407825,23101956250,125,10320,SRX8666839,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947408,SAMN15448012,simple,10090,Mus musculus,GSM4654336,GEO,SRA1094715,08,2024,"","Wild Type, time 10","Wild Type, time 10, replicate 3 [RNA-seq]","Wild Type, time 10",E14,mouse embryonic stem cells,Wild Type,t10,GSM4654336
SRR12146116,88786891,22196722750,125,9893,SRX8666840,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947409,SAMN15448011,simple,10090,Mus musculus,GSM4654337,GEO,SRA1094715,08,2024,"","Wild Type, time 3","Wild Type, time 3, replicate 3 [RNA-seq]","Wild Type, time 3",E14,mouse embryonic stem cells,Wild Type,t3,GSM4654337
