Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,genotype,geo_loc_name,collection_date
SRR26405665,22200185,2220018500,50,1003,SRX22111256,GSM7841596,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175675,SAMN37810158,simple,7227,Drosophila melanogaster,GSM7841596,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 L854F 1,heads,heads,heads,L854F,missing,missing
SRR26405664,21836560,2183656000,50,1002,SRX22111257,GSM7841597,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175676,SAMN37810157,simple,7227,Drosophila melanogaster,GSM7841597,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 L854F 2,heads,heads,heads,L854F,missing,missing
SRR26405663,23086085,2308608500,50,1059,SRX22111258,GSM7841598,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175677,SAMN37810156,simple,7227,Drosophila melanogaster,GSM7841598,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 L854F 3,heads,heads,heads,L854F,missing,missing
SRR26405662,27014522,8104356600,150,2389,SRX22111259,GSM7841599,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175678,SAMN37810155,simple,7227,Drosophila melanogaster,GSM7841599,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 R873W 1,heads,heads,heads,R873W,missing,missing
SRR26405661,27070389,8121116700,150,2385,SRX22111260,GSM7841600,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175679,SAMN37810154,simple,7227,Drosophila melanogaster,GSM7841600,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 R873W 2,heads,heads,heads,R873W,missing,missing
SRR26405660,27938580,8381574000,150,2443,SRX22111261,GSM7841601,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175680,SAMN37810153,simple,7227,Drosophila melanogaster,GSM7841601,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 R873W 3,heads,heads,heads,R873W,missing,missing
SRR26405659,31453609,9436082700,150,2750,SRX22111262,GSM7841602,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175681,SAMN37810152,simple,7227,Drosophila melanogaster,GSM7841602,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 Y874C 1,heads,heads,heads,Y874C,missing,missing
SRR26405658,36126611,10837983300,150,3130,SRX22111263,GSM7841603,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175682,SAMN37810151,simple,7227,Drosophila melanogaster,GSM7841603,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 Y874C 2,heads,heads,heads,Y874C,missing,missing
SRR26405657,28903011,8670903300,150,2567,SRX22111264,GSM7841604,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175683,SAMN37810150,simple,7227,Drosophila melanogaster,GSM7841604,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 Y874C 3,heads,heads,heads,Y874C,missing,missing
SRR26405656,66035261,3301763050,50,1113,SRX22111265,GSM7841605,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175684,SAMN37810149,simple,7227,Drosophila melanogaster,GSM7841605,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,Ribo-Seq Ctl IP 1,heads,heads,neurons,elav;RPL3-FLAG,missing,missing
SRR26405655,75734820,3786741000,50,1115,SRX22111266,GSM7841606,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175685,SAMN37810148,simple,7227,Drosophila melanogaster,GSM7841606,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,Ribo-Seq Ctl IP 2,heads,heads,neurons,elav;RPL3-FLAG,missing,missing
SRR26405654,51762170,2588108500,50,846,SRX22111267,GSM7841607,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175686,SAMN37810147,simple,7227,Drosophila melanogaster,GSM7841607,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,Ribo-Seq Ctl IP 3,heads,heads,neurons,elav;RPL3-FLAG,missing,missing
SRR26405653,20863347,6259004100,150,1838,SRX22111268,GSM7841608,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175687,SAMN37810146,simple,7227,Drosophila melanogaster,GSM7841608,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,Ribo-Seq Ctl Input 1,heads,heads,neurons,elav;RPL3-FLAG,missing,missing
SRR26405652,20724540,6217362000,150,1818,SRX22111269,GSM7841609,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175688,SAMN37810145,simple,7227,Drosophila melanogaster,GSM7841609,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,Ribo-Seq Ctl Input 2,heads,heads,neurons,elav;RPL3-FLAG,missing,missing
SRR26405651,20062546,6018763800,150,1766,SRX22111270,GSM7841610,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175690,SAMN37810144,simple,7227,Drosophila melanogaster,GSM7841610,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,Ribo-Seq Ctl Input 3,heads,heads,neurons,elav;RPL3-FLAG,missing,missing
SRR26405650,53687094,2684354700,50,878,SRX22111271,GSM7841611,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175689,SAMN37810143,simple,7227,Drosophila melanogaster,GSM7841611,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,Ribo-Seq KDM5 Knockdown IP 1,heads,heads,neurons,elav;RPL3-FLAG;kdm5RNAI,missing,missing
SRR26405649,55667396,2783369800,50,888,SRX22111272,GSM7841612,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175691,SAMN37810142,simple,7227,Drosophila melanogaster,GSM7841612,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,Ribo-Seq KDM5 Knockdown IP 2,heads,heads,neurons,elav;RPL3-FLAG;kdm5RNAI,missing,missing
SRR26405648,46704027,2335201350,50,761,SRX22111273,GSM7841613,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175692,SAMN37810141,simple,7227,Drosophila melanogaster,GSM7841613,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,Ribo-Seq KDM5 Knockdown IP 3,heads,heads,neurons,elav;RPL3-FLAG;kdm5RNAI,missing,missing
SRR26405647,20137529,2013752900,50,1075,SRX22111274,GSM7841582,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175693,SAMN37810172,simple,7227,Drosophila melanogaster,GSM7841582,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 WT 1,heads,heads,heads,WT,missing,missing
SRR26405646,19385935,1938593500,50,1006,SRX22111275,GSM7841583,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175694,SAMN37810171,simple,7227,Drosophila melanogaster,GSM7841583,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 WT 2,heads,heads,heads,WT,missing,missing
SRR26405645,21336535,6400960500,150,1877,SRX22111276,GSM7841584,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175695,SAMN37810170,simple,7227,Drosophila melanogaster,GSM7841584,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 WT 3,heads,heads,heads,WT,missing,missing
SRR26405643,21253701,6376110300,150,1871,SRX22111277,GSM7841585,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175696,SAMN37810169,simple,7227,Drosophila melanogaster,GSM7841585,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 WT 4,heads,heads,heads,WT,missing,missing
SRR26405644,21205415,6361624500,150,1867,SRX22111278,GSM7841614,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175697,SAMN37810140,simple,7227,Drosophila melanogaster,GSM7841614,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,Ribo-Seq KDM5 Knockdown Input 1,heads,heads,neurons,elav;RPL3-FLAG;kdm5RNAI,missing,missing
SRR26405642,22030197,6609059100,150,1947,SRX22111279,GSM7841615,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175699,SAMN37810139,simple,7227,Drosophila melanogaster,GSM7841615,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,Ribo-Seq KDM5 Knockdown Input 2,heads,heads,neurons,elav;RPL3-FLAG;kdm5RNAI,missing,missing
SRR26405641,21123542,6337062600,150,1871,SRX22111280,GSM7841616,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175698,SAMN37810138,simple,7227,Drosophila melanogaster,GSM7841616,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,Ribo-Seq KDM5 Knockdown Input 3,heads,heads,neurons,elav;RPL3-FLAG;kdm5RNAI,missing,missing
