Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,batch,geo_loc_name,collection_date
SRR28818878,32347619,9704285700,150,3916,SRX24381911,GSM8239130,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138145,SAMN41097672,simple,10090,Mus musculus,GSM8239130,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Proper,"Day 0, IP, ONP, Replicate 5",Optic Nerve Proper,Optic Nerve Proper,1,missing,missing
SRR28818877,16773040,5031912000,150,1627,SRX24381912,GSM8239131,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138146,SAMN41097671,simple,10090,Mus musculus,GSM8239131,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Proper,"Day 0, IP, ONP, Replicate 6",Optic Nerve Proper,Optic Nerve Proper,1,missing,missing
SRR28818876,26382646,7914793800,150,2522,SRX24381913,GSM8239132,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138147,SAMN41097670,simple,10090,Mus musculus,GSM8239132,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Head,"Day 0, IP, ONH, Replicate 7",Optic Nerve Head,Optic Nerve Head,2,missing,missing
SRR28818875,18314911,5494473300,150,1741,SRX24381914,GSM8239133,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138148,SAMN41097669,simple,10090,Mus musculus,GSM8239133,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Proper,"Day 0, IP, ONP, Replicate 7",Optic Nerve Proper,Optic Nerve Proper,2,missing,missing
SRR28818874,19239348,5771804400,150,1827,SRX24381915,GSM8239134,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138150,SAMN41097668,simple,10090,Mus musculus,GSM8239134,Harvard University,SRA1854469,05,2024,Smela,Retina,"Day 0, Input, Retina, Replicate 1",Retina,Retina,2,missing,missing
SRR28818873,18353708,5506112400,150,1741,SRX24381916,GSM8239135,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138149,SAMN41097667,simple,10090,Mus musculus,GSM8239135,Harvard University,SRA1854469,05,2024,Smela,Retina,"Day 0, Input, Retina, Replicate 2",Retina,Retina,2,missing,missing
SRR28818872,18077281,5423184300,150,1712,SRX24381917,GSM8239136,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138151,SAMN41097666,simple,10090,Mus musculus,GSM8239136,Harvard University,SRA1854469,05,2024,Smela,Retina,"Day 0, Input, Retina, Replicate 3",Retina,Retina,2,missing,missing
SRR28818871,18860008,5658002400,150,1777,SRX24381918,GSM8239137,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138155,SAMN41097665,simple,10090,Mus musculus,GSM8239137,Harvard University,SRA1854469,05,2024,Smela,Retina,"Day 0, Input, Retina, Replicate 4",Retina,Retina,2,missing,missing
SRR28818870,23252520,6975756000,150,2186,SRX24381919,GSM8239138,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138156,SAMN41097664,simple,10090,Mus musculus,GSM8239138,Harvard University,SRA1854469,05,2024,Smela,Retina,"Day 0, Input, Retina, Replicate 5",Retina,Retina,2,missing,missing
SRR28818869,23446099,7033829700,150,2211,SRX24381920,GSM8239139,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138152,SAMN41097663,simple,10090,Mus musculus,GSM8239139,Harvard University,SRA1854469,05,2024,Smela,Retina,"Day 0, Input, Retina, Replicate 6",Retina,Retina,2,missing,missing
SRR28818868,30708755,9212626500,150,2891,SRX24381921,GSM8239140,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138154,SAMN41097662,simple,10090,Mus musculus,GSM8239140,Harvard University,SRA1854469,05,2024,Smela,Retina,"Day 0, IP, Retina, Replicate 1",Retina,Retina,2,missing,missing
SRR28818867,30192681,9057804300,150,2887,SRX24381922,GSM8239141,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138153,SAMN41097661,simple,10090,Mus musculus,GSM8239141,Harvard University,SRA1854469,05,2024,Smela,Retina,"Day 0, IP, Retina, Replicate 2",Retina,Retina,2,missing,missing
SRR28818866,23985218,7195565400,150,2284,SRX24381923,GSM8239142,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138157,SAMN41097660,simple,10090,Mus musculus,GSM8239142,Harvard University,SRA1854469,05,2024,Smela,Retina,"Day 0, IP, Retina, Replicate 3",Retina,Retina,2,missing,missing
SRR28818865,23283508,6985052400,150,2213,SRX24381924,GSM8239143,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138158,SAMN41097659,simple,10090,Mus musculus,GSM8239143,Harvard University,SRA1854469,05,2024,Smela,Retina,"Day 0, IP, Retina, Replicate 4",Retina,Retina,2,missing,missing
SRR28818864,19853102,5955930600,150,1895,SRX24381925,GSM8239144,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138159,SAMN41097658,simple,10090,Mus musculus,GSM8239144,Harvard University,SRA1854469,05,2024,Smela,Retina,"Day 0, IP, Retina, Replicate 5",Retina,Retina,2,missing,missing
SRR28818863,17895511,5368653300,150,1699,SRX24381926,GSM8239145,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138160,SAMN41097657,simple,10090,Mus musculus,GSM8239145,Harvard University,SRA1854469,05,2024,Smela,Retina,"Day 0, IP, Retina, Replicate 6",Retina,Retina,2,missing,missing
