Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,shRNA,cell type,treatment,geo_loc_name,collection_date
SRR27012945,30923644,2319273300,75,867,SRX22705621,GSM7927055,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697925,SAMN38562250,simple,9606,Homo sapiens,GSM7927055,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, uninduced, repl 3 [2B1_3A_min_Tot_3_c]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012944,16930905,1269817875,75,481,SRX22705622,GSM7927056,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697926,SAMN38562249,simple,9606,Homo sapiens,GSM7927056,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, uninduced, repl 4 [2B1_3A_min_Tot_4]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012943,11098031,832352325,75,299,SRX22705623,GSM7927057,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697927,SAMN38562248,simple,9606,Homo sapiens,GSM7927057,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, induced, repl 1 [2B1_3A_plus_Tot_1]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012942,12212057,915904275,75,338,SRX22705624,GSM7927058,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697928,SAMN38562247,simple,9606,Homo sapiens,GSM7927058,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, induced, repl 2 [2B1_3A_plus_Tot_2]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012941,32802883,2460216225,75,921,SRX22705625,GSM7927059,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697929,SAMN38562246,simple,9606,Homo sapiens,GSM7927059,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, induced, repl 3 [2B1_3A_plus_Tot_3_c]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012940,19783295,1483747125,75,563,SRX22705626,GSM7927060,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697930,SAMN38562245,simple,9606,Homo sapiens,GSM7927060,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, induced, repl 4 [2B1_3A_plus_Tot_4]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012939,11871696,890377200,75,324,SRX22705627,GSM7927061,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697931,SAMN38562244,simple,9606,Homo sapiens,GSM7927061,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, uninduced, repl 1 [2B4_2_min_Tot_1]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012938,43038272,3227870400,75,1198,SRX22705628,GSM7927078,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697932,SAMN38562227,simple,9606,Homo sapiens,GSM7927078,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, uninduced, repl 2 [2B1_3A_min_RPF_2]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012937,97080307,7281023025,75,2702,SRX22705629,GSM7927079,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697933,SAMN38562226,simple,9606,Homo sapiens,GSM7927079,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, uninduced, repl 3 [2B1_3A_min_RPF_3_c]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012936,32210310,2415773250,75,928,SRX22705630,GSM7927080,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697934,SAMN38562225,simple,9606,Homo sapiens,GSM7927080,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, uninduced, repl 4 [2B1_3A_min_RPF_4]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012935,35617272,2671295400,75,958,SRX22705631,GSM7927081,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697935,SAMN38562224,simple,9606,Homo sapiens,GSM7927081,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, induced, repl 1 [2B1_3A_plus_RPF_1]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012934,39147482,2936061150,75,1084,SRX22705632,GSM7927082,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697936,SAMN38562223,simple,9606,Homo sapiens,GSM7927082,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, induced, repl 2 [2B1_3A_plus_RPF_2]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012933,42691238,3201842850,75,1213,SRX22705633,GSM7927083,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697937,SAMN38562222,simple,9606,Homo sapiens,GSM7927083,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, induced, repl 3 [2B1_3A_plus_RPF_3_c]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012932,31944428,2395832100,75,901,SRX22705634,GSM7927084,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697938,SAMN38562221,simple,9606,Homo sapiens,GSM7927084,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, induced, repl 4 [2B1_3A_plus_RPF_4]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012931,22050667,1653800025,75,597,SRX22705635,GSM7927085,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697939,SAMN38562220,simple,9606,Homo sapiens,GSM7927085,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, uninduced, repl 1 [2B4_2_min_RPF_1]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012930,13420957,1006571775,75,377,SRX22705636,GSM7927062,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697940,SAMN38562243,simple,9606,Homo sapiens,GSM7927062,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, uninduced, repl 2 [2B4_2_min_Tot_2]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012929,33053146,2478985950,75,924,SRX22705637,GSM7927063,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697941,SAMN38562242,simple,9606,Homo sapiens,GSM7927063,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, uninduced, repl 3 [2B4_2_min_Tot_3_c]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012928,16336461,1225234575,75,468,SRX22705638,GSM7927064,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697942,SAMN38562241,simple,9606,Homo sapiens,GSM7927064,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, uninduced, repl 4 [2B4_2_min_Tot_4]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012927,10384784,778858800,75,282,SRX22705639,GSM7927065,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697943,SAMN38562240,simple,9606,Homo sapiens,GSM7927065,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, induced, repl 1 [2B4_2_plus_Tot_1]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012926,12306548,922991100,75,344,SRX22705640,GSM7927066,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697944,SAMN38562239,simple,9606,Homo sapiens,GSM7927066,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, induced, repl 2 [2B4_2_plus_Tot_2]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012925,31597593,2369819475,75,882,SRX22705641,GSM7927067,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697945,SAMN38562238,simple,9606,Homo sapiens,GSM7927067,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, induced, repl 3 [2B4_2_plus_Tot_3_c]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012924,13256598,994244850,75,381,SRX22705642,GSM7927068,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697946,SAMN38562237,simple,9606,Homo sapiens,GSM7927068,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, induced, repl 4 [2B4_2_plus_Tot_4]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012923,35012523,2625939225,75,936,SRX22705643,GSM7927069,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697947,SAMN38562236,simple,9606,Homo sapiens,GSM7927069,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, uninduced, repl 1 [NTC_min_RPF_1]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012922,46458530,3484389750,75,1291,SRX22705644,GSM7927070,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697948,SAMN38562235,simple,9606,Homo sapiens,GSM7927070,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, uninduced, repl 2 [NTC_min_RPF_2]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012921,70943651,5320773825,75,1971,SRX22705645,GSM7927071,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697949,SAMN38562234,simple,9606,Homo sapiens,GSM7927071,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, uninduced, repl 3 [NTC_min_RPF_3_c]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012920,35102434,2632682550,75,995,SRX22705646,GSM7927072,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697950,SAMN38562233,simple,9606,Homo sapiens,GSM7927072,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, uninduced, repl 4 [NTC_min_RPF_4]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012919,33432694,2507452050,75,892,SRX22705647,GSM7927073,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697951,SAMN38562232,simple,9606,Homo sapiens,GSM7927073,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, induced, repl 1 [NTC_plus_RPF_1]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012918,41444162,3108312150,75,1143,SRX22705648,GSM7927074,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697952,SAMN38562231,simple,9606,Homo sapiens,GSM7927074,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, induced, repl 2 [NTC_plus_RPF_2]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012917,101661134,7624585050,75,2836,SRX22705649,GSM7927075,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697953,SAMN38562230,simple,9606,Homo sapiens,GSM7927075,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, induced, repl 3 [NTC_plus_RPF_3_c]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012916,55404245,4155318375,75,1564,SRX22705650,GSM7927076,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697954,SAMN38562229,simple,9606,Homo sapiens,GSM7927076,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, induced, repl 4 [NTC_plus_RPF_4]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012915,44150685,3311301375,75,1184,SRX22705651,GSM7927077,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697955,SAMN38562228,simple,9606,Homo sapiens,GSM7927077,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, uninduced, repl 1 [2B1_3A_min_RPF_1]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012914,37394078,2804555850,75,1041,SRX22705652,GSM7927086,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697956,SAMN38562219,simple,9606,Homo sapiens,GSM7927086,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, uninduced, repl 2 [2B4_2_min_RPF_2]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012913,87904023,6592801725,75,2444,SRX22705653,GSM7927087,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697957,SAMN38562218,simple,9606,Homo sapiens,GSM7927087,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, uninduced, repl 3 [2B4_2_min_RPF_3_c]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012912,39133306,2934997950,75,1100,SRX22705654,GSM7927088,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697958,SAMN38562217,simple,9606,Homo sapiens,GSM7927088,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, uninduced, repl 4 [2B4_2_min_RPF_4]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012911,17611587,1320869025,75,471,SRX22705655,GSM7927089,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697959,SAMN38562216,simple,9606,Homo sapiens,GSM7927089,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, induced, repl 1 [2B4_2_plus_RPF_1]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012910,28246120,2118459000,75,776,SRX22705656,GSM7927090,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697960,SAMN38562215,simple,9606,Homo sapiens,GSM7927090,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, induced, repl 2 [2B4_2_plus_RPF_2]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012909,69465377,5209903275,75,1941,SRX22705657,GSM7927091,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697961,SAMN38562214,simple,9606,Homo sapiens,GSM7927091,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, induced, repl 3 [2B4_2_plus_RPF_3_c]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012908,21707808,1628085600,75,619,SRX22705658,GSM7927092,RNA-Seq,cDNA,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697962,SAMN38562213,simple,9606,Homo sapiens,GSM7927092,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B4, induced, repl 4 [2B4_2_plus_RPF_4]",Colon,Colon,SW480,inducible shEIF2B4,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
