Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,tissue,cell type,rrna depletion,treatment,treatment,geo_loc_name,collection_date,strain,age,Sex
SRR24746799,12628909,260519242,20,426,SRX20523887,GSM7430294,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833475,SAMN35438926,simple,9606,Homo sapiens,GSM7430294,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_Kera2,cultures,HEKn,cultures,human keratynocyte cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746798,23864420,502208582,21,808,SRX20523888,GSM7430295,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833478,SAMN35438925,simple,9606,Homo sapiens,GSM7430295,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_Fibro1,cultures,HDFn,cultures,human fibrobrast cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746797,31966499,629489369,19,1069,SRX20523889,GSM7430296,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833476,SAMN35438924,simple,9606,Homo sapiens,GSM7430296,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_Fibro2,cultures,HDFn,cultures,human fibrobrast cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746796,17045249,4816709667,147,2399,SRX20523890,GSM7430297,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833477,SAMN35438923,simple,9606,Homo sapiens,GSM7430297,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_IPSC1,cultures,409B2,cultures,human iPS cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746787,36018224,707173767,19,1212,SRX20523899,GSM7430266,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833487,SAMN35438954,simple,9606,Homo sapiens,GSM7430266,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HS_2_0.5,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,Heatshock 2h and Recovery 0.5 h,None,missing,missing,,,
SRR24746786,27827605,527074427,18,930,SRX20523900,GSM7430267,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833489,SAMN35438953,simple,9606,Homo sapiens,GSM7430267,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HS_2_1,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,Heatshock 2h and Recovery 1 h,None,missing,missing,,,
SRR24746785,29561447,655818867,22,1017,SRX20523901,GSM7430268,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833488,SAMN35438952,simple,9606,Homo sapiens,GSM7430268,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HS_2_4,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,Heatshock 2h and Recovery 4 h,None,missing,missing,,,
SRR24746784,10036358,2765058935,137,1044,SRX20523902,GSM7430269,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833490,SAMN35438951,simple,9606,Homo sapiens,GSM7430269,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_HS_CT1,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,control condtion,None,missing,missing,,,
SRR24746783,10956697,3081105866,140,1181,SRX20523903,GSM7430270,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833491,SAMN35438950,simple,9606,Homo sapiens,GSM7430270,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_HS_CT2,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,control condtion,None,missing,missing,,,
SRR24746782,9227732,2554679284,138,980,SRX20523904,GSM7430271,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833492,SAMN35438949,simple,9606,Homo sapiens,GSM7430271,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_HS_0.5,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,Heatshock 0.5 h,None,missing,missing,,,
SRR24746781,8584623,2423752914,140,930,SRX20523905,GSM7430272,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833495,SAMN35438948,simple,9606,Homo sapiens,GSM7430272,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_HS_1,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,Heatshock 1h,None,missing,missing,,,
SRR24746780,8496580,2390914232,139,924,SRX20523906,GSM7430273,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833493,SAMN35438947,simple,9606,Homo sapiens,GSM7430273,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_HS_2,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,Heatshock 2h,None,missing,missing,,,
SRR24746779,17842184,5019173400,146,2514,SRX20523907,GSM7430298,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833494,SAMN35438922,simple,9606,Homo sapiens,GSM7430298,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_IPSC2,cultures,409B3,cultures,human iPS cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746778,18390128,5245102939,149,2710,SRX20523908,GSM7430299,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833496,SAMN35438921,simple,9606,Homo sapiens,GSM7430299,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_Mela1,cultures,HEMn-DP,cultures,human melanocyte cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746777,15276334,4305355484,147,2165,SRX20523909,GSM7430300,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833497,SAMN35438920,simple,9606,Homo sapiens,GSM7430300,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_Mela2,cultures,HEMn-DP,cultures,human melanocyte cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746776,15138299,4165797518,143,2053,SRX20523910,GSM7430301,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833498,SAMN35438919,simple,9606,Homo sapiens,GSM7430301,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_Kera1,cultures,HEKn,cultures,human keratynocyte cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746775,13933404,3750243742,139,1871,SRX20523911,GSM7430302,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833500,SAMN35438918,simple,9606,Homo sapiens,GSM7430302,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_Kera2,cultures,HEKn,cultures,human keratynocyte cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746774,14342169,3747134240,133,1914,SRX20523912,GSM7430303,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833499,SAMN35438917,simple,9606,Homo sapiens,GSM7430303,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_Fibro1,cultures,HDFn,cultures,human fibrobrast cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746773,16669631,3623955620,108,1855,SRX20523913,GSM7430304,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833501,SAMN35438916,simple,9606,Homo sapiens,GSM7430304,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_Fibro2,cultures,HDFn,cultures,human fibrobrast cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746772,53588056,1393098148,26,1779,SRX20523914,GSM7430305,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833502,SAMN35438915,simple,9606,Homo sapiens,GSM7430305,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_Harringtonin_0s_1,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,control condtion,2 ug/ml harringtonine,missing,missing,,,
SRR24746764,16897009,406355214,24,558,SRX20523922,GSM7430249,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833509,SAMN35438971,simple,9606,Homo sapiens,GSM7430249,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_DMSO1,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,DMSO,DMSO,missing,missing,,,
SRR24746763,10382199,2828786236,135,1074,SRX20523923,GSM7430274,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833510,SAMN35438946,simple,9606,Homo sapiens,GSM7430274,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_HS_2_0.5,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,Heatshock 2h and Recovery 0.5 h,None,missing,missing,,,
SRR24746762,9789273,2752869925,140,1041,SRX20523924,GSM7430275,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833512,SAMN35438945,simple,9606,Homo sapiens,GSM7430275,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_HS_2_1,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,Heatshock 2h and Recovery 1 h,None,missing,missing,,,
SRR24746761,9706669,2692293592,138,1022,SRX20523925,GSM7430276,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833513,SAMN35438944,simple,9606,Homo sapiens,GSM7430276,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_HS_2_4,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,Heatshock 2h and Recovery 4 h,None,missing,missing,,,
SRR24746760,53105641,1126386886,21,1695,SRX20523926,GSM7430277,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833514,SAMN35438943,simple,10090,Mus musculus,GSM7430277,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,mouse forebrain,Ribo_F_Y1,mouse forebrain,,mouse forebrain,,Ribo zero and Ribo-Filterout,None,None,missing,missing,C57BL/6J,Young,male
SRR24746759,100533096,2018578941,20,3179,SRX20523927,GSM7430278,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833516,SAMN35438942,simple,10090,Mus musculus,GSM7430278,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,mouse forebrain,Ribo_F_Y2,mouse forebrain,,mouse forebrain,,Ribo zero and Ribo-Filterout,None,None,missing,missing,C57BL/6J,Young,male
SRR24746758,35659212,729282764,20,1132,SRX20523928,GSM7430279,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833515,SAMN35438941,simple,10090,Mus musculus,GSM7430279,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,mouse forebrain,Ribo_F_Y3,mouse forebrain,,mouse forebrain,,Ribo zero and Ribo-Filterout,None,None,missing,missing,C57BL/6J,Young,male
SRR24746757,23033640,463825951,20,730,SRX20523929,GSM7430280,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833517,SAMN35438940,simple,10090,Mus musculus,GSM7430280,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,mouse forebrain,Ribo_F_O1,mouse forebrain,,mouse forebrain,,Ribo zero and Ribo-Filterout,None,None,missing,missing,C57BL/6J,Aged,male
SRR24746756,33720520,648101267,19,1054,SRX20523930,GSM7430281,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833518,SAMN35438939,simple,10090,Mus musculus,GSM7430281,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,mouse forebrain,Ribo_F_O2,mouse forebrain,,mouse forebrain,,Ribo zero and Ribo-Filterout,None,None,missing,missing,C57BL/6J,Aged,male
SRR24746755,102020403,2714529847,26,3399,SRX20523931,GSM7430306,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833519,SAMN35438914,simple,9606,Homo sapiens,GSM7430306,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_Harringtonin_0s_2,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,control condtion,2 ug/ml harringtonine,missing,missing,,,
SRR24746754,50674605,1220061307,24,1650,SRX20523932,GSM7430307,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833522,SAMN35438913,simple,9606,Homo sapiens,GSM7430307,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_Harringtonin_60s_1,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,"2 ug/ml harringtonine,60s",2 ug/ml harringtonine,missing,missing,,,
