Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,biomaterial_provider,sex,tissue,cell_line,cell_subtype,BioSampleModel,disease
SRR27992951,50725979,2536298926,50,748,SRX23645677,20220510_D425_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454490,SAMN34359879,simple,9606,Homo sapiens,D425,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D425,D425,ATCC,not provided,Brain,D425,Medulloblastoma,Human,
SRR27992950,161627454,8081372700,50,2504,SRX23645678,20220504_R256_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454497,SAMN34359887,simple,9606,Homo sapiens,R256,University of Michigan,SRA1803531,12,2024,Clauwaert,"",R256,R256,Broad Institute,not provided,Brain,R256,Medulloblastoma,Human,
SRR27992949,213179238,10658961900,50,3147,SRX23645679,20220510_D458_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454504,SAMN34359878,simple,9606,Homo sapiens,D458,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D458,D458,ATCC,not provided,Brain,D458,Medulloblastoma,Human,
SRR27992948,177222045,8861102250,50,2744,SRX23645680,20220504_ONS76_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454496,SAMN34359888,simple,9606,Homo sapiens,ONS76,University of Michigan,SRA1803531,12,2024,Clauwaert,"",ONS76,ONS76,Broad Institute,not provided,Brain,ONS76,Medulloblastoma,Human,
SRR27992947,215697358,10784867900,50,3297,SRX23645681,20220222_D341_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454505,SAMN34359880,simple,9606,Homo sapiens,D341,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D341,D341,ATCC,not provided,Brain,D341,Medulloblastoma,Human,
SRR27992946,138817450,6940872500,50,2176,SRX23645682,20220504_DAOY_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454507,SAMN34359890,simple,9606,Homo sapiens,DAOY,University of Michigan,SRA1803531,12,2024,Clauwaert,"",DAOY,DAOY,ATCC,not provided,Brain,DAOY,Medulloblastoma,Human,
SRR27992945,529622235,26481111750,50,8107,SRX23645683,20220131_D384_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454503,SAMN34359882,simple,9606,Homo sapiens,D384,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D384,D384,Broad Institute,not provided,Brain,D384,Medulloblastoma,Human,
SRR27992944,532504907,26625245350,50,7985,SRX23645684,20220613_CHLA-259_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454502,SAMN34359891,simple,9606,Homo sapiens,CHLA-259,University of Michigan,SRA1803531,12,2024,Clauwaert,"",CHLA-259,CHLA-259,Children's Oncology Source,not provided,Brain,CHLA-259,Medulloblastoma,Human,
SRR27992943,159387562,7969378100,50,2498,SRX23645685,20220510_D458_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454504,SAMN34359878,simple,9606,Homo sapiens,D458,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D458,D458,ATCC,not provided,Brain,D458,Medulloblastoma,Human,
SRR27992942,159628974,7981448700,50,2469,SRX23645686,20220504_UW228_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454499,SAMN34359889,simple,9606,Homo sapiens,UW228,University of Michigan,SRA1803531,12,2024,Clauwaert,"",UW228,UW228,Broad Institute,not provided,Brain,UW228,Medulloblastoma,Human,
SRR27992941,6697682,334884100,50,110,SRX23645687,20220131_D458_DMSO_1,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454504,SAMN34359878,simple,9606,Homo sapiens,D458,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D458,D458,ATCC,not provided,Brain,D458,Medulloblastoma,Human,
SRR27992940,299493046,14974652300,50,4460,SRX23645688,20220818_Med2112_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454500,SAMN34359884,simple,9606,Homo sapiens,Med2112,University of Michigan,SRA1803531,12,2024,Clauwaert,"",Med2112,Med2112,Broad Institute,not provided,Brain,Med2112,Medulloblastoma,Human,
SRR27992939,202494784,10124739200,50,3212,SRX23645689,20220504_R262_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454498,SAMN34359886,simple,9606,Homo sapiens,R262,University of Michigan,SRA1803531,12,2024,Clauwaert,"",R262,R262,Broad Institute,not provided,Brain,R262,Medulloblastoma,Human,
SRR27992938,82592567,4129628350,50,1113,SRX23645690,20211215_CHLA-01-MEDR_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS20479497,SAMN34250959,simple,9606,Homo sapiens,CHLA-01-MEDR,University of Michigan,SRA1803531,12,2024,Clauwaert,"",CHLA-01-MEDR from Homo sapiens,CHLA-01-MEDR,ATCC,missing,Brain,CHLA-01-MEDR,,Human,Medulloblastoma
SRR27992937,269547863,13477393150,50,4050,SRX23645691,20220613_MB002_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454508,SAMN34359885,simple,9606,Homo sapiens,SUMB002,University of Michigan,SRA1803531,12,2024,Clauwaert,"",SUMB002,SUMB002,Broad Institute,not provided,Brain,MB002,Medulloblastoma,Human,
SRR27992936,240132897,12006644850,50,3684,SRX23645692,20211215_CHLA-259_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454502,SAMN34359891,simple,9606,Homo sapiens,CHLA-259,University of Michigan,SRA1803531,12,2024,Clauwaert,"",CHLA-259,CHLA-259,Children's Oncology Source,not provided,Brain,CHLA-259,Medulloblastoma,Human,
SRR27992935,100765614,5038280684,50,1487,SRX23645693,20211215_CHLA-01-MEDR_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS20479497,SAMN34250959,simple,9606,Homo sapiens,CHLA-01-MEDR,University of Michigan,SRA1803531,12,2024,Clauwaert,"",CHLA-01-MEDR from Homo sapiens,CHLA-01-MEDR,ATCC,missing,Brain,CHLA-01-MEDR,,Human,Medulloblastoma
SRR27992934,170805055,8540252750,50,2843,SRX23645694,20220131_CHLA-259_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454502,SAMN34359891,simple,9606,Homo sapiens,CHLA-259,University of Michigan,SRA1803531,12,2024,Clauwaert,"",CHLA-259,CHLA-259,Children's Oncology Source,not provided,Brain,CHLA-259,Medulloblastoma,Human,
SRR27992933,343235864,17161793200,50,3563,SRX23645695,20211215_D458_DMSO_1,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454504,SAMN34359878,simple,9606,Homo sapiens,D458,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D458,D458,ATCC,not provided,Brain,D458,Medulloblastoma,Human,
SRR27992932,198278792,9913939600,50,3052,SRX23645696,20220504_D283_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454506,SAMN34359881,simple,9606,Homo sapiens,D283Med,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D283Med,D283Med,ATCC,not provided,Brain,D283Med,Medulloblastoma,Human,
SRR27992931,188260933,9413046650,50,2973,SRX23645697,20220613_Med411_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454501,SAMN34359883,simple,9606,Homo sapiens,Med411,University of Michigan,SRA1803531,12,2024,Clauwaert,"",Med411,Med411,Broad Institute,not provided,Brain,Med411,Medulloblastoma,Human,
SRR27992930,125263028,6263151400,50,1962,SRX23645698,20220504_D384_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454503,SAMN34359882,simple,9606,Homo sapiens,D384,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D384,D384,Broad Institute,not provided,Brain,D384,Medulloblastoma,Human,
SRR27992929,128692863,6434643150,50,1956,SRX23645699,20211215_D458_DMSO_2,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454504,SAMN34359878,simple,9606,Homo sapiens,D458,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D458,D458,ATCC,not provided,Brain,D458,Medulloblastoma,Human,
SRR27992928,141990305,7099515250,50,1688,SRX23645700,20220131_D458_DMSO_2,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454504,SAMN34359878,simple,9606,Homo sapiens,D458,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D458,D458,ATCC,not provided,Brain,D458,Medulloblastoma,Human,
SRR27992927,341368147,17068407350,50,4859,SRX23645701,20220613_CHLA_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS20479497,SAMN34250959,simple,9606,Homo sapiens,CHLA-01-MEDR,University of Michigan,SRA1803531,12,2024,Clauwaert,"",CHLA-01-MEDR from Homo sapiens,CHLA-01-MEDR,ATCC,missing,Brain,CHLA-01-MEDR,,Human,Medulloblastoma
SRR27992926,233034559,11651727950,50,3544,SRX23645702,20211215_D384_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454503,SAMN34359882,simple,9606,Homo sapiens,D384,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D384,D384,Broad Institute,not provided,Brain,D384,Medulloblastoma,Human,
SRR27992925,167763592,8388179600,50,2585,SRX23645703,20220504_D384_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454503,SAMN34359882,simple,9606,Homo sapiens,D384,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D384,D384,Broad Institute,not provided,Brain,D384,Medulloblastoma,Human,
SRR27992924,227317325,11365866250,50,3487,SRX23645704,20220510_D283_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454506,SAMN34359881,simple,9606,Homo sapiens,D283Med,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D283Med,D283Med,ATCC,not provided,Brain,D283Med,Medulloblastoma,Human,
SRR27992923,167332369,8366618450,50,2627,SRX23645705,20220504_UW228_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454499,SAMN34359889,simple,9606,Homo sapiens,UW228,University of Michigan,SRA1803531,12,2024,Clauwaert,"",UW228,UW228,Broad Institute,not provided,Brain,UW228,Medulloblastoma,Human,
SRR27992922,178170430,8908521500,50,2686,SRX23645706,20220504_ONS76_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454496,SAMN34359888,simple,9606,Homo sapiens,ONS76,University of Michigan,SRA1803531,12,2024,Clauwaert,"",ONS76,ONS76,Broad Institute,not provided,Brain,ONS76,Medulloblastoma,Human,
SRR27992921,86163151,4308157548,50,1304,SRX23645707,20220504_R262_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454498,SAMN34359886,simple,9606,Homo sapiens,R262,University of Michigan,SRA1803531,12,2024,Clauwaert,"",R262,R262,Broad Institute,not provided,Brain,R262,Medulloblastoma,Human,
