Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,sirna,time point,geo_loc_name,collection_date,cell type,transfection,antibody
SRR20374482,52150214,5215021400,100,3015,SRX16407273,GSM6372295,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044058,SAMN29881668,simple,9606,Homo sapiens,GSM6372295,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siNOP56_rep1_12h,HEK293T cell line,HEK293T,siNOP56,12h,missing,missing,,,
SRR20374481,52437376,5243737600,100,2983,SRX16407274,GSM6372296,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044060,SAMN29881667,simple,9606,Homo sapiens,GSM6372296,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siNOP56_rep1_24h,HEK293T cell line,HEK293T,siNOP56,24h,missing,missing,,,
SRR20374480,52217272,5221727200,100,3012,SRX16407275,GSM6372297,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044062,SAMN29881666,simple,9606,Homo sapiens,GSM6372297,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siNOP56_rep1_6h,HEK293T cell line,HEK293T,siNOP56,6h,missing,missing,,,
SRR20374479,52656122,5265612200,100,3018,SRX16407276,GSM6372298,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044061,SAMN29881665,simple,9606,Homo sapiens,GSM6372298,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siNOP56_rep2_0h,HEK293T cell line,HEK293T,siNOP56,0h,missing,missing,,,
SRR20374478,52543296,5254329600,100,3048,SRX16407277,GSM6372299,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044063,SAMN29881664,simple,9606,Homo sapiens,GSM6372299,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siNOP56_rep2_12h,HEK293T cell line,HEK293T,siNOP56,12h,missing,missing,,,
SRR20374477,52245458,5224545800,100,2993,SRX16407278,GSM6372300,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044065,SAMN29881663,simple,9606,Homo sapiens,GSM6372300,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siNOP56_rep2_24h,HEK293T cell line,HEK293T,siNOP56,24h,missing,missing,,,
SRR20374476,52578214,5257821400,100,3023,SRX16407279,GSM6372301,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044064,SAMN29881662,simple,9606,Homo sapiens,GSM6372301,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siNOP56_rep2_6h,HEK293T cell line,HEK293T,siNOP56,6h,missing,missing,,,
SRR20374475,142728272,14272827200,100,8769,SRX16407280,GSM6372302,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044066,SAMN29881661,simple,9606,Homo sapiens,GSM6372302,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siCTRL_1_0h,C4-2 Cell line,C4-2,siCTRL,0h,missing,missing,,,
SRR20374474,144117334,14411733400,100,8767,SRX16407281,GSM6372303,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044068,SAMN29881660,simple,9606,Homo sapiens,GSM6372303,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siCTRL_1_12h,C4-2 Cell line,C4-2,siCTRL,12h,missing,missing,,,
SRR20374473,143722790,14372279000,100,8836,SRX16407282,GSM6372304,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044067,SAMN29881659,simple,9606,Homo sapiens,GSM6372304,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siCTRL_1_3h,C4-2 Cell line,C4-2,siCTRL,3h,missing,missing,,,
SRR20374472,145666526,14566652600,100,8960,SRX16407283,GSM6372305,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044069,SAMN29881658,simple,9606,Homo sapiens,GSM6372305,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siCTRL_1_6h,C4-2 Cell line,C4-2,siCTRL,6h,missing,missing,,,
SRR20374471,142397474,14239747400,100,7962,SRX16407284,GSM6372306,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044070,SAMN29881657,simple,9606,Homo sapiens,GSM6372306,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siCTRL_2_0h,C4-2 Cell line,C4-2,siCTRL,0h,missing,missing,,,
SRR20374470,124244858,12424485800,100,7509,SRX16407285,GSM6372307,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044071,SAMN29881656,simple,9606,Homo sapiens,GSM6372307,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siCTRL_2_12h,C4-2 Cell line,C4-2,siCTRL,12h,missing,missing,,,
SRR20374469,145013732,14501373200,100,8869,SRX16407286,GSM6372308,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044072,SAMN29881655,simple,9606,Homo sapiens,GSM6372308,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siCTRL_2_3h,C4-2 Cell line,C4-2,siCTRL,3h,missing,missing,,,
SRR20374468,144428400,14442840000,100,8836,SRX16407287,GSM6372309,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044073,SAMN29881654,simple,9606,Homo sapiens,GSM6372309,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siCTRL_2_6h,C4-2 Cell line,C4-2,siCTRL,6h,missing,missing,,,
SRR20374467,142628834,14262883400,100,8698,SRX16407288,GSM6372310,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044074,SAMN29881653,simple,9606,Homo sapiens,GSM6372310,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siFBL_1_0h,C4-2 Cell line,C4-2,siFBL,0h,missing,missing,,,
SRR20374466,144124496,14412449600,100,8613,SRX16407289,GSM6372311,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044075,SAMN29881652,simple,9606,Homo sapiens,GSM6372311,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siFBL_1_12h,C4-2 Cell line,C4-2,siFBL,12h,missing,missing,,,
SRR20374465,143449092,14344909200,100,8849,SRX16407290,GSM6372312,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044076,SAMN29881651,simple,9606,Homo sapiens,GSM6372312,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siFBL_1_3h,C4-2 Cell line,C4-2,siFBL,3h,missing,missing,,,
SRR20374464,142140014,14214001400,100,8654,SRX16407291,GSM6372313,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044077,SAMN29881650,simple,9606,Homo sapiens,GSM6372313,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siFBL_1_6h,C4-2 Cell line,C4-2,siFBL,6h,missing,missing,,,
SRR20374463,143287230,14328723000,100,8739,SRX16407292,GSM6372314,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044078,SAMN29881649,simple,9606,Homo sapiens,GSM6372314,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siFBL_2_0h,C4-2 Cell line,C4-2,siFBL,0h,missing,missing,,,
SRR20374462,144192822,14419282200,100,8636,SRX16407293,GSM6372315,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044079,SAMN29881648,simple,9606,Homo sapiens,GSM6372315,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siFBL_2_12h,C4-2 Cell line,C4-2,siFBL,12h,missing,missing,,,
SRR20374461,145462918,14546291800,100,8957,SRX16407294,GSM6372316,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044080,SAMN29881647,simple,9606,Homo sapiens,GSM6372316,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siFBL_2_3h,C4-2 Cell line,C4-2,siFBL,3h,missing,missing,,,
SRR20374460,143082116,14308211600,100,8816,SRX16407295,GSM6372317,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044081,SAMN29881646,simple,9606,Homo sapiens,GSM6372317,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,C4-2 Cell line,siFBL_2_6h,C4-2 Cell line,C4-2,siFBL,6h,missing,missing,,,
SRR21733655,93773628,9377362800,100,5050,SRX17729419,GSM6604100,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS15258839,SAMN31055746,simple,9606,Homo sapiens,GSM6604100,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508470,06,2024,Li,C4-2 Cell line,siCTRL_RIP1,C4-2 Cell line,C4-2 Cell line,,,missing,missing,prostate cancer,siCTRL,"anti-FBL (Abcam, Cat#ab5821)"
SRR21733654,93671772,9367177200,100,5039,SRX17729420,GSM6604101,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS15258840,SAMN31055745,simple,9606,Homo sapiens,GSM6604101,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508470,06,2024,Li,C4-2 Cell line,siCTRL_RIP2,C4-2 Cell line,C4-2 Cell line,,,missing,missing,prostate cancer,siCTRL,"anti-FBL (Abcam, Cat#ab5821)"
SRR21733653,72684472,7268447200,100,3975,SRX17729421,GSM6604102,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS15258841,SAMN31055744,simple,9606,Homo sapiens,GSM6604102,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508470,06,2024,Li,C4-2 Cell line,siCTRL_input1,C4-2 Cell line,C4-2 Cell line,,,missing,missing,prostate cancer,siCTRL,none
SRR21733652,73184862,7318486200,100,3981,SRX17729422,GSM6604103,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS15258842,SAMN31055743,simple,9606,Homo sapiens,GSM6604103,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508470,06,2024,Li,C4-2 Cell line,siCTRL_input2,C4-2 Cell line,C4-2 Cell line,,,missing,missing,prostate cancer,siCTRL,none
SRR27720328,63313501,6394663601,101,1870,SRX23386347,GSM8035298,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP387503,PRJNA861010,,"",SRS20247781,SAMN39602315,simple,9606,Homo sapiens,GSM8035298,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1791399,06,2024,Li,C4-2 Cell line,siCTRL C4-2 rep1_0h,C4-2 Cell line,C4-2 Cell line,siCTRL,0h,missing,missing,prostate cancer,,
SRR27720327,139537511,14093288611,101,4123,SRX23386348,GSM8035299,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP387503,PRJNA861010,,"",SRS20247782,SAMN39602314,simple,9606,Homo sapiens,GSM8035299,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1791399,06,2024,Li,C4-2 Cell line,siCTRL C4-2 rep1_12h,C4-2 Cell line,C4-2 Cell line,siCTRL,12h,missing,missing,prostate cancer,,
SRR27720326,55080637,5563144337,101,1617,SRX23386349,GSM8035300,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP387503,PRJNA861010,,"",SRS20247783,SAMN39602313,simple,9606,Homo sapiens,GSM8035300,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1791399,06,2024,Li,C4-2 Cell line,siCTRL C4-2 rep1_24h,C4-2 Cell line,C4-2 Cell line,siCTRL,24h,missing,missing,prostate cancer,,
SRR27720325,142484058,14390889858,101,4147,SRX23386350,GSM8035301,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP387503,PRJNA861010,,"",SRS20247784,SAMN39602312,simple,9606,Homo sapiens,GSM8035301,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1791399,06,2024,Li,C4-2 Cell line,siCTRL C4-2 rep1_6h,C4-2 Cell line,C4-2 Cell line,siCTRL,6h,missing,missing,prostate cancer,,
SRR27720324,55093462,5564439662,101,1631,SRX23386351,GSM8035302,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP387503,PRJNA861010,,"",SRS20247785,SAMN39602311,simple,9606,Homo sapiens,GSM8035302,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1791399,06,2024,Li,C4-2 Cell line,siCTRL C4-2 rep2_0h,C4-2 Cell line,C4-2 Cell line,siCTRL,0h,missing,missing,prostate cancer,,
SRR27720323,120697678,12190465478,101,3531,SRX23386352,GSM8035303,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP387503,PRJNA861010,,"",SRS20247786,SAMN39602310,simple,9606,Homo sapiens,GSM8035303,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1791399,06,2024,Li,C4-2 Cell line,siCTRL C4-2 rep2_12h,C4-2 Cell line,C4-2 Cell line,siCTRL,12h,missing,missing,prostate cancer,,
SRR27720322,75177012,7592878212,101,2208,SRX23386353,GSM8035304,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP387503,PRJNA861010,,"",SRS20247787,SAMN39602309,simple,9606,Homo sapiens,GSM8035304,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1791399,06,2024,Li,C4-2 Cell line,siCTRL C4-2 rep2_24h,C4-2 Cell line,C4-2 Cell line,siCTRL,24h,missing,missing,prostate cancer,,
SRR27720321,134568510,13591419510,101,3912,SRX23386354,GSM8035305,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP387503,PRJNA861010,,"",SRS20247788,SAMN39602308,simple,9606,Homo sapiens,GSM8035305,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1791399,06,2024,Li,C4-2 Cell line,siCTRL C4-2 rep2_6h,C4-2 Cell line,C4-2 Cell line,siCTRL,6h,missing,missing,prostate cancer,,
SRR27720320,59117284,5970845684,101,1730,SRX23386355,GSM8035306,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP387503,PRJNA861010,,"",SRS20247789,SAMN39602307,simple,9606,Homo sapiens,GSM8035306,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1791399,06,2024,Li,C4-2 Cell line,siFBL C4-2 rep1_0h,C4-2 Cell line,C4-2 Cell line,siFBL,0h,missing,missing,prostate cancer,,
SRR27720319,47245866,4771832466,101,1395,SRX23386356,GSM8035307,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP387503,PRJNA861010,,"",SRS20247790,SAMN39602306,simple,9606,Homo sapiens,GSM8035307,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1791399,06,2024,Li,C4-2 Cell line,siFBL C4-2 rep1_12h,C4-2 Cell line,C4-2 Cell line,siFBL,12h,missing,missing,prostate cancer,,
