Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,time,treatment,geo_loc_name,collection_date
SRR29477285,68352222,5194768872,76,1996,SRX24989183,GSM8339697,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690995,SAMN41934766,simple,9606,Homo sapiens,GSM8339697,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 72hr, rep2",WiT49,WiT49,Wilms tumor,72hr,DMSO,missing,missing
SRR29477284,96043420,7299299920,76,2771,SRX24989184,GSM8339698,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690996,SAMN41934765,simple,9606,Homo sapiens,GSM8339698,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 72hr, rep3",WiT49,WiT49,Wilms tumor,72hr,DMSO,missing,missing
SRR29477283,27987153,5653404906,101,1676,SRX24989185,GSM8339699,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690997,SAMN41934764,simple,9606,Homo sapiens,GSM8339699,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 2wk, rep1",WiT49,WiT49,Wilms tumor,2wk,actD,missing,missing
SRR29477282,30912540,6244333080,101,1864,SRX24989186,GSM8339700,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690999,SAMN41934763,simple,9606,Homo sapiens,GSM8339700,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 2wk, rep2",WiT49,WiT49,Wilms tumor,2wk,actD,missing,missing
SRR29477281,25111873,5072598346,101,1515,SRX24989187,GSM8339701,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690998,SAMN41934762,simple,9606,Homo sapiens,GSM8339701,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 2wk, rep3",WiT49,WiT49,Wilms tumor,2wk,actD,missing,missing
SRR29477280,30481940,6157351880,101,1824,SRX24989188,GSM8339702,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691000,SAMN41934761,simple,9606,Homo sapiens,GSM8339702,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 2wk, rep1",WiT49,WiT49,Wilms tumor,2wk,DMSO,missing,missing
SRR29477279,27397530,5534301060,101,1638,SRX24989189,GSM8339703,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691001,SAMN41934760,simple,9606,Homo sapiens,GSM8339703,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 2wk, rep2",WiT49,WiT49,Wilms tumor,2wk,DMSO,missing,missing
SRR29477278,25530312,5157123024,101,1510,SRX24989190,GSM8339704,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691002,SAMN41934759,simple,9606,Homo sapiens,GSM8339704,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 2wk, rep3",WiT49,WiT49,Wilms tumor,2wk,DMSO,missing,missing
SRR29477277,48615733,4180953038,86,1465,SRX24989191,GSM8339721,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691003,SAMN41934742,simple,9606,Homo sapiens,GSM8339721,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 2wk, rep2, riboseq",WiT49,WiT49,Wilms tumor,2wk,DMSO,missing,missing
SRR29477276,34946529,3005401494,86,1033,SRX24989192,GSM8339722,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691004,SAMN41934741,simple,9606,Homo sapiens,GSM8339722,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 2wk, rep3, riboseq",WiT49,WiT49,Wilms tumor,2wk,DMSO,missing,missing
SRR29477275,24236653,1841985628,76,666,SRX24989193,GSM8339705,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691005,SAMN41934758,simple,9606,Homo sapiens,GSM8339705,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 6hr, rep1, riboseq",WiT49,WiT49,Wilms tumor,6hr,actD,missing,missing
SRR29477274,18005601,1368425676,76,494,SRX24989194,GSM8339706,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691006,SAMN41934757,simple,9606,Homo sapiens,GSM8339706,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 6hr, rep2, riboseq",WiT49,WiT49,Wilms tumor,6hr,actD,missing,missing
SRR29477273,20887311,1587435636,76,565,SRX24989195,GSM8339707,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691007,SAMN41934756,simple,9606,Homo sapiens,GSM8339707,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 6hr, rep3, riboseq",WiT49,WiT49,Wilms tumor,6hr,actD,missing,missing
SRR29477272,30819012,2342244912,76,830,SRX24989196,GSM8339708,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691008,SAMN41934755,simple,9606,Homo sapiens,GSM8339708,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 6hr, rep1, riboseq",WiT49,WiT49,Wilms tumor,6hr,DMSO,missing,missing
SRR29477271,26774288,2034845888,76,721,SRX24989197,GSM8339709,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691009,SAMN41934754,simple,9606,Homo sapiens,GSM8339709,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 6hr, rep2, riboseq",WiT49,WiT49,Wilms tumor,6hr,DMSO,missing,missing
SRR29477270,24546032,1865498432,76,684,SRX24989198,GSM8339710,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691010,SAMN41934753,simple,9606,Homo sapiens,GSM8339710,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 6hr, rep3, riboseq",WiT49,WiT49,Wilms tumor,6hr,DMSO,missing,missing
SRR29477269,48717630,4092280920,84,1481,SRX24989199,GSM8339711,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691011,SAMN41934752,simple,9606,Homo sapiens,GSM8339711,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 72hr, rep1, riboseq",WiT49,WiT49,Wilms tumor,72hr,actD,missing,missing
SRR29477268,25004907,2100412188,84,774,SRX24989200,GSM8339712,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691012,SAMN41934751,simple,9606,Homo sapiens,GSM8339712,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 72hr, rep2, riboseq",WiT49,WiT49,Wilms tumor,72hr,actD,missing,missing
SRR29477267,46072610,3870099240,84,1407,SRX24989201,GSM8339713,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691013,SAMN41934750,simple,9606,Homo sapiens,GSM8339713,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 72hr, rep3, riboseq",WiT49,WiT49,Wilms tumor,72hr,actD,missing,missing
SRR29477266,47424695,4078523770,86,1387,SRX24989202,GSM8339714,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691014,SAMN41934749,simple,9606,Homo sapiens,GSM8339714,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 72hr, rep1, riboseq",WiT49,WiT49,Wilms tumor,72hr,DMSO,missing,missing
SRR29477265,19853621,1667704164,84,602,SRX24989203,GSM8339715,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691015,SAMN41934748,simple,9606,Homo sapiens,GSM8339715,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 72hr, rep2, riboseq",WiT49,WiT49,Wilms tumor,72hr,DMSO,missing,missing
SRR29477264,28717308,2412253872,84,865,SRX24989204,GSM8339716,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691016,SAMN41934747,simple,9606,Homo sapiens,GSM8339716,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 72hr, rep3, riboseq",WiT49,WiT49,Wilms tumor,72hr,DMSO,missing,missing
SRR29477263,41187822,3542152692,86,1230,SRX24989205,GSM8339717,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691017,SAMN41934746,simple,9606,Homo sapiens,GSM8339717,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 2wk, rep1, riboseq",WiT49,WiT49,Wilms tumor,2wk,actD,missing,missing
SRR29477262,33070272,2844043392,86,975,SRX24989206,GSM8339718,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691019,SAMN41934745,simple,9606,Homo sapiens,GSM8339718,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 2wk, rep2, riboseq",WiT49,WiT49,Wilms tumor,2wk,actD,missing,missing
SRR29477261,26230014,2255781204,86,795,SRX24989207,GSM8339719,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691020,SAMN41934744,simple,9606,Homo sapiens,GSM8339719,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 2wk, rep3, riboseq",WiT49,WiT49,Wilms tumor,2wk,actD,missing,missing
SRR29477260,43964778,3780970908,86,1271,SRX24989208,GSM8339720,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21691018,SAMN41934743,simple,9606,Homo sapiens,GSM8339720,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 2wk, rep1, riboseq",WiT49,WiT49,Wilms tumor,2wk,DMSO,missing,missing
