Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell treatment,GEO Accession
SRR5099274,6666388,666638800,100,245,SRX2416030,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP083699,PRJNA340948,28106072,"",SRS1853613,SAMN06132000,simple,9606,Homo sapiens,GSM2424850,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF3-RIP-input-ribominus,HeLa,HeLa cells,"40 nM siRNA knockdown for 48 hr, then 100 ug/ml Cycloheximide (CHX) incubation",GSM2424854
SRR5099275,48648149,2432407450,50,692,SRX2416031,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853614,SAMN06131999,simple,9606,Homo sapiens,GSM2424851,GEO,SRA458091,12,2016,Shi,HeLa,Ribosome profiling-siControl-RPF,HeLa,HeLa cells,"40 nM siRNA knockdown for 48 hr, then 100 ug/ml Cycloheximide (CHX) incubation",GSM2424855
SRR5099276,46915311,2345765550,50,702,SRX2416032,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853615,SAMN06131998,simple,9606,Homo sapiens,GSM2424852,GEO,SRA458091,12,2016,Shi,HeLa,Ribosome profiling-siControl-input,HeLa,HeLa cells,"40 nM siRNA knockdown for 48 hr, then 100 ug/ml Cycloheximide (CHX) incubation",GSM2424856
SRR5099277,41072030,2053601500,50,574,SRX2416033,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853616,SAMN06131997,simple,9606,Homo sapiens,GSM2424853,GEO,SRA458091,12,2016,Shi,HeLa,Ribosome profiling-rep1-siYTHDF3-RPF,HeLa,HeLa cells,40 nM siRNA knockdown for 48 hr in Flag-HA-YTHDF1 stable expression HeLa cell line,GSM2424857
SRR5099278,39819574,1990978700,50,596,SRX2416034,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853617,SAMN06131996,simple,9606,Homo sapiens,GSM2424854,GEO,SRA458091,12,2016,Shi,HeLa,Ribosome profiling-rep1-siYTHDF3-input,HeLa,HeLa cells,40 nM siRNA knockdown for 48 hr in Flag-HA-YTHDF1 stable expression HeLa cell line,GSM2424858
SRR5099279,48158932,2407946600,50,638,SRX2416035,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853618,SAMN06131995,simple,9606,Homo sapiens,GSM2424855,GEO,SRA458091,12,2016,Shi,HeLa,Ribosome profiling-rep2-siYTHDF3-RPF,HeLa,HeLa cells,40 nM siRNA knockdown for 48 hr in Flag-HA-YTHDF1 stable expression HeLa cell line,GSM2424859
SRR5099280,54048791,2702439550,50,813,SRX2416036,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853619,SAMN06131994,simple,9606,Homo sapiens,GSM2424856,GEO,SRA458091,12,2016,Shi,HeLa,Ribosome profiling-rep2-siYTHDF3-input,HeLa,HeLa cells,40 nM siRNA knockdown for 48 hr in Flag-HA-YTHDF2 stable expression HeLa cell line,GSM2424860
SRR5099281,25787639,1289381950,50,379,SRX2416037,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853620,SAMN06131993,simple,9606,Homo sapiens,GSM2424857,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF1-siControl-RIP-input,HeLa,HeLa cells,40 nM siRNA knockdown for 48 hr in Flag-HA-YTHDF2 stable expression HeLa cell line,GSM2424861
SRR5099282,22244543,1112227150,50,327,SRX2416038,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853621,SAMN06131992,simple,9606,Homo sapiens,GSM2424858,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF1-siYTHDF3-2-RIP-input,HeLa,HeLa cells,40 nM siRNA knockdown for 48 hr in Flag-HA-YTHDF2 stable expression HeLa cell line,GSM2424862
SRR5099283,30014611,1500730550,50,446,SRX2416039,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853622,SAMN06131991,simple,9606,Homo sapiens,GSM2424859,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF1-siYTHDF3-5-RIP-input,HeLa,HeLa cells,40 nM siRNA knockdown for 48 hr in Flag-HA-YTHDF1 stable expression HeLa cell line,GSM2424863
SRR5099284,26707135,1335356750,50,396,SRX2416040,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853623,SAMN06131990,simple,9606,Homo sapiens,GSM2424860,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF2-siControl-RIP-input,HeLa,HeLa cells,40 nM siRNA knockdown for 48 hr in Flag-HA-YTHDF1 stable expression HeLa cell line,GSM2424864
SRR5099285,25315781,1265789050,50,376,SRX2416041,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853624,SAMN06131989,simple,9606,Homo sapiens,GSM2424861,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF2-siYTHDF3-2-RIP-input,HeLa,HeLa cells,40 nM siRNA knockdown for 48 hr in Flag-HA-YTHDF1 stable expression HeLa cell line,GSM2424865
SRR5099286,36107396,1805369800,50,533,SRX2416042,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853625,SAMN06131988,simple,9606,Homo sapiens,GSM2424862,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF2-siYTHDF3-5-RIP-input,HeLa,HeLa cells,40 nM siRNA knockdown for 48 hr in Flag-HA-YTHDF2 stable expression HeLa cell line,GSM2424866
SRR5099287,27148078,1357403900,50,404,SRX2416043,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853626,SAMN06131987,simple,9606,Homo sapiens,GSM2424863,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF1-siControl-RIP-IP,HeLa,HeLa cells,40 nM siRNA knockdown for 48 hr in Flag-HA-YTHDF2 stable expression HeLa cell line,GSM2424867
SRR5099288,26850119,1342505950,50,398,SRX2416044,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853627,SAMN06131986,simple,9606,Homo sapiens,GSM2424864,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF1-siYTHDF3-2-RIP-IP,HeLa,HeLa cells,40 nM siRNA knockdown for 48 hr in Flag-HA-YTHDF2 stable expression HeLa cell line,GSM2424868
SRR5099289,19410493,970524650,50,289,SRX2416045,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853628,SAMN06132007,simple,9606,Homo sapiens,GSM2424865,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF1-siYTHDF3-5-RIP-IP,HeLa,HeLa cells,N terminal Flag-HA tagged YTHDF3 HeLa stable expression cell line,GSM2424844
SRR5099290,24985129,1249256450,50,369,SRX2416046,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853629,SAMN06131983,simple,9606,Homo sapiens,GSM2424866,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF2-siControl-RIP-IP,HeLa,HeLa cells,N terminal Flag-HA tagged YTHDF3 HeLa stable expression cell line,GSM2424845
SRR5099291,23863548,1193177400,50,355,SRX2416047,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853630,SAMN06131984,simple,9606,Homo sapiens,GSM2424867,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF2-siYTHDF3-2-RIP-IP,HeLa,HeLa cells,N terminal Flag-HA tagged YTHDF3 HeLa stable expression cell line,GSM2424846
SRR5099292,22483430,1124171500,50,333,SRX2416048,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853631,SAMN06131985,simple,9606,Homo sapiens,GSM2424868,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF2-siYTHDF3-5-RIP-IP,HeLa,HeLa cells,overexpress N terminal Flag tagged YTHDF3 for 24 hr (0.75 ug plasmid/ml media),GSM2424847
