Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,age,tissue,GEO Accession
SRR6164228,95982585,4799129250,50,1689,SRX3275563,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586847,SAMN07777066,simple,10090,Mus musculus,GSM2809443,GEO,SRA619109,10,2023,"",RPF_E13.5_retina,RPF_E13.5_rep1,RPF_E13.5_retina,C57BL/6,wild type,embryo days 13.5,Retina,GSM2809443
SRR6164229,78590730,3929536500,50,1367,SRX3275564,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586848,SAMN07777065,simple,10090,Mus musculus,GSM2809444,GEO,SRA619109,10,2023,"",RPF_E13.5_retina,RPF_E13.5_rep2,RPF_E13.5_retina,C57BL/6,wild type,embryo days 13.5,Retina,GSM2809444
SRR6164232,55486500,2774325000,50,1333,SRX3275567,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586851,SAMN07777062,simple,10090,Mus musculus,GSM2809447,GEO,SRA619109,10,2023,"",RPF_P0_retina,RPF_P0_rep1,RPF_P0_retina,C57BL/6,wild type,postnatal days 0,Retina,GSM2809447
SRR6164233,70621809,3531090450,50,1696,SRX3275568,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586852,SAMN07777089,simple,10090,Mus musculus,GSM2809448,GEO,SRA619109,10,2023,"",RPF_P0_retina,RPF_P0_rep2,RPF_P0_retina,C57BL/6,wild type,postnatal days 0,Retina,GSM2809448
SRR6164234,33621585,1681079250,50,1246,SRX3275569,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586853,SAMN07777088,simple,10090,Mus musculus,GSM2809449,GEO,SRA619109,10,2023,"",RPF_P6_retina,RPF_P6_rep1,RPF_P6_retina,C57BL/6,wild type,postnatal days 6,Retina,GSM2809449
SRR6164235,34358261,1717913050,50,1271,SRX3275570,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586854,SAMN07777087,simple,10090,Mus musculus,GSM2809450,GEO,SRA619109,10,2023,"",RPF_P6_retina,RPF_P6_rep2,RPF_P6_retina,C57BL/6,wild type,postnatal days 6,Retina,GSM2809450
SRR6164238,81953902,4179649002,51,1664,SRX3275573,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586857,SAMN07777084,simple,10090,Mus musculus,GSM2809453,GEO,SRA619109,10,2023,"",RPF_P21_retina,RPF_P21_rep1,RPF_P21_retina,C57BL/6,wild type,postnatal days 21,Retina,GSM2809453
SRR6164239,85846043,4378148193,51,1431,SRX3275574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586859,SAMN07777083,simple,10090,Mus musculus,GSM2809454,GEO,SRA619109,10,2023,"",RPF_P21_retina,RPF_P21_rep2,RPF_P21_retina,C57BL/6,wild type,postnatal days 21,Retina,GSM2809454
SRR6164240,72862561,3643128050,50,1338,SRX3275575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586858,SAMN07777082,simple,10090,Mus musculus,GSM2809455,GEO,SRA619109,10,2023,"",RPF_P42_retina,RPF_P42_rep1,RPF_P42_retina,C57BL/6,wild type,postnatal days 42,Retina,GSM2809455
SRR6164241,53428814,2671440700,50,752,SRX3275576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586860,SAMN07777061,simple,10090,Mus musculus,GSM2809456,GEO,SRA619109,10,2023,"",RPF_P42_retina,RPF_P42_rep2,RPF_P42_retina,C57BL/6,wild type,postnatal days 42,Retina,GSM2809456
