Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,growth condition,treatment
SRR23353740,20391563,6280601404,154,2283,SRX19295084,GSM7029210,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695680,SAMN33143434,simple,9606,Homo sapiens,GSM7029210,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL3_Hela_50_90m_rep1,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 90 min
SRR23353739,34483694,10345108200,150,4245,SRX19295085,GSM7029211,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695681,SAMN33143433,simple,9606,Homo sapiens,GSM7029211,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL4_Hela_50_90m_rep2,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 90 min
SRR23353738,11432221,3521124068,154,1260,SRX19295086,GSM7029212,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695682,SAMN33143432,simple,9606,Homo sapiens,GSM7029212,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL3_Hela_50_120m_rep1,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 120 min
SRR23353737,28702249,8610674700,150,3577,SRX19295087,GSM7029213,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695683,SAMN33143431,simple,9606,Homo sapiens,GSM7029213,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL4_Hela_50_120m_rep2,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 120 min
SRR23353736,25959126,7995410808,154,2984,SRX19295088,GSM7029214,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695684,SAMN33143430,simple,9606,Homo sapiens,GSM7029214,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL3_Hela_50_240m_rep1,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 240 min
SRR23353735,45169717,13550915100,150,5710,SRX19295089,GSM7029215,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695685,SAMN33143429,simple,9606,Homo sapiens,GSM7029215,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL4_Hela_50_240m_rep2,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 240 min
SRR23353734,39421448,11826434400,150,4888,SRX19295090,GSM7029216,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695686,SAMN33143428,simple,9606,Homo sapiens,GSM7029216,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL1_Hela_500_0m,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,0 uM 4sU
SRR23353733,53557064,16067119200,150,6768,SRX19295091,GSM7029217,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695687,SAMN33143427,simple,9606,Homo sapiens,GSM7029217,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL1_Hela_500_15m,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,500 uM 4sU for 15 min
SRR23353732,37253743,11176122900,150,4667,SRX19295092,GSM7029218,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695688,SAMN33143426,simple,9606,Homo sapiens,GSM7029218,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL1_Hela_500_30m,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,500 uM 4sU for 30 min
SRR23353731,41099270,12329781000,150,5117,SRX19295093,GSM7029219,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695689,SAMN33143425,simple,9606,Homo sapiens,GSM7029219,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL1_Hela_500_60m,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,500 uM 4sU for 60 min
SRR23353730,41867819,12560345700,150,5241,SRX19295094,GSM7029220,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695690,SAMN33143424,simple,9606,Homo sapiens,GSM7029220,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL1_Hela_500_120m,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,500 uM 4sU for 120 min
SRR23353729,51027242,15308172600,150,6392,SRX19295095,GSM7029221,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695692,SAMN33143423,simple,9606,Homo sapiens,GSM7029221,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL1_Hela_500_240m,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,500 uM 4sU for 240 min
SRR23353728,26602929,8566143138,161,3080,SRX19295096,GSM7029268,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695691,SAMN33143376,simple,9606,Homo sapiens,GSM7029268,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_0m_WT_IP_repA,HEK293T,HEK293T,WT,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",0 uM 4sU
SRR23353727,35359710,11385826620,161,4064,SRX19295097,GSM7029269,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695693,SAMN33143375,simple,9606,Homo sapiens,GSM7029269,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_0m_WT_IP_repB,HEK293T,HEK293T,WT,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",0 uM 4sU
SRR23353726,40338400,12988964800,161,4650,SRX19295098,GSM7029270,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695694,SAMN33143374,simple,9606,Homo sapiens,GSM7029270,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_30m_WT_IP_repA,HEK293T,HEK293T,WT,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",500 uM 4sU for 30 min
SRR23353725,41767042,13448987524,161,4922,SRX19295099,GSM7029271,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695695,SAMN33143373,simple,9606,Homo sapiens,GSM7029271,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_30m_WT_IP_repB,HEK293T,HEK293T,WT,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",500 uM 4sU for 30 min
SRR23353724,65539033,21103568626,161,7540,SRX19295100,GSM7029272,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695697,SAMN33143372,simple,9606,Homo sapiens,GSM7029272,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_60m_WT_IP_repA,HEK293T,HEK293T,WT,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",500 uM 4sU for 60 min
SRR23353723,33734823,10862613006,161,3900,SRX19295101,GSM7029273,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695696,SAMN33143371,simple,9606,Homo sapiens,GSM7029273,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_60m_WT_IP_repB,HEK293T,HEK293T,WT,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",500 uM 4sU for 60 min
SRR23353722,66502681,21413863282,161,7705,SRX19295102,GSM7029274,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695698,SAMN33143370,simple,9606,Homo sapiens,GSM7029274,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_0m_LRP_tot_repA,HEK293T,HEK293T,LRPPRC KO,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",0 uM 4sU
SRR23353721,78334608,25223743776,161,9085,SRX19295103,GSM7029275,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695699,SAMN33143369,simple,9606,Homo sapiens,GSM7029275,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_0m_LRP_tot_repB,HEK293T,HEK293T,LRPPRC KO,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",0 uM 4sU
SRR23353720,70220101,22610872522,161,8043,SRX19295104,GSM7029276,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695700,SAMN33143368,simple,9606,Homo sapiens,GSM7029276,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_30m_LRP_tot_repA,HEK293T,HEK293T,LRPPRC KO,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",500 uM 4sU for 30 min
SRR23353719,72354625,23298189250,161,8328,SRX19295105,GSM7029277,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695701,SAMN33143367,simple,9606,Homo sapiens,GSM7029277,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_30m_LRP_tot_repB,HEK293T,HEK293T,LRPPRC KO,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",500 uM 4sU for 30 min
SRR23353718,49618897,15977284834,161,5699,SRX19295106,GSM7029278,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695702,SAMN33143366,simple,9606,Homo sapiens,GSM7029278,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_60m_LRP_tot_repA,HEK293T,HEK293T,LRPPRC KO,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",500 uM 4sU for 60 min
SRR23353717,74300090,23924628980,161,8702,SRX19295107,GSM7029279,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695704,SAMN33143365,simple,9606,Homo sapiens,GSM7029279,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_60m_LRP_tot_repB,HEK293T,HEK293T,LRPPRC KO,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",500 uM 4sU for 60 min
SRR23353716,50081849,16126355378,161,5840,SRX19295108,GSM7029280,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695703,SAMN33143364,simple,9606,Homo sapiens,GSM7029280,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_0m_LRP_IP_repA,HEK293T,HEK293T,LRPPRC KO,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",0 uM 4sU
SRR23353715,107926941,34752475002,161,12502,SRX19295109,GSM7029281,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695705,SAMN33143363,simple,9606,Homo sapiens,GSM7029281,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_0m_LRP_IP_repB,HEK293T,HEK293T,LRPPRC KO,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",0 uM 4sU
SRR23353714,74801952,24086228544,161,8535,SRX19295110,GSM7029282,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695706,SAMN33143362,simple,9606,Homo sapiens,GSM7029282,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_30m_LRP_IP_repA,HEK293T,HEK293T,LRPPRC KO,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",500 uM 4sU for 30 min
SRR23353713,70489947,22697762934,161,8156,SRX19295111,GSM7029283,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695707,SAMN33143361,simple,9606,Homo sapiens,GSM7029283,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_30m_LRP_IP_repB,HEK293T,HEK293T,LRPPRC KO,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",500 uM 4sU for 30 min
SRR23353712,53651955,17275929510,161,6227,SRX19295112,GSM7029284,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695708,SAMN33143360,simple,9606,Homo sapiens,GSM7029284,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_60m_LRP_IP_repA,HEK293T,HEK293T,LRPPRC KO,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",500 uM 4sU for 60 min
SRR23353711,100481255,32354964110,161,11597,SRX19295113,GSM7029285,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695709,SAMN33143359,simple,9606,Homo sapiens,GSM7029285,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL13_HEK_500_60m_LRP_IP_repB,HEK293T,HEK293T,LRPPRC KO,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",500 uM 4sU for 60 min
SRR23353710,53616775,16085032500,150,7221,SRX19295114,GSM7029286,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695710,SAMN33143358,simple,9606,Homo sapiens,GSM7029286,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL5_Hela_tot,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,0 uM 4sU
SRR23353709,55139778,16541933400,150,7402,SRX19295115,GSM7029287,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695711,SAMN33143357,simple,9606,Homo sapiens,GSM7029287,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL5_Hela_poly,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,0 uM 4sU
SRR23353708,4915540,1337633848,135,787,SRX19295116,GSM7029288,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695712,SAMN33143356,simple,9606,Homo sapiens,GSM7029288,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,Hela_tot,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,none
SRR23353707,108350043,34888713846,161,12301,SRX19295117,GSM7029222,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695713,SAMN33143422,simple,9606,Homo sapiens,GSM7029222,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL10_HEK_500_0m_WT_repA,HEK293T,HEK293T,WT,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",0 uM 4sU
SRR23353706,65670941,21146043002,161,8323,SRX19295118,GSM7029223,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695715,SAMN33143421,simple,9606,Homo sapiens,GSM7029223,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL12_HEK_500_0m_WT_repB,HEK293T,HEK293T,WT,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",0 uM 4sU
SRR23353705,100247379,32279656038,161,11245,SRX19295119,GSM7029224,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421223,PRJNA932025,38503286,"",SRS16695714,SAMN33143420,simple,9606,Homo sapiens,GSM7029224,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HEK293T,TL10_HEK_500_30m_WT_repA,HEK293T,HEK293T,WT,"DMEM supplemented with 20 μg/mL of uridine, 3 mM sodium formate, 10% FBS, 1 mM GlutaMAX (Thermo Fisher Scientific) and 1 mM sodium pyruvate",500 uM 4sU for 30 min
