Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,animal group,Sex,rna fraction,geo_loc_name,collection_date
SRR24072155,18030562,1406383836,78,592,SRX19873286,GSM7122440,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228546,SAMN33965609,simple,10090,Mus musculus,GSM7122440,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_109_IP,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,male,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072154,22422009,1748916702,78,723,SRX19873287,GSM7122441,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228548,SAMN33965608,simple,10090,Mus musculus,GSM7122441,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_10_Input,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,male,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072153,20452111,1595264658,78,662,SRX19873288,GSM7122442,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228549,SAMN33965607,simple,10090,Mus musculus,GSM7122442,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_10_IP,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,male,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072152,15735507,1321782588,84,517,SRX19873289,GSM7122443,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228550,SAMN33965606,simple,10090,Mus musculus,GSM7122443,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_112_Input,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,female,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072151,22606900,1898979600,84,777,SRX19873290,GSM7122444,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228551,SAMN33965605,simple,10090,Mus musculus,GSM7122444,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_112_IP,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,female,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072150,18398755,1435102890,78,603,SRX19873291,GSM7122445,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228552,SAMN33965604,simple,10090,Mus musculus,GSM7122445,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_115_Input,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,male,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072149,18620419,1452392682,78,608,SRX19873292,GSM7122446,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228554,SAMN33965603,simple,10090,Mus musculus,GSM7122446,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_115_IP,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,male,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072148,20925409,1757734356,84,670,SRX19873293,GSM7122447,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228553,SAMN33965602,simple,10090,Mus musculus,GSM7122447,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_121_Input,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,female,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072147,18842541,1582773444,84,656,SRX19873294,GSM7122448,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228555,SAMN33965601,simple,10090,Mus musculus,GSM7122448,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_121_IP,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,female,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072146,18807593,1579837812,84,608,SRX19873295,GSM7122449,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228556,SAMN33965600,simple,10090,Mus musculus,GSM7122449,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_123_Input,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,female,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072145,17997077,1511754468,84,622,SRX19873296,GSM7122450,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228557,SAMN33965599,simple,10090,Mus musculus,GSM7122450,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_123_IP,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,female,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072144,21051277,1768307268,84,672,SRX19873297,GSM7122451,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228558,SAMN33965598,simple,10090,Mus musculus,GSM7122451,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_68_Input,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,female,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072143,23166858,1946016072,84,796,SRX19873298,GSM7122452,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228560,SAMN33965597,simple,10090,Mus musculus,GSM7122452,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_68_IP,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,female,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072142,19597866,1646220744,84,637,SRX19873299,GSM7122453,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228559,SAMN33965596,simple,10090,Mus musculus,GSM7122453,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_69_Input,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,female,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072141,23614948,1983655632,84,814,SRX19873300,GSM7122454,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228561,SAMN33965595,simple,10090,Mus musculus,GSM7122454,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_69_IP,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,female,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072140,16859204,1416173136,84,544,SRX19873301,GSM7122455,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228562,SAMN33965594,simple,10090,Mus musculus,GSM7122455,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_71_Input,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,female,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072139,21576714,1812443976,84,740,SRX19873302,GSM7122456,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228563,SAMN33965593,simple,10090,Mus musculus,GSM7122456,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_71_IP,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,female,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
