Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain,treatment,time,library type,geo_loc_name,collection_date
SRR22989505,44640787,9017438974,101,2664,SRX18945610,GSM6918986,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369619,SAMN32603042,simple,10090,Mus musculus,GSM6918986,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Early set, 2 dpi, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,2 days post-infection,RNA-seq,missing,missing
SRR22989507,44781688,9045900976,101,2643,SRX18945611,GSM6918987,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369620,SAMN32603041,simple,10090,Mus musculus,GSM6918987,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Early set, 2 dpi, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,2 days post-infection,RNA-seq,missing,missing
SRR22989504,41273942,8337336284,101,2389,SRX18945612,GSM6918988,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369621,SAMN32603040,simple,10090,Mus musculus,GSM6918988,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Late set, control, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,RNA-seq,missing,missing
SRR22989508,39387732,7956321864,101,2284,SRX18945613,GSM6918989,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369622,SAMN32603039,simple,10090,Mus musculus,GSM6918989,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Late set, control, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,RNA-seq,missing,missing
SRR22989503,42075365,8499223730,101,2416,SRX18945614,GSM6918990,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369623,SAMN32603038,simple,10090,Mus musculus,GSM6918990,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Late set, control, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,RNA-seq,missing,missing
SRR22989502,32189086,6502195372,101,1876,SRX18945615,GSM6918991,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369624,SAMN32603037,simple,10090,Mus musculus,GSM6918991,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Late set, control, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,RNA-seq,missing,missing
SRR22989501,43406491,8768111182,101,2554,SRX18945616,GSM6918992,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369625,SAMN32603036,simple,10090,Mus musculus,GSM6918992,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Late set, 5 dpi, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,5 days post-infection,RNA-seq,missing,missing
SRR22989500,44256157,8939743714,101,2618,SRX18945617,GSM6918993,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369626,SAMN32603035,simple,10090,Mus musculus,GSM6918993,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Late set, 5 dpi, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,5 days post-infection,RNA-seq,missing,missing
SRR22989499,44756065,9040725130,101,2623,SRX18945618,GSM6918994,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369627,SAMN32603034,simple,10090,Mus musculus,GSM6918994,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Late set, 5 dpi, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,5 days post-infection,RNA-seq,missing,missing
SRR22989498,37225440,7519538880,101,2184,SRX18945619,GSM6918995,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369628,SAMN32603033,simple,10090,Mus musculus,GSM6918995,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Late set, 5 dpi, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,5 days post-infection,RNA-seq,missing,missing
SRR22989497,44521318,8993306236,101,2629,SRX18945620,GSM6918996,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369629,SAMN32603032,simple,10090,Mus musculus,GSM6918996,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Late set, 7 dpi, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,7 days post-infection,RNA-seq,missing,missing
SRR22989496,40513879,8183803558,101,2395,SRX18945621,GSM6918997,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369630,SAMN32603031,simple,10090,Mus musculus,GSM6918997,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Late set, 7 dpi, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,7 days post-infection,RNA-seq,missing,missing
SRR22989495,44362869,8961299538,101,2604,SRX18945622,GSM6918998,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369631,SAMN32603030,simple,10090,Mus musculus,GSM6918998,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Late set, 7 dpi, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,7 days post-infection,RNA-seq,missing,missing
SRR22989494,37163398,7507006396,101,2173,SRX18945623,GSM6918999,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369632,SAMN32603029,simple,10090,Mus musculus,GSM6918999,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Late set, 7 dpi, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,7 days post-infection,RNA-seq,missing,missing
