Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,library type,geo_loc_name,collection_date
SRR27099195,35052079,1189999298,33,561,SRX22788381,GSM7947745,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772426,SAMN38679094,simple,1423,Bacillus subtilis,GSM7947745,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 1h post sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099194,50899781,1256745531,24,690,SRX22788382,GSM7947746,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772427,SAMN38679093,simple,1423,Bacillus subtilis,GSM7947746,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 2h post sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099193,44438948,1139047409,,606,SRX22788383,GSM7947747,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772428,SAMN38679092,simple,1423,Bacillus subtilis,GSM7947747,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 2h post sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099192,49841979,1313490832,26,696,SRX22788384,GSM7947748,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772430,SAMN38679091,simple,1423,Bacillus subtilis,GSM7947748,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 3h post sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099191,29511867,1505105217,51,463,SRX22788385,GSM7947749,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772429,SAMN38679090,simple,1423,Bacillus subtilis,GSM7947749,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 3h post sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099190,43232632,1029590748,23,570,SRX22788386,GSM7947750,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772431,SAMN38679089,simple,1423,Bacillus subtilis,GSM7947750,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 4h post sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099189,29602364,1509720564,51,454,SRX22788387,GSM7947751,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772432,SAMN38679088,simple,1423,Bacillus subtilis,GSM7947751,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 4h post sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099188,29200021,710080030,24,377,SRX22788388,GSM7947752,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772433,SAMN38679087,simple,1423,Bacillus subtilis,GSM7947752,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 5h post sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099187,23114051,590432537,25,312,SRX22788389,GSM7947753,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772435,SAMN38679086,simple,1423,Bacillus subtilis,GSM7947753,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 5h post sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099186,49971676,1240970957,24,657,SRX22788390,GSM7947754,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772434,SAMN38679085,simple,1423,Bacillus subtilis,GSM7947754,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 6h post sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099185,31774003,771900331,24,414,SRX22788391,GSM7947755,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772436,SAMN38679084,simple,1423,Bacillus subtilis,GSM7947755,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 6h post sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099184,32470832,827994513,,442,SRX22788392,GSM7947756,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772437,SAMN38679083,simple,1423,Bacillus subtilis,GSM7947756,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 7h post sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099183,27194317,655031123,24,354,SRX22788393,GSM7947757,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772438,SAMN38679082,simple,1423,Bacillus subtilis,GSM7947757,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 7h post sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099182,44174911,1055927796,23,579,SRX22788394,GSM7947758,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772439,SAMN38679081,simple,1423,Bacillus subtilis,GSM7947758,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 0h, prior to sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099181,59404530,3029631030,51,902,SRX22788395,GSM7947759,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772442,SAMN38679080,simple,1423,Bacillus subtilis,GSM7947759,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 0h, prior to sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099180,51143621,1196533061,23,659,SRX22788396,GSM7947760,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772441,SAMN38679079,simple,1423,Bacillus subtilis,GSM7947760,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 1h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099179,48944947,1638093930,33,806,SRX22788397,GSM7947761,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772440,SAMN38679078,simple,1423,Bacillus subtilis,GSM7947761,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 1h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099178,43587785,1069198387,24,585,SRX22788398,GSM7947762,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772444,SAMN38679077,simple,1423,Bacillus subtilis,GSM7947762,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 2h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099177,23125026,752402007,32,351,SRX22788399,GSM7947763,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772443,SAMN38679076,simple,1423,Bacillus subtilis,GSM7947763,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 2h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099176,41635464,1057647541,25,567,SRX22788400,GSM7947764,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772445,SAMN38679075,simple,1423,Bacillus subtilis,GSM7947764,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 3h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099175,33290165,1697798415,51,529,SRX22788401,GSM7947765,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772446,SAMN38679074,simple,1423,Bacillus subtilis,GSM7947765,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 3h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099174,43617150,1151735401,26,611,SRX22788402,GSM7947766,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772447,SAMN38679073,simple,1423,Bacillus subtilis,GSM7947766,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 4h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing
