Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,Sex,batch,cell type,genotype,treatment,geo_loc_name,collection_date
SRR28618421,10624911,1073116011,101,443,SRX24216647,GSM8196499,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986725,SAMN40921064,simple,10090,Mus musculus,GSM8196499,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,5xFADEif2ATRAP_rep2,cortex,cortex,male,1,microglia,5xFAD;Cx3cr1CreErt2/+;Eif2s1A/A;Tg(Eif2s1);Eef1a1LSL.eGFPL10a/+,tamoxifen,missing,missing
SRR28618420,10911509,1102062409,101,456,SRX24216648,GSM8196500,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986724,SAMN40921063,simple,10090,Mus musculus,GSM8196500,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,5xFADEif2ATRAP_rep3,cortex,cortex,male,1,microglia,5xFAD;Cx3cr1CreErt2/+;Eif2s1A/A;Tg(Eif2s1);Eef1a1LSL.eGFPL10a/+,tamoxifen,missing,missing
SRR28618419,10341044,785919344,76,333,SRX24216649,GSM8196501,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986726,SAMN40921062,simple,10090,Mus musculus,GSM8196501,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,Eif2ATRAP_rep1,cortex,cortex,female,1,microglia,Cx3cr1CreErt2/+;Eif2s1A/A; Tg(Eif2s1);Eef1a1LSL.eGFPL10a/+,tamoxifen,missing,missing
SRR28618418,6029929,458274604,76,193,SRX24216650,GSM8196502,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986727,SAMN40921061,simple,10090,Mus musculus,GSM8196502,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,Eif2ATRAP_rep2,cortex,cortex,male,1,microglia,Cx3cr1CreErt2/+;Eif2s1A/A; Tg(Eif2s1);Eef1a1LSL.eGFPL10a/+,tamoxifen,missing,missing
SRR28618417,32921535,2502036660,76,1056,SRX24216651,GSM8196503,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986728,SAMN40921060,simple,10090,Mus musculus,GSM8196503,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,Eif2ATRAP_rep3,cortex,cortex,male,1,microglia,Cx3cr1CreErt2/+;Eif2s1A/A; Tg(Eif2s1);Eef1a1LSL.eGFPL10a/+,tamoxifen,missing,missing
SRR28618416,15754548,1197345648,76,506,SRX24216652,GSM8196504,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986729,SAMN40921059,simple,10090,Mus musculus,GSM8196504,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,Eif2ATRAP_rep4,cortex,cortex,female,1,microglia,Cx3cr1CreErt2/+;Eif2s1A/A; Tg(Eif2s1);Eef1a1LSL.eGFPL10a/+,tamoxifen,missing,missing
SRR28618415,4686265,356156140,76,151,SRX24216653,GSM8196505,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986730,SAMN40921058,simple,10090,Mus musculus,GSM8196505,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,Control_iPKR_vehicle_rep1,cortex,cortex,male,1,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.NS3.eGFPL10a.iPKR/+,tamoxifen and VEGF/PEG:DMSO,missing,missing
SRR28618414,57473418,4367979768,76,1871,SRX24216654,GSM8196506,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986731,SAMN40921057,simple,10090,Mus musculus,GSM8196506,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,Control_iPKR_vehicle_rep2,cortex,cortex,male,1,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.NS3.eGFPL10a.iPKR/+,tamoxifen and VEGF/PEG:DMSO,missing,missing
SRR28618413,5735589,579294489,101,239,SRX24216655,GSM8196507,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986732,SAMN40921056,simple,10090,Mus musculus,GSM8196507,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,Control_iPKR_vehicle_rep3,cortex,cortex,male,2,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.NS3.eGFPL10a.iPKR/+,tamoxifen and VEGF/PEG:DMSO,missing,missing
SRR28618412,10063311,1016394411,101,421,SRX24216656,GSM8196508,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986733,SAMN40921055,simple,10090,Mus musculus,GSM8196508,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,Control_iPKR_vehicle_rep4,cortex,cortex,female,2,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.NS3.eGFPL10a.iPKR/+,tamoxifen and VEGF/PEG:DMSO,missing,missing
SRR28618411,2883073,219113548,76,92,SRX24216657,GSM8196509,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986734,SAMN40921054,simple,10090,Mus musculus,GSM8196509,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,iPKR_ASV_rep1,cortex,cortex,male,1,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.NS3.eGFPL10a.iPKR/+,tamoxifen and VEGF/ASV,missing,missing
SRR28618410,7312246,555730696,76,234,SRX24216658,GSM8196510,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986735,SAMN40921053,simple,10090,Mus musculus,GSM8196510,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,iPKR_ASV_rep2,cortex,cortex,male,1,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.NS3.eGFPL10a.iPKR/+,tamoxifen and VEGF/ASV,missing,missing
SRR28618409,4799368,364751968,76,154,SRX24216659,GSM8196511,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986736,SAMN40921052,simple,10090,Mus musculus,GSM8196511,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,iPKR_ASV_rep3,cortex,cortex,female,1,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.NS3.eGFPL10a.iPKR/+,tamoxifen and VEGF/ASV,missing,missing
SRR28618408,12495989,949695164,76,403,SRX24216660,GSM8196512,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986737,SAMN40921051,simple,10090,Mus musculus,GSM8196512,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,iPKR_ASV_rep4,cortex,cortex,male,2,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.NS3.eGFPL10a.iPKR/+,tamoxifen and VEGF/ASV,missing,missing
SRR28618407,10131490,769993240,76,327,SRX24216661,GSM8196513,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986738,SAMN40921050,simple,10090,Mus musculus,GSM8196513,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,iPKR_ASV_rep5,cortex,cortex,female,2,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.NS3.eGFPL10a.iPKR/+,tamoxifen and VEGF/ASV,missing,missing
SRR28618406,3350316,254624016,76,109,SRX24216662,GSM8196514,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986739,SAMN40921049,simple,10090,Mus musculus,GSM8196514,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,5xFADiPKR_rep1,cortex,cortex,female,1,microglia,5xFAD; Cx3cr1CreErt2/+;Eef1a1LSL.NS3.eGFPL10a.iPKR/+,tamoxifen and VEGF/ASV,missing,missing
SRR28618405,2317355,176118980,76,74,SRX24216663,GSM8196515,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986740,SAMN40921048,simple,10090,Mus musculus,GSM8196515,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,5xFADiPKR_rep2,cortex,cortex,male,1,microglia,5xFAD; Cx3cr1CreErt2/+;Eef1a1LSL.NS3.eGFPL10a.iPKR/+,tamoxifen and VEGF/ASV,missing,missing
SRR28618404,12520259,1264546159,101,525,SRX24216664,GSM8196516,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986741,SAMN40921047,simple,10090,Mus musculus,GSM8196516,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,5xFADiPKR_rep3,cortex,cortex,female,2,microglia,5xFAD; Cx3cr1CreErt2/+;Eef1a1LSL.NS3.eGFPL10a.iPKR/+,tamoxifen and VEGF/ASV,missing,missing
SRR28618403,20219360,2042155360,101,842,SRX24216665,GSM8196517,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986744,SAMN40921046,simple,10090,Mus musculus,GSM8196517,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,5xFADiPKR_rep4,cortex,cortex,female,2,microglia,5xFAD; Cx3cr1CreErt2/+;Eef1a1LSL.NS3.eGFPL10a.iPKR/+,tamoxifen and VEGF/ASV,missing,missing
