Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cultivar,dev_stage,geo_loc_name,tissue,1,BioSampleModel
SRR24423835,55427605,16628281500,150,6911,SRX20211507,20,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535574,SAMN34573105,simple,4081,Solanum lycopersicum,CR30-2-Riboseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-91,Red ripening fruit,China,Fruit,20,Plant
SRR24423834,20120801,6036240300,150,1852,SRX20211508,3,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535576,SAMN34573088,simple,4081,Solanum lycopersicum,CR0-3-RNAseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-91,Red ripening fruit,China,Fruit,3,Plant
SRR24423833,60969700,18290910000,150,7518,SRX20211509,21,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535575,SAMN34573106,simple,4081,Solanum lycopersicum,CR30-3-Riboseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-91,Red ripening fruit,China,Fruit,21,Plant
SRR24423832,51555563,15466668900,150,6381,SRX20211510,22,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535577,SAMN34573107,simple,4081,Solanum lycopersicum,CS30-1-Riboseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-189,Red ripening fruit,China,Fruit,22,Plant
SRR24423831,62606638,18781991400,150,7789,SRX20211511,23,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535579,SAMN34573108,simple,4081,Solanum lycopersicum,CS30-2-Riboseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-189,Red ripening fruit,China,Fruit,23,Plant
SRR24423830,59949818,17984945400,150,7455,SRX20211512,24,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535578,SAMN34573109,simple,4081,Solanum lycopersicum,CS30-3-Riboseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-189,Red ripening fruit,China,Fruit,24,Plant
SRR24423829,20528833,6158649900,150,1892,SRX20211513,4,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535580,SAMN34573089,simple,4081,Solanum lycopersicum,CS0-1-RNAseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-189,Red ripening fruit,China,Fruit,4,Plant
SRR24423828,20047145,6014143500,150,1825,SRX20211514,5,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535581,SAMN34573090,simple,4081,Solanum lycopersicum,CS0-2-RNAseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-189,Red ripening fruit,China,Fruit,5,Plant
SRR24423827,21856640,6556992000,150,1986,SRX20211515,6,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535584,SAMN34573091,simple,4081,Solanum lycopersicum,CS0-3-RNAseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-189,Red ripening fruit,China,Fruit,6,Plant
SRR24423826,20554980,6166494000,150,1854,SRX20211516,7,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535582,SAMN34573092,simple,4081,Solanum lycopersicum,CR30-1-RNAseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-91,Red ripening fruit,China,Fruit,7,Plant
SRR24423825,23649811,7094943300,150,2201,SRX20211517,8,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535585,SAMN34573093,simple,4081,Solanum lycopersicum,CR30-2-RNAseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-91,Red ripening fruit,China,Fruit,8,Plant
SRR24423824,21891051,6567315300,150,1987,SRX20211518,9,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535583,SAMN34573094,simple,4081,Solanum lycopersicum,CR30-3-RNAseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-91,Red ripening fruit,China,Fruit,9,Plant
SRR24423823,21419649,6425894700,150,1954,SRX20211519,10,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535586,SAMN34573095,simple,4081,Solanum lycopersicum,CS30-1-RNAseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-189,Red ripening fruit,China,Fruit,10,Plant
