Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,geo_loc_name,collection_date
SRR25288046,34891004,5303432608,76,1965,SRX21031660,GSM7611205,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304116,SAMN36459211,simple,9606,Homo sapiens,GSM7611205,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Ighmbp2 BioRep3 96h,HeLa,HeLa,Ighmbp2 siRNA 96h,missing,missing
SRR25288045,35080495,5332235240,76,1981,SRX21031661,GSM7611206,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304118,SAMN36459210,simple,9606,Homo sapiens,GSM7611206,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si THOC1 BioRep1 96h,HeLa,HeLa,THOC1 siRNA 96h,missing,missing
SRR25288044,37418778,5687654256,76,2127,SRX21031662,GSM7611207,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304119,SAMN36459209,simple,9606,Homo sapiens,GSM7611207,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si THOC1 BioRep2 96h,HeLa,HeLa,THOC1 siRNA 96h,missing,missing
SRR25288043,32482734,4937375568,76,1845,SRX21031663,GSM7611208,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304120,SAMN36459208,simple,9606,Homo sapiens,GSM7611208,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si THOC1 BioRep3 96h,HeLa,HeLa,THOC1 siRNA 96h,missing,missing
SRR25288042,32949907,5008385864,76,1878,SRX21031664,GSM7611209,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304121,SAMN36459207,simple,9606,Homo sapiens,GSM7611209,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si THOC2 BioRep1 96h,HeLa,HeLa,THOC2 siRNA 96h,missing,missing
SRR25288041,36664355,5572981960,76,2076,SRX21031665,GSM7611210,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304122,SAMN36459206,simple,9606,Homo sapiens,GSM7611210,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si THOC2 BioRep2 96h,HeLa,HeLa,THOC2 siRNA 96h,missing,missing
SRR25288040,34762114,5283841328,76,1966,SRX21031666,GSM7611211,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304123,SAMN36459205,simple,9606,Homo sapiens,GSM7611211,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si THOC2 BioRep3 96h,HeLa,HeLa,THOC2 siRNA 96h,missing,missing
SRR25288039,29919519,4547766888,76,1740,SRX21031667,GSM7611212,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304124,SAMN36459204,simple,9606,Homo sapiens,GSM7611212,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si THOC1+2 BioRep1 96h,HeLa,HeLa,THOC1+THOC2 siRNA 96h,missing,missing
SRR25288038,39467195,5999013640,76,2235,SRX21031668,GSM7611213,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304125,SAMN36459203,simple,9606,Homo sapiens,GSM7611213,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si THOC1+2 BioRep2 96h,HeLa,HeLa,THOC1+THOC2 siRNA 96h,missing,missing
SRR25288037,33099552,5031131904,76,1872,SRX21031669,GSM7611214,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304126,SAMN36459202,simple,9606,Homo sapiens,GSM7611214,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si THOC1+2 BioRep3 96h,HeLa,HeLa,THOC1+THOC2 siRNA 96h,missing,missing
SRR25288036,22530748,576334049,25,303,SRX21031670,GSM7611215,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304127,SAMN36459201,simple,9606,Homo sapiens,GSM7611215,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Control BioRep1 72h Ribo,HeLa,HeLa,Control siRNA (siLuciferase) 72h,missing,missing
SRR25288035,55890483,2125898678,38,1015,SRX21031671,GSM7611216,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304128,SAMN36459200,simple,9606,Homo sapiens,GSM7611216,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Control BioRep2 72h Ribo,HeLa,HeLa,Control siRNA (siLuciferase) 72h,missing,missing
SRR25288034,24688453,608059264,24,323,SRX21031672,GSM7611217,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304129,SAMN36459199,simple,9606,Homo sapiens,GSM7611217,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Ighmbp2 BioRep1 72h Ribo,HeLa,HeLa,Ighmbp2 siRNA 72h,missing,missing
