Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,developmental stage,cell type,genotype,treatment,geo_loc_name,collection_date
SRR28790259,23811897,7143569100,150,2290,SRX24354545,GSM8228795,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP503769,PRJNA1104180,,"",SRS21112313,SAMN41071437,simple,7955,Danio rerio,GSM8228795,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, RNAseq, high dose, dsRNA2",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,dsRNA,missing,missing
SRR28790258,18722630,5616789000,150,1780,SRX24354546,GSM8228796,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP503769,PRJNA1104180,,"",SRS21112314,SAMN41071436,simple,7955,Danio rerio,GSM8228796,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, RNAseq, high dose, dsRNA3",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,dsRNA,missing,missing
SRR28790257,34514751,10423454802,151,3453,SRX24354547,GSM8228797,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP503769,PRJNA1104180,,"",SRS21112315,SAMN41071435,simple,7955,Danio rerio,GSM8228797,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, Riboseq, low dose, uninj1",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,uninjected,missing,missing
SRR28790256,40172248,12132018896,151,4011,SRX24354548,GSM8228798,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP503769,PRJNA1104180,,"",SRS21112316,SAMN41071434,simple,7955,Danio rerio,GSM8228798,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, Riboseq, low dose, uninj2",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,uninjected,missing,missing
SRR28790255,41491501,12530433302,151,4162,SRX24354549,GSM8228799,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP503769,PRJNA1104180,,"",SRS21112317,SAMN41071433,simple,7955,Danio rerio,GSM8228799,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, Riboseq, low dose, dsRNA1",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,dsRNA,missing,missing
SRR28790254,44157433,13335544766,151,4419,SRX24354550,GSM8228800,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP503769,PRJNA1104180,,"",SRS21112318,SAMN41071432,simple,7955,Danio rerio,GSM8228800,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, Riboseq, low dose, dsRNA2",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,dsRNA,missing,missing
SRR28790253,44699780,13499333560,151,4371,SRX24354551,GSM8228801,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP503769,PRJNA1104180,,"",SRS21112319,SAMN41071431,simple,7955,Danio rerio,GSM8228801,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, Riboseq, high dose, uninj1",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,uninjected,missing,missing
SRR28790252,45155828,13637060056,151,4418,SRX24354552,GSM8228802,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP503769,PRJNA1104180,,"",SRS21112320,SAMN41071430,simple,7955,Danio rerio,GSM8228802,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, Riboseq, high dose, uninj2",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,uninjected,missing,missing
SRR28790251,43138837,13027928774,151,4218,SRX24354553,GSM8228803,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP503769,PRJNA1104180,,"",SRS21112321,SAMN41071429,simple,7955,Danio rerio,GSM8228803,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, Riboseq, high dose, dsRNA1",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,dsRNA,missing,missing
SRR28790250,52574063,15877367026,151,5139,SRX24354554,GSM8228804,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP503769,PRJNA1104180,,"",SRS21112322,SAMN41071428,simple,7955,Danio rerio,GSM8228804,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, Riboseq, high dose, dsRNA2",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,dsRNA,missing,missing
