Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,breed,host,isolation_source,collection_date,geo_loc_name,tissue,Sample_inf,BioSampleModel
SRR29090822,30185298,936047086,31,328,SRX24614880,D5-HSSC1-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352061,SAMN41464594,simple,9031,Gallus gallus,D5-HSSC1-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D5-HSSC1-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D5-HSSC1-Ribo,Invertebrate
SRR29090821,29621971,911307603,30,325,SRX24614881,D5-HSSC2-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352062,SAMN41464595,simple,9031,Gallus gallus,D5-HSSC2-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D5-HSSC2-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D5-HSSC2-Ribo,Invertebrate
SRR29090820,19733572,5920071600,150,1820,SRX24614882,D5-HSSC3-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352063,SAMN41464578,simple,9031,Gallus gallus,D5-HSSC3-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D5-HSSC3-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D5-HSSC3-RNA,Invertebrate
SRR29090819,30256270,932600555,30,327,SRX24614883,D5-HSSC3-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352064,SAMN41464596,simple,9031,Gallus gallus,D5-HSSC3-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D5-HSSC3-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D5-HSSC3-Ribo,Invertebrate
SRR29090818,30933209,818894549,26,244,SRX24614884,D5-LSSC1-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352065,SAMN41464597,simple,9031,Gallus gallus,D5-LSSC1-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D5-LSSC1-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D5-LSSC1-Ribo,Invertebrate
SRR29090817,31270812,853581619,27,325,SRX24614885,D5-LSSC2-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352066,SAMN41464598,simple,9031,Gallus gallus,D5-LSSC2-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D5-LSSC2-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D5-LSSC2-Ribo,Invertebrate
SRR29090816,30035149,795214614,26,237,SRX24614886,D5-LSSC3-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352067,SAMN41464599,simple,9031,Gallus gallus,D5-LSSC3-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D5-LSSC3-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D5-LSSC3-Ribo,Invertebrate
SRR29090815,26776858,707774906,26,271,SRX24614887,D10-HSSC1-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352068,SAMN41464600,simple,9031,Gallus gallus,D10-HSSC1-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D10-HSSC1-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D10-HSSC1-Ribo,Invertebrate
SRR29090814,30833602,803249117,26,316,SRX24614888,D10-HSSC2-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352069,SAMN41464601,simple,9031,Gallus gallus,D10-HSSC2-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D10-HSSC2-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D10-HSSC2-Ribo,Invertebrate
SRR29090813,31172661,837116702,26,252,SRX24614889,D10-HSSC3-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352070,SAMN41464602,simple,9031,Gallus gallus,D10-HSSC3-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D10-HSSC3-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D10-HSSC3-Ribo,Invertebrate
SRR29090812,30906625,823694818,26,254,SRX24614890,D10-LSSC1-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352071,SAMN41464603,simple,9031,Gallus gallus,D10-LSSC1-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D10-LSSC1-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D10-LSSC1-Ribo,Invertebrate
SRR29090811,30475084,824130454,27,277,SRX24614891,D10-LSSC2-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352072,SAMN41464604,simple,9031,Gallus gallus,D10-LSSC2-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D10-LSSC2-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D10-LSSC2-Ribo,Invertebrate
SRR29090810,31083565,837319916,26,259,SRX24614892,D10-LSSC3-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352073,SAMN41464605,simple,9031,Gallus gallus,D10-LSSC3-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D10-LSSC3-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D10-LSSC3-Ribo,Invertebrate
SRR29090809,22275587,6682676100,150,2153,SRX24614893,D5-LSSC1-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352074,SAMN41464579,simple,9031,Gallus gallus,D5-LSSC1-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D5-LSSC1-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D5-LSSC1-RNA,Invertebrate
SRR29090808,31166045,831708899,26,276,SRX24614894,D15-HSSC1-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352075,SAMN41464606,simple,9031,Gallus gallus,D15-HSSC1-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D15-HSSC1-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D15-HSSC1-Ribo,Invertebrate
SRR29090807,31260108,852474269,27,305,SRX24614895,D15-HSSC2-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352076,SAMN41464607,simple,9031,Gallus gallus,D15-HSSC2-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D15-HSSC2-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D15-HSSC2-Ribo,Invertebrate
SRR29090806,28364776,766159245,27,277,SRX24614896,D15-HSSC3-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352077,SAMN41464608,simple,9031,Gallus gallus,D15-HSSC3-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D15-HSSC3-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D15-HSSC3-Ribo,Invertebrate
SRR29090805,31482174,838725552,26,252,SRX24614897,D15-LSSC1-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352078,SAMN41464609,simple,9031,Gallus gallus,D15-LSSC1-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D15-LSSC1-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D15-LSSC1-Ribo,Invertebrate
SRR29090804,28964337,783531335,27,296,SRX24614898,D15-LSSC2-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352079,SAMN41464610,simple,9031,Gallus gallus,D15-LSSC2-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D15-LSSC2-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D15-LSSC2-Ribo,Invertebrate
SRR29090803,31551658,855178899,27,296,SRX24614899,D15-LSSC3-Ribo,Ribo-seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352080,SAMN41464611,simple,9031,Gallus gallus,D15-LSSC3-Ribo,Guangxi University,SRA1872046,05,2024,Xiao,"",D15-LSSC3-Ribo,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D15-LSSC3-Ribo,Invertebrate
SRR29090802,24724512,7417353600,150,2389,SRX24614900,D5-LSSC2-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352081,SAMN41464580,simple,9031,Gallus gallus,D5-LSSC2-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D5-LSSC2-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D5-LSSC2-RNA,Invertebrate
SRR29090801,25112263,7533678900,150,2379,SRX24614901,D5-LSSC3-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352082,SAMN41464581,simple,9031,Gallus gallus,D5-LSSC3-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D5-LSSC3-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D5-LSSC3-RNA,Invertebrate
SRR29090800,19887458,5966237400,150,1838,SRX24614902,D10-HSSC1-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352083,SAMN41464582,simple,9031,Gallus gallus,D10-HSSC1-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D10-HSSC1-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D10-HSSC1-RNA,Invertebrate
SRR29090799,20184540,6055362000,150,1868,SRX24614903,D10-HSSC2-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352084,SAMN41464583,simple,9031,Gallus gallus,D10-HSSC2-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D10-HSSC2-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D10-HSSC2-RNA,Invertebrate
SRR29090798,21717887,6515366100,150,2088,SRX24614904,D10-HSSC3-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352085,SAMN41464584,simple,9031,Gallus gallus,D10-HSSC3-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D10-HSSC3-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D10-HSSC3-RNA,Invertebrate
SRR29090797,25991290,7797387000,150,2446,SRX24614905,D10-LSSC1-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352086,SAMN41464585,simple,9031,Gallus gallus,D10-LSSC1-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D10-LSSC1-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D10-LSSC1-RNA,Invertebrate
