Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,antibody,treatment,geo_loc_name,collection_date
SRR26590546,20416589,4073137292,99,1268,SRX22291477,GSM7871223,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469268,PRJNA1033620,39223385,"",SRS19342438,SAMN38044749,simple,2961,Amphidinium carterae,GSM7871223,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, N, input-seq-N3",exponentially grown cells,exponentially grown cells,none,nitrogen-depletion f/2 medium,missing,missing
SRR26590545,19960171,4066181053,101,1266,SRX22291478,GSM7871224,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469268,PRJNA1033620,39223385,"",SRS19342440,SAMN38044748,simple,2961,Amphidinium carterae,GSM7871224,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, N , RIP-seq-N3",exponentially grown cells,exponentially grown cells,m1A,nitrogen-depletion f/2 medium,missing,missing
SRR26590544,24013360,7204008000,150,4269,SRX22291479,GSM7871225,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-T7,SRP469268,PRJNA1033620,39223385,"",SRS19342444,SAMN38044747,simple,2961,Amphidinium carterae,GSM7871225,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, F2 , RNA-seq-F1",exponentially grown cells,exponentially grown cells,,normal,missing,missing
SRR26590543,24024859,7207457700,150,4240,SRX22291480,GSM7871226,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-T7,SRP469268,PRJNA1033620,39223385,"",SRS19342430,SAMN38044746,simple,2961,Amphidinium carterae,GSM7871226,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, F2 , RNA-seq-F2",exponentially grown cells,exponentially grown cells,,normal,missing,missing
SRR26590542,24056792,7217037600,150,4104,SRX22291481,GSM7871227,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-T7,SRP469268,PRJNA1033620,39223385,"",SRS19342436,SAMN38044745,simple,2961,Amphidinium carterae,GSM7871227,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, F2 , RNA-seq-F3",exponentially grown cells,exponentially grown cells,,normal,missing,missing
SRR26590541,24019871,7205961300,150,4239,SRX22291482,GSM7871228,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-T7,SRP469268,PRJNA1033620,39223385,"",SRS19342437,SAMN38044744,simple,2961,Amphidinium carterae,GSM7871228,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, N , RNA-seq-N1",exponentially grown cells,exponentially grown cells,,nitrogen-depletion f/2 medium,missing,missing
SRR26590540,24003951,7201185300,150,4293,SRX22291483,GSM7871229,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-T7,SRP469268,PRJNA1033620,39223385,"",SRS19342441,SAMN38044743,simple,2961,Amphidinium carterae,GSM7871229,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, N , RNA-seq-N2",exponentially grown cells,exponentially grown cells,,nitrogen-depletion f/2 medium,missing,missing
SRR26590539,24094895,7228468500,150,4104,SRX22291484,GSM7871230,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-T7,SRP469268,PRJNA1033620,39223385,"",SRS19342439,SAMN38044742,simple,2961,Amphidinium carterae,GSM7871230,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, N , RNA-seq-N3",exponentially grown cells,exponentially grown cells,,nitrogen-depletion f/2 medium,missing,missing
SRR26590538,59336259,3263494245,50,3174,SRX22291485,GSM7871231,RNA-Seq,cDNA,OTHER,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP469268,PRJNA1033620,39223385,"",SRS19342443,SAMN38044741,simple,2961,Amphidinium carterae,GSM7871231,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, F2, Ribo-seq-F1",exponentially grown cells,exponentially grown cells,,normal,missing,missing
SRR26590537,115077496,6329262280,50,6175,SRX22291486,GSM7871232,RNA-Seq,cDNA,OTHER,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP469268,PRJNA1033620,39223385,"",SRS19342446,SAMN38044740,simple,2961,Amphidinium carterae,GSM7871232,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, F2, Ribo-seq-F2",exponentially grown cells,exponentially grown cells,,normal,missing,missing
SRR26590536,128534008,7069370440,50,6910,SRX22291487,GSM7871233,OTHER,other,OTHER,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP469268,PRJNA1033620,39223385,"",SRS19342445,SAMN38044739,simple,2961,Amphidinium carterae,GSM7871233,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, N, Ribo-seq-N1",exponentially grown cells,exponentially grown cells,,nitrogen-depletion f/2 medium,missing,missing
SRR26590535,148669204,8176806220,50,7949,SRX22291488,GSM7871234,OTHER,other,OTHER,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP469268,PRJNA1033620,39223385,"",SRS19342447,SAMN38044738,simple,2961,Amphidinium carterae,GSM7871234,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, N, Ribo-seq-N2",exponentially grown cells,exponentially grown cells,,nitrogen-depletion f/2 medium,missing,missing
