Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,type,GEO Accession
SRR6949777,7003578,357182478,51,160,SRX3893262,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131035,SAMN08872696,simple,10090,Mus musculus,GSM3083075,GEO,SRA682802,07,2018,Freimer,ESCs_DDX8KO_4su,DGCR8KO 1 4sU,ESCs_WT 4sU,embryonic stem cells,wild type,4sU,GSM3083070
SRR6949778,48450239,2470962189,51,897,SRX3893263,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131034,SAMN08872695,simple,10090,Mus musculus,GSM3083076,GEO,SRA682802,07,2018,Freimer,ESCs_DDX8KO_4su,DGCR8KO 2 4sU,ESCs_WT 4sU,embryonic stem cells,wild type,4sU,GSM3083071
SRR6949779,7140699,364175649,51,163,SRX3893263,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131034,SAMN08872695,simple,10090,Mus musculus,GSM3083076,GEO,SRA682802,07,2018,Freimer,ESCs_DDX8KO_4su,DGCR8KO 2 4sU,ESCs_WT total,embryonic stem cells,wild type,total RNA,GSM3083072
SRR6949780,47234035,2408935785,51,869,SRX3893264,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131036,SAMN08872694,simple,10090,Mus musculus,GSM3083077,GEO,SRA682802,07,2018,Freimer,ESCs_DDX8KO_4su,DGCR8KO 3 4sU,ESCs_WT total,embryonic stem cells,wild type,total RNA,GSM3083073
SRR6949781,5797905,295693155,51,126,SRX3893264,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131036,SAMN08872694,simple,10090,Mus musculus,GSM3083077,GEO,SRA682802,07,2018,Freimer,ESCs_DDX8KO_4su,DGCR8KO 3 4sU,ESCs_WT total,embryonic stem cells,wild type,total RNA,GSM3083074
SRR6949782,11602418,591723318,51,212,SRX3893265,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131038,SAMN08872693,simple,10090,Mus musculus,GSM3083078,GEO,SRA682802,07,2018,Freimer,ESCs_DDX8KO_total,DGCR8KO 1 total RNA,ESCs_DDX8KO_4su,embryonic stem cells,DGCR8 KO,4sU,GSM3083075
SRR6949783,4849941,247346991,51,105,SRX3893265,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131038,SAMN08872693,simple,10090,Mus musculus,GSM3083078,GEO,SRA682802,07,2018,Freimer,ESCs_DDX8KO_total,DGCR8KO 1 total RNA,ESCs_DDX8KO_4su,embryonic stem cells,DGCR8 KO,4sU,GSM3083076
SRR6949784,10212847,520855197,51,188,SRX3893266,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131037,SAMN08872692,simple,10090,Mus musculus,GSM3083079,GEO,SRA682802,07,2018,Freimer,ESCs_DDX8KO_total,DGCR8KO 2 total RNA,ESCs_DDX8KO_4su,embryonic stem cells,DGCR8 KO,4sU,GSM3083077
SRR6949785,4268065,217671315,51,92,SRX3893266,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131037,SAMN08872692,simple,10090,Mus musculus,GSM3083079,GEO,SRA682802,07,2018,Freimer,ESCs_DDX8KO_total,DGCR8KO 2 total RNA,ESCs_DDX8KO_total,embryonic stem cells,DGCR8 KO,total RNA,GSM3083078
SRR6949786,8901014,453951714,51,163,SRX3893267,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131039,SAMN08872691,simple,10090,Mus musculus,GSM3083080,GEO,SRA682802,07,2018,Freimer,ESCs_DDX8KO_total,DGCR8KO 3 total RNA,ESCs_DDX8KO_total,embryonic stem cells,DGCR8 KO,total RNA,GSM3083079
SRR6949787,3845885,196140135,51,85,SRX3893267,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131039,SAMN08872691,simple,10090,Mus musculus,GSM3083080,GEO,SRA682802,07,2018,Freimer,ESCs_DDX8KO_total,DGCR8KO 3 total RNA,ESCs_DDX8KO_total,embryonic stem cells,DGCR8 KO,total RNA,GSM3083080
