Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,lentivirus,fraction,treatment,geo_loc_name,collection_date
SRR21503379,92540056,2934724961,31,1091,SRX17505963,GSM6568759,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057648,SAMN30755354,simple,10090,Mus musculus,GSM6568759,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,DEP_Pan_pd_rep_2 [Ribo-Seq],NA,primary neuronal culture (cortical),Pan-TurboID,streptavidin pulldown,Chx + KCl depolarization,missing,missing
SRR21503378,38753987,1284427300,33,472,SRX17505964,GSM6568760,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057649,SAMN30755353,simple,10090,Mus musculus,GSM6568760,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,DEP_PSD95_in_rep_2 [Ribo-Seq],NA,primary neuronal culture (cortical),PSD95-TurboID,input,Chx + KCl depolarization,missing,missing
SRR21503377,92772972,3039690731,32,1111,SRX17505965,GSM6568761,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057650,SAMN30755352,simple,10090,Mus musculus,GSM6568761,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,DEP_PSD95_pd_rep_2 [Ribo-Seq],NA,primary neuronal culture (cortical),PSD95-TurboID,streptavidin pulldown,Chx + KCl depolarization,missing,missing
SRR21503376,29274768,961554771,32,352,SRX17505966,GSM6568762,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057651,SAMN30755351,simple,10090,Mus musculus,GSM6568762,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,REST_Pan_in_rep_2 [Ribo-Seq],NA,primary neuronal culture (cortical),Pan-TurboID,input,Chx,missing,missing
SRR21503375,27698795,881918484,31,322,SRX17505967,GSM6568763,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057652,SAMN30755350,simple,10090,Mus musculus,GSM6568763,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,REST_Pan_pd_rep_2 [Ribo-Seq],NA,primary neuronal culture (cortical),Pan-TurboID,streptavidin pulldown,Chx,missing,missing
SRR21503374,31206733,1053172738,33,385,SRX17505968,GSM6568764,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057653,SAMN30755349,simple,10090,Mus musculus,GSM6568764,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,REST_PSD95_in_rep_2 [Ribo-Seq],NA,primary neuronal culture (cortical),PSD95-TurboID,input,Chx,missing,missing
SRR21503373,42941400,1408226536,32,514,SRX17505969,GSM6568766,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057654,SAMN30755347,simple,10090,Mus musculus,GSM6568766,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,DEP_Pan_in_rep_3 [Ribo-Seq],NA,primary neuronal culture (cortical),Pan-TurboID,input,Chx + KCl depolarization,missing,missing
SRR21503372,27447386,917038346,33,336,SRX17505970,GSM6568767,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057655,SAMN30755346,simple,10090,Mus musculus,GSM6568767,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,DEP_Pan_pd_rep_3 [Ribo-Seq],NA,primary neuronal culture (cortical),Pan-TurboID,streptavidin pulldown,Chx + KCl depolarization,missing,missing
SRR21503371,69526334,2330138804,33,854,SRX17505971,GSM6568768,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057656,SAMN30755345,simple,10090,Mus musculus,GSM6568768,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,DEP_PSD95_in_rep_3 [Ribo-Seq],NA,primary neuronal culture (cortical),PSD95-TurboID,input,Chx + KCl depolarization,missing,missing
SRR21503370,26011819,875618025,33,320,SRX17505972,GSM6568769,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057657,SAMN30755344,simple,10090,Mus musculus,GSM6568769,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,DEP_PSD95_pd_rep_3 [Ribo-Seq],NA,primary neuronal culture (cortical),PSD95-TurboID,streptavidin pulldown,Chx + KCl depolarization,missing,missing
SRR21503369,31502146,1045834230,33,380,SRX17505973,GSM6568770,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057658,SAMN30755343,simple,10090,Mus musculus,GSM6568770,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,REST_Pan_in_rep_3 [Ribo-Seq],NA,primary neuronal culture (cortical),Pan-TurboID,input,Chx,missing,missing
SRR21503368,65392640,2179796108,33,800,SRX17505974,GSM6568771,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057659,SAMN30755342,simple,10090,Mus musculus,GSM6568771,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,REST_Pan_pd_rep_3 [Ribo-Seq],NA,primary neuronal culture (cortical),Pan-TurboID,streptavidin pulldown,Chx,missing,missing
SRR21503367,30679698,1000505858,32,366,SRX17505975,GSM6568772,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057660,SAMN30755341,simple,10090,Mus musculus,GSM6568772,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,REST_PSD95_in_rep_3 [Ribo-Seq],NA,primary neuronal culture (cortical),PSD95-TurboID,input,Chx,missing,missing
SRR21503366,26770619,895987548,33,316,SRX17505976,GSM6568773,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057661,SAMN30755340,simple,10090,Mus musculus,GSM6568773,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,REST_PSD95_pd_rep_3 [Ribo-Seq],NA,primary neuronal culture (cortical),PSD95-TurboID,streptavidin pulldown,Chx,missing,missing
SRR28589550,84512998,2614765129,30,943,SRX24188996,GSM8192321,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963044,SAMN40874342,simple,10090,Mus musculus,GSM8192321,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),DHPG_in_rep1,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,input,Chx + DHPG treatment,missing,missing
SRR28589549,53071273,1644923543,30,608,SRX24188997,GSM8192322,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963045,SAMN40874341,simple,10090,Mus musculus,GSM8192322,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),DHPG_in_rep2,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,input,Chx + DHPG treatment,missing,missing
SRR28589545,59985979,1844919939,30,675,SRX24188998,GSM8192323,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963046,SAMN40874340,simple,10090,Mus musculus,GSM8192323,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),DHPG_in_rep3,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,input,Chx + DHPG treatment,missing,missing
SRR28589544,71512278,2226010289,31,818,SRX24188999,GSM8192324,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963047,SAMN40874339,simple,10090,Mus musculus,GSM8192324,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),DHPG_pd_rep1,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,streptavidin pulldown,Chx + DHPG treatment,missing,missing
SRR28589546,80337597,2522167136,31,921,SRX24189000,GSM8192325,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963048,SAMN40874338,simple,10090,Mus musculus,GSM8192325,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),DHPG_pd_rep2,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,streptavidin pulldown,Chx + DHPG treatment,missing,missing
SRR28589543,149507562,4688265623,31,1682,SRX24189001,GSM8192326,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963049,SAMN40874337,simple,10090,Mus musculus,GSM8192326,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),DHPG_pd_rep3,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,streptavidin pulldown,Chx + DHPG treatment,missing,missing
SRR28589547,60928640,1938659860,31,709,SRX24189002,GSM8192327,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963050,SAMN40874336,simple,10090,Mus musculus,GSM8192327,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),KD_in_Rest1,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,input,eIF4G2 siRNAs + Chx,missing,missing
SRR28589542,70223158,2216633795,31,816,SRX24189003,GSM8192328,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963051,SAMN40874335,simple,10090,Mus musculus,GSM8192328,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),KD_in_Rest2,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,input,eIF4G2 siRNAs + Chx,missing,missing
SRR28589548,57627114,1827487803,31,676,SRX24189004,GSM8192329,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963052,SAMN40874334,simple,10090,Mus musculus,GSM8192329,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),KD_pd_Rest1,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,streptavidin pulldown,eIF4G2 siRNAs + Chx,missing,missing
SRR28589541,62415898,1970098092,31,721,SRX24189005,GSM8192330,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963054,SAMN40874333,simple,10090,Mus musculus,GSM8192330,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),KD_pd_Rest2,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,streptavidin pulldown,eIF4G2 siRNAs + Chx,missing,missing
SRR28589540,45509034,1457114364,32,537,SRX24189006,GSM8192331,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963053,SAMN40874332,simple,10090,Mus musculus,GSM8192331,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),KD_in_Dep1,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,input,eIF4G2 siRNAs + Chx + KCl depolarization,missing,missing
SRR28589538,37420698,1190949057,31,444,SRX24189007,GSM8192332,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963055,SAMN40874331,simple,10090,Mus musculus,GSM8192332,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),KD_in_Dep2,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,input,eIF4G2 siRNAs + Chx + KCl depolarization,missing,missing
SRR28589537,49216132,1538798352,31,574,SRX24189008,GSM8192333,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963056,SAMN40874330,simple,10090,Mus musculus,GSM8192333,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),KD_pd_Dep1,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,streptavidin pulldown,eIF4G2 siRNAs + Chx + KCl depolarization,missing,missing
SRR28589539,32653146,1039828922,31,395,SRX24189009,GSM8192334,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS20963057,SAMN40874329,simple,10090,Mus musculus,GSM8192334,Rockefeller University,SRA1841776,04,2024,Hacisuleyman,primary neuronal culture (cortical),KD_pd_Dep2,primary neuronal culture (cortical),primary neuronal culture (cortical),PSD95-TurboID,streptavidin pulldown,eIF4G2 siRNAs + Chx + KCl depolarization,missing,missing
