Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,geo_loc_name,collection_date
SRR30321786,29085651,592020626,20,909,SRX25782012,GSM8475121,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414181,SAMN43276746,simple,9606,Homo sapiens,GSM8475121,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_erf1_input_trex,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,Naive,missing,missing
SRR30321785,22367750,468179029,20,705,SRX25782013,GSM8475122,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414182,SAMN43276745,simple,9606,Homo sapiens,GSM8475122,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_erf1_input_WT1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1 overexpression,missing,missing
SRR30321784,28995102,600420731,20,911,SRX25782014,GSM8475123,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414183,SAMN43276744,simple,9606,Homo sapiens,GSM8475123,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_erf1_input_WT2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1 overexpression,missing,missing
SRR30321783,24766617,517572630,20,782,SRX25782015,GSM8475124,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414184,SAMN43276743,simple,9606,Homo sapiens,GSM8475124,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_erf1_input_AAQ1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1-AAQ overexpression,missing,missing
SRR30321782,21974663,472388881,21,697,SRX25782016,GSM8475125,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414185,SAMN43276742,simple,9606,Homo sapiens,GSM8475125,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_erf1_input_AAQ2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1-AAQ overexpression,missing,missing
SRR30321781,4856249,108104213,22,157,SRX25782017,GSM8475126,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414186,SAMN43276741,simple,9606,Homo sapiens,GSM8475126,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_erf1_IP_trex,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,Naive,missing,missing
SRR30321780,36511294,924760622,25,1199,SRX25782018,GSM8475127,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414187,SAMN43276740,simple,9606,Homo sapiens,GSM8475127,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_erf1_IP_WT1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1 overexpression,missing,missing
SRR30321779,42081765,1047238670,24,1373,SRX25782019,GSM8475128,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414188,SAMN43276739,simple,9606,Homo sapiens,GSM8475128,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_erf1_IP_WT2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1 overexpression,missing,missing
SRR30321778,85899839,2121256450,24,2799,SRX25782020,GSM8475129,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414190,SAMN43276738,simple,9606,Homo sapiens,GSM8475129,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_erf1_IP_AAQ1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1-AAQ overexpression,missing,missing
SRR30321777,40480333,1006736979,24,1322,SRX25782021,GSM8475130,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414189,SAMN43276737,simple,9606,Homo sapiens,GSM8475130,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_erf1_IP_AAQ2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1-AAQ overexpression,missing,missing
SRR30321776,59952690,2795126479,46,2372,SRX25782022,GSM8475131,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414191,SAMN43276736,simple,9606,Homo sapiens,GSM8475131,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_kd_CTRL_rep1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,Knockdown control,missing,missing
SRR30321775,36604245,1662993261,45,1430,SRX25782023,GSM8475132,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414192,SAMN43276735,simple,9606,Homo sapiens,GSM8475132,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_kd_CTRL_rep2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,Knockdown control,missing,missing
SRR30321774,74199687,3400102250,45,2909,SRX25782024,GSM8475133,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414193,SAMN43276734,simple,9606,Homo sapiens,GSM8475133,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_kd_ABCE1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,ABCE1 knockdown,missing,missing
SRR30321773,23708960,1024740742,43,910,SRX25782025,GSM8475134,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414194,SAMN43276733,simple,9606,Homo sapiens,GSM8475134,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_kd_ASCC3,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,ASCC3 knockdown,missing,missing
SRR30321772,49447518,2122739319,42,1896,SRX25782026,GSM8475135,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414195,SAMN43276732,simple,9606,Homo sapiens,GSM8475135,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_kd_4EHP_rep1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,4EHP knockdown,missing,missing
SRR30321771,43529704,1853419010,42,1664,SRX25782027,GSM8475136,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414196,SAMN43276731,simple,9606,Homo sapiens,GSM8475136,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_kd_4EHP_rep2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,4EHP knockdown,missing,missing
SRR30321770,35558383,1613396615,45,1394,SRX25782028,GSM8475137,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414197,SAMN43276730,simple,9606,Homo sapiens,GSM8475137,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_kd_ASCC3_4EHP_rep1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,"ASCC3, 4EHP double knockdown",missing,missing
SRR30321769,58869087,2454285813,41,2235,SRX25782029,GSM8475138,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414198,SAMN43276729,simple,9606,Homo sapiens,GSM8475138,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_kd_ASCC3_4EHP_rep2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,"ASCC3, 4EHP double knockdown",missing,missing
SRR30321768,23835885,612490489,25,777,SRX25782030,GSM8475139,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414199,SAMN43276728,simple,9606,Homo sapiens,GSM8475139,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_kd_CTRL_rep1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,Knockdown control,missing,missing
SRR30321767,25252677,614572478,24,811,SRX25782031,GSM8475140,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414200,SAMN43276727,simple,9606,Homo sapiens,GSM8475140,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_kd_CTRL_rep2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,Knockdown control,missing,missing
SRR30321766,30464925,738161689,24,978,SRX25782032,GSM8475141,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414201,SAMN43276726,simple,9606,Homo sapiens,GSM8475141,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_kd_ABCE1_rep1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,ABCE1 knockdown,missing,missing
SRR30321765,27604572,675248204,24,890,SRX25782033,GSM8475142,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414202,SAMN43276725,simple,9606,Homo sapiens,GSM8475142,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_kd_ABCE1_rep2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,ABCE1 knockdown,missing,missing
SRR30321764,7245853,174539307,24,233,SRX25782034,GSM8475143,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414203,SAMN43276724,simple,9606,Homo sapiens,GSM8475143,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_kd_ASCC3_rep1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,ASCC3 knockdown,missing,missing
SRR30321763,24461647,554310186,22,775,SRX25782035,GSM8475144,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414205,SAMN43276723,simple,9606,Homo sapiens,GSM8475144,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_kd_ASCC3_rep2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,ASCC3 knockdown,missing,missing
SRR30321762,14920654,368225618,24,482,SRX25782036,GSM8475145,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414204,SAMN43276722,simple,9606,Homo sapiens,GSM8475145,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_kd_4EHP_rep1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,4EHP knockdown,missing,missing
SRR30321761,23572873,574908754,24,759,SRX25782037,GSM8475146,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414206,SAMN43276721,simple,9606,Homo sapiens,GSM8475146,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_kd_4EHP_rep2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,4EHP knockdown,missing,missing
SRR30321760,20290604,488493779,24,652,SRX25782038,GSM8475147,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414207,SAMN43276720,simple,9606,Homo sapiens,GSM8475147,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_kd_ASCC3_4EHP_rep1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,"ASCC3, 4EHP double knockdown",missing,missing
SRR30321759,42969222,1014101447,23,1371,SRX25782039,GSM8475148,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414208,SAMN43276719,simple,9606,Homo sapiens,GSM8475148,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,m_kd_ASCC3_4EHP_rep2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,"ASCC3, 4EHP double knockdown",missing,missing
SRR30321758,28600968,7272704004,127,2720,SRX25782040,GSM8475149,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414209,SAMN43276718,simple,9606,Homo sapiens,GSM8475149,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,kd_CTRL_RNAseq_rep1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,Knockdown control,missing,missing
SRR30321757,33855035,8459391709,124,3159,SRX25782041,GSM8475150,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414210,SAMN43276717,simple,9606,Homo sapiens,GSM8475150,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,kd_CTRL_RNAseq_rep2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,Knockdown control,missing,missing
SRR30321756,26792389,6474269638,120,2401,SRX25782042,GSM8475151,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414212,SAMN43276716,simple,9606,Homo sapiens,GSM8475151,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,kd_ASCC3_RNAseq_rep1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,ASCC3 knockdown,missing,missing
SRR30321755,28078082,6875924656,122,2557,SRX25782043,GSM8475152,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414211,SAMN43276715,simple,9606,Homo sapiens,GSM8475152,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,kd_ASCC3_RNAseq_rep2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,ASCC3 knockdown,missing,missing
SRR30321754,28208857,7269611379,128,2716,SRX25782044,GSM8475153,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414213,SAMN43276714,simple,9606,Homo sapiens,GSM8475153,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,kd_4EHP_RNAseq_rep1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,4EHP knockdown,missing,missing
SRR30321753,28650484,6821449546,118,2568,SRX25782045,GSM8475154,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414214,SAMN43276713,simple,9606,Homo sapiens,GSM8475154,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,kd_4EHP_RNAseq_rep2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,4EHP knockdown,missing,missing
SRR30321752,30860214,7999417865,129,3002,SRX25782046,GSM8475155,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414215,SAMN43276712,simple,9606,Homo sapiens,GSM8475155,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,kd_ASCC3_4EHP_RNAseq_rep1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,"ASCC3, 4EHP double knockdown",missing,missing
SRR30321751,29328141,7363338251,125,2737,SRX25782047,GSM8475156,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414216,SAMN43276711,simple,9606,Homo sapiens,GSM8475156,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,kd_ASCC3_4EHP_RNAseq_rep2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,"ASCC3, 4EHP double knockdown",missing,missing
