Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,genotype,infection,geo_loc_name,collection_date
SRR30826332,39585500,11954821000,151,3746,SRX26225683,GSM8544818,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767383,SAMN43965202,simple,9606,Homo sapiens,GSM8544818,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_80s ribosome_2,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826331,40339468,12182519336,151,3831,SRX26225684,GSM8544819,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767382,SAMN43965201,simple,9606,Homo sapiens,GSM8544819,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_polysomes_2,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826330,31471835,9504494170,151,2982,SRX26225685,GSM8544820,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767384,SAMN43965200,simple,9606,Homo sapiens,GSM8544820,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_total_2,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826329,23714498,7161778396,151,2273,SRX26225686,GSM8544821,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767385,SAMN43965199,simple,9606,Homo sapiens,GSM8544821,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_mock_80s ribosome_3,HAP1,HAP1,wild type,Haploid,mock,missing,missing
SRR30826328,27682051,8359979402,151,2645,SRX26225687,GSM8544822,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767387,SAMN43965198,simple,9606,Homo sapiens,GSM8544822,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_mock_polysomes_3,HAP1,HAP1,wild type,Haploid,mock,missing,missing
SRR30826327,25107734,7582535668,151,2401,SRX26225688,GSM8544823,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767388,SAMN43965197,simple,9606,Homo sapiens,GSM8544823,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_mock_total_3,HAP1,HAP1,wild type,Haploid,mock,missing,missing
SRR30826326,29568051,8929551402,151,2862,SRX26225689,GSM8544824,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767389,SAMN43965196,simple,9606,Homo sapiens,GSM8544824,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_80s ribosome_3,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826325,27802116,8396239032,151,2677,SRX26225690,GSM8544825,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767390,SAMN43965195,simple,9606,Homo sapiens,GSM8544825,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_polysomes_3,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826324,24671977,7450937054,151,2387,SRX26225691,GSM8544826,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767391,SAMN43965194,simple,9606,Homo sapiens,GSM8544826,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_total_3,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826323,39896656,12048790112,151,3872,SRX26225692,GSM8544827,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767392,SAMN43965193,simple,9606,Homo sapiens,GSM8544827,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_mock_80s ribosome_4,HAP1,HAP1,wild type,Haploid,mock,missing,missing
SRR30826322,26074276,7874431352,151,2529,SRX26225693,GSM8544828,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767394,SAMN43965192,simple,9606,Homo sapiens,GSM8544828,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_mock_polysomes_4,HAP1,HAP1,wild type,Haploid,mock,missing,missing
SRR30826321,38340130,11578719260,151,3744,SRX26225694,GSM8544829,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767396,SAMN43965191,simple,9606,Homo sapiens,GSM8544829,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_80s ribosome_4,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826320,35453182,10706860964,151,3445,SRX26225695,GSM8544830,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767395,SAMN43965190,simple,9606,Homo sapiens,GSM8544830,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_polysomes_4,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826319,23842387,7200400874,151,2242,SRX26225696,GSM8544831,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767398,SAMN43965189,simple,9606,Homo sapiens,GSM8544831,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1_RACK1KO_VacV_80s ribosome_1,HAP1,HAP1,RACK1 knock out,Haploid,VacV,missing,missing
SRR30826318,24344747,7352113594,151,2268,SRX26225697,GSM8544832,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767397,SAMN43965188,simple,9606,Homo sapiens,GSM8544832,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1_RACK1KO_VacV_polysome_1,HAP1,HAP1,RACK1 knock out,Haploid,VacV,missing,missing
SRR30826317,21208884,6405082968,151,1984,SRX26225698,GSM8544833,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767401,SAMN43965187,simple,9606,Homo sapiens,GSM8544833,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1_RACK1KO_VacV_total_1,HAP1,HAP1,RACK1 knock out,Haploid,VacV,missing,missing
SRR30826316,25571599,7722622898,151,2416,SRX26225699,GSM8544834,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767400,SAMN43965186,simple,9606,Homo sapiens,GSM8544834,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_80s ribosome_5,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826315,20741203,6263843306,151,1932,SRX26225700,GSM8544835,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767399,SAMN43965185,simple,9606,Homo sapiens,GSM8544835,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_polysomes_5,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826314,19187654,5794671508,151,1791,SRX26225701,GSM8544836,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767402,SAMN43965184,simple,9606,Homo sapiens,GSM8544836,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_total_5,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826313,26856084,8110537368,151,2605,SRX26225702,GSM8544837,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767403,SAMN43965183,simple,9606,Homo sapiens,GSM8544837,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1_RACK1KO_VacV_80s ribosome_2,HAP1,HAP1,RACK1 knock out,Haploid,VacV,missing,missing
