Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,GEO Accession
SRR16894992,30722552,6205955504,101,1958,SRX13087669,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024478,SAMN23012086,simple,9606,Homo sapiens,GSM5684325,GEO,SRA1326896,12,2024,Liu,HEK293T,WT 5' SLAM-seq 6 h rep2,HEK293T,wild-type,GSM5684325
SRR16894993,30174290,6095206580,101,1957,SRX13087670,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024479,SAMN23012087,simple,9606,Homo sapiens,GSM5684326,GEO,SRA1326896,12,2024,Liu,HEK293T,WT 5' SLAM-seq 12 h rep2,HEK293T,wild-type,GSM5684326
SRR16894994,34859386,7041595972,101,2275,SRX13087671,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024480,SAMN23012088,simple,9606,Homo sapiens,GSM5684327,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO 5' SLAM-seq 0 h rep2,HEK293T,PCIF1 knockout,GSM5684327
SRR16894995,40070863,8094314326,101,2617,SRX13087672,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024482,SAMN23012089,simple,9606,Homo sapiens,GSM5684328,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO 5' SLAM-seq 2 h rep2,HEK293T,PCIF1 knockout,GSM5684328
SRR16894996,26782787,5410122974,101,1719,SRX13087673,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024483,SAMN23012090,simple,9606,Homo sapiens,GSM5684329,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO 5' SLAM-seq 6 h rep2,HEK293T,PCIF1 knockout,GSM5684329
SRR16894997,33670690,6801479380,101,2205,SRX13087674,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024481,SAMN23012091,simple,9606,Homo sapiens,GSM5684330,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO 5' SLAM-seq 12 h rep2,HEK293T,PCIF1 knockout,GSM5684330
SRR16894998,112071102,10942039667,48,3567,SRX13087675,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024485,SAMN23012092,simple,9606,Homo sapiens,GSM5684331,GEO,SRA1326896,12,2024,Liu,HEK293T,WT input rep1,HEK293T,wild-type,GSM5684331
SRR16894999,65795164,6639261565,50,2143,SRX13087676,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024484,SAMN23012093,simple,9606,Homo sapiens,GSM5684332,GEO,SRA1326896,12,2024,Liu,HEK293T,WT polysome fraction 1 rep1,HEK293T,wild-type,GSM5684332
SRR16895000,79537489,8019615727,50,2593,SRX13087677,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024486,SAMN23012094,simple,9606,Homo sapiens,GSM5684333,GEO,SRA1326896,12,2024,Liu,HEK293T,WT polysome fraction 2 rep1,HEK293T,wild-type,GSM5684333
SRR16895001,133194357,12587106950,47,4211,SRX13087678,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024487,SAMN23012095,simple,9606,Homo sapiens,GSM5684334,GEO,SRA1326896,12,2024,Liu,HEK293T,WT polysome fraction 3 rep1,HEK293T,wild-type,GSM5684334
SRR16895002,62354493,6300392890,50,2014,SRX13087679,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024490,SAMN23012096,simple,9606,Homo sapiens,GSM5684335,GEO,SRA1326896,12,2024,Liu,HEK293T,WT polysome fraction 4 rep1,HEK293T,wild-type,GSM5684335
SRR16895003,60687973,6116177467,50,1934,SRX13087680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024488,SAMN23012097,simple,9606,Homo sapiens,GSM5684336,GEO,SRA1326896,12,2024,Liu,HEK293T,WT polysome fraction 5 rep1,HEK293T,wild-type,GSM5684336
SRR16895004,125131304,12075396582,48,3969,SRX13087681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024489,SAMN23012098,simple,9606,Homo sapiens,GSM5684337,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO input rep1,HEK293T,PCIF1 knockout,GSM5684337
SRR16895005,46090946,4645648375,50,1497,SRX13087682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024491,SAMN23012099,simple,9606,Homo sapiens,GSM5684338,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO polysome fraction 1 rep1,HEK293T,PCIF1 knockout,GSM5684338
SRR16895006,56339593,5674430723,50,1827,SRX13087683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024492,SAMN23012100,simple,9606,Homo sapiens,GSM5684339,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO polysome fraction 2 rep1,HEK293T,PCIF1 knockout,GSM5684339
SRR16895007,109182511,10288279154,47,3453,SRX13087684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024493,SAMN23012101,simple,9606,Homo sapiens,GSM5684340,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO polysome fraction 3 rep1,HEK293T,PCIF1 knockout,GSM5684340
SRR16895008,64019629,6469514843,50,2075,SRX13087685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024494,SAMN23012102,simple,9606,Homo sapiens,GSM5684341,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO polysome fraction 4 rep1,HEK293T,PCIF1 knockout,GSM5684341
SRR16895009,46439282,4675306771,50,1484,SRX13087686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024495,SAMN23012103,simple,9606,Homo sapiens,GSM5684342,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO polysome fraction 5 rep1,HEK293T,PCIF1 knockout,GSM5684342
SRR16895010,149777524,13936967056,46,4664,SRX13087687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024496,SAMN23012104,simple,9606,Homo sapiens,GSM5684343,GEO,SRA1326896,12,2024,Liu,HEK293T,WT input rep2,HEK293T,wild-type,GSM5684343
SRR16895011,108875198,10889549925,50,3500,SRX13087688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024497,SAMN23012105,simple,9606,Homo sapiens,GSM5684344,GEO,SRA1326896,12,2024,Liu,HEK293T,WT polysome fraction 1 rep2,HEK293T,wild-type,GSM5684344
SRR16895012,114779198,11467215140,50,3702,SRX13087689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024498,SAMN23012106,simple,9606,Homo sapiens,GSM5684345,GEO,SRA1326896,12,2024,Liu,HEK293T,WT polysome fraction 2 rep2,HEK293T,wild-type,GSM5684345
SRR16895013,109196043,10900862979,50,3496,SRX13087690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024499,SAMN23012107,simple,9606,Homo sapiens,GSM5684346,GEO,SRA1326896,12,2024,Liu,HEK293T,WT polysome fraction 3 rep2,HEK293T,wild-type,GSM5684346
SRR16895014,119962434,11703555640,48,3790,SRX13087691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024501,SAMN23012108,simple,9606,Homo sapiens,GSM5684347,GEO,SRA1326896,12,2024,Liu,HEK293T,WT polysome fraction 4 rep2,HEK293T,wild-type,GSM5684347
SRR16895015,105199340,10434308593,49,3345,SRX13087692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024500,SAMN23012109,simple,9606,Homo sapiens,GSM5684348,GEO,SRA1326896,12,2024,Liu,HEK293T,WT polysome fraction 5 rep2,HEK293T,wild-type,GSM5684348
SRR16895016,119413588,11167120848,46,3754,SRX13087693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024503,SAMN23012110,simple,9606,Homo sapiens,GSM5684349,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO input rep2,HEK293T,PCIF1 knockout,GSM5684349
SRR16895017,108412015,10807806072,49,3480,SRX13087694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024502,SAMN23012111,simple,9606,Homo sapiens,GSM5684350,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO polysome fraction 1 rep2,HEK293T,PCIF1 knockout,GSM5684350
SRR16895018,144921980,14364127658,49,4632,SRX13087695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024504,SAMN23012112,simple,9606,Homo sapiens,GSM5684351,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO polysome fraction 2 rep2,HEK293T,PCIF1 knockout,GSM5684351
SRR16895019,133861299,13297495197,49,4266,SRX13087696,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024505,SAMN23012113,simple,9606,Homo sapiens,GSM5684352,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO polysome fraction 3 rep2,HEK293T,PCIF1 knockout,GSM5684352
SRR16895020,104102222,10298296380,49,3321,SRX13087697,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024506,SAMN23012114,simple,9606,Homo sapiens,GSM5684353,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO polysome fraction 4 rep2,HEK293T,PCIF1 knockout,GSM5684353
SRR16895021,85207069,8262229800,48,2684,SRX13087698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024507,SAMN23012115,simple,9606,Homo sapiens,GSM5684354,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO polysome fraction 5 rep2,HEK293T,PCIF1 knockout,GSM5684354
