Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,time,geo_loc_name,collection_date
SRR26055542,14278594,1142287520,80,410,SRX21771771,GSM7779745,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877357,SAMN37386050,simple,10090,Mus musculus,GSM7779745,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_+/+_ZT12_Rep3_RPF,RP112_340_IRP1_+/+_ZT12_Rep3_RPF,IRP1_+/+_ZT12_Rep3_RPF,liver,WT,ZT12,missing,missing
SRR26055541,32726239,2454467925,75,931,SRX21771772,GSM7779746,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877358,SAMN37386049,simple,10090,Mus musculus,GSM7779746,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_+/+_ZT12_Rep3_RPF,RP112_347_IRP1_+/+_ZT12_Rep3_RPF,IRP1_+/+_ZT12_Rep3_RPF,liver,WT,ZT12,missing,missing
SRR26055540,15936243,1274899440,80,455,SRX21771773,GSM7779747,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877359,SAMN37386048,simple,10090,Mus musculus,GSM7779747,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_ko/ko_ZT5_Rep1_RPF,RP120_340_IRP1_ko/ko_ZT5_Rep1_RPF,IRP1_ko/ko_ZT5_Rep1_RPF,liver,IRP1 Knockout,ZT5,missing,missing
SRR26055539,51122976,3834223200,75,1497,SRX21771774,GSM7779748,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877360,SAMN37386047,simple,10090,Mus musculus,GSM7779748,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_ko/ko_ZT5_Rep1_RPF,RP120_347_IRP1_ko/ko_ZT5_Rep1_RPF,IRP1_ko/ko_ZT5_Rep1_RPF,liver,IRP1 Knockout,ZT5,missing,missing
SRR26055538,18490649,1479251920,80,528,SRX21771775,GSM7779749,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877361,SAMN37386046,simple,10090,Mus musculus,GSM7779749,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_ko/ko_ZT5_Rep2_RPF,RP121_340_IRP1_ko/ko_ZT5_Rep2_RPF,IRP1_ko/ko_ZT5_Rep2_RPF,liver,IRP1 Knockout,ZT5,missing,missing
SRR26055537,17156922,1372553760,80,496,SRX21771776,GSM7779750,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877362,SAMN37386045,simple,10090,Mus musculus,GSM7779750,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_+/+_ZT5_Rep1_RPF,RP122_340_IRP1_+/+_ZT5_Rep1_RPF,IRP1_+/+_ZT5_Rep1_RPF,liver,WT,ZT5,missing,missing
SRR26055536,43507881,3263091075,75,1244,SRX21771777,GSM7779751,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877363,SAMN37386044,simple,10090,Mus musculus,GSM7779751,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_+/+_ZT5_Rep1_RPF,RP122_347_IRP1_+/+_ZT5_Rep1_RPF,IRP1_+/+_ZT5_Rep1_RPF,liver,WT,ZT5,missing,missing
SRR26055535,16319962,1305596960,80,470,SRX21771778,GSM7779752,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877364,SAMN37386043,simple,10090,Mus musculus,GSM7779752,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_+/+_ZT5_Rep2_RPF,RP123_340_IRP1_+/+_ZT5_Rep2_RPF,IRP1_+/+_ZT5_Rep2_RPF,liver,WT,ZT5,missing,missing
SRR26055534,42476590,3185744250,75,1217,SRX21771779,GSM7779753,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877365,SAMN37386042,simple,10090,Mus musculus,GSM7779753,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_+/+_ZT5_Rep2_RPF,RP123_347_IRP1_+/+_ZT5_Rep2_RPF,IRP1_+/+_ZT5_Rep2_RPF,liver,WT,ZT5,missing,missing
SRR26055533,18380569,1470445520,80,529,SRX21771780,GSM7779754,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877366,SAMN37386041,simple,10090,Mus musculus,GSM7779754,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_ko/ko_ZT5_Rep3_RPF,RP124_340_IRP1_ko/ko_ZT5_Rep3_RPF,IRP1_ko/ko_ZT5_Rep3_RPF,liver,IRP1 Knockout,ZT5,missing,missing
SRR26055532,16088256,1287060480,80,464,SRX21771781,GSM7779755,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877367,SAMN37386040,simple,10090,Mus musculus,GSM7779755,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_+/+_ZT5_Rep3_RPF,RP125_340_IRP1_+/+_ZT5_Rep3_RPF,IRP1_+/+_ZT5_Rep3_RPF,liver,WT,ZT5,missing,missing
SRR26055531,45633,3422475,75,1,SRX21771782,GSM7779756,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877368,SAMN37386039,simple,10090,Mus musculus,GSM7779756,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_+/+_ZT5_Rep3_RPF,RP125_347_IRP1_+/+_ZT5_Rep3_RPF,IRP1_+/+_ZT5_Rep3_RPF,liver,WT,ZT5,missing,missing
SRR26055530,18599068,1487925440,80,549,SRX21771783,GSM7779757,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877369,SAMN37386038,simple,10090,Mus musculus,GSM7779757,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_ko/ko_ZT12_Rep1_RPF,RP130_340_IRP2_ko/ko_ZT12_Rep1_RPF,IRP2_ko/ko_ZT12_Rep1_RPF,liver,IRP2 knockout,ZT12,missing,missing
SRR26055529,17891882,1431350560,80,531,SRX21771784,GSM7779758,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877370,SAMN37386037,simple,10090,Mus musculus,GSM7779758,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT12_Rep1_RPF,RP131_340_IRP2_+/+_ZT12_Rep1_RPF,IRP2_+/+_ZT12_Rep1_RPF,liver,WT,ZT12,missing,missing
SRR26055528,17563416,1405073280,80,514,SRX21771785,GSM7779759,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877371,SAMN37386036,simple,10090,Mus musculus,GSM7779759,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_ko/ko_ZT12_Rep2_RPF,RP132_340_IRP2_ko/ko_ZT12_Rep2_RPF,IRP2_ko/ko_ZT12_Rep2_RPF,liver,IRP2 knockout,ZT12,missing,missing
SRR26055527,19561672,1564933760,80,576,SRX21771786,GSM7779760,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877372,SAMN37386035,simple,10090,Mus musculus,GSM7779760,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT12_Rep2_RPF,RP133_340_IRP2_+/+_ZT12_Rep2_RPF,IRP2_+/+_ZT12_Rep2_RPF,liver,WT,ZT12,missing,missing
SRR26055526,20532812,1642624960,80,608,SRX21771787,GSM7779761,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877373,SAMN37386034,simple,10090,Mus musculus,GSM7779761,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_ko/ko_ZT12_Rep3_RPF,RP134_340_IRP2_ko/ko_ZT12_Rep3_RPF,IRP2_ko/ko_ZT12_Rep3_RPF,liver,IRP2 knockout,ZT12,missing,missing
SRR26055525,16205139,1296411120,80,479,SRX21771788,GSM7779762,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877374,SAMN37386033,simple,10090,Mus musculus,GSM7779762,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT12_Rep3_RPF,RP135_340_IRP2_+/+_ZT12_Rep3_RPF,IRP2_+/+_ZT12_Rep3_RPF,liver,WT,ZT12,missing,missing
SRR26055524,37642026,2823151950,75,1112,SRX21771789,GSM7779763,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877376,SAMN37386032,simple,10090,Mus musculus,GSM7779763,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT12_Rep3_RPF,RP135_347_IRP2_+/+_ZT12_Rep3_RPF,IRP2_+/+_ZT12_Rep3_RPF,liver,WT,ZT12,missing,missing
SRR26055523,19131685,1530534800,80,565,SRX21771790,GSM7779764,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877375,SAMN37386031,simple,10090,Mus musculus,GSM7779764,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_ko/ko_ZT5_Rep1_RPF,RP144_340_IRP2_ko/ko_ZT5_Rep1_RPF,IRP2_ko/ko_ZT5_Rep1_RPF,liver,IRP2 knockout,ZT5,missing,missing
SRR26055522,17113420,1369073600,80,504,SRX21771791,GSM7779765,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877377,SAMN37386030,simple,10090,Mus musculus,GSM7779765,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT5_Rep1_RPF,RP145_340_IRP2_+/+_ZT5_Rep1_RPF,IRP2_+/+_ZT5_Rep1_RPF,liver,WT,ZT5,missing,missing
SRR26055521,34174693,2563101975,75,1014,SRX21771792,GSM7779766,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877378,SAMN37386029,simple,10090,Mus musculus,GSM7779766,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT5_Rep1_RPF,RP145_347_IRP2_+/+_ZT5_Rep1_RPF,IRP2_+/+_ZT5_Rep1_RPF,liver,WT,ZT5,missing,missing
SRR26055520,13606121,1088489680,80,398,SRX21771793,GSM7779799,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877379,SAMN37385996,simple,10090,Mus musculus,GSM7779799,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT12_Rep2_totalRNA,TR133_340_IRP2_+/+_ZT12_Rep2_totalRNA,IRP2_+/+_ZT12_Rep2_totalRNA,liver,WT,ZT12,missing,missing
SRR26055519,24927584,1869568800,75,698,SRX21771794,GSM7779800,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877380,SAMN37385995,simple,10090,Mus musculus,GSM7779800,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT12_Rep2_totalRNA,TR133_347_IRP2_+/+_ZT12_Rep2_totalRNA,IRP2_+/+_ZT12_Rep2_totalRNA,liver,WT,ZT12,missing,missing
SRR26055518,13817978,1105438240,80,403,SRX21771795,GSM7779801,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877381,SAMN37385994,simple,10090,Mus musculus,GSM7779801,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_ko/ko_ZT12_Rep3_totalRNA,TR134_340_IRP2_ko/ko_ZT12_Rep3_totalRNA,IRP2_ko/ko_ZT12_Rep3_totalRNA,liver,IRP2 knockout,ZT12,missing,missing
SRR26055517,13763432,1101074560,80,402,SRX21771796,GSM7779802,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877382,SAMN37385993,simple,10090,Mus musculus,GSM7779802,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT12_Rep3_totalRNA,TR135_340_IRP2_+/+_ZT12_Rep3_totalRNA,IRP2_+/+_ZT12_Rep3_totalRNA,liver,WT,ZT12,missing,missing
SRR26055516,19731377,1578510160,80,575,SRX21771797,GSM7779803,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877383,SAMN37385992,simple,10090,Mus musculus,GSM7779803,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_ko/ko_ZT5_Rep1_totalRNA,TR144_340_IRP2_ko/ko_ZT5_Rep1_totalRNA,IRP2_ko/ko_ZT5_Rep1_totalRNA,liver,IRP2 knockout,ZT5,missing,missing
SRR26055515,32785451,2458908825,75,908,SRX21771798,GSM7779804,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877384,SAMN37385991,simple,10090,Mus musculus,GSM7779804,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_ko/ko_ZT5_Rep1_totalRNA,TR144_347_IRP2_ko/ko_ZT5_Rep1_totalRNA,IRP2_ko/ko_ZT5_Rep1_totalRNA,liver,IRP2 knockout,ZT5,missing,missing
SRR26055514,16885659,1350852720,80,495,SRX21771799,GSM7779805,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877385,SAMN37385990,simple,10090,Mus musculus,GSM7779805,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT5_Rep1_totalRNA,TR145_340_IRP2_+/+_ZT5_Rep1_totalRNA,IRP2_+/+_ZT5_Rep1_totalRNA,liver,WT,ZT5,missing,missing
SRR26055513,31270652,2345298900,75,874,SRX21771800,GSM7779806,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877386,SAMN37385989,simple,10090,Mus musculus,GSM7779806,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT5_Rep1_totalRNA,TR145_347_IRP2_+/+_ZT5_Rep1_totalRNA,IRP2_+/+_ZT5_Rep1_totalRNA,liver,WT,ZT5,missing,missing
SRR26055512,36832825,2946626000,80,1062,SRX21771801,GSM7779807,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877387,SAMN37385988,simple,10090,Mus musculus,GSM7779807,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_ko/ko_ZT5_Rep2_totalRNA,TR146_340_IRP2_ko/ko_ZT5_Rep2_totalRNA,IRP2_ko/ko_ZT5_Rep2_totalRNA,liver,IRP2 knockout,ZT5,missing,missing
SRR26055511,23329514,1866361120,80,676,SRX21771802,GSM7779808,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877388,SAMN37385987,simple,10090,Mus musculus,GSM7779808,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT5_Rep2_totalRNA,TR147_340_IRP2_+/+_ZT5_Rep2_totalRNA,IRP2_+/+_ZT5_Rep2_totalRNA,liver,WT,ZT5,missing,missing
SRR26055510,17285550,1382844000,80,505,SRX21771803,GSM7779809,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877389,SAMN37385986,simple,10090,Mus musculus,GSM7779809,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_ko/ko_ZT5_Rep3_totalRNA,TR148_340_IRP2_ko/ko_ZT5_Rep3_totalRNA,IRP2_ko/ko_ZT5_Rep3_totalRNA,liver,IRP2 knockout,ZT5,missing,missing
SRR26055509,29703164,2227737300,75,827,SRX21771804,GSM7779810,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877390,SAMN37385985,simple,10090,Mus musculus,GSM7779810,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_ko/ko_ZT5_Rep3_totalRNA,TR148_347_IRP2_ko/ko_ZT5_Rep3_totalRNA,IRP2_ko/ko_ZT5_Rep3_totalRNA,liver,IRP2 knockout,ZT5,missing,missing
SRR26055508,32405874,2592469920,80,942,SRX21771805,GSM7779811,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877391,SAMN37385984,simple,10090,Mus musculus,GSM7779811,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT5_Rep3_totalRNA,TR149_340_IRP2_+/+_ZT5_Rep3_totalRNA,IRP2_+/+_ZT5_Rep3_totalRNA,liver,WT,ZT5,missing,missing
SRR26055507,15376944,1230155520,80,456,SRX21771806,GSM7779767,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877392,SAMN37386028,simple,10090,Mus musculus,GSM7779767,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_ko/ko_ZT5_Rep2_RPF,RP146_340_IRP2_ko/ko_ZT5_Rep2_RPF,IRP2_ko/ko_ZT5_Rep2_RPF,liver,IRP2 knockout,ZT5,missing,missing
SRR26055506,37247354,2793551550,75,1110,SRX21771807,GSM7779768,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877393,SAMN37386027,simple,10090,Mus musculus,GSM7779768,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_ko/ko_ZT5_Rep2_RPF,RP146_347_IRP2_ko/ko_ZT5_Rep2_RPF,IRP2_ko/ko_ZT5_Rep2_RPF,liver,IRP2 knockout,ZT5,missing,missing
SRR26055505,18548356,1483868480,80,549,SRX21771808,GSM7779769,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877395,SAMN37386026,simple,10090,Mus musculus,GSM7779769,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT5_Rep2_RPF,RP147_340_IRP2_+/+_ZT5_Rep2_RPF,IRP2_+/+_ZT5_Rep2_RPF,liver,WT,ZT5,missing,missing
SRR26055504,57476733,4310754975,75,1619,SRX21771809,GSM7779770,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877394,SAMN37386025,simple,10090,Mus musculus,GSM7779770,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_+/+_ZT5_Rep2_RPF,RP147_347_IRP2_+/+_ZT5_Rep2_RPF,IRP2_+/+_ZT5_Rep2_RPF,liver,WT,ZT5,missing,missing
SRR26055503,24960041,1996803280,80,738,SRX21771810,GSM7779771,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877396,SAMN37386024,simple,10090,Mus musculus,GSM7779771,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP2_ko/ko_ZT5_Rep3_RPF,RP148_340_IRP2_ko/ko_ZT5_Rep3_RPF,IRP2_ko/ko_ZT5_Rep3_RPF,liver,IRP2 knockout,ZT5,missing,missing
