Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,infection,translation inhibitor,fraction,geo_loc_name,collection_date
SRR27450734,71351876,7277891352,51,2192,SRX23122370,GSM8005240,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075920,SAMN39287362,simple,9606,Homo sapiens,GSM8005240,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,05_OC43_12hpi_rep1,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450733,71941566,7338039732,51,2215,SRX23122371,GSM8005241,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075921,SAMN39287361,simple,9606,Homo sapiens,GSM8005241,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,06_OC43_18hpi_rep1,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450732,69257705,7064285910,51,2137,SRX23122372,GSM8005242,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075922,SAMN39287360,simple,9606,Homo sapiens,GSM8005242,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,07_OC43_24hpi_rep1,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450731,81185733,8280944766,51,2498,SRX23122373,GSM8005243,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075923,SAMN39287359,simple,9606,Homo sapiens,GSM8005243,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,08_OC43_30hpi_rep1,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450730,63046994,6430793388,51,1936,SRX23122374,GSM8005244,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075925,SAMN39287358,simple,9606,Homo sapiens,GSM8005244,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells,09_uninfected_rep2,human cells,MRC-5,wild type,NA,NA,ribodepleted RNA,missing,missing
SRR27450729,69693186,7108704972,51,2134,SRX23122375,GSM8005245,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075924,SAMN39287357,simple,9606,Homo sapiens,GSM8005245,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,10_OC43_1.5hpi_rep2,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450728,73576656,7504818912,51,2254,SRX23122376,GSM8005246,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075926,SAMN39287356,simple,9606,Homo sapiens,GSM8005246,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,11_OC43_3hpi_rep2,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450727,70795212,7221111624,51,2173,SRX23122377,GSM8005247,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075927,SAMN39287355,simple,9606,Homo sapiens,GSM8005247,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,12_OC43_9hpi_rep2,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450726,67663532,6901680264,51,2086,SRX23122378,GSM8005248,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075928,SAMN39287354,simple,9606,Homo sapiens,GSM8005248,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,13_OC43_12hpi_rep2,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450725,74090478,7557228756,51,2284,SRX23122379,GSM8005249,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075929,SAMN39287353,simple,9606,Homo sapiens,GSM8005249,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,14_OC43_18hpi_rep2,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450723,71144268,7256715336,51,2190,SRX23122381,GSM8005251,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075931,SAMN39287351,simple,9606,Homo sapiens,GSM8005251,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,16_OC43_30hpi_rep2,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450722,47282516,4822816632,51,1461,SRX23122382,GSM8005252,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075933,SAMN39287350,simple,9606,Homo sapiens,GSM8005252,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells,17_uninfected_rep3,human cells,MRC-5,wild type,NA,NA,ribodepleted RNA,missing,missing
SRR27450721,49212825,5019708150,51,1520,SRX23122383,GSM8005253,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075932,SAMN39287349,simple,9606,Homo sapiens,GSM8005253,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,18_OC43_1.5hpi_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450720,42480082,4332968364,51,1322,SRX23122384,GSM8005254,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075935,SAMN39287348,simple,9606,Homo sapiens,GSM8005254,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,19_OC43_3hpi_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450719,51503117,5253317934,51,1612,SRX23122385,GSM8005255,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075934,SAMN39287347,simple,9606,Homo sapiens,GSM8005255,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,20_OC43_6hpi_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450718,53511997,5458223694,51,1665,SRX23122386,GSM8005256,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075937,SAMN39287346,simple,9606,Homo sapiens,GSM8005256,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,21_OC43_9hpi_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450717,45378803,4628637906,51,1433,SRX23122387,GSM8005257,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075941,SAMN39287345,simple,9606,Homo sapiens,GSM8005257,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,22_OC43_12hpi_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450716,47238798,4818357396,51,1481,SRX23122388,GSM8005258,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075936,SAMN39287344,simple,9606,Homo sapiens,GSM8005258,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,23_OC43_18hpi_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450715,55292510,5639836020,51,1707,SRX23122389,GSM8005259,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075938,SAMN39287343,simple,9606,Homo sapiens,GSM8005259,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,24_OC43_24hpi_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450714,71231968,7265660736,51,2200,SRX23122390,GSM8005260,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075940,SAMN39287342,simple,9606,Homo sapiens,GSM8005260,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,25_OC43_30hpi_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450713,61282665,6250831830,51,1903,SRX23122391,GSM8005261,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075939,SAMN39287341,simple,9606,Homo sapiens,GSM8005261,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with heat-inactivated HCoV-OC43,26_OC43_HI_3hpi_rep1,human cells infected with heat-inactivated HCoV-OC43,MRC-5,wild type,heat-inactivated HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450711,58187840,5935159680,51,1789,SRX23122393,GSM8005263,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075943,SAMN39287339,simple,9606,Homo sapiens,GSM8005263,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with heat-inactivated HCoV-OC43,28_OC43_HI_18hpi_rep1,human cells infected with heat-inactivated HCoV-OC43,MRC-5,wild type,heat-inactivated HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450710,51509855,5254005210,51,1602,SRX23122394,GSM8005264,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075944,SAMN39287338,simple,9606,Homo sapiens,GSM8005264,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells,29_uninfected_rep4,human cells,MRC-5,wild type,NA,NA,ribodepleted RNA,missing,missing
SRR27450709,51108016,5213017632,51,1579,SRX23122395,GSM8005265,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075947,SAMN39287337,simple,9606,Homo sapiens,GSM8005265,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,30_OC43_1.5hpi_rep4,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450708,41432578,4226122956,51,1280,SRX23122396,GSM8005266,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075946,SAMN39287336,simple,9606,Homo sapiens,GSM8005266,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,31_OC43_3hpi_rep4,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450707,55378035,5648559570,51,1702,SRX23122397,GSM8005267,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075945,SAMN39287335,simple,9606,Homo sapiens,GSM8005267,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,32_OC43_6hpi_rep4,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450706,49601990,5059402980,51,1529,SRX23122398,GSM8005268,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075948,SAMN39287334,simple,9606,Homo sapiens,GSM8005268,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,33_OC43_9hpi_rep4,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450705,59456368,6064549536,51,1836,SRX23122399,GSM8005269,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075949,SAMN39287333,simple,9606,Homo sapiens,GSM8005269,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,34_OC43_12hpi_rep4,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450704,86926485,8866501470,51,2676,SRX23122400,GSM8005270,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075950,SAMN39287332,simple,9606,Homo sapiens,GSM8005270,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,35_OC43_18hpi_rep4,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450703,51262350,5228759700,51,1584,SRX23122401,GSM8005271,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075951,SAMN39287331,simple,9606,Homo sapiens,GSM8005271,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,36_OC43_24hpi_rep4,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450702,83711775,8538601050,51,2575,SRX23122402,GSM8005272,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075952,SAMN39287330,simple,9606,Homo sapiens,GSM8005272,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,37_OC43_30hpi_rep4,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450701,51703181,5273724462,51,1598,SRX23122403,GSM8005273,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075953,SAMN39287329,simple,9606,Homo sapiens,GSM8005273,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with heat-inactivated HCoV-OC43,38_OC43_HI_3hpi_rep2,human cells infected with heat-inactivated HCoV-OC43,MRC-5,wild type,heat-inactivated HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450700,31108643,3173081586,51,965,SRX23122404,GSM8005274,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075954,SAMN39287328,simple,9606,Homo sapiens,GSM8005274,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with heat-inactivated HCoV-OC43,39_OC43_HI_6hpi_rep2,human cells infected with heat-inactivated HCoV-OC43,MRC-5,wild type,heat-inactivated HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450698,161988027,13308041144,82,4542,SRX23122406,GSM8005276,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075956,SAMN39287326,simple,9606,Homo sapiens,GSM8005276,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,41_OC43_6hpi_CHX_rep0,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450697,217928904,15690881088,72,5235,SRX23122407,GSM8005277,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075959,SAMN39287325,simple,9606,Homo sapiens,GSM8005277,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells,42_uninfected_CHX_rep1,human cells,MRC-5,wild type,NA,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450696,21943905,1579961160,72,537,SRX23122408,GSM8005278,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075957,SAMN39287324,simple,9606,Homo sapiens,GSM8005278,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells,43_uninfected_HAR_rep1,human cells,MRC-5,wild type,NA,"8 µg/mL harringtonine for 10 min, then 0.1 mg/mL cycloheximide in lysis buffer",ribosome protected fragments,missing,missing
SRR27450693,42910471,3089553912,72,1023,SRX23122409,GSM8005279,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075958,SAMN39287323,simple,9606,Homo sapiens,GSM8005279,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,44_OC43_3hpi_CHX_rep1,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
