Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,treatment,ip,geo_loc_name,collection_date
SRR27641084,40703405,5291442650,130,1815,SRX23309214,GSM8024609,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185636,SAMN39500005,simple,9606,Homo sapiens,GSM8024609,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF4G1 DMSO rep 2,HEK 293T,HEK 293T,WT,DMSO 1hr,eIF4G1,missing,missing
SRR27641083,68679869,8928382970,130,2892,SRX23309215,GSM8024610,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185640,SAMN39500004,simple,9606,Homo sapiens,GSM8024610,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF4G1 DMSO rep 3,HEK 293T,HEK 293T,WT,DMSO 1hr,eIF4G1,missing,missing
SRR27641082,15736261,1573626100,100,503,SRX23309216,GSM8024611,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185639,SAMN39500003,simple,9606,Homo sapiens,GSM8024611,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF2a D12 rep 1,HEK 293T,HEK 293T,WT,i14G1-12 1hr 5 µM,HA-eIF2a,missing,missing
SRR27641081,44915718,4491571800,100,1490,SRX23309217,GSM8024612,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185641,SAMN39500002,simple,9606,Homo sapiens,GSM8024612,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF2a D12 rep 2,HEK 293T,HEK 293T,WT,i14G1-12 1hr 5 µM,HA-eIF2a,missing,missing
SRR27641080,32978585,3297858500,100,1138,SRX23309218,GSM8024613,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185642,SAMN39500001,simple,9606,Homo sapiens,GSM8024613,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF2a DMSO rep 1,HEK 293T,HEK 293T,WT,DMSO 1hr,HA-eIF2a,missing,missing
SRR27641079,4116180,411618000,100,141,SRX23309219,GSM8024614,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185643,SAMN39500000,simple,9606,Homo sapiens,GSM8024614,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF2a DMSO rep 2,HEK 293T,HEK 293T,WT,DMSO 1hr,HA-eIF2a,missing,missing
SRR27641078,83817541,8381754100,100,2679,SRX23309220,GSM8024615,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185644,SAMN39499999,simple,9606,Homo sapiens,GSM8024615,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF3 D12 rep 1,HEK 293T,HEK 293T,WT,i14G1-12 1hr 5 µM,eIF3,missing,missing
SRR27641077,59333833,5933383300,100,1933,SRX23309221,GSM8024616,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185645,SAMN39499998,simple,9606,Homo sapiens,GSM8024616,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF3 D12 rep 2,HEK 293T,HEK 293T,WT,i14G1-12 1hr 5 µM,eIF3,missing,missing
SRR27641076,71173451,7117345100,100,2395,SRX23309222,GSM8024617,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185646,SAMN39499997,simple,9606,Homo sapiens,GSM8024617,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF3 DMSO rep 1,HEK 293T,HEK 293T,WT,DMSO 1hr,eIF3,missing,missing
SRR27641075,19132952,1913295200,100,618,SRX23309223,GSM8024618,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185647,SAMN39499996,simple,9606,Homo sapiens,GSM8024618,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF3 DMSO rep 2,HEK 293T,HEK 293T,WT,DMSO 1hr,eIF3,missing,missing
