Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,breed,cultivar,ecotype,age,dev_stage,collection_date,geo_loc_name,sex,tissue,biomaterial_provider,cell_type,transduced_transgenes,experimental_replicate,data_type,BioSampleModel
SRR31337388,80724008,24378650416,151,7288,SRX26714655,11142-AG-54_S87,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205677,SAMN44723690,simple,10090,Mus musculus,RNA-seq_METTL1-CD_dTom_1,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,METTL1-CD+dTomato,replicate1,RNA-seq,Model organism or animal
SRR31337387,96225820,29060197640,151,8613,SRX26714656,11142-AG-55_S88,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205676,SAMN44723691,simple,10090,Mus musculus,RNA-seq_METTL1-CD_dTom_2,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,METTL1-CD+dTomato,replicate2,RNA-seq,Model organism or animal
SRR31337386,245212027,24766414727,101,8328,SRX26714657,11412-AG-1_ATGTCA_S15,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205678,SAMN44723674,simple,10090,Mus musculus,Ribo-seq_GFP_dTom_3,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,EGFP +dTomato,replicate3,Ribo-seq,Model organism or animal
SRR31337385,93514522,28241385644,151,8384,SRX26714658,11142-AG-56_S89,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205679,SAMN44723692,simple,10090,Mus musculus,RNA-seq_METTL1-CD_dTom_3,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,METTL1-CD+dTomato,replicate3,RNA-seq,Model organism or animal
SRR31337384,83246274,25140374748,151,7488,SRX26714659,11142-AG-57_S90,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205682,SAMN44723693,simple,10090,Mus musculus,RNA-seq_METTL1-CD_AKT_1,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,METTL1-CD+AKT,replicate1,RNA-seq,Model organism or animal
SRR31337383,79959880,24147883760,151,7184,SRX26714660,11142-AG-58_S91,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205680,SAMN44723694,simple,10090,Mus musculus,RNA-seq_METTL1-CD_AKT_2,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,METTL1-CD+AKT,replicate2,RNA-seq,Model organism or animal
SRR31337382,87748405,26500018310,151,7880,SRX26714661,11142-AG-59_S92,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205681,SAMN44723695,simple,10090,Mus musculus,RNA-seq_METTL1-CD_AKT_3,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,METTL1-CD+AKT,replicate3,RNA-seq,Model organism or animal
SRR31337381,232099699,23442069599,101,7905,SRX26714662,11412-AG-1_CCGTCC_S16,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205683,SAMN44723675,simple,10090,Mus musculus,Ribo-seq_GFP_AKT_1,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,EGFP+AKT,replicate1,Ribo-seq,Model organism or animal
SRR31337380,226391048,22865495848,101,7714,SRX26714663,11412-AG-1_GTAGAG_S17,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205684,SAMN44723676,simple,10090,Mus musculus,Ribo-seq_GFP_AKT_2,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,EGFP+AKT,replicate2,Ribo-seq,Model organism or animal
SRR31337379,77959298,7873889098,101,2683,SRX26714664,11412-AG-1_GTCCGC_S18,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205687,SAMN44723677,simple,10090,Mus musculus,Ribo-seq_GFP_AKT_3,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,EGFP+AKT,replicate3,Ribo-seq,Model organism or animal
SRR31337378,210132017,21223333717,101,7148,SRX26714665,11412-AG-1_GTGAAA_S19,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205686,SAMN44723678,simple,10090,Mus musculus,Ribo-seq_METTL1-CD_dTom_1,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,METTL1-CD+dTomato,replicate1,Ribo-seq,Model organism or animal
SRR31337377,238223241,24060547341,101,8087,SRX26714666,11412-AG-1_GTGGCC_S20,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205685,SAMN44723679,simple,10090,Mus musculus,Ribo-seq_METTL1-CD_dTom_2,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,METTL1-CD+dTomato,replicate2,Ribo-seq,Model organism or animal
SRR31337376,93086519,9401738419,101,3200,SRX26714667,11412-AG-1_GTTTCG_S21,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205688,SAMN44723680,simple,10090,Mus musculus,Ribo-seq_METTL1-CD_dTom_3,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,METTL1-CD+dTomato,replicate3,Ribo-seq,Model organism or animal
SRR31337375,255398611,25795259711,101,8624,SRX26714668,11412-AG-1_CGTACG_S22,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205689,SAMN44723681,simple,10090,Mus musculus,Ribo-seq_METTL1-CD_AKT_1,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,METTL1-CD+AKT,replicate1,Ribo-seq,Model organism or animal
