Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,geo_loc_name,collection_date,genotype,cell type
SRR26069886,38420995,1959470745,51,701,SRX21785632,GSM7783179,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888157,SAMN37408063,simple,9606,Homo sapiens,GSM7783179,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"RNA pulldown-Seq, 0.1 % DMSO, 30 min, rep1",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"0.1 percent DMSO, 30 min",missing,missing,SBP-tagged eIF4A1 integrant,
SRR26069885,34021545,1735098795,51,619,SRX21785633,GSM7783180,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888158,SAMN37408062,simple,9606,Homo sapiens,GSM7783180,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"RNA pulldown-Seq, 0.1 % DMSO, 30 min, rep2",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"0.1 percent DMSO, 30 min",missing,missing,SBP-tagged eIF4A1 integrant,
SRR26069884,32077471,1635951021,51,586,SRX21785634,GSM7783181,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888159,SAMN37408061,simple,9606,Homo sapiens,GSM7783181,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"RNA pulldown-Seq, 0.01 μM DMDA-PatA, 30 min",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"0.01 microM DMDA-PatA, 30 min",missing,missing,SBP-tagged eIF4A1 integrant,
SRR26069883,20757319,1058623269,51,374,SRX21785635,GSM7783182,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888160,SAMN37408060,simple,9606,Homo sapiens,GSM7783182,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"RNA pulldown-Seq, 0.1 μM DMDA-PatA, 30 min",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"0.1 microM DMDA-PatA, 30 min",missing,missing,SBP-tagged eIF4A1 integrant,
SRR26069882,48441584,2470520784,51,990,SRX21785636,GSM7783183,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888161,SAMN37408059,simple,32630,synthetic construct,GSM7783183,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, Input AMPPNP",synthetic construct,,,missing,missing,,synthetic construct
SRR26069881,169919,8665869,51,4,SRX21785637,GSM7783184,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888162,SAMN37408058,simple,32630,synthetic construct,GSM7783184,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 0.1 % DMSO, 4.5 pmol eIF4A1, AMP-PNP",synthetic construct,,0.1 percent DMSO,missing,missing,,synthetic construct
SRR26069880,173738,8860638,51,4,SRX21785638,GSM7783185,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888163,SAMN37408057,simple,32630,synthetic construct,GSM7783185,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 0.1 % DMSO, 15 pmol eIF4A1, AMP-PNP",synthetic construct,,0.1 percent DMSO,missing,missing,,synthetic construct
SRR26069879,45962016,2344062816,51,885,SRX21785639,GSM7783186,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888164,SAMN37408056,simple,32630,synthetic construct,GSM7783186,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 0.1 % DMSO, 45 pmol eIF4A1, AMP-PNP",synthetic construct,,0.1 percent DMSO,missing,missing,,synthetic construct
SRR26069878,39867573,2033246223,51,695,SRX21785640,GSM7783187,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888165,SAMN37408055,simple,32630,synthetic construct,GSM7783187,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 0.1 % DMSO, 90 pmol eIF4A1, AMP-PNP",synthetic construct,,0.1 percent DMSO,missing,missing,,synthetic construct
SRR26069877,60682606,3094812906,51,1145,SRX21785641,GSM7783188,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888166,SAMN37408054,simple,32630,synthetic construct,GSM7783188,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM RocA, 4.5 pmol eIF4A1, AMP-PNP",synthetic construct,,3 microM RocA,missing,missing,,synthetic construct
SRR26069876,36302028,1851403428,51,692,SRX21785642,GSM7783189,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888168,SAMN37408053,simple,32630,synthetic construct,GSM7783189,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM RocA, 15 pmol eIF4A1, AMP-PNP",synthetic construct,,3 microM RocA,missing,missing,,synthetic construct
SRR26069875,54294236,2769006036,51,1021,SRX21785643,GSM7783190,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888167,SAMN37408052,simple,32630,synthetic construct,GSM7783190,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM RocA, 45 pmol eIF4A1, AMP-PNP",synthetic construct,,3 microM RocA,missing,missing,,synthetic construct
SRR26069874,46023646,2347205946,51,810,SRX21785644,GSM7783191,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888170,SAMN37408051,simple,32630,synthetic construct,GSM7783191,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM RocA, 90 pmol eIF4A1, AMP-PNP",synthetic construct,,3 microM RocA,missing,missing,,synthetic construct
SRR26069873,41382,2110482,51,1,SRX21785645,GSM7783192,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888169,SAMN37408050,simple,32630,synthetic construct,GSM7783192,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM DMDA-PatA, 4.5 pmol eIF4A1, AMP-PNP",synthetic construct,,3 microM DMDA-PatA,missing,missing,,synthetic construct
SRR26069872,81212,4141812,51,2,SRX21785646,GSM7783193,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888171,SAMN37408049,simple,32630,synthetic construct,GSM7783193,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM DMDA-PatA, 15 pmol eIF4A1, AMP-PNP",synthetic construct,,3 microM DMDA-PatA,missing,missing,,synthetic construct
SRR26069871,28655,1461405,51,0,SRX21785647,GSM7783194,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888172,SAMN37408048,simple,32630,synthetic construct,GSM7783194,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM DMDA-PatA, 45 pmol eIF4A1, AMP-PNP",synthetic construct,,3 microM DMDA-PatA,missing,missing,,synthetic construct
SRR26069870,36296660,1851129660,51,634,SRX21785648,GSM7783195,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888173,SAMN37408047,simple,32630,synthetic construct,GSM7783195,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM DMDA-PatA, 90 pmol eIF4A1, AMP-PNP",synthetic construct,,3 microM DMDA-PatA,missing,missing,,synthetic construct
SRR26069869,80097721,4084983771,51,1625,SRX21785649,GSM7783196,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888174,SAMN37408046,simple,32630,synthetic construct,GSM7783196,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, Input ADP",synthetic construct,,,missing,missing,,synthetic construct
SRR26069868,40109969,2045608419,51,844,SRX21785650,GSM7783197,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888176,SAMN37408045,simple,32630,synthetic construct,GSM7783197,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM DMDA-PatA, 90 pmol eIF4A1, ADP+Pi",synthetic construct,,3 microM DMDA-PatA,missing,missing,,synthetic construct
SRR26069867,63530278,3240044178,51,1309,SRX21785651,GSM7783198,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888175,SAMN37408044,simple,32630,synthetic construct,GSM7783198,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM DMDA-PatA, 90 pmol DDX3X (helicase core), ADP+Pi",synthetic construct,,3 microM DMDA-PatA,missing,missing,,synthetic construct
SRR26069866,151190151,45659425602,151,20516,SRX21785652,GSM7783199,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP460734,PRJNA1017801,,"",SRS18888177,SAMN37408043,simple,32630,synthetic construct,GSM7783199,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, Input, rep1",synthetic construct,,,missing,missing,,synthetic construct
SRR26069865,111868675,33784339850,151,15202,SRX21785653,GSM7783200,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP460734,PRJNA1017801,,"",SRS18888178,SAMN37408042,simple,32630,synthetic construct,GSM7783200,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, Input, rep2",synthetic construct,,,missing,missing,,synthetic construct
SRR26069864,44427412,13417078424,151,6125,SRX21785654,GSM7783201,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP460734,PRJNA1017801,,"",SRS18888179,SAMN37408041,simple,32630,synthetic construct,GSM7783201,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM iPr-DMDA-PatA, 90 pmol eIF4A1, ADP+Pi, rep1",synthetic construct,,3 microM iPr-DMDA-PatA,missing,missing,,synthetic construct
SRR26069863,47993358,14493994116,151,6568,SRX21785655,GSM7783202,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP460734,PRJNA1017801,,"",SRS18888180,SAMN37408040,simple,32630,synthetic construct,GSM7783202,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM iPr-DMDA-PatA, 90 pmol eIF4A1, ADP+Pi, rep2",synthetic construct,,3 microM iPr-DMDA-PatA,missing,missing,,synthetic construct
SRR26069862,47260728,14272739856,151,6441,SRX21785656,GSM7783203,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP460734,PRJNA1017801,,"",SRS18888181,SAMN37408039,simple,32630,synthetic construct,GSM7783203,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM iPr-DMDA-PatA, 90 pmol DDX3X (helicase core), ADP+Pi, rep1",synthetic construct,,3 microM iPr-DMDA-PatA,missing,missing,,synthetic construct
SRR26069861,52208605,15766998710,151,7168,SRX21785657,GSM7783204,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP460734,PRJNA1017801,,"",SRS18888182,SAMN37408038,simple,32630,synthetic construct,GSM7783204,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,synthetic construct,"RNA Bind-n-Seq, 3 μM iPr-DMDA-PatA, 90 pmol DDX3X (helicase core), ADP+Pi, rep2",synthetic construct,,3 microM iPr-DMDA-PatA,missing,missing,,synthetic construct
