Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,collection_date,geo_loc_name,sex,tissue,cell_line,identity,BioSampleModel,Identity
SRR28413914,1097051,164557650,150,122,SRX24018255,19,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813303,SAMN40571356,simple,9606,Homo sapiens,TAA-1_1,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,16,Human,
SRR28413913,877122,131568300,150,97,SRX24018256,20,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813304,SAMN40571357,simple,9606,Homo sapiens,TAA-2_2,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,17,Human,
SRR28413912,28617890,8283255437,144,2607,SRX24018257,3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813305,SAMN40571343,simple,9606,Homo sapiens,RCE1_rnaseq,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,3,Human,
SRR28413911,10682452,1602367800,150,1190,SRX24018258,21,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813306,SAMN40571358,simple,9606,Homo sapiens,TAG-1_1,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,18,Human,
SRR28413910,3204720,480708000,150,358,SRX24018259,22,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813307,SAMN40571359,simple,9606,Homo sapiens,TAG-2_2,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,19,Human,
SRR28413909,4887183,733077450,150,500,SRX24018260,23,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813308,SAMN40571360,simple,9606,Homo sapiens,TGA-1_1,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,20,Human,
SRR28413908,16284602,2442690300,150,1664,SRX24018261,24,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813309,SAMN40571361,simple,9606,Homo sapiens,TGA-2_3,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,21,Human,
SRR28413907,5623129,843469350,150,243,SRX24018262,25,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813310,SAMN40571362,simple,9606,Homo sapiens,AA2-1_2,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,22,Human,
SRR28413906,14043815,2106572250,150,1431,SRX24018263,26,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813311,SAMN40571363,simple,9606,Homo sapiens,AA2-2_3,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,23,Human,
SRR28413905,3202392,480358800,150,139,SRX24018264,27,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813312,SAMN40571364,simple,9606,Homo sapiens,AA3-1_2,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,24,Human,
SRR28413904,8692627,1303894050,150,885,SRX24018265,28,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813313,SAMN40571365,simple,9606,Homo sapiens,AA3-2_3,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,25,Human,
SRR28413903,6056763,908514450,150,261,SRX24018266,29,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813314,SAMN40571366,simple,9606,Homo sapiens,AG2-1_2,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,26,Human,
SRR28413902,17259760,2588964000,150,1782,SRX24018267,30,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813315,SAMN40571367,simple,9606,Homo sapiens,AG2-2_3,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,27,Human,
SRR28413901,25868366,7631214041,147,2435,SRX24018268,4,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813316,SAMN40571344,simple,9606,Homo sapiens,RCE2_rnaseq,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,4,Human,
SRR28413900,7512366,1126854900,150,323,SRX24018269,31,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813317,SAMN40571368,simple,9606,Homo sapiens,AG3-1_2,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,28,Human,
SRR28413899,18413580,2762037000,150,1885,SRX24018270,32,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813318,SAMN40571369,simple,9606,Homo sapiens,AG3-2_3,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,29,Human,
SRR28413898,15877655,2381648250,150,681,SRX24018271,33,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813319,SAMN40571370,simple,9606,Homo sapiens,GA2-1_2,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,30,Human,
SRR28413897,40103339,6015500850,150,4111,SRX24018272,34,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813320,SAMN40571371,simple,9606,Homo sapiens,GA2-2_3,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,31,Human,
SRR28413896,10920142,1638021300,150,471,SRX24018273,35,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813321,SAMN40571372,simple,9606,Homo sapiens,GA3-1_2,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,32,Human,
SRR28413895,29603127,4440469050,150,3034,SRX24018274,36,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813322,SAMN40571373,simple,9606,Homo sapiens,GA3-2_3,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,33,Human,
SRR28413894,1799502,269925300,150,79,SRX24018275,37,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813323,SAMN40571374,simple,9606,Homo sapiens,R3TAA1-1_2,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,34,Human,
SRR28413893,5522208,828331200,150,567,SRX24018276,38,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813324,SAMN40571375,simple,9606,Homo sapiens,R3TAA1-2_3,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,35,Human,
SRR28413892,8984350,1347652500,150,387,SRX24018277,39,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813325,SAMN40571376,simple,9606,Homo sapiens,R3TAA3-1_2,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,36,Human,
SRR28413891,25981351,3897202650,150,2662,SRX24018278,40,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813326,SAMN40571377,simple,9606,Homo sapiens,R3TAA3-2_3,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,37,Human,
SRR28413890,24432553,7186403682,147,2288,SRX24018279,5,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813327,SAMN40571345,simple,9606,Homo sapiens,GFP1_rnaseq,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,5,Human,
SRR28413889,8446666,1266999900,150,363,SRX24018280,41,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813328,SAMN40571378,simple,9606,Homo sapiens,R3TAG1-1_2,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,38,Human,
SRR28413888,21614216,3242132400,150,2205,SRX24018281,42,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813329,SAMN40571379,simple,9606,Homo sapiens,R3TAG1-2_3,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,39,Human,
SRR28413887,10204521,1530678150,150,467,SRX24018282,43,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813330,SAMN40571380,simple,9606,Homo sapiens,R3TAG3-1_4,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,40,Human,
SRR28413886,6754637,1013195550,150,317,SRX24018283,44,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813331,SAMN40571381,simple,9606,Homo sapiens,R3TAG3-2_5,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,41,Human,
SRR28413885,8004639,1200695850,150,344,SRX24018284,45,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813332,SAMN40571382,simple,9606,Homo sapiens,R3TGA1-1_2,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,42,Human,
SRR28413884,24914580,3737187000,150,2589,SRX24018285,46,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813333,SAMN40571383,simple,9606,Homo sapiens,R3TGA1-2_3,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,43,Human,
SRR28413883,27993427,4199014050,150,1259,SRX24018286,47,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813334,SAMN40571384,simple,9606,Homo sapiens,R3TGA3-1_4,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,44,Human,
SRR28413882,18587335,2788100250,150,856,SRX24018287,48,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813335,SAMN40571385,simple,9606,Homo sapiens,R3TGA3-2_5,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,45,Human,
SRR28413881,5080058,762008700,150,244,SRX24018288,49,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813336,SAMN40571386,simple,9606,Homo sapiens,Scr3-1_2,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,46,Human,
SRR28413880,25999073,3899860950,150,2764,SRX24018289,50,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813337,SAMN40571387,simple,9606,Homo sapiens,Scr3-2_3,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,47,Human,
SRR28413879,110119568,8258967600,75,2468,SRX24018290,6,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813338,SAMN40571346,simple,9606,Homo sapiens,GCE_ribo,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,6,Human,
SRR28413878,4701795,705269250,150,219,SRX24018291,51,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813339,SAMN40571388,simple,9606,Homo sapiens,Scr1-1_4,Peking University,SRA1830916,03,2024,Yan,"",control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,48,Human,
SRR28413877,3003460,450519000,150,142,SRX24018292,52,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813340,SAMN40571389,simple,9606,Homo sapiens,Scr1-2_5,Peking University,SRA1830916,03,2024,Yan,"",control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,49,Human,
SRR28413876,6278570,941785500,150,311,SRX24018293,53,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813341,SAMN40571390,simple,9606,Homo sapiens,TP531-1_4,Peking University,SRA1830916,03,2024,Yan,"",control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,50,Human,
SRR28413875,4121868,618280200,150,212,SRX24018294,54,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813342,SAMN40571391,simple,9606,Homo sapiens,TP531-2_5,Peking University,SRA1830916,03,2024,Yan,"",control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,51,Human,
SRR28413874,6807241,1021086150,150,735,SRX24018295,55,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813344,SAMN40571392,simple,9606,Homo sapiens,TP534-1_3,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,52,Human,
SRR28413873,12046207,1806931050,150,513,SRX24018296,56,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813343,SAMN40571393,simple,9606,Homo sapiens,TP534-2_6,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,53,Human,
SRR28413872,203788769,30568315350,150,21507,SRX24018297,7,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813338,SAMN40571346,simple,9606,Homo sapiens,GCE_ribo,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,6,Human,
SRR28413871,117916809,8843760675,75,2620,SRX24018298,8,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813345,SAMN40571347,simple,9606,Homo sapiens,RCE_ribo,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,7,Human,
SRR28413870,135436557,20315483550,150,14904,SRX24018299,9,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813345,SAMN40571347,simple,9606,Homo sapiens,RCE_ribo,Peking University,SRA1830916,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,7,Human,
SRR28413869,99962561,7497192075,75,2178,SRX24018300,10,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20813295,SAMN40571348,simple,9606,Homo sapiens,GFP_ribo,Peking University,SRA1830916,03,2024,Yan,"",Control,not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,8,Human,
SRR28435799,3388161,508224150,150,159,SRX24039599,57,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20832358,SAMN40598912,simple,9606,Homo sapiens,AGXT_TAA1_plus-1_4,Peking University,SRA1832713,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,,Human,54
SRR28435798,2375683,356352450,150,114,SRX24039600,58,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20832359,SAMN40598913,simple,9606,Homo sapiens,AGXT_TAA3_minus-1_4,Peking University,SRA1832713,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,,Human,55
SRR28435797,3519864,527979600,150,165,SRX24039601,67,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20832361,SAMN40598922,simple,9606,Homo sapiens,LDLR_TAA3_minus-1_4,Peking University,SRA1832713,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,,Human,64
SRR28435796,3737931,560689650,150,172,SRX24039602,68,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20832360,SAMN40598923,simple,9606,Homo sapiens,LDLR_TAA3_plus-1_4,Peking University,SRA1832713,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,,Human,65
SRR28435795,571851,85777650,150,27,SRX24039603,69,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20832362,SAMN40598924,simple,9606,Homo sapiens,LDLR_TAG1_plus-1_4,Peking University,SRA1832713,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,,Human,66
SRR28435794,3435196,515279400,150,162,SRX24039604,70,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20832363,SAMN40598925,simple,9606,Homo sapiens,LDLR_TAG3_minus-1_4,Peking University,SRA1832713,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,,Human,67
SRR28435793,3692320,553848000,150,183,SRX24039605,71,Targeted-Capture,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP497092,PRJNA1090628,,"",SRS20832364,SAMN40598926,simple,9606,Homo sapiens,LDLR_TAG3_plus-1_4,Peking University,SRA1832713,03,2024,Yan,"","",not collected,not collected,not collected,not collected,not collected,not collected,not collected,HEK293T,,Human,68
