Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,geo_loc_name,collection_date
SRR28817153,36040592,7280199584,101,2082,SRX24380168,GSM8232606,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136473,SAMN41096322,simple,10090,Mus musculus,GSM8232606,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SNI IP 2,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817154,119132125,35977901750,151,11277,SRX24380168,GSM8232606,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136473,SAMN41096322,simple,10090,Mus musculus,GSM8232606,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SNI IP 2,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817152,69591010,14057384020,101,4022,SRX24380169,GSM8232607,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136474,SAMN41096321,simple,10090,Mus musculus,GSM8232607,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SHAM IP 2,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817163,57163497,11547026394,101,3332,SRX24380170,GSM8232608,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136475,SAMN41096320,simple,10090,Mus musculus,GSM8232608,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SNI IP 3,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817151,92008255,18585667510,101,5320,SRX24380171,GSM8232609,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136476,SAMN41096319,simple,10090,Mus musculus,GSM8232609,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D4 SHAM IP 3,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817155,41249830,8332465660,101,2396,SRX24380172,GSM8232610,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136477,SAMN41096318,simple,10090,Mus musculus,GSM8232610,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SNI IN 1,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817150,57583922,2879196100,50,1026,SRX24380173,GSM8232646,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136478,SAMN41096282,simple,10090,Mus musculus,GSM8232646,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D04_SHM_103_mRNA,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817149,47637772,2381888600,50,954,SRX24380174,GSM8232647,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136479,SAMN41096281,simple,10090,Mus musculus,GSM8232647,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D04_SHM_103_rFP,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817148,52393608,2619680400,50,941,SRX24380175,GSM8232648,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136480,SAMN41096280,simple,10090,Mus musculus,GSM8232648,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D04_SHM_104_mRNA,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817147,32300499,1615024950,50,633,SRX24380176,GSM8232649,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136481,SAMN41096279,simple,10090,Mus musculus,GSM8232649,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D04_SHM_104_rFP,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817146,55950251,2797512550,50,1003,SRX24380177,GSM8232650,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136482,SAMN41096278,simple,10090,Mus musculus,GSM8232650,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D04_SNI_101_mRNA,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817145,32853891,1642694550,50,662,SRX24380178,GSM8232651,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136484,SAMN41096277,simple,10090,Mus musculus,GSM8232651,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D04_SNI_101_rFP,spinal cord,spinal cord,all cells,missing,missing
SRR28817144,45946880,2297344000,50,825,SRX24380179,GSM8232652,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136483,SAMN41096276,simple,10090,Mus musculus,GSM8232652,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D04_SNI_102_mRNA,spinal cord,spinal cord,all cells,missing,missing
SRR28817143,37660962,1883048100,50,738,SRX24380180,GSM8232653,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136486,SAMN41096275,simple,10090,Mus musculus,GSM8232653,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D04_SNI_102_rFP,spinal cord,spinal cord,all cells,missing,missing
SRR28817142,51942498,2597124900,50,1218,SRX24380181,GSM8232654,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136485,SAMN41096274,simple,10090,Mus musculus,GSM8232654,McGill University,SRA1857619,04,2024,Lister,spinal cord,SC_D04_SHM_203_mRNA,spinal cord,spinal cord,all cells,missing,missing
SRR28817141,53313313,2665665650,50,991,SRX24380182,GSM8232655,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136487,SAMN41096273,simple,10090,Mus musculus,GSM8232655,McGill University,SRA1857619,04,2024,Lister,spinal cord,SC_D04_SHM_203_rFP,spinal cord,spinal cord,all cells,missing,missing
SRR28817140,59194157,2959707850,50,1297,SRX24380183,GSM8232656,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136488,SAMN41096272,simple,10090,Mus musculus,GSM8232656,McGill University,SRA1857619,04,2024,Lister,spinal cord,SC_D04_SHM_204_mRNA,spinal cord,spinal cord,all cells,missing,missing
SRR28817139,48794142,2439707100,50,892,SRX24380184,GSM8232657,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136489,SAMN41096271,simple,10090,Mus musculus,GSM8232657,McGill University,SRA1857619,04,2024,Lister,spinal cord,SC_D04_SHM_204_rFP,spinal cord,spinal cord,all cells,missing,missing
SRR28817138,44234780,2211739000,50,1034,SRX24380185,GSM8232658,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136490,SAMN41096270,simple,10090,Mus musculus,GSM8232658,McGill University,SRA1857619,04,2024,Lister,spinal cord,SC_D04_SNI_201_mRNA,spinal cord,spinal cord,all cells,missing,missing
SRR28817137,49194519,2459725950,50,920,SRX24380186,GSM8232659,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136491,SAMN41096269,simple,10090,Mus musculus,GSM8232659,McGill University,SRA1857619,04,2024,Lister,spinal cord,SC_D04_SNI_201_rFP,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817136,46023596,2301179800,50,1009,SRX24380187,GSM8232660,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136492,SAMN41096268,simple,10090,Mus musculus,GSM8232660,McGill University,SRA1857619,04,2024,Lister,spinal cord,SC_D04_SNI_202_mRNA,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817135,45640008,2282000400,50,844,SRX24380188,GSM8232661,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136493,SAMN41096267,simple,10090,Mus musculus,GSM8232661,McGill University,SRA1857619,04,2024,Lister,spinal cord,SC_D04_SNI_202_rFP,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817156,32998795,6665756590,101,1917,SRX24380189,GSM8232612,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136494,SAMN41096316,simple,10090,Mus musculus,GSM8232612,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SNI IN 2,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817157,77308063,23347035026,151,7415,SRX24380189,GSM8232612,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136494,SAMN41096316,simple,10090,Mus musculus,GSM8232612,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SNI IN 2,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817130,32177469,6499848738,101,1903,SRX24380190,GSM8232613,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136495,SAMN41096315,simple,10090,Mus musculus,GSM8232613,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SHAM IN 2,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817131,92781858,28020121116,151,9044,SRX24380190,GSM8232613,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136495,SAMN41096315,simple,10090,Mus musculus,GSM8232613,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SHAM IN 2,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817129,99880974,20175956748,101,5765,SRX24380191,GSM8232611,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136496,SAMN41096317,simple,10090,Mus musculus,GSM8232611,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SHAM IN 1,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817127,39637518,8006778636,101,2360,SRX24380192,GSM8232614,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136497,SAMN41096314,simple,10090,Mus musculus,GSM8232614,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SNI IN 3,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817128,103669303,31308129506,151,10095,SRX24380192,GSM8232614,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136497,SAMN41096314,simple,10090,Mus musculus,GSM8232614,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SNI IN 3,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817125,25076564,5065465928,101,1459,SRX24380193,GSM8232615,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136498,SAMN41096313,simple,10090,Mus musculus,GSM8232615,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SHAM IN 3,spinal cord,spinal cord,inhibitory neurons,missing,missing
SRR28817126,90695568,27390061536,151,8709,SRX24380193,GSM8232615,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136498,SAMN41096313,simple,10090,Mus musculus,GSM8232615,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SHAM IN 3,spinal cord,spinal cord,excitatory neurons,missing,missing
SRR28817124,59346785,11988050570,101,3405,SRX24380194,GSM8232616,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136499,SAMN41096312,simple,10090,Mus musculus,GSM8232616,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SNI IP 1,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817132,44137755,8915826510,101,2560,SRX24380195,GSM8232617,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136500,SAMN41096311,simple,10090,Mus musculus,GSM8232617,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SHAM IP 1,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817123,135175822,27305516044,101,7844,SRX24380196,GSM8232618,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136501,SAMN41096310,simple,10090,Mus musculus,GSM8232618,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SNI IP 2,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817133,24377957,4924347314,101,1420,SRX24380197,GSM8232619,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136502,SAMN41096309,simple,10090,Mus musculus,GSM8232619,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SHAM IP 2,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817134,84783300,25604556600,151,8118,SRX24380197,GSM8232619,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136502,SAMN41096309,simple,10090,Mus musculus,GSM8232619,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SHAM IP 2,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817122,92652321,18715768842,101,5334,SRX24380198,GSM8232620,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136503,SAMN41096308,simple,10090,Mus musculus,GSM8232620,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SNI IP 3,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817121,59979995,12115958990,101,3498,SRX24380199,GSM8232621,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136504,SAMN41096307,simple,10090,Mus musculus,GSM8232621,McGill University,SRA1857619,04,2024,Lister,spinal cord,GAD2 D60 SHAM IP 3,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817119,29983504,6056667808,101,1746,SRX24380200,GSM8232622,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136505,SAMN41096306,simple,10090,Mus musculus,GSM8232622,McGill University,SRA1857619,04,2024,Lister,spinal cord,TAC1 D4 SNI IN 1,dorsal root ganglia,dorsal root ganglia,all cells,missing,missing
SRR28817120,89415408,27003453216,151,8607,SRX24380200,GSM8232622,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP504307,PRJNA1105042,38979173,"",SRS21136505,SAMN41096306,simple,10090,Mus musculus,GSM8232622,McGill University,SRA1857619,04,2024,Lister,spinal cord,TAC1 D4 SNI IN 1,spinal cord,spinal cord,all cells,missing,missing
SRR28817118,57372640,2868632000,50,1020,SRX24380201,GSM8232662,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136506,SAMN41096266,simple,10090,Mus musculus,GSM8232662,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D63_SHM_107_mRNA,spinal cord,spinal cord,all cells,missing,missing
SRR28817117,39276891,1963844550,50,792,SRX24380202,GSM8232663,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136507,SAMN41096265,simple,10090,Mus musculus,GSM8232663,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D63_SHM_107_rFP,spinal cord,spinal cord,all cells,missing,missing
SRR28817116,51182319,2559115950,50,920,SRX24380203,GSM8232664,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136508,SAMN41096264,simple,10090,Mus musculus,GSM8232664,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D63_SHM_108_mRNA,spinal cord,spinal cord,all cells,missing,missing
SRR28817115,58873706,2943685300,50,1048,SRX24380204,GSM8232665,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136509,SAMN41096263,simple,10090,Mus musculus,GSM8232665,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D63_SNI_105_mRNA,spinal cord,spinal cord,all cells,missing,missing
SRR28817114,35424339,1771216950,50,710,SRX24380205,GSM8232666,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136510,SAMN41096262,simple,10090,Mus musculus,GSM8232666,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D63_SNI_105_rFP,spinal cord,spinal cord,all cells,missing,missing
SRR28817113,59174748,2958737400,50,1050,SRX24380206,GSM8232667,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136511,SAMN41096261,simple,10090,Mus musculus,GSM8232667,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D63_SNI_106_mRNA,spinal cord,spinal cord,all cells,missing,missing
SRR28817112,40820640,2041032000,50,807,SRX24380207,GSM8232668,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136512,SAMN41096260,simple,10090,Mus musculus,GSM8232668,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D63_SHM_108_rFP,spinal cord,spinal cord,all cells,missing,missing
SRR28817111,40241870,2012093500,50,798,SRX24380208,GSM8232669,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136513,SAMN41096259,simple,10090,Mus musculus,GSM8232669,McGill University,SRA1857619,04,2024,Lister,dorsal root ganglia,DRG_D63_SNI_106_rFP,spinal cord,spinal cord,excitatory neurons,missing,missing
SRR28817110,45972073,2298603650,50,1079,SRX24380209,GSM8232670,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136514,SAMN41096258,simple,10090,Mus musculus,GSM8232670,McGill University,SRA1857619,04,2024,Lister,spinal cord,SC_D63_SHM_207_mRNA,spinal cord,spinal cord,excitatory neurons,missing,missing
SRR28817109,58210074,2910503700,50,1102,SRX24380210,GSM8232671,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136515,SAMN41096257,simple,10090,Mus musculus,GSM8232671,McGill University,SRA1857619,04,2024,Lister,spinal cord,SC_D63_SHM_207_rFP,spinal cord,spinal cord,excitatory neurons,missing,missing
SRR28817108,51631930,2581596500,50,1133,SRX24380211,GSM8232672,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136516,SAMN41096256,simple,10090,Mus musculus,GSM8232672,McGill University,SRA1857619,04,2024,Lister,spinal cord,SC_D63_SHM_208_mRNA,spinal cord,spinal cord,excitatory neurons,missing,missing
SRR28817107,50922765,2546138250,50,896,SRX24380212,GSM8232673,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136518,SAMN41096255,simple,10090,Mus musculus,GSM8232673,McGill University,SRA1857619,04,2024,Lister,spinal cord,SC_D63_SHM_208_rFP,spinal cord,spinal cord,excitatory neurons,missing,missing
SRR28817106,47580956,2379047800,50,1118,SRX24380213,GSM8232674,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504307,PRJNA1105042,38979173,"",SRS21136517,SAMN41096254,simple,10090,Mus musculus,GSM8232674,McGill University,SRA1857619,04,2024,Lister,spinal cord,SC_D63_SNI_205_mRNA,spinal cord,spinal cord,excitatory neurons,missing,missing
