Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,geo_loc_name,collection_date,treatment
SRR28018153,13591959,3968852028,150,1319,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018154,15235746,4448837832,150,1474,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018155,16807254,4907718168,150,1647,SRX23670168,GSM8087257,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501040,SAMN40001022,simple,9606,Homo sapiens,GSM8087257,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018108,43713276,12764276592,150,4210,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018109,25247873,7372378916,150,2463,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018110,30855117,9009694164,150,3036,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018111,17882436,5221671312,150,1759,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018112,24337560,7106567520,150,2289,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",NA,NA,,missing,missing,DMS
SRR28018113,25748929,7518687268,150,2430,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",NA,NA,,missing,missing,DMS
SRR28018114,24762795,7230736140,150,2332,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",NA,NA,,missing,missing,no DMS
SRR28018115,14116799,4122105308,150,1333,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",NA,NA,,missing,missing,no DMS
SRR28018116,37950101,11081429492,150,3674,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",NA,NA,,missing,missing,"DMS, denature RNA"
SRR28018117,36431897,10638113924,150,3480,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",NA,NA,,missing,missing,"DMS, denature RNA"
SRR28018118,47144821,13766287732,150,4596,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HEK293T,HEK293T,WT,missing,missing,
SRR28018119,42361075,12369433900,150,4032,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HEK293T,HEK293T,WT,missing,missing,
SRR28018120,24351932,7110764144,150,2385,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HEK293T,HEK293T,WT,missing,missing,
SRR28018121,42779089,12491493988,150,4172,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018122,41410102,12091749784,150,4051,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018123,54361333,15873509236,150,5340,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018124,27321486,7977873912,150,2686,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018125,54900058,16030816936,150,5324,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018126,28796256,8408506752,150,2806,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018127,38421684,11219131728,150,3714,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018128,37522887,10956683004,150,3637,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018129,48603975,14192360700,150,4728,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018130,24728413,7220696596,150,2408,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",HeLa,HeLa,WT,missing,missing,
SRR28018131,27906323,8148646316,150,2729,SRX23670169,GSM8087258,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501042,SAMN40001021,simple,9606,Homo sapiens,GSM8087258,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, monosme fraction",NA,NA,,missing,missing,DMS
SRR28018096,8960320,2616413440,150,861,SRX23670170,GSM8087259,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501041,SAMN40001020,simple,9606,Homo sapiens,GSM8087259,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, total RNA input",NA,NA,,missing,missing,DMS
SRR28018097,25838445,7544825940,150,2513,SRX23670170,GSM8087259,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501041,SAMN40001020,simple,9606,Homo sapiens,GSM8087259,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, total RNA input",NA,NA,,missing,missing,no DMS
SRR28018098,22734188,6638382896,150,2220,SRX23670170,GSM8087259,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501041,SAMN40001020,simple,9606,Homo sapiens,GSM8087259,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, total RNA input",NA,NA,,missing,missing,no DMS
SRR28018099,26281837,7674296404,150,2552,SRX23670170,GSM8087259,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501041,SAMN40001020,simple,9606,Homo sapiens,GSM8087259,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, total RNA input",NA,NA,,missing,missing,"DMS, denature RNA"
SRR28018100,11914855,3479137660,150,1148,SRX23670170,GSM8087259,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501041,SAMN40001020,simple,9606,Homo sapiens,GSM8087259,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, total RNA input",NA,NA,,missing,missing,"DMS, denature RNA"
SRR28018101,9997389,2919237588,150,971,SRX23670170,GSM8087259,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501041,SAMN40001020,simple,9606,Homo sapiens,GSM8087259,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, total RNA input",HEK293T,HEK293T,WT,missing,missing,
SRR28018102,11210468,3273456656,150,1095,SRX23670170,GSM8087259,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501041,SAMN40001020,simple,9606,Homo sapiens,GSM8087259,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, total RNA input",HEK293T,HEK293T,WT,missing,missing,
SRR28018103,17740016,5180084672,150,1742,SRX23670170,GSM8087259,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501041,SAMN40001020,simple,9606,Homo sapiens,GSM8087259,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, total RNA input",HEK293T,HEK293T,WT,missing,missing,
SRR28018104,23294242,6801918664,150,2267,SRX23670170,GSM8087259,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501041,SAMN40001020,simple,9606,Homo sapiens,GSM8087259,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, total RNA input",HeLa,HeLa,WT,missing,missing,
SRR28018105,20165570,5888346440,150,1973,SRX23670170,GSM8087259,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501041,SAMN40001020,simple,9606,Homo sapiens,GSM8087259,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, total RNA input",HeLa,HeLa,WT,missing,missing,
SRR28018106,23712812,6924141104,150,2314,SRX23670170,GSM8087259,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501041,SAMN40001020,simple,9606,Homo sapiens,GSM8087259,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, total RNA input",HeLa,HeLa,WT,missing,missing,
SRR28018107,19367518,5655315256,150,1897,SRX23670170,GSM8087259,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501041,SAMN40001020,simple,9606,Homo sapiens,GSM8087259,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, Unmod, total RNA input",HeLa,HeLa,WT,missing,missing,
SRR28018084,29071246,8488803832,150,2807,SRX23670171,GSM8087260,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501043,SAMN40001019,simple,9606,Homo sapiens,GSM8087260,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, total RNA input",HeLa,HeLa,WT,missing,missing,
SRR28018085,28934058,8448744936,150,2820,SRX23670171,GSM8087260,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501043,SAMN40001019,simple,9606,Homo sapiens,GSM8087260,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, total RNA input",HeLa,HeLa,WT,missing,missing,
SRR28018086,35164024,10267895008,150,3455,SRX23670171,GSM8087260,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490519,PRJNA1078388,,"",SRS20501043,SAMN40001019,simple,9606,Homo sapiens,GSM8087260,"Cellular and Molecular Physiology, Yale University",SRA1805228,12,2024,Thoreen,HeLa,"CleanCap, m1Y, total RNA input",HeLa,HeLa,WT,missing,missing,
