Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell type,genotype,treatment,geo_loc_name,collection_date
SRR28628304,1899630,105448601,55,52,SRX24226129,GSM8198405,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995729,SAMN40932354,simple,5693,Trypanosoma cruzi,GSM8198405,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation (episomal using GFP antibodies) in nutritional stress replicate 2,whole organism,Dm28c,whole organism,episomal eIF4E4-GFP,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628303,1832582,101868829,55,50,SRX24226130,GSM8198406,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995730,SAMN40932353,simple,5693,Trypanosoma cruzi,GSM8198406,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation (episomal using GFP antibodies) in nutritional stress replicate 3,whole organism,Dm28c,whole organism,episomal eIF4E4-GFP,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628299,65,6459,99,0,SRX24226131,GSM8198407,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995731,SAMN40932352,simple,5693,Trypanosoma cruzi,GSM8198407,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in exponential growth replicate 1 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628300,9,825,91,0,SRX24226131,GSM8198407,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995731,SAMN40932352,simple,5693,Trypanosoma cruzi,GSM8198407,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in exponential growth replicate 1 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628301,480557,47877982,99,25,SRX24226131,GSM8198407,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995731,SAMN40932352,simple,5693,Trypanosoma cruzi,GSM8198407,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in exponential growth replicate 1 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628302,679710,67756990,99,36,SRX24226131,GSM8198407,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995731,SAMN40932352,simple,5693,Trypanosoma cruzi,GSM8198407,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in exponential growth replicate 1 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628296,6,599,99,0,SRX24226132,GSM8198408,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995732,SAMN40932351,simple,5693,Trypanosoma cruzi,GSM8198408,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in exponential growth replicate 2 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628297,362572,35940061,99,18,SRX24226132,GSM8198408,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995732,SAMN40932351,simple,5693,Trypanosoma cruzi,GSM8198408,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in exponential growth replicate 2 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628298,511302,50746011,99,27,SRX24226132,GSM8198408,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995732,SAMN40932351,simple,5693,Trypanosoma cruzi,GSM8198408,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in exponential growth replicate 2 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628293,1,101,101,0,SRX24226133,GSM8198409,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995733,SAMN40932350,simple,5693,Trypanosoma cruzi,GSM8198409,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 1 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628294,364546,36185600,99,19,SRX24226133,GSM8198409,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995733,SAMN40932350,simple,5693,Trypanosoma cruzi,GSM8198409,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 1 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628295,516503,51313203,99,27,SRX24226133,GSM8198409,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995733,SAMN40932350,simple,5693,Trypanosoma cruzi,GSM8198409,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 1 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628289,586870,58306707,99,30,SRX24226134,GSM8198410,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995734,SAMN40932349,simple,5693,Trypanosoma cruzi,GSM8198410,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 2 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628290,421327,41908184,99,22,SRX24226134,GSM8198410,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995734,SAMN40932349,simple,5693,Trypanosoma cruzi,GSM8198410,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 2 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628291,655420,65247084,99,35,SRX24226134,GSM8198410,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995734,SAMN40932349,simple,5693,Trypanosoma cruzi,GSM8198410,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 2 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628292,1,101,101,0,SRX24226134,GSM8198410,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995734,SAMN40932349,simple,5693,Trypanosoma cruzi,GSM8198410,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 2 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628284,436223,43584818,99,23,SRX24226135,GSM8198411,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995736,SAMN40932348,simple,5693,Trypanosoma cruzi,GSM8198411,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 3 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628285,425231,42191703,99,22,SRX24226135,GSM8198411,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995736,SAMN40932348,simple,5693,Trypanosoma cruzi,GSM8198411,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 3 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628286,609497,60549071,99,32,SRX24226135,GSM8198411,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995736,SAMN40932348,simple,5693,Trypanosoma cruzi,GSM8198411,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 3 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628287,1,101,101,0,SRX24226135,GSM8198411,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995736,SAMN40932348,simple,5693,Trypanosoma cruzi,GSM8198411,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 3 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628288,1,100,100,0,SRX24226135,GSM8198411,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995736,SAMN40932348,simple,5693,Trypanosoma cruzi,GSM8198411,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 3 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628279,612545,59534334,97,32,SRX24226136,GSM8198412,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995735,SAMN40932347,simple,5693,Trypanosoma cruzi,GSM8198412,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 1 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628280,7,670,95,0,SRX24226136,GSM8198412,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995735,SAMN40932347,simple,5693,Trypanosoma cruzi,GSM8198412,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 1 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628281,305179,30291863,99,16,SRX24226136,GSM8198412,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995735,SAMN40932347,simple,5693,Trypanosoma cruzi,GSM8198412,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 1 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628282,462545,45962234,99,24,SRX24226136,GSM8198412,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995735,SAMN40932347,simple,5693,Trypanosoma cruzi,GSM8198412,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 1 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628283,3,301,100,0,SRX24226136,GSM8198412,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995735,SAMN40932347,simple,5693,Trypanosoma cruzi,GSM8198412,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 1 (experiment 2),whole organism,Dm28c,whole organism,episomal GFP-FLAG,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628274,555249,54739179,98,29,SRX24226137,GSM8198413,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995737,SAMN40932346,simple,5693,Trypanosoma cruzi,GSM8198413,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 2 (experiment 2),whole organism,Dm28c,whole organism,episomal GFP-FLAG,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628275,14,1406,100,0,SRX24226137,GSM8198413,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995737,SAMN40932346,simple,5693,Trypanosoma cruzi,GSM8198413,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 2 (experiment 2),whole organism,Dm28c,whole organism,episomal GFP-FLAG,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628276,186171,18544897,99,9,SRX24226137,GSM8198413,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995737,SAMN40932346,simple,5693,Trypanosoma cruzi,GSM8198413,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 2 (experiment 2),whole organism,Dm28c,whole organism,episomal eIF4E3-GFP,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628277,273184,27218834,99,14,SRX24226137,GSM8198413,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995737,SAMN40932346,simple,5693,Trypanosoma cruzi,GSM8198413,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 2 (experiment 2),whole organism,Dm28c,whole organism,episomal eIF4E3-GFP,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628278,1,101,101,0,SRX24226137,GSM8198413,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995737,SAMN40932346,simple,5693,Trypanosoma cruzi,GSM8198413,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 2 (experiment 2),whole organism,Dm28c,whole organism,episomal eIF4E3-GFP,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628270,75,7495,99,0,SRX24226138,GSM8198414,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995738,SAMN40932345,simple,5693,Trypanosoma cruzi,GSM8198414,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 3 (experiment 2),whole organism,Dm28c,whole organism,episomal eIF4E4-GFP,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628271,1,100,100,0,SRX24226138,GSM8198414,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995738,SAMN40932345,simple,5693,Trypanosoma cruzi,GSM8198414,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 3 (experiment 2),whole organism,Dm28c,whole organism,episomal eIF4E4-GFP,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628272,172948,17235078,99,9,SRX24226138,GSM8198414,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995738,SAMN40932345,simple,5693,Trypanosoma cruzi,GSM8198414,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 3 (experiment 2),whole organism,Dm28c,whole organism,episomal eIF4E4-GFP,cells (epimastigote stage) in exponential growth conditions,missing,missing
SRR28628273,259769,25889808,99,14,SRX24226138,GSM8198414,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995738,SAMN40932345,simple,5693,Trypanosoma cruzi,GSM8198414,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 3 (experiment 2),whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628269,2004488,111310811,55,55,SRX24226139,GSM8198374,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995739,SAMN40932385,simple,5693,Trypanosoma cruzi,GSM8198374,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E3 immunoprecipitation in exponential growth replicate 1,whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628268,1986136,110256334,55,55,SRX24226140,GSM8198375,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995741,SAMN40932384,simple,5693,Trypanosoma cruzi,GSM8198375,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E3 immunoprecipitation in exponential growth replicate 2,whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628267,2642635,146777133,55,73,SRX24226141,GSM8198376,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995740,SAMN40932383,simple,5693,Trypanosoma cruzi,GSM8198376,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E3 immunoprecipitation in exponential growth replicate 3,whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628266,2173260,120661968,55,60,SRX24226142,GSM8198377,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995742,SAMN40932382,simple,5693,Trypanosoma cruzi,GSM8198377,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 1,whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628265,2355683,130824605,55,65,SRX24226143,GSM8198378,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995743,SAMN40932381,simple,5693,Trypanosoma cruzi,GSM8198378,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 2,whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628264,2115382,117459455,55,58,SRX24226144,GSM8198379,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995744,SAMN40932380,simple,5693,Trypanosoma cruzi,GSM8198379,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,eIF4E4 immunoprecipitation in exponential growth replicate 3,whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628263,2145395,119120623,55,59,SRX24226145,GSM8198380,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995745,SAMN40932379,simple,5693,Trypanosoma cruzi,GSM8198380,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 1,whole organism,Dm28c,whole organism,WT,cells (epimastigote stage) in nutritional stress for two hours,missing,missing
SRR28628262,2371920,131691086,55,65,SRX24226146,GSM8198381,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP501211,PRJNA1099224,,"",SRS20995746,SAMN40932378,simple,5693,Trypanosoma cruzi,GSM8198381,University of Würzburg,SRA1844977,04,2024,Papini Gabiatti,whole organism,IgG (negative control) immunoprecipitation in nutritional stress replicate 2,whole organism,Dm28c,whole organism,WT,cells fully differentiated to metacyclic trypomastigotes,missing,missing
