Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,treatment,geo_loc_name,collection_date
SRR24848218,16810070,4618207191,127,1473,SRX20612338,GSM7458265,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912169,SAMN35646513,simple,562,Escherichia coli,GSM7458265,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 20 min, 3'-end-seq, wildtype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848217,10133852,2725415913,121,896,SRX20612339,GSM7458266,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912170,SAMN35646512,simple,562,Escherichia coli,GSM7458266,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 40 min, 3'-end-seq, wildtype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848216,2869477,860843100,150,266,SRX20612340,GSM7458283,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912171,SAMN35646495,simple,562,Escherichia coli,GSM7458283,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 11,BW25113,BW25113,mutant,None,missing,missing
SRR24848215,8929789,2397479941,121,783,SRX20612341,GSM7458267,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912172,SAMN35646511,simple,562,Escherichia coli,GSM7458267,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 60 min, 3'-end-seq, wildtype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848214,11547855,3095287065,120,1013,SRX20612342,GSM7458268,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912173,SAMN35646510,simple,562,Escherichia coli,GSM7458268,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 74 min, 3'-end-seq, wildype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848213,7106559,1910633474,121,634,SRX20612343,GSM7458269,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912175,SAMN35646509,simple,562,Escherichia coli,GSM7458269,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 110 min, 3'-end-seq, wildtype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848212,3117381,935214300,150,294,SRX20612344,GSM7458286,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912174,SAMN35646492,simple,562,Escherichia coli,GSM7458286,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 14,BW25113,BW25113,mutant,None,missing,missing
SRR24848211,8017936,2130544212,118,707,SRX20612345,GSM7458270,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912176,SAMN35646508,simple,562,Escherichia coli,GSM7458270,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"0 min, 3'-end-seq, Δmfd",BW25113,BW25113,{delta}mfd,"6 mg/L, gentamicin",missing,missing
SRR24848210,18983026,4991874090,116,1661,SRX20612346,GSM7458271,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912177,SAMN35646507,simple,562,Escherichia coli,GSM7458271,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 60 min, 3'-end-seq, Δmfd",BW25113,BW25113,{delta}mfd,"6 mg/L, gentamicin",missing,missing
SRR24848209,2429053,728715900,150,229,SRX20612347,GSM7458289,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912179,SAMN35646489,simple,562,Escherichia coli,GSM7458289,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 17,BW25113,BW25113,mutant,None,missing,missing
SRR24848208,4257831,1277349300,150,399,SRX20612348,GSM7458275,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912182,SAMN35646503,simple,562,Escherichia coli,GSM7458275,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 3,BW25113,BW25113,mutant,None,missing,missing
SRR24848207,5885140,1765542000,150,594,SRX20612349,GSM7458276,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912178,SAMN35646502,simple,562,Escherichia coli,GSM7458276,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 4,BW25113,BW25113,mutant,None,missing,missing
SRR24848206,3263759,979127700,150,305,SRX20612350,GSM7458292,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912181,SAMN35646486,simple,562,Escherichia coli,GSM7458292,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 20,BW25113,BW25113,mutant,None,missing,missing
SRR24848205,3649810,1094943000,150,340,SRX20612351,GSM7458278,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912180,SAMN35646500,simple,562,Escherichia coli,GSM7458278,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 6,BW25113,BW25113,mutant,None,missing,missing
SRR24848204,2836652,850995600,150,270,SRX20612352,GSM7458279,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912183,SAMN35646499,simple,562,Escherichia coli,GSM7458279,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 7,BW25113,BW25113,mutant,None,missing,missing
SRR24848203,3464076,1039222800,150,326,SRX20612353,GSM7458295,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912184,SAMN35646483,simple,562,Escherichia coli,GSM7458295,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 23,BW25113,BW25113,mutant,None,missing,missing
SRR24848202,4675874,1402762200,150,468,SRX20612354,GSM7458281,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912185,SAMN35646497,simple,562,Escherichia coli,GSM7458281,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 9,BW25113,BW25113,mutant,None,missing,missing
SRR24848201,2719038,815711400,150,252,SRX20612355,GSM7458282,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912186,SAMN35646496,simple,562,Escherichia coli,GSM7458282,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 10,BW25113,BW25113,mutant,None,missing,missing
SRR24848200,4812342,1443702600,150,481,SRX20612356,GSM7458298,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912187,SAMN35646480,simple,562,Escherichia coli,GSM7458298,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 26,BW25113,BW25113,mutant,None,missing,missing
SRR24848199,4223042,1266912600,150,421,SRX20612357,GSM7458284,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912188,SAMN35646494,simple,562,Escherichia coli,GSM7458284,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 12,BW25113,BW25113,mutant,None,missing,missing
SRR24848198,2314180,694254000,150,216,SRX20612358,GSM7458285,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912190,SAMN35646493,simple,562,Escherichia coli,GSM7458285,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 13,BW25113,BW25113,mutant,None,missing,missing
SRR24848197,3824210,1147263000,150,361,SRX20612359,GSM7458301,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912189,SAMN35646477,simple,562,Escherichia coli,GSM7458301,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 29,BW25113,BW25113,mutant,None,missing,missing
SRR24848196,5309067,1592720100,150,501,SRX20612360,GSM7458287,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912191,SAMN35646491,simple,562,Escherichia coli,GSM7458287,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 15,BW25113,BW25113,mutant,None,missing,missing
SRR24848195,2578145,773443500,150,241,SRX20612361,GSM7458288,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912192,SAMN35646490,simple,562,Escherichia coli,GSM7458288,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 16,BW25113,BW25113,mutant,None,missing,missing
SRR24848194,4527166,1358149800,150,454,SRX20612362,GSM7458304,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912193,SAMN35646474,simple,562,Escherichia coli,GSM7458304,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 32,BW25113,BW25113,mutant,None,missing,missing
SRR24848193,980387,294116100,150,115,SRX20612363,GSM7458305,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912195,SAMN35646473,simple,562,Escherichia coli,GSM7458305,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 33,BW25113,BW25113,mutant,None,missing,missing
SRR24848192,12634224,3338524915,117,1107,SRX20612364,GSM7458272,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912194,SAMN35646506,simple,562,Escherichia coli,GSM7458272,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 110 min, 3'-end-seq, Δmfd",BW25113,BW25113,{delta}mfd,"6 mg/L, gentamicin",missing,missing
SRR24848191,2783319,834995700,150,258,SRX20612365,GSM7458273,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912197,SAMN35646505,simple,562,Escherichia coli,GSM7458273,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 1,BW25113,BW25113,mutant,None,missing,missing
SRR24848190,3487716,1046314800,150,328,SRX20612366,GSM7458291,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912198,SAMN35646487,simple,562,Escherichia coli,GSM7458291,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 19,BW25113,BW25113,mutant,None,missing,missing
SRR24848189,5007920,1502376000,150,467,SRX20612367,GSM7458293,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912196,SAMN35646485,simple,562,Escherichia coli,GSM7458293,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 21,BW25113,BW25113,mutant,None,missing,missing
SRR24848188,2888651,866595300,150,270,SRX20612368,GSM7458294,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912199,SAMN35646484,simple,562,Escherichia coli,GSM7458294,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 22,BW25113,BW25113,mutant,None,missing,missing
SRR24848187,3124669,937400700,150,293,SRX20612369,GSM7458296,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912200,SAMN35646482,simple,562,Escherichia coli,GSM7458296,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 24,BW25113,BW25113,mutant,None,missing,missing
SRR24848186,3710172,1113051600,150,349,SRX20612370,GSM7458297,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912201,SAMN35646481,simple,562,Escherichia coli,GSM7458297,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 25,BW25113,BW25113,mutant,None,missing,missing
SRR24848185,5168482,1550544600,150,487,SRX20612371,GSM7458299,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912203,SAMN35646479,simple,562,Escherichia coli,GSM7458299,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 27,BW25113,BW25113,mutant,None,missing,missing
SRR24848184,6154167,1846250100,150,599,SRX20612372,GSM7458300,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912202,SAMN35646478,simple,562,Escherichia coli,GSM7458300,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 28,BW25113,BW25113,mutant,None,missing,missing
SRR24848183,3057116,917134800,150,297,SRX20612373,GSM7458302,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912204,SAMN35646476,simple,562,Escherichia coli,GSM7458302,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 30,BW25113,BW25113,mutant,None,missing,missing
SRR24848182,2381016,714304800,150,226,SRX20612374,GSM7458303,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912205,SAMN35646475,simple,562,Escherichia coli,GSM7458303,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 31,BW25113,BW25113,mutant,None,missing,missing
