Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment,time,geo_loc_name,collection_date
SRR26987914,10113090,1506022238,74,536,SRX22681066,GSM7923049,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675879,SAMN38500440,simple,9606,Homo sapiens,GSM7923049,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"GMCSF, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,HCMV (TB40E),24 h,missing,missing
SRR26987907,9463637,1407778045,74,509,SRX22681067,GSM7923050,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675878,SAMN38500439,simple,9606,Homo sapiens,GSM7923050,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"GMCSF, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,GMCSF (100ng/mL),24 h,missing,missing
SRR26987908,9425374,1402106948,74,509,SRX22681067,GSM7923050,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675878,SAMN38500439,simple,9606,Homo sapiens,GSM7923050,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"GMCSF, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,GMCSF (100ng/mL),24 h,missing,missing
SRR26987909,9596405,1427566503,74,522,SRX22681067,GSM7923050,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675878,SAMN38500439,simple,9606,Homo sapiens,GSM7923050,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"GMCSF, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,MCSF (100ng/mL),24 h,missing,missing
SRR26987910,9438329,1404033741,74,512,SRX22681067,GSM7923050,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675878,SAMN38500439,simple,9606,Homo sapiens,GSM7923050,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"GMCSF, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,MCSF (100ng/mL),24 h,missing,missing
SRR26987903,9413197,1401014191,74,494,SRX22681068,GSM7923051,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675880,SAMN38500438,simple,9606,Homo sapiens,GSM7923051,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"MCSF, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,Mock,24 h,missing,missing
SRR26987904,9467257,1409060332,74,497,SRX22681068,GSM7923051,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675880,SAMN38500438,simple,9606,Homo sapiens,GSM7923051,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"MCSF, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,Mock,24 h,missing,missing
SRR26987905,9664351,1438400681,74,512,SRX22681068,GSM7923051,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675880,SAMN38500438,simple,9606,Homo sapiens,GSM7923051,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"MCSF, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,HCMV (TB40E),24 h,missing,missing
SRR26987906,9535304,1419167321,74,503,SRX22681068,GSM7923051,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675880,SAMN38500438,simple,9606,Homo sapiens,GSM7923051,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"MCSF, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,HCMV (TB40E),24 h,missing,missing
SRR26987899,10071590,1499715201,74,534,SRX22681069,GSM7923052,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675881,SAMN38500437,simple,9606,Homo sapiens,GSM7923052,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"MCSF, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,GMCSF (100ng/mL),24 h,missing,missing
SRR26987900,10105599,1504798819,74,535,SRX22681069,GSM7923052,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675881,SAMN38500437,simple,9606,Homo sapiens,GSM7923052,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"MCSF, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,GMCSF (100ng/mL),24 h,missing,missing
SRR26987901,10337690,1539370022,74,553,SRX22681069,GSM7923052,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675881,SAMN38500437,simple,9606,Homo sapiens,GSM7923052,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"MCSF, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,MCSF (100ng/mL),24 h,missing,missing
SRR26987902,10199252,1518742769,74,544,SRX22681069,GSM7923052,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675881,SAMN38500437,simple,9606,Homo sapiens,GSM7923052,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"MCSF, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,MCSF (100ng/mL),24 h,missing,missing
