Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,vector backbone,insert,substrain,GEO Accession
SRR6080111,27782052,1389102600,50,583,SRX3219101,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543789,SAMN07709287,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794760,GEO,SRA613734,09,2020,"",pACYC177 plasmid / harmonized Luciferase rep 1,pACYC177 plasmid / harmonized Luciferase rep 1,pACYC177 plasmid / harmonized Luciferase rep 2,K-12 MG1655,pACYC177,harmonized Luciferase,MG1655,GSM2794761
SRR6080112,39269584,1963479200,50,943,SRX3219102,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543790,SAMN07709297,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794761,GEO,SRA613734,09,2020,"",pACYC177 plasmid / harmonized Luciferase rep 2,pACYC177 plasmid / harmonized Luciferase rep 2,pACYC177 plasmid / harmonized Luciferase rep 3,K-12 MG1655,pACYC177,harmonized Luciferase,MG1655,GSM2794762
SRR6080113,38169313,1908465650,50,948,SRX3219103,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543791,SAMN07709269,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794762,GEO,SRA613734,09,2020,"",pACYC177 plasmid / harmonized Luciferase rep 3,pACYC177 plasmid / harmonized Luciferase rep 3,pACYC177 plasmid / fast Luciferase rep 1,K-12 MG1655,pACYC177,fast Luciferase,MG1655,GSM2794763
SRR6080114,37674556,1883727800,50,795,SRX3219104,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543792,SAMN07709286,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794763,GEO,SRA613734,09,2020,"",pACYC177 plasmid / fast Luciferase rep 1,pACYC177 plasmid / fast Luciferase rep 1,pACYC177 plasmid / fast Luciferase rep 2,K-12 MG1655,pACYC177,fast Luciferase,MG1655,GSM2794764
SRR6080115,39356676,1967833800,50,950,SRX3219105,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543793,SAMN07709285,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794764,GEO,SRA613734,09,2020,"",pACYC177 plasmid / fast Luciferase rep 2,pACYC177 plasmid / fast Luciferase rep 2,pACYC177 plasmid / fast Luciferase rep 3,K-12 MG1655,pACYC177,fast Luciferase,MG1655,GSM2794765
SRR6080116,39071160,1953558000,50,974,SRX3219106,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543794,SAMN07709284,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794765,GEO,SRA613734,09,2020,"",pACYC177 plasmid / fast Luciferase rep 3,pACYC177 plasmid / fast Luciferase rep 3,pACYC177 plasmid / slow/fast Luciferase rep 1,K-12 MG1655,pACYC177,slow/fast Luciferase,MG1655,GSM2794766
SRR6080117,14400058,720002900,50,337,SRX3219107,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543795,SAMN07709283,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794766,GEO,SRA613734,09,2020,"",pACYC177 plasmid / slow/fast Luciferase rep 1,pACYC177 plasmid / slow/fast Luciferase rep 1,pACYC177 plasmid / slow/fast Luciferase rep 2,K-12 MG1655,pACYC177,slow/fast Luciferase,MG1655,GSM2794767
SRR6080118,3742632,187131600,50,87,SRX3219108,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543796,SAMN07709278,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794767,GEO,SRA613734,09,2020,"",pACYC177 plasmid / slow/fast Luciferase rep 2,pACYC177 plasmid / slow/fast Luciferase rep 2,pACYC177 plasmid / slow/fast Luciferase rep 3,K-12 MG1655,pACYC177,slow/fast Luciferase,MG1655,GSM2794768
SRR6080119,15752672,787633600,50,364,SRX3219109,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543797,SAMN07709277,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794768,GEO,SRA613734,09,2020,"",pACYC177 plasmid / slow/fast Luciferase rep 3,pACYC177 plasmid / slow/fast Luciferase rep 3,pACYC177 plasmid / fast/slow Luciferase rep 1,K-12 MG1655,pACYC177,fast/slow Luciferase,MG1655,GSM2794769
SRR6080120,65417362,3270868100,50,1508,SRX3219110,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543798,SAMN07709276,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794769,GEO,SRA613734,09,2020,"",pACYC177 plasmid / fast/slow Luciferase rep 1,pACYC177 plasmid / fast/slow Luciferase rep 1,pACYC177 plasmid / fast/slow Luciferase rep 2,K-12 MG1655,pACYC177,fast/slow Luciferase,MG1655,GSM2794770
SRR6080121,18811924,940596200,50,431,SRX3219111,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543799,SAMN07709273,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794770,GEO,SRA613734,09,2020,"",pACYC177 plasmid / fast/slow Luciferase rep 2,pACYC177 plasmid / fast/slow Luciferase rep 2,pACYC177 plasmid / fast/slow Luciferase rep 3,K-12 MG1655,pACYC177,fast/slow Luciferase,MG1655,GSM2794771
SRR6080122,15995483,799774150,50,369,SRX3219112,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543817,SAMN07709272,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794771,GEO,SRA613734,09,2020,"",pACYC177 plasmid / fast/slow Luciferase rep 3,pACYC177 plasmid / fast/slow Luciferase rep 3,pACYC177 plasmid / slow_in/fast Luciferase rep 1,K-12 MG1655,pACYC177,slow_in/fast Luciferase,MG1655,GSM2794772
SRR6080123,18109846,905492300,50,387,SRX3219113,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543800,SAMN07709274,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794772,GEO,SRA613734,09,2020,"",pACYC177 plasmid / slow_in/fast Luciferase rep 1,pACYC177 plasmid / slow_in/fast Luciferase rep 1,pACYC177 plasmid / slow_in/fast Luciferase rep 2,K-12 MG1655,pACYC177,slow_in/fast Luciferase,MG1655,GSM2794773
SRR6080124,21534319,1076715950,50,463,SRX3219114,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543801,SAMN07709275,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794773,GEO,SRA613734,09,2020,"",pACYC177 plasmid / slow_in/fast Luciferase rep 2,pACYC177 plasmid / slow_in/fast Luciferase rep 2,pACYC177 plasmid / fast_in/slow Luciferase rep 1,K-12 MG1655,pACYC177,fast_in/slow Luciferase,MG1655,GSM2794774
SRR6080125,14298261,714913050,50,308,SRX3219115,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543802,SAMN07709271,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794774,GEO,SRA613734,09,2020,"",pACYC177 plasmid / fast_in/slow Luciferase rep 1,pACYC177 plasmid / fast_in/slow Luciferase rep 1,pACYC177 plasmid / fast_in/slow Luciferase rep 2,K-12 MG1655,pACYC177,fast_in/slow Luciferase,MG1655,GSM2794775
SRR6080126,7883112,394155600,50,169,SRX3219116,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2543803,SAMN07709270,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2794775,GEO,SRA613734,09,2020,"",pACYC177 plasmid / fast_in/slow Luciferase rep 2,pACYC177 plasmid / fast_in/slow Luciferase rep 2,K-12 MG1655,K-12 MG1655,pACYC177,N/A,,GSM2891751
SRR6384398,12366068,1236606800,100,484,SRX3478085,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2764071,SAMN08195978,simple,562,Escherichia coli,GSM2891751,GEO,SRA613734,09,2020,"",K-12 MG1655,pACYC177 plasmid / no insert rep 1,K-12 MG1655,K-12 MG1655,pACYC177,slow Luciferase,,GSM2891752
SRR6384399,15798049,1579804900,100,617,SRX3478086,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2764073,SAMN08195977,simple,562,Escherichia coli,GSM2891752,GEO,SRA613734,09,2020,"",K-12 MG1655,pACYC177 plasmid / slow Luciferase rep 1,K-12 MG1655,K-12 MG1655,pACYC177,WT Luciferase,,GSM2891753
SRR6384400,25520575,2552057500,100,1014,SRX3478087,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2764074,SAMN08195981,simple,562,Escherichia coli,GSM2891753,GEO,SRA613734,09,2020,"",K-12 MG1655,pACYC177 plasmid / WT Luciferase rep 1,K-12 MG1655,K-12 MG1655,pACYC177,harmonized Luciferase,,GSM2891754
SRR6384401,17487558,1748755800,100,700,SRX3478088,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2764075,SAMN08195980,simple,562,Escherichia coli,GSM2891754,GEO,SRA613734,09,2020,"",K-12 MG1655,pACYC177 plasmid / harmonized Luciferase rep 1,K-12 MG1655,K-12 MG1655,pACYC177,fast Luciferase,,GSM2891755
SRR6384402,13693302,1369330200,100,546,SRX3478089,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP118966,PRJNA412310,,"",SRS2764076,SAMN08195979,simple,562,Escherichia coli,GSM2891755,GEO,SRA613734,09,2020,"",K-12 MG1655,pACYC177 plasmid / fast Luciferase rep 1,pACYC177 plasmid / no insert rep 1,K-12 MG1655,pACYC177,N/A,MG1655,GSM2794751
