Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,treatment,geo_loc_name,collection_date
SRR28962284,29133437,2802214140,96,871,SRX24491864,GSM8257728,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456646,PRJNA1008576,,"",SRS21241026,SAMN41260415,simple,7227,Drosophila melanogaster,GSM8257728,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,testis,RNA_testis_WT2_2,testis,testis,CT,missing,missing
SRR28962282,36589449,3509186580,95,1078,SRX24491865,GSM8257729,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456646,PRJNA1008576,,"",SRS21241028,SAMN41260414,simple,7227,Drosophila melanogaster,GSM8257729,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,testis,RNA_testis_KO1_2,testis,testis,Mettl1-KO,missing,missing
SRR28962281,30226990,2906537091,96,895,SRX24491866,GSM8257730,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456646,PRJNA1008576,,"",SRS21241027,SAMN41260413,simple,7227,Drosophila melanogaster,GSM8257730,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,testis,RNA_testis_KO2_2,testis,testis,Mettl1-KO,missing,missing
SRR28962280,12138566,326373167,26,372,SRX24491867,GSM8257731,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP456646,PRJNA1008576,,"",SRS21241029,SAMN41260412,simple,7227,Drosophila melanogaster,GSM8257731,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,body,Ribo_body_WT1_1,body,body,CT,missing,missing
SRR28962283,36753374,978273439,26,1122,SRX24491868,GSM8257732,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP456646,PRJNA1008576,,"",SRS21241030,SAMN41260411,simple,7227,Drosophila melanogaster,GSM8257732,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,body,Ribo_body_WT1_2,body,body,CT,missing,missing
SRR28962279,30357177,841027219,27,940,SRX24491869,GSM8257733,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP456646,PRJNA1008576,,"",SRS21241031,SAMN41260410,simple,7227,Drosophila melanogaster,GSM8257733,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,body,Ribo_body_KO2_1,body,body,Mettl1-KO,missing,missing
SRR28962278,9274865,252449499,27,285,SRX24491870,GSM8257734,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP456646,PRJNA1008576,,"",SRS21241032,SAMN41260409,simple,7227,Drosophila melanogaster,GSM8257734,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,body,Ribo_body_KO2_2,body,body,Mettl1-KO,missing,missing
SRR28962277,15823306,446507706,28,492,SRX24491871,GSM8257735,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP456646,PRJNA1008576,,"",SRS21241033,SAMN41260408,simple,7227,Drosophila melanogaster,GSM8257735,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,body,Ribo_body_KO1_1,body,body,Mettl1-KO,missing,missing
SRR28962276,12702757,317096524,24,381,SRX24491872,GSM8257736,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP456646,PRJNA1008576,,"",SRS21241034,SAMN41260407,simple,7227,Drosophila melanogaster,GSM8257736,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,body,Ribo_body_KO1_2,body,body,Mettl1-KO,missing,missing
SRR28962275,31547700,3079754082,97,955,SRX24491873,GSM8257737,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456646,PRJNA1008576,,"",SRS21241035,SAMN41260406,simple,7227,Drosophila melanogaster,GSM8257737,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,body,RNA_body_WT1_1,body,body,CT,missing,missing
SRR28962274,26372786,2571276367,97,797,SRX24491874,GSM8257738,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456646,PRJNA1008576,,"",SRS21241036,SAMN41260405,simple,7227,Drosophila melanogaster,GSM8257738,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,body,RNA_body_WT1_2,body,body,CT,missing,missing
SRR28962272,32306586,3163126618,97,982,SRX24491876,GSM8257740,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456646,PRJNA1008576,,"",SRS21241038,SAMN41260403,simple,7227,Drosophila melanogaster,GSM8257740,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,body,RNA_body_KO2_2,body,body,Mettl1-KO,missing,missing
SRR28962271,30427547,2971759421,97,917,SRX24491877,GSM8257741,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456646,PRJNA1008576,,"",SRS21241039,SAMN41260402,simple,7227,Drosophila melanogaster,GSM8257741,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1861903,08,2024,Iwasaki,body,RNA_body_KO1_1,body,body,Mettl1-KO,missing,missing
