Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,strain,GEO Accession
SRR15712987,3769189,354303766,43,107,SRX12008585,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP335571,PRJNA760480,,"",SRS10014730,SAMN21216056,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556746,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RNASeq_EV3_repetition,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T,PAO1,GSM5556746
SRR15712988,16595405,1559968070,43,461,SRX12008586,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP335571,PRJNA760480,,"",SRS10014733,SAMN21216057,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556747,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RNASeq_EV4_repetition,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T,PAO1,GSM5556747
SRR15712989,5819319,547015986,43,165,SRX12008587,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP335571,PRJNA760480,,"",SRS10014734,SAMN21216058,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556748,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RNASeq_PleD1_repetition,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T:pleD*,PAO1,GSM5556748
SRR15712990,8798132,827024408,43,246,SRX12008588,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP335571,PRJNA760480,,"",SRS10014735,SAMN21216059,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556749,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RNASeq_PleD2_repetition,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T:pleD*,PAO1,GSM5556749
SRR15712991,11108608,1044209152,43,309,SRX12008589,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP335571,PRJNA760480,,"",SRS10014736,SAMN21216060,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556750,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RNASeq_PleD3_repetition,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T:pleD*,PAO1,GSM5556750
SRR15712992,10293456,967584864,43,286,SRX12008590,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP335571,PRJNA760480,,"",SRS10014737,SAMN21216061,simple,208964,Pseudomonas aeruginosa PAO1,GSM5556751,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,RNASeq_PleD4_repetition,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 0.5-0.7,pHERD20T:pleD*,PAO1,GSM5556751
SRR17862771,6143467,276456015,45,160,SRX14023572,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP335571,PRJNA760480,,"",SRS11860213,SAMN25597898,simple,208964,Pseudomonas aeruginosa PAO1,GSM5857042,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 1.5,pHERD_1,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 1.5,pHERD20T,PAO1,GSM5857042
SRR17862772,8152991,366884595,45,212,SRX14023573,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP335571,PRJNA760480,,"",SRS11860212,SAMN25597899,simple,208964,Pseudomonas aeruginosa PAO1,GSM5857043,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 1.5,pHERD_2,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 1.5,pHERD20T,PAO1,GSM5857043
SRR17862773,8843975,397978875,45,229,SRX14023574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP335571,PRJNA760480,,"",SRS11860214,SAMN25597900,simple,208964,Pseudomonas aeruginosa PAO1,GSM5857044,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 1.5,pleD_1,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 1.5,pHERD20T:pleD*,PAO1,GSM5857044
SRR17862774,5622277,253002465,45,145,SRX14023575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP335571,PRJNA760480,,"",SRS11860215,SAMN25597901,simple,208964,Pseudomonas aeruginosa PAO1,GSM5857045,GEO,SRA1288536,09,2024,"",RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 1.5,pleD_2,RNA-seq of planktonic culture of Pseudomonas aeruginosa PA01 treated with 0.2% arabinose from 45 min after inoculation (OD of 0.05) to OD 1.5,pHERD20T:pleD*,PAO1,GSM5857045
