Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,age,collection_date,ecotype,geo_loc_name,replicate,tissue,BioSampleModel
DRR495773,65391307,3269565350,50,2501,DRX479944,zt21_2_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369159,SAMD00621653,simple,3702,Arabidopsis thaliana,SAMD00621653,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt21_2,zt21_2,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 2,whole shoot,Plant
DRR495774,21164361,1058218050,50,867,DRX479945,zt0_1_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369148,SAMD00621642,simple,3702,Arabidopsis thaliana,SAMD00621642,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt0_1,zt0_1,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 1,whole shoot,Plant
DRR495775,23416649,1170832450,50,965,DRX479946,zt0_2_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369149,SAMD00621643,simple,3702,Arabidopsis thaliana,SAMD00621643,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt0_2,zt0_2,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 2,whole shoot,Plant
DRR495776,23878445,1193922250,50,979,DRX479947,zt3_1_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369150,SAMD00621644,simple,3702,Arabidopsis thaliana,SAMD00621644,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt3_1,zt3_1,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 1,whole shoot,Plant
DRR495777,24705613,1235280650,50,1023,DRX479948,zt3_2_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369151,SAMD00621645,simple,3702,Arabidopsis thaliana,SAMD00621645,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt3_2,zt3_2,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 2,whole shoot,Plant
DRR495778,23406719,1170335950,50,964,DRX479949,zt6_1_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369152,SAMD00621646,simple,3702,Arabidopsis thaliana,SAMD00621646,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt6_1,zt6_1,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 1,whole shoot,Plant
DRR495779,22791583,1139579150,50,937,DRX479950,zt6_2_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369153,SAMD00621647,simple,3702,Arabidopsis thaliana,SAMD00621647,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt6_2,zt6_2,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 2,whole shoot,Plant
DRR495780,24162958,1208147900,50,990,DRX479951,zt12_1_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369154,SAMD00621648,simple,3702,Arabidopsis thaliana,SAMD00621648,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt12_1,zt12_1,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 1,whole shoot,Plant
DRR495781,24379931,1218996550,50,1003,DRX479952,zt12_2_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369155,SAMD00621649,simple,3702,Arabidopsis thaliana,SAMD00621649,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt12_2,zt12_2,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 2,whole shoot,Plant
DRR495782,23871437,1193571850,50,983,DRX479953,zt18_1_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369156,SAMD00621650,simple,3702,Arabidopsis thaliana,SAMD00621650,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt18_1,zt18_1,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 1,whole shoot,Plant
DRR495783,23871914,1193595700,50,980,DRX479954,zt18_2_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369157,SAMD00621651,simple,3702,Arabidopsis thaliana,SAMD00621651,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt18_2,zt18_2,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 2,whole shoot,Plant
DRR495784,23785272,1189263600,50,972,DRX479955,zt21_1_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369158,SAMD00621652,simple,3702,Arabidopsis thaliana,SAMD00621652,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt21_1,zt21_1,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 1,whole shoot,Plant
DRR495785,25916707,1295835350,50,1067,DRX479956,zt21_2_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP011320,PRJDB16373,38494830,"",DRS369159,SAMD00621653,simple,3702,Arabidopsis thaliana,SAMD00621653,UT_IBIO,DRA016840,03,2024,Aoyama,"",zt21_2,zt21_2,14-day-old,missing: control sample,Col-0,missing: control sample,biological replicate 2,whole shoot,Plant
