Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,developmental stage,Sex,tissue,growth conditions,GEO Accession
SRR16761051,33237344,4985601600,150,1633,SRX12961389,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903133,SAMN22863204,simple,6239,Caenorhabditis elegans,GSM5668013,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004) C. elegans,wildtypeCHXDisomeRep2,unc-54(srf1004) C. elegans,WJA1004,unc-54(srf1004),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668013
SRR16761052,49055206,7358280900,150,2434,SRX12961390,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903135,SAMN22863205,simple,6239,Caenorhabditis elegans,GSM5668014,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004) C. elegans,wildtypeANSMonosomeRep2,unc-54(srf1004) C. elegans,WJA1004,unc-54(srf1004),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668014
SRR16761053,36040909,5406136350,150,1878,SRX12961391,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903136,SAMN22863206,simple,6239,Caenorhabditis elegans,GSM5668015,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004) C. elegans,wildtypeANSDisomeShortRep2,unc-54(srf1004) C. elegans,WJA1004,unc-54(srf1004),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668015
SRR16761054,48529510,7279426500,150,2453,SRX12961392,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903137,SAMN22863207,simple,6239,Caenorhabditis elegans,GSM5668016,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004) C. elegans,wildtypeANSDisomeRep2,unc-54(srf1004) C. elegans,WJA1004,unc-54(srf1004),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668016
SRR16761055,24906836,3736025400,150,1222,SRX12961393,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903138,SAMN22863208,simple,6239,Caenorhabditis elegans,GSM5668017,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004); znf-598(srf2119) C. elegans,znf-598CHXMonosomeRep2,unc-54(srf1004); znf-598(srf2119) C. elegans,WJA1009,unc-54(srf1004); znf-598(srf2119),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668017
SRR16761056,18767310,2815096500,150,933,SRX12961394,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903140,SAMN22863209,simple,6239,Caenorhabditis elegans,GSM5668018,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004); znf-598(srf2119) C. elegans,znf-598CHXDisomeRep2,unc-54(srf1004); znf-598(srf2119) C. elegans,WJA1009,unc-54(srf1004); znf-598(srf2119),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668018
SRR16761057,41327779,6199166850,150,2035,SRX12961395,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903139,SAMN22863210,simple,6239,Caenorhabditis elegans,GSM5668019,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004); znf-598(srf2119) C. elegans,znf-598ANSMonosomeRep2,unc-54(srf1004); znf-598(srf2119) C. elegans,WJA1009,unc-54(srf1004); znf-598(srf2119),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668019
SRR16761058,33929598,5089439700,150,1780,SRX12961396,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903141,SAMN22863211,simple,6239,Caenorhabditis elegans,GSM5668020,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004); znf-598(srf2119) C. elegans,znf-598ANSDisomeShortRep2,unc-54(srf1004); znf-598(srf2119) C. elegans,WJA1009,unc-54(srf1004); znf-598(srf2119),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668020
SRR16761059,66073932,9911089800,150,3286,SRX12961397,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903142,SAMN22863212,simple,6239,Caenorhabditis elegans,GSM5668021,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004); znf-598(srf2119) C. elegans,znf-598ANSDisomeRep2,unc-54(srf1004); znf-598(srf2119) C. elegans,WJA1009,unc-54(srf1004); znf-598(srf2119),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668021
SRR16761060,20786166,3117924900,150,1046,SRX12961398,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903143,SAMN22863191,simple,6239,Caenorhabditis elegans,GSM5668000,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004) C. elegans,wildtypeCHXMonosomeRep1,unc-54(srf1004) C. elegans,WJA1004,unc-54(srf1004),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668000
SRR16761061,19389227,2908384050,150,959,SRX12961399,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903144,SAMN22863192,simple,6239,Caenorhabditis elegans,GSM5668001,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004) C. elegans,wildtypeCHXDisomeRep1,unc-54(srf1004) C. elegans,WJA1004,unc-54(srf1004),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668001
SRR16761062,57087444,8563116600,150,2844,SRX12961400,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903145,SAMN22863193,simple,6239,Caenorhabditis elegans,GSM5668002,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004) C. elegans,wildtypeANSMonosomeRep1,unc-54(srf1004) C. elegans,WJA1004,unc-54(srf1004),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668002
