Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,geo_loc_name,collection_date,treatment
SRR27466625,30919122,9275736600,150,2908,SRX23138189,GSM8006336,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089264,SAMN39308277,simple,9606,Homo sapiens,GSM8006336,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,YTHDF1-RIP-IP,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,
SRR27466624,35506006,10651801800,150,3367,SRX23138190,GSM8006335,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089263,SAMN39308278,simple,9606,Homo sapiens,GSM8006335,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,YTHDF1-RIP-Input,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,
SRR27466623,41861642,12308631944,147,4168,SRX23138191,GSM8006347,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089268,SAMN39308266,simple,9606,Homo sapiens,GSM8006347,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,siYTHDF1+Lenvatinib2,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,siYTHDF1+Lenvatinib
SRR27466622,49852546,14562245762,146,4956,SRX23138192,GSM8006348,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089267,SAMN39308265,simple,9606,Homo sapiens,GSM8006348,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,siYTHDF1+Lenvatinib3,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,siYTHDF1+Lenvatinib
SRR27466621,44280473,13002186934,146,4447,SRX23138193,GSM8006349,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089271,SAMN39308264,simple,9606,Homo sapiens,GSM8006349,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,Sorafenib1,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,Sorafenib
SRR27466620,45431710,13375999974,147,4560,SRX23138194,GSM8006350,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089273,SAMN39308263,simple,9606,Homo sapiens,GSM8006350,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,Sorafenib2,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,Sorafenib
SRR27466619,45563967,13415979980,147,4532,SRX23138195,GSM8006351,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089272,SAMN39308262,simple,9606,Homo sapiens,GSM8006351,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,Sorafenib3,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,Sorafenib
SRR27466618,43258775,12671265355,146,4178,SRX23138196,GSM8006345,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089274,SAMN39308268,simple,9606,Homo sapiens,GSM8006345,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,Lenvatinib3,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,Lenvatinib
SRR27466617,43770008,12854924288,146,4345,SRX23138197,GSM8006346,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089269,SAMN39308267,simple,9606,Homo sapiens,GSM8006346,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,siYTHDF1+Lenvatinib1,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,siYTHDF1+Lenvatinib
SRR27466616,48018231,14123390822,147,4794,SRX23138198,GSM8006352,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089270,SAMN39308261,simple,9606,Homo sapiens,GSM8006352,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,siYTHDF1+Sorafenib1,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,siYTHDF1+Sorafenib
SRR27466615,45095918,13279048690,147,4468,SRX23138199,GSM8006353,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089276,SAMN39308260,simple,9606,Homo sapiens,GSM8006353,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,siYTHDF1+Sorafenib2,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,siYTHDF1+Sorafenib
SRR27466614,37219487,9449662564,126,3066,SRX23138200,GSM8006354,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089275,SAMN39308259,simple,9606,Homo sapiens,GSM8006354,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,siYTHDF1+Sorafenib3,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,siYTHDF1+Sorafenib
