Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,region,age,genotype,Sex,collection,geo_loc_name,collection_date
SRR21866753,27901200,4185180000,75,1696,SRX17853744,GSM6630857,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374908,SAMN31247492,simple,10090,Mus musculus,GSM6630857,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_WT_FEMALE_C1.2,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,WT,female,C1.2,,
SRR21866752,28932768,4339915200,75,1739,SRX17853745,GSM6630858,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374909,SAMN31247491,simple,10090,Mus musculus,GSM6630858,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_OVX_FEMALE_C1.2,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,OVX,female,C1.2,,
SRR21866751,29755641,4463346150,75,1816,SRX17853746,GSM6630859,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374910,SAMN31247490,simple,10090,Mus musculus,GSM6630859,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_WT_FEMALE_C1.3,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,WT,female,C1.3,,
SRR21866750,25577835,3836675250,75,1574,SRX17853747,GSM6630860,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374911,SAMN31247489,simple,10090,Mus musculus,GSM6630860,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_OVX_FEMALE_C1.3,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,OVX,female,C1.3,,
SRR21866749,34294633,5144194950,75,2068,SRX17853748,GSM6630861,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374912,SAMN31247488,simple,10090,Mus musculus,GSM6630861,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_WT_FEMALE_C1.4,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,WT,female,C1.4,,
SRR21866748,25186921,3778038150,75,1519,SRX17853749,GSM6630862,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374913,SAMN31247487,simple,10090,Mus musculus,GSM6630862,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_OVX_FEMALE_C1.4,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,OVX,female,C1.4,,
SRR21866747,22307518,3346127700,75,1418,SRX17853750,GSM6630863,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374914,SAMN31247486,simple,10090,Mus musculus,GSM6630863,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_WT_MALE_C1.1,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,WT,male,C1.1,,
SRR21866746,30055262,4508289300,75,1841,SRX17853751,GSM6630864,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374915,SAMN31247485,simple,10090,Mus musculus,GSM6630864,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_OVX_MALE_C1.1,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,OVX,male,C1.1,,
SRR21866745,22049259,3307388850,75,1384,SRX17853752,GSM6630865,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374916,SAMN31247484,simple,10090,Mus musculus,GSM6630865,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_WT_MALE_C1.2,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,WT,male,C1.2,,
SRR21866744,24014242,3602136300,75,1468,SRX17853753,GSM6630866,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374917,SAMN31247483,simple,10090,Mus musculus,GSM6630866,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_OVX_MALE_C1.2,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,OVX,male,C1.2,,
SRR21866743,23874926,3581238900,75,1485,SRX17853754,GSM6630867,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374918,SAMN31247482,simple,10090,Mus musculus,GSM6630867,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_WT_MALE_C1.3,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,WT,male,C1.3,,
SRR21866742,28849086,4327362900,75,1739,SRX17853755,GSM6630868,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374919,SAMN31247481,simple,10090,Mus musculus,GSM6630868,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_OVX_MALE_C1.3,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,OVX,male,C1.3,,
SRR21866741,24979333,3746899950,75,1558,SRX17853756,GSM6630869,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374920,SAMN31247480,simple,10090,Mus musculus,GSM6630869,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_WT_MALE_C1.4,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,WT,male,C1.4,,
SRR21866740,30784804,4617720600,75,1864,SRX17853757,GSM6630870,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374921,SAMN31247479,simple,10090,Mus musculus,GSM6630870,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_OVX_MALE_C1.4,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,OVX,male,C1.4,,
SRR21866739,26619822,3992973300,75,1636,SRX17853758,GSM6630871,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374922,SAMN31247478,simple,10090,Mus musculus,GSM6630871,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_WT_FEMALE_C1.1,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,WT,female,C1.1,,
SRR21866738,25182452,3777367800,75,1540,SRX17853759,GSM6630872,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374923,SAMN31247477,simple,10090,Mus musculus,GSM6630872,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_OVX_FEMALE_C1.1,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,OVX,female,C1.1,,
SRR21866737,23993600,3599040000,75,1502,SRX17853760,GSM6630873,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374924,SAMN31247476,simple,10090,Mus musculus,GSM6630873,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_WT_FEMALE_C1.2,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,WT,female,C1.2,,
SRR21866736,43662190,6549328500,75,2854,SRX17853761,GSM6630898,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374925,SAMN31247451,simple,10090,Mus musculus,GSM6630898,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_WT_MIXED_C2.5,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,WT,mixed,C2.5,missing,missing
SRR21866735,43878053,6581707950,75,2792,SRX17853762,GSM6630899,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374926,SAMN31247450,simple,10090,Mus musculus,GSM6630899,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,DS_YOUNG_WT_MIXED_C2.5,ventral midbrain,ventral midbrain,dopaminergic neurons,DS,YOUNG,WT,mixed,C2.5,missing,missing
SRR21866734,43788175,6568226250,75,2785,SRX17853763,GSM6630900,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374927,SAMN31247449,simple,10090,Mus musculus,GSM6630900,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,VS_YOUNG_WT_MIXED_C2.5,ventral midbrain,ventral midbrain,dopaminergic neurons,VS,YOUNG,WT,mixed,C2.5,missing,missing
SRR21866733,42740604,6411090600,75,2717,SRX17853764,GSM6630901,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374928,SAMN31247448,simple,10090,Mus musculus,GSM6630901,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_WT_MIXED_C2.6,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,WT,mixed,C2.6,missing,missing
SRR21866732,45214775,6782216250,75,2932,SRX17853765,GSM6630902,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374929,SAMN31247447,simple,10090,Mus musculus,GSM6630902,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_WT_MIXED_C2.1,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,WT,mixed,C2.1,missing,missing
SRR21866731,44771663,6715749450,75,2900,SRX17853766,GSM6630903,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374930,SAMN31247446,simple,10090,Mus musculus,GSM6630903,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,DS_OLD_WT_MIXED_C2.1,ventral midbrain,ventral midbrain,dopaminergic neurons,DS,OLD,WT,mixed,C2.1,missing,missing
SRR21866730,42168620,6325293000,75,2747,SRX17853767,GSM6630904,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374931,SAMN31247445,simple,10090,Mus musculus,GSM6630904,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,VS_OLD_WT_MIXED_C2.1,ventral midbrain,ventral midbrain,dopaminergic neurons,VS,OLD,WT,mixed,C2.1,missing,missing
SRR21866729,42155722,6323358300,75,2726,SRX17853768,GSM6630905,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374932,SAMN31247444,simple,10090,Mus musculus,GSM6630905,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_WT_MIXED_C2.2,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,WT,mixed,C2.2,missing,missing
SRR21866728,42873224,6430983600,75,2785,SRX17853769,GSM6630906,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374933,SAMN31247443,simple,10090,Mus musculus,GSM6630906,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,DS_OLD_WT_MIXED_C2.2,ventral midbrain,ventral midbrain,dopaminergic neurons,DS,OLD,WT,mixed,C2.2,missing,missing
SRR21866727,44783691,6717553650,75,2883,SRX17853770,GSM6630907,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374934,SAMN31247442,simple,10090,Mus musculus,GSM6630907,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,VS_OLD_WT_MIXED_C2.2,ventral midbrain,ventral midbrain,dopaminergic neurons,VS,OLD,WT,mixed,C2.2,missing,missing
SRR21866726,42368690,6355303500,75,2573,SRX17853771,GSM6630908,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374935,SAMN31247441,simple,10090,Mus musculus,GSM6630908,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_WT_MIXED_C2.3,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,WT,mixed,C2.3,,
SRR21866725,44293980,6644097000,75,2820,SRX17853772,GSM6630909,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374936,SAMN31247440,simple,10090,Mus musculus,GSM6630909,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,VS_OLD_WT_MIXED_C2.3,ventral midbrain,ventral midbrain,dopaminergic neurons,VS,OLD,WT,mixed,C2.3,,
SRR21866724,43843787,6576568050,75,2789,SRX17853773,GSM6630910,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374937,SAMN31247439,simple,10090,Mus musculus,GSM6630910,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_WT_MIXED_C2.4,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,WT,mixed,C2.4,,
SRR21866723,41688941,6253341150,75,2663,SRX17853774,GSM6630911,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374938,SAMN31247438,simple,10090,Mus musculus,GSM6630911,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,DS_OLD_WT_MIXED_C2.4,ventral midbrain,ventral midbrain,dopaminergic neurons,DS,OLD,WT,mixed,C2.4,,
SRR21866722,46520434,6978065100,75,3083,SRX17853775,GSM6630912,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374939,SAMN31247437,simple,10090,Mus musculus,GSM6630912,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,VS_OLD_WT_MIXED_C2.4,ventral midbrain,ventral midbrain,dopaminergic neurons,VS,OLD,WT,mixed,C2.4,,
SRR21866721,45030601,6754590150,75,2888,SRX17853776,GSM6630913,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374940,SAMN31247436,simple,10090,Mus musculus,GSM6630913,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_WT_MIXED_C2.5,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,WT,mixed,C2.5,,
SRR21866720,45264592,6789688800,75,2913,SRX17853777,GSM6630914,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374941,SAMN31247435,simple,10090,Mus musculus,GSM6630914,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,DS_OLD_WT_MIXED_C2.5,ventral midbrain,ventral midbrain,dopaminergic neurons,DS,OLD,WT,mixed,C2.5,,
SRR21866719,44158614,6623792100,75,2838,SRX17853778,GSM6630915,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374942,SAMN31247434,simple,10090,Mus musculus,GSM6630915,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,VS_OLD_WT_MIXED_C2.5,ventral midbrain,ventral midbrain,dopaminergic neurons,VS,OLD,WT,mixed,C2.5,,
SRR21866718,41751148,6262672200,75,2716,SRX17853779,GSM6630916,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374943,SAMN31247433,simple,10090,Mus musculus,GSM6630916,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_OLD_WT_MIXED_C2.7,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,OLD,WT,mixed,C2.7,,
