Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,library type,geo_loc_name,collection_date
SRR27177551,33155898,1690950798,51,641,SRX22858148,GSM7966617,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833683,SAMN38765415,simple,9606,Homo sapiens,GSM7966617,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1 + YB-3, RNA-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177549,364210,54631500,150,21,SRX22858149,GSM7966620,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833684,SAMN38765412,simple,9606,Homo sapiens,GSM7966620,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-3, Ribo-Seq, rep3",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177550,62804535,3203031285,51,1105,SRX22858149,GSM7966620,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833684,SAMN38765412,simple,9606,Homo sapiens,GSM7966620,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-3, Ribo-Seq, rep3",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177543,95968253,4894380903,51,1680,SRX22858150,GSM7966603,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833685,SAMN38765429,simple,9606,Homo sapiens,GSM7966603,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3, Ribo-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX3 restored expression in YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177544,402183,60327450,150,23,SRX22858150,GSM7966603,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833685,SAMN38765429,simple,9606,Homo sapiens,GSM7966603,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3, Ribo-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,wt,Ribo-Seq,missing,missing
SRR27177541,8380457,628534275,75,237,SRX22858151,GSM7966604,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833686,SAMN38765428,simple,9606,Homo sapiens,GSM7966604,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3, Ribo-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,wt,Ribo-Seq,missing,missing
SRR27177542,95996090,4895800590,51,1662,SRX22858151,GSM7966604,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833686,SAMN38765428,simple,9606,Homo sapiens,GSM7966604,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3, Ribo-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX3 restored expression in YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177539,279327,41899050,150,16,SRX22858152,GSM7966605,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833687,SAMN38765427,simple,9606,Homo sapiens,GSM7966605,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3, Ribo-Seq, rep3",cell line,cell line,HEK293T,Human Embryonic Kidney,wt,RNA-Seq,missing,missing
SRR27177540,85373553,4354051203,51,1486,SRX22858152,GSM7966605,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833687,SAMN38765427,simple,9606,Homo sapiens,GSM7966605,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3, Ribo-Seq, rep3",cell line,cell line,HEK293T,Human Embryonic Kidney,wt,RNA-Seq,missing,missing
SRR27177537,3545204,265890300,75,105,SRX22858153,GSM7966606,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833688,SAMN38765426,simple,9606,Homo sapiens,GSM7966606,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3, RNA-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 restored expression in YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177538,16311813,831902463,51,315,SRX22858153,GSM7966606,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833688,SAMN38765426,simple,9606,Homo sapiens,GSM7966606,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3, RNA-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 restored expression in YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177535,2923244,219243300,75,86,SRX22858154,GSM7966607,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833689,SAMN38765425,simple,9606,Homo sapiens,GSM7966607,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3, RNA-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 & YBX3 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177536,13931350,710498850,51,270,SRX22858154,GSM7966607,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833689,SAMN38765425,simple,9606,Homo sapiens,GSM7966607,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3, RNA-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 & YBX3 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177533,602382,90357300,150,31,SRX22858155,GSM7966608,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833690,SAMN38765424,simple,9606,Homo sapiens,GSM7966608,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3, RNA-Seq, rep3",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 & YBX3 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177534,27133371,1383801921,51,529,SRX22858155,GSM7966608,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833690,SAMN38765424,simple,9606,Homo sapiens,GSM7966608,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3, RNA-Seq, rep3",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 & YBX3 restored expression in YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177531,5748415,431131125,75,164,SRX22858156,GSM7966609,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833691,SAMN38765423,simple,9606,Homo sapiens,GSM7966609,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1, Ribo-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX3 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177532,106225155,5417482905,51,1841,SRX22858156,GSM7966609,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833691,SAMN38765423,simple,9606,Homo sapiens,GSM7966609,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1, Ribo-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX3 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177529,378823,56823450,150,22,SRX22858157,GSM7966610,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833692,SAMN38765422,simple,9606,Homo sapiens,GSM7966610,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1, Ribo-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 & YBX3 restored expression in YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177530,76195352,3885962952,51,1330,SRX22858157,GSM7966610,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833692,SAMN38765422,simple,9606,Homo sapiens,GSM7966610,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-1, Ribo-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX3 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177527,3150181,236263575,75,93,SRX22858158,GSM7966621,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833693,SAMN38765411,simple,9606,Homo sapiens,GSM7966621,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-3, RNA-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177528,12514832,638256432,51,244,SRX22858158,GSM7966621,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833693,SAMN38765411,simple,9606,Homo sapiens,GSM7966621,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-3, RNA-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177554,6214612,466095900,75,179,SRX22858159,GSM7966623,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833694,SAMN38765409,simple,9606,Homo sapiens,GSM7966623,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T, Ribo-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177555,209702744,10694839944,51,3586,SRX22858159,GSM7966623,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833694,SAMN38765409,simple,9606,Homo sapiens,GSM7966623,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T, Ribo-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177525,84508572,4309937172,51,1471,SRX22858160,GSM7966624,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833695,SAMN38765408,simple,9606,Homo sapiens,GSM7966624,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T, Ribo-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177526,385591,57838650,150,22,SRX22858160,GSM7966624,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833695,SAMN38765408,simple,9606,Homo sapiens,GSM7966624,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T, Ribo-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177524,41310114,2106815814,51,795,SRX22858161,GSM7966622,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833696,SAMN38765410,simple,9606,Homo sapiens,GSM7966622,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T ΔYB-1ΔYB-3 + YB-3, RNA-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177522,2662021,199651575,75,79,SRX22858162,GSM7966625,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833697,SAMN38765407,simple,9606,Homo sapiens,GSM7966625,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T, RNA-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX1 restored expression in YBX1 knockout & YBX3 knockout,Ribo-Seq,missing,missing
SRR27177523,11185423,570456573,51,218,SRX22858162,GSM7966625,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477353,PRJNA1051101,38339016,"",SRS19833697,SAMN38765407,simple,9606,Homo sapiens,GSM7966625,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T, RNA-Seq, rep1",cell line,cell line,HEK293T,Human Embryonic Kidney,YBX3 restored expression in YBX1 knockout & YBX3 knockout,RNA-Seq,missing,missing
SRR27177520,31491264,1606054464,51,610,SRX22858163,GSM7966626,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833698,SAMN38765406,simple,9606,Homo sapiens,GSM7966626,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T, RNA-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,wt,Ribo-Seq,missing,missing
SRR27177521,691107,103666050,150,36,SRX22858163,GSM7966626,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP477353,PRJNA1051101,38339016,"",SRS19833698,SAMN38765406,simple,9606,Homo sapiens,GSM7966626,Institute of Protein Research,SRA1766969,01,2024,Eliseeva,cell line,"HEK293T, RNA-Seq, rep2",cell line,cell line,HEK293T,Human Embryonic Kidney,wt,Ribo-Seq,missing,missing
