Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,geo_loc_name,collection_date
SRR29385973,9369962,1405494300,150,385,SRX24900055,GSM8325901,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606289,SAMN41812987,simple,9606,Homo sapiens,GSM8325901,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,VIM_KO_RNA_rep3,HEK293T,HEK293T,VIM_KO,missing,missing
SRR29385972,9858598,1478789700,150,401,SRX24900056,GSM8325902,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606290,SAMN41812986,simple,9606,Homo sapiens,GSM8325902,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,USP42_KO_RNA_rep3,HEK293T,HEK293T,USP42_KO,missing,missing
SRR29385971,8847967,1327195050,150,457,SRX24900057,GSM8325903,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606291,SAMN41812985,simple,9606,Homo sapiens,GSM8325903,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,AAVS1_KO_RPF_rep1,HEK293T,HEK293T,AAVS1_KO,missing,missing
SRR29385970,22822237,3423335550,150,1154,SRX24900058,GSM8325904,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606292,SAMN41812984,simple,9606,Homo sapiens,GSM8325904,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,PARK7_KO_RPF_rep1,HEK293T,HEK293T,PARK7_KO,missing,missing
SRR29385969,12544767,1881715050,150,651,SRX24900059,GSM8325905,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606293,SAMN41812983,simple,9606,Homo sapiens,GSM8325905,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,VIM_KO_RPF_rep1,HEK293T,HEK293T,VIM_KO,missing,missing
SRR29385968,12029450,1804417500,150,613,SRX24900060,GSM8325906,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606294,SAMN41812982,simple,9606,Homo sapiens,GSM8325906,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,USP42_KO_RPF_rep1,HEK293T,HEK293T,USP42_KO,missing,missing
SRR29385967,15997522,2399628300,150,806,SRX24900061,GSM8325907,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606295,SAMN41812981,simple,9606,Homo sapiens,GSM8325907,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,AAVS1_KO_RPF_rep2,HEK293T,HEK293T,AAVS1_KO,missing,missing
SRR29385966,6474156,971123400,150,325,SRX24900062,GSM8325908,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606296,SAMN41812980,simple,9606,Homo sapiens,GSM8325908,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,PARK7_KO_RPF_rep2,HEK293T,HEK293T,PARK7_KO,missing,missing
SRR29385965,18629774,2794466100,150,946,SRX24900063,GSM8325909,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606297,SAMN41812979,simple,9606,Homo sapiens,GSM8325909,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,VIM_KO_RPF_rep2,HEK293T,HEK293T,VIM_KO,missing,missing
SRR29385964,17680889,2652133350,150,879,SRX24900064,GSM8325910,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606298,SAMN41812978,simple,9606,Homo sapiens,GSM8325910,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,USP42_KO_RPF_rep2,HEK293T,HEK293T,USP42_KO,missing,missing
SRR29385963,15538403,2330760450,150,786,SRX24900065,GSM8325911,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606299,SAMN41812977,simple,9606,Homo sapiens,GSM8325911,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,AAVS1_KO_RPF_rep3,HEK293T,HEK293T,AAVS1_KO,missing,missing
SRR29385962,19633465,2945019750,150,992,SRX24900066,GSM8325912,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606300,SAMN41812976,simple,9606,Homo sapiens,GSM8325912,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,PARK7_KO_RPF_rep3,HEK293T,HEK293T,PARK7_KO,missing,missing
SRR29385961,27972717,4195907550,150,1420,SRX24900067,GSM8325913,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606301,SAMN41812975,simple,9606,Homo sapiens,GSM8325913,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,VIM_KO_RPF_rep3,HEK293T,HEK293T,VIM_KO,missing,missing
SRR29385960,24138314,3620747100,150,1219,SRX24900068,GSM8325914,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP513676,PRJNA1123575,39149359,"",SRS21606302,SAMN41812974,simple,9606,Homo sapiens,GSM8325914,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1897725,08,2024,Liu,HEK293T,USP42_KO_RPF_rep3,HEK293T,HEK293T,USP42_KO,missing,missing
