Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,fraction,treatment,geo_loc_name,collection_date
SRR24225708,9461538,2838461400,150,868,SRX20022030,GSM7187886,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363057,SAMN34264521,simple,9606,Homo sapiens,GSM7187886,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, med, 3min, rep1",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA associated with 3-7 ribos,harringtonine 3 min,missing,missing
SRR24225707,10857307,3257192100,150,994,SRX20022031,GSM7187887,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363058,SAMN34264520,simple,9606,Homo sapiens,GSM7187887,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, med, 3min, rep1",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA associated with 3-7 ribos,harringtonine 3 min,missing,missing
SRR24225706,27397018,8219105400,150,2494,SRX20022032,GSM7187888,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363060,SAMN34264519,simple,9606,Homo sapiens,GSM7187888,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, heavy, 0min, rep1",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA associated with >7 ribos,harringtonine 0 min,missing,missing
SRR24225705,27039098,8111729400,150,2451,SRX20022033,GSM7187889,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363059,SAMN34264518,simple,9606,Homo sapiens,GSM7187889,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, heavy, 0min, rep1",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA associated with >7 ribos,harringtonine 0 min,missing,missing
SRR24225704,26670453,8001135900,150,2436,SRX20022034,GSM7187890,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363061,SAMN34264517,simple,9606,Homo sapiens,GSM7187890,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, heavy, 3min, rep1",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA associated with >7 ribos,harringtonine 3 min,missing,missing
SRR24225703,30559180,9167754000,150,2787,SRX20022035,GSM7187891,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363063,SAMN34264516,simple,9606,Homo sapiens,GSM7187891,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, heavy, 3min, rep1",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA associated with >7 ribos,harringtonine 3 min,missing,missing
SRR24225702,33388127,10016438100,150,3050,SRX20022036,GSM7187892,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363062,SAMN34264515,simple,9606,Homo sapiens,GSM7187892,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, med, 0min, rep2",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA associated with 3-7 ribos,harringtonine 0 min,missing,missing
SRR24225701,31939650,9581895000,150,2890,SRX20022037,GSM7187893,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363064,SAMN34264514,simple,9606,Homo sapiens,GSM7187893,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, med, 0min, rep2",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA associated with 3-7 ribos,harringtonine 0 min,missing,missing
SRR24225700,29008567,8702570100,150,2637,SRX20022038,GSM7187894,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363066,SAMN34264513,simple,9606,Homo sapiens,GSM7187894,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, med, 3min, rep2",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA associated with 3-7 ribos,harringtonine 3 min,missing,missing
SRR24225699,30382639,9114791700,150,2738,SRX20022039,GSM7187895,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363065,SAMN34264512,simple,9606,Homo sapiens,GSM7187895,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, med, 3min, rep2",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA associated with 3-7 ribos,harringtonine 3 min,missing,missing
SRR24225698,30306746,9092023800,150,2725,SRX20022040,GSM7187896,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363067,SAMN34264511,simple,9606,Homo sapiens,GSM7187896,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, heavy, 0min, rep2",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA associated with >7 ribos,harringtonine 0 min,missing,missing
SRR24225697,31385726,9415717800,150,2815,SRX20022041,GSM7187897,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363069,SAMN34264510,simple,9606,Homo sapiens,GSM7187897,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, heavy, 0min, rep2",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA associated with >7 ribos,harringtonine 0 min,missing,missing
SRR24225696,31841014,9552304200,150,2873,SRX20022042,GSM7187898,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363068,SAMN34264509,simple,9606,Homo sapiens,GSM7187898,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, heavy, 3min, rep2",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA associated with >7 ribos,harringtonine 3 min,missing,missing
SRR24225695,30104641,9031392300,150,2731,SRX20022043,GSM7187899,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363070,SAMN34264508,simple,9606,Homo sapiens,GSM7187899,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, heavy, 3min, rep2",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA associated with >7 ribos,harringtonine 3 min,missing,missing
SRR24225694,25575891,7672767300,150,2309,SRX20022044,GSM7187900,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363071,SAMN34264507,simple,9606,Homo sapiens,GSM7187900,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, med, 0min, rep3",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA associated with 3-7 ribos,harringtonine 0 min,missing,missing
SRR24225693,29810023,8943006900,150,2704,SRX20022045,GSM7187901,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363072,SAMN34264506,simple,9606,Homo sapiens,GSM7187901,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, med, 0min, rep3",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA associated with 3-7 ribos,harringtonine 0 min,missing,missing
SRR24225692,51799276,15539782800,150,4722,SRX20022046,GSM7187902,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363073,SAMN34264505,simple,9606,Homo sapiens,GSM7187902,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, med, 3min, rep3",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA associated with 3-7 ribos,harringtonine 3 min,missing,missing
SRR24225691,34519102,10355730600,150,3113,SRX20022047,GSM7187903,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363074,SAMN34264504,simple,9606,Homo sapiens,GSM7187903,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, med, 3min, rep3",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA associated with 3-7 ribos,harringtonine 3 min,missing,missing
SRR24225690,25101989,7530596700,150,2305,SRX20022048,GSM7187904,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363075,SAMN34264503,simple,9606,Homo sapiens,GSM7187904,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, heavy, 0min, rep3",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA associated with >7 ribos,harringtonine 0 min,missing,missing
SRR24225689,30864329,9259298700,150,2814,SRX20022049,GSM7187905,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363077,SAMN34264502,simple,9606,Homo sapiens,GSM7187905,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, heavy, 0min, rep3",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA associated with >7 ribos,harringtonine 0 min,missing,missing
SRR24225688,30919487,9275846100,150,2814,SRX20022050,GSM7187906,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363076,SAMN34264501,simple,9606,Homo sapiens,GSM7187906,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, heavy, 3min, rep3",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA associated with >7 ribos,harringtonine 3 min,missing,missing
SRR24225687,26441021,7932306300,150,2416,SRX20022051,GSM7187907,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363078,SAMN34264500,simple,9606,Homo sapiens,GSM7187907,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, heavy, 3min, rep3",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA associated with >7 ribos,harringtonine 3 min,missing,missing
