Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment,geo_loc_name,collection_date,cell type
SRR24765954,47454033,14236209900,150,4660,SRX20541223,GSM7433499,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848384,SAMN35531812,simple,10090,Mus musculus,GSM7433499,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,IP AngII_3,heart ventricular tissue,heart ventricular tissue,AngII,AngII,missing,missing,
SRR24765953,72295726,21688717800,150,6356,SRX20541224,GSM7433502,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848385,SAMN35531809,simple,10090,Mus musculus,GSM7433502,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,IP AngII+Si-NAT10_3,heart ventricular tissue,heart ventricular tissue,AngII+Si-NAT10,AngII+Si-NAT10,missing,missing,
SRR24765952,65450798,19635239400,150,5777,SRX20541225,GSM7433503,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848386,SAMN35531808,simple,10090,Mus musculus,GSM7433503,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,IP Si-NAT10_1,heart ventricular tissue,heart ventricular tissue,Si-NAT10,Si-NAT10,missing,missing,
SRR24765978,61107379,18332213700,150,5356,SRX20541226,GSM7433504,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848387,SAMN35531807,simple,10090,Mus musculus,GSM7433504,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,IP Si-NAT10_2,heart ventricular tissue,heart ventricular tissue,Si-NAT10,Si-NAT10,missing,missing,
SRR24765951,61958280,18587484000,150,5431,SRX20541227,GSM7433505,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848388,SAMN35531806,simple,10090,Mus musculus,GSM7433505,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,IP Si-NAT10_3,heart ventricular tissue,heart ventricular tissue,Si-NAT10,Si-NAT10,missing,missing,
SRR24766002,39845760,11953728000,150,3707,SRX20541228,GSM7433506,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848389,SAMN35531805,simple,10090,Mus musculus,GSM7433506,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,IP Sham_1,heart ventricular tissue,heart ventricular tissue,Sham,Sham,missing,missing,
SRR24765950,47260800,14178240000,150,4514,SRX20541229,GSM7433507,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848390,SAMN35531804,simple,10090,Mus musculus,GSM7433507,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,IP Sham_3,heart ventricular tissue,heart ventricular tissue,Sham,Sham,missing,missing,
SRR24765972,39589710,11876913000,150,4225,SRX20541230,GSM7433508,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848391,SAMN35531803,simple,10090,Mus musculus,GSM7433508,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Input AngII_1,heart ventricular tissue,heart ventricular tissue,AngII,AngII,missing,missing,
SRR24765949,42987841,12896352300,150,4185,SRX20541231,GSM7433509,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848392,SAMN35531802,simple,10090,Mus musculus,GSM7433509,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Input AngII_2,heart ventricular tissue,heart ventricular tissue,AngII,AngII,missing,missing,
SRR24765973,44948312,13484493600,150,4157,SRX20541232,GSM7433510,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848393,SAMN35531801,simple,10090,Mus musculus,GSM7433510,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Input AngII_3,heart ventricular tissue,heart ventricular tissue,AngII,AngII,missing,missing,
SRR24765947,97900248,29370074400,150,8480,SRX20541233,GSM7433511,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848396,SAMN35531800,simple,10090,Mus musculus,GSM7433511,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Input AngII+Input Si-NAT10_1,heart ventricular tissue,heart ventricular tissue,AngII+Si-NAT10,AngII+Si-NAT10,missing,missing,
