Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,cell_subtype,BioSampleModel,disease
SRR24332979,66394306,19918291800,150,6562,SRX20125821,CHLA-01-MEDR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454495,SAMN34409788,simple,9606,Homo sapiens,CHLA-01-MEDR,University of Michigan,SRA1628911,10,2023,Makar,"",Human sample from Homo sapiens,CHLA-01-MEDR,not provided,ATCC,not provided,Brain,CHLA-01-MEDR,,Human,Medulloblastoma
SRR24332978,26476927,7943078100,150,2671,SRX20125822,ONS76,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454496,SAMN34359888,simple,9606,Homo sapiens,ONS76,University of Michigan,SRA1628911,10,2023,Makar,"",ONS76,ONS76,NA,Broad Institute,not provided,Brain,ONS76,Medulloblastoma,Human,
SRR24332977,52700059,15810017700,150,5247,SRX20125823,R256,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454497,SAMN34359887,simple,9606,Homo sapiens,R256,University of Michigan,SRA1628911,10,2023,Makar,"",R256,R256,NA,Broad Institute,not provided,Brain,R256,Medulloblastoma,Human,
SRR24332976,34880918,10464275400,150,3473,SRX20125824,R262,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454498,SAMN34359886,simple,9606,Homo sapiens,R262,University of Michigan,SRA1628911,10,2023,Makar,"",R262,R262,NA,Broad Institute,not provided,Brain,R262,Medulloblastoma,Human,
SRR24332975,38456495,11536948500,150,3869,SRX20125825,UW228,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454499,SAMN34359889,simple,9606,Homo sapiens,UW228,University of Michigan,SRA1628911,10,2023,Makar,"",UW228,UW228,NA,Broad Institute,not provided,Brain,UW228,Medulloblastoma,Human,
SRR24332974,46595928,13978778400,150,4703,SRX20125826,Med2112,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454500,SAMN34359884,simple,9606,Homo sapiens,Med2112,University of Michigan,SRA1628911,10,2023,Makar,"",Med2112,Med2112,NA,Broad Institute,not provided,Brain,Med2112,Medulloblastoma,Human,
SRR24332973,104907898,31472369400,150,10281,SRX20125827,Med411,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454501,SAMN34359883,simple,9606,Homo sapiens,Med411,University of Michigan,SRA1628911,10,2023,Makar,"",Med411,Med411,NA,Broad Institute,not provided,Brain,Med411,Medulloblastoma,Human,
SRR24332972,34501121,10350336300,150,3474,SRX20125828,CHLA259,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454502,SAMN34359891,simple,9606,Homo sapiens,CHLA-259,University of Michigan,SRA1628911,10,2023,Makar,"",CHLA-259,CHLA-259,NA,Children's Oncology Source,not provided,Brain,CHLA-259,Medulloblastoma,Human,
SRR24332971,53462436,16038730800,150,5332,SRX20125829,D384,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454503,SAMN34359882,simple,9606,Homo sapiens,D384,University of Michigan,SRA1628911,10,2023,Makar,"",D384,D384,NA,Broad Institute,not provided,Brain,D384,Medulloblastoma,Human,
SRR24332970,54150213,16245063900,150,5388,SRX20125830,D458,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454504,SAMN34359878,simple,9606,Homo sapiens,D458,University of Michigan,SRA1628911,10,2023,Makar,"",D458,D458,NA,ATCC,not provided,Brain,D458,Medulloblastoma,Human,
SRR24332969,38557767,11567330100,150,3968,SRX20125831,D283,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454506,SAMN34359881,simple,9606,Homo sapiens,D283Med,University of Michigan,SRA1628911,10,2023,Makar,"",D283Med,D283Med,NA,ATCC,not provided,Brain,D283Med,Medulloblastoma,Human,
SRR24332968,38109653,11432895900,150,3928,SRX20125832,D341,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454505,SAMN34359880,simple,9606,Homo sapiens,D341,University of Michigan,SRA1628911,10,2023,Makar,"",D341,D341,NA,ATCC,not provided,Brain,D341,Medulloblastoma,Human,
SRR24332967,35804744,10741423200,150,3572,SRX20125833,D425,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454490,SAMN34359879,simple,9606,Homo sapiens,D425,University of Michigan,SRA1628911,10,2023,Makar,"",D425,D425,NA,ATCC,not provided,Brain,D425,Medulloblastoma,Human,
SRR24332966,40480111,12144033300,150,4115,SRX20125834,DAOY,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454507,SAMN34359890,simple,9606,Homo sapiens,DAOY,University of Michigan,SRA1628911,10,2023,Makar,"",DAOY,DAOY,NA,ATCC,not provided,Brain,DAOY,Medulloblastoma,Human,
SRR24332965,30573919,9172175700,150,3065,SRX20125835,MB002,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454508,SAMN34359885,simple,9606,Homo sapiens,SUMB002,University of Michigan,SRA1628911,10,2023,Makar,"",SUMB002,SUMB002,NA,Broad Institute,not provided,Brain,MB002,Medulloblastoma,Human,
SRR24333918,82246126,24673837800,150,8283,SRX20126764,D283_sgPFDN2_3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454506,SAMN34359881,simple,9606,Homo sapiens,D283Med,University of Michigan,SRA1629013,10,2023,Makar,"",D283Med,D283Med,NA,ATCC,not provided,Brain,D283Med,Medulloblastoma,Human,
SRR24333917,56908745,17072623500,150,5751,SRX20126765,D283_sgPFDN2_2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454506,SAMN34359881,simple,9606,Homo sapiens,D283Med,University of Michigan,SRA1629013,10,2023,Makar,"",D283Med,D283Med,NA,ATCC,not provided,Brain,D283Med,Medulloblastoma,Human,
SRR24333916,48308540,14492562000,150,4937,SRX20126766,D283_sgPFDN2_1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454506,SAMN34359881,simple,9606,Homo sapiens,D283Med,University of Michigan,SRA1629013,10,2023,Makar,"",D283Med,D283Med,NA,ATCC,not provided,Brain,D283Med,Medulloblastoma,Human,
SRR24333915,88951303,26685390900,150,8900,SRX20126767,D283_sgLacZ,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454506,SAMN34359881,simple,9606,Homo sapiens,D283Med,University of Michigan,SRA1629013,10,2023,Makar,"",D283Med,D283Med,NA,ATCC,not provided,Brain,D283Med,Medulloblastoma,Human,
SRR24333914,79609643,23882892900,150,8022,SRX20126768,D283_sgCh2_2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454506,SAMN34359881,simple,9606,Homo sapiens,D283Med,University of Michigan,SRA1629013,10,2023,Makar,"",D283Med,D283Med,NA,ATCC,not provided,Brain,D283Med,Medulloblastoma,Human,
SRR24333913,45913800,13774140000,150,4656,SRX20126769,D283_sgASDURF_3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454506,SAMN34359881,simple,9606,Homo sapiens,D283Med,University of Michigan,SRA1629013,10,2023,Makar,"",D283Med,D283Med,NA,ATCC,not provided,Brain,D283Med,Medulloblastoma,Human,
SRR24333912,41742639,12522791700,150,4272,SRX20126770,D283_sgASDURF_2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454506,SAMN34359881,simple,9606,Homo sapiens,D283Med,University of Michigan,SRA1629013,10,2023,Makar,"",D283Med,D283Med,NA,ATCC,not provided,Brain,D283Med,Medulloblastoma,Human,
SRR24333911,51217957,15365387100,150,5157,SRX20126771,D283_sgASDURF_1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454506,SAMN34359881,simple,9606,Homo sapiens,D283Med,University of Michigan,SRA1629013,10,2023,Makar,"",D283Med,D283Med,NA,ATCC,not provided,Brain,D283Med,Medulloblastoma,Human,
SRR24333910,49008241,14702472300,150,4944,SRX20126772,D283_sgAAVS1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454506,SAMN34359881,simple,9606,Homo sapiens,D283Med,University of Michigan,SRA1629013,10,2023,Makar,"",D283Med,D283Med,NA,ATCC,not provided,Brain,D283Med,Medulloblastoma,Human,
SRR24416127,780004276,39000213800,50,9052,SRX20204036,D458,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454504,SAMN34359878,simple,9606,Homo sapiens,D458,University of Michigan,SRA1628539,10,2023,Makar,"",D458,D458,NA,ATCC,not provided,Brain,D458,Medulloblastoma,Human,
SRR24416126,177222045,8861102250,50,2533,SRX20204037,ONS76,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454496,SAMN34359888,simple,9606,Homo sapiens,ONS76,University of Michigan,SRA1628539,10,2023,Makar,"",ONS76,ONS76,NA,Broad Institute,not provided,Brain,ONS76,Medulloblastoma,Human,
SRR24416125,159628974,7981448700,50,2275,SRX20204038,UW228,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454499,SAMN34359889,simple,9606,Homo sapiens,UW228,University of Michigan,SRA1628539,10,2023,Makar,"",UW228,UW228,NA,Broad Institute,not provided,Brain,UW228,Medulloblastoma,Human,
SRR24416124,138817450,6940872500,50,2002,SRX20204039,DAOY,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454507,SAMN34359890,simple,9606,Homo sapiens,DAOY,University of Michigan,SRA1628539,10,2023,Makar,"",DAOY,DAOY,NA,ATCC,not provided,Brain,DAOY,Medulloblastoma,Human,
SRR24416123,943442859,47172142950,50,14470,SRX20204040,CHLA-259,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454502,SAMN34359891,simple,9606,Homo sapiens,CHLA-259,University of Michigan,SRA1628539,10,2023,Makar,"",CHLA-259,CHLA-259,NA,Children's Oncology Source,not provided,Brain,CHLA-259,Medulloblastoma,Human,
SRR24416122,250731224,12536561200,50,3638,SRX20204041,CHLA-01-MEDR,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454495,SAMN34409788,simple,9606,Homo sapiens,CHLA-01-MEDR,University of Michigan,SRA1628539,10,2023,Makar,"",Human sample from Homo sapiens,CHLA-01-MEDR,not provided,ATCC,not provided,Brain,CHLA-01-MEDR,,Human,Medulloblastoma
SRR24416121,215697358,10784867900,50,3055,SRX20204042,D341,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454505,SAMN34359880,simple,9606,Homo sapiens,D341,University of Michigan,SRA1628539,10,2023,Makar,"",D341,D341,NA,ATCC,not provided,Brain,D341,Medulloblastoma,Human,
SRR24416120,198278792,9913939600,50,2824,SRX20204043,D283Med,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454506,SAMN34359881,simple,9606,Homo sapiens,D283Med,University of Michigan,SRA1628539,10,2023,Makar,"",D283Med,D283Med,NA,ATCC,not provided,Brain,D283Med,Medulloblastoma,Human,
SRR24416119,887919822,44395991100,50,13584,SRX20204044,D384,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454503,SAMN34359882,simple,9606,Homo sapiens,D384,University of Michigan,SRA1628539,10,2023,Makar,"",D384,D384,NA,Broad Institute,not provided,Brain,D384,Medulloblastoma,Human,
SRR24416118,188260933,9413046650,50,2753,SRX20204045,Med411,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454501,SAMN34359883,simple,9606,Homo sapiens,Med411,University of Michigan,SRA1628539,10,2023,Makar,"",Med411,Med411,NA,Broad Institute,not provided,Brain,Med411,Medulloblastoma,Human,
SRR24416117,299493046,14974652300,50,4152,SRX20204046,Med2112,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454500,SAMN34359884,simple,9606,Homo sapiens,Med2112,University of Michigan,SRA1628539,10,2023,Makar,"",Med2112,Med2112,NA,Broad Institute,not provided,Brain,Med2112,Medulloblastoma,Human,
SRR24416116,269547863,13477393150,50,3765,SRX20204047,SUMB002,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454508,SAMN34359885,simple,9606,Homo sapiens,SUMB002,University of Michigan,SRA1628539,10,2023,Makar,"",SUMB002,SUMB002,NA,Broad Institute,not provided,Brain,MB002,Medulloblastoma,Human,
SRR24416115,202494784,10124739200,50,2980,SRX20204048,R262,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454498,SAMN34359886,simple,9606,Homo sapiens,R262,University of Michigan,SRA1628539,10,2023,Makar,"",R262,R262,NA,Broad Institute,not provided,Brain,R262,Medulloblastoma,Human,
SRR24416114,161627454,8081372700,50,2308,SRX20204049,R256,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435005,PRJNA957428,1,"",SRS17454497,SAMN34359887,simple,9606,Homo sapiens,R256,University of Michigan,SRA1628539,10,2023,Makar,"",R256,R256,NA,Broad Institute,not provided,Brain,R256,Medulloblastoma,Human,
