Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,num,cultivar,age,geo_loc_name,tissue,collection_date,BioSampleModel
SRR31565777,85011122,4250556100,50,1236,SRX26931375,ribo_c72_5-0_rep2,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404880,SAMN45125393,simple,4577,Zea mays,ribo_c72_5-0_rep2,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_5-0_rep2,19,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565776,146616337,7330816850,50,2047,SRX26931376,ribo_c72_pollen-pollen_rep2,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404881,SAMN45125394,simple,4577,Zea mays,ribo_c72_pollen-pollen_rep2,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_pollen-pollen_rep2,20,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565775,60710384,3035519200,50,875,SRX26931377,ribo_c72_1-3_rep1,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404882,SAMN45125377,simple,4577,Zea mays,ribo_c72_1-3_rep1,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_1-3_rep1,3,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565774,17560264,5268079200,150,1548,SRX26931378,rna_c72_0-5_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404884,SAMN45125395,simple,4577,Zea mays,rna_c72_0-5_rep1,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_0-5_rep1,21,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565773,23585232,7075569600,150,2165,SRX26931379,rna_c72_1-0_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404883,SAMN45125396,simple,4577,Zea mays,rna_c72_1-0_rep1,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_1-0_rep1,22,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565772,21614354,6484306200,150,2004,SRX26931380,rna_c72_1-3_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404885,SAMN45125397,simple,4577,Zea mays,rna_c72_1-3_rep1,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_1-3_rep1,23,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565771,23089872,6926961600,150,2081,SRX26931381,rna_c72_1-5_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404886,SAMN45125398,simple,4577,Zea mays,rna_c72_1-5_rep1,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_1-5_rep1,24,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565770,20089951,6026985300,150,1845,SRX26931382,rna_c72_2-0_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404887,SAMN45125399,simple,4577,Zea mays,rna_c72_2-0_rep1,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_2-0_rep1,25,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565769,23413242,7023972600,150,2113,SRX26931383,rna_c72_2-5_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404888,SAMN45125400,simple,4577,Zea mays,rna_c72_2-5_rep1,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_2-5_rep1,26,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565768,24479486,7343845800,150,2245,SRX26931384,rna_c72_3-0_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404889,SAMN45125401,simple,4577,Zea mays,rna_c72_3-0_rep1,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_3-0_rep1,27,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565767,16742050,5022615000,150,1504,SRX26931385,rna_c72_4-0_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404890,SAMN45125402,simple,4577,Zea mays,rna_c72_4-0_rep1,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_4-0_rep1,28,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565766,19520626,5856187800,150,1761,SRX26931386,rna_c72_5-0_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404891,SAMN45125403,simple,4577,Zea mays,rna_c72_5-0_rep1,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_5-0_rep1,29,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565765,22976863,6893058900,150,2088,SRX26931387,rna_c72_pollen-pollen_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404892,SAMN45125404,simple,4577,Zea mays,rna_c72_pollen-pollen_rep1,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_pollen-pollen_rep1,30,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565764,58836643,2941832150,50,853,SRX26931388,ribo_c72_1-5_rep1,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404893,SAMN45125378,simple,4577,Zea mays,ribo_c72_1-5_rep1,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_1-5_rep1,4,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565763,20755689,6226706700,150,2059,SRX26931389,rna_c72_0-5_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404894,SAMN45125405,simple,4577,Zea mays,rna_c72_0-5_rep2,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_0-5_rep2,31,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565762,15822090,4746627000,150,1379,SRX26931390,rna_c72_1-0_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404895,SAMN45125406,simple,4577,Zea mays,rna_c72_1-0_rep2,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_1-0_rep2,32,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565761,23621068,7086320400,150,2166,SRX26931391,rna_c72_1-3_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404896,SAMN45125407,simple,4577,Zea mays,rna_c72_1-3_rep2,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_1-3_rep2,33,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565760,20118761,6035628300,150,1808,SRX26931392,rna_c72_1-5_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404897,SAMN45125408,simple,4577,Zea mays,rna_c72_1-5_rep2,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_1-5_rep2,34,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565759,23864513,7159353900,150,2185,SRX26931393,rna_c72_2-0_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404898,SAMN45125409,simple,4577,Zea mays,rna_c72_2-0_rep2,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_2-0_rep2,35,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565758,21359366,6407809800,150,1982,SRX26931394,rna_c72_2-5_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404899,SAMN45125410,simple,4577,Zea mays,rna_c72_2-5_rep2,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_2-5_rep2,36,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565757,23341571,7002471300,150,2155,SRX26931395,rna_c72_3-0_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404900,SAMN45125411,simple,4577,Zea mays,rna_c72_3-0_rep2,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_3-0_rep2,37,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565756,18163212,5448963600,150,1625,SRX26931396,rna_c72_4-0_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404901,SAMN45125412,simple,4577,Zea mays,rna_c72_4-0_rep2,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_4-0_rep2,38,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565755,20064931,6019479300,150,1794,SRX26931397,rna_c72_5-0_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404902,SAMN45125413,simple,4577,Zea mays,rna_c72_5-0_rep2,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_5-0_rep2,39,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565754,23628416,7088524800,150,2124,SRX26931398,rna_c72_pollen-pollen_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404903,SAMN45125414,simple,4577,Zea mays,rna_c72_pollen-pollen_rep2,YangZhou university,SRA2025285,12,2024,wu,"",rna_c72_pollen-pollen_rep2,40,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565753,86094381,4304719050,50,1292,SRX26931399,ribo_c72_2-0_rep1,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404904,SAMN45125379,simple,4577,Zea mays,ribo_c72_2-0_rep1,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_2-0_rep1,5,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565752,60463063,3023153150,50,883,SRX26931400,ribo_c72_2-5_rep1,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404906,SAMN45125380,simple,4577,Zea mays,ribo_c72_2-5_rep1,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_2-5_rep1,6,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565751,58667302,2933365100,50,872,SRX26931401,ribo_c72_3-0_rep1,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404905,SAMN45125381,simple,4577,Zea mays,ribo_c72_3-0_rep1,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_3-0_rep1,7,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565750,101549585,5077479250,50,1468,SRX26931402,ribo_c72_4-0_rep1,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404907,SAMN45125382,simple,4577,Zea mays,ribo_c72_4-0_rep1,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_4-0_rep1,8,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565749,64469608,3223480400,50,948,SRX26931403,ribo_c72_5-0_rep1,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404908,SAMN45125383,simple,4577,Zea mays,ribo_c72_5-0_rep1,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_5-0_rep1,9,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
SRR31565748,145145264,7257263200,50,2056,SRX26931404,ribo_c72_pollen-pollen_rep1,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP548646,PRJNA1192995,,"",SRS23404909,SAMN45125384,simple,4577,Zea mays,ribo_c72_pollen-pollen_rep1,YangZhou university,SRA2025285,12,2024,wu,"",ribo_c72_pollen-pollen_rep1,10,C7-2,0.5mm pollen to mature pollen,China,anther,2021,Plant
