Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,organism,organism,collection date,scientific_name,organism part,age,geographic location (country and/or sea),infect,ENA-LAST-UPDATE,ENA first public,External Id,INSDC center name,INSDC last update,INSDC status,Submitter Id,broker name,sample name
ERR12268591,24575528,1867740128,76,720,ERX11678808,MO_rep3_7d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014242,SAMEA114630243,simple,4100,Nicotiana benthamiana,SAMEA114630243,European Bioinformatics Institute,ERA27404583,07,2024,"","",MO_rep3_7d_small_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,mock,,2024-05-08,SAMEA114630243,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:MO_rep3_7d_small_RNA_seq,ArrayExpress,E-MTAB-13539:MO_rep3_7d_small_RNA_seq
ERR12268570,24583424,1868340224,76,730,ERX11678787,AV2-2st_rep3_14d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014221,SAMEA114630222,simple,4100,Nicotiana benthamiana,E-MTAB-13539:AV2-2st_rep3_14d_small_RNA_seq,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-2st_rep3_14d_small_RNA_seq,not applicable,Nicotiana benthamiana,Nicotiana benthamiana,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 2st,2023-11-16,,,,,,,,
ERR12268568,21465747,1631396772,76,618,ERX11678785,AV2-2st_rep2_7d_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014219,SAMEA114630220,simple,4100,Nicotiana benthamiana,SAMEA114630220,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-2st_rep2_7d_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 2st,,2024-05-08,SAMEA114630220,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-2st_rep2_7d_RNA_seq,ArrayExpress,E-MTAB-13539:AV2-2st_rep2_7d_RNA_seq
ERR12268586,16582594,1260277144,76,490,ERX11678803,MO_rep2_14d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014237,SAMEA114630238,simple,4100,Nicotiana benthamiana,E-MTAB-13539:MO_rep2_14d_small_RNA_seq,European Bioinformatics Institute,ERA27404583,07,2024,"","",MO_rep2_14d_small_RNA_seq,not applicable,Nicotiana benthamiana,Nicotiana benthamiana,not collected,Nicotiana benthamiana,leaf,3,not collected,mock,2023-11-16,,,,,,,,
ERR12268567,21923344,1666174144,76,643,ERX11678784,AV2-2st_rep2_14d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014218,SAMEA114630219,simple,4100,Nicotiana benthamiana,SAMEA114630219,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-2st_rep2_14d_small_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 2st,,2024-05-08,SAMEA114630219,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-2st_rep2_14d_small_RNA_seq,ArrayExpress,E-MTAB-13539:AV2-2st_rep2_14d_small_RNA_seq
ERR12268572,18626207,1415591732,76,555,ERX11678789,AV2-2st_rep3_7d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014223,SAMEA114630224,simple,4100,Nicotiana benthamiana,SAMEA114630224,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-2st_rep3_7d_small_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 2st,,2024-05-08,SAMEA114630224,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-2st_rep3_7d_small_RNA_seq,ArrayExpress,E-MTAB-13539:AV2-2st_rep3_7d_small_RNA_seq
ERR12268588,19104317,1451928092,76,577,ERX11678805,MO_rep2_7d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014239,SAMEA114630240,simple,4100,Nicotiana benthamiana,SAMEA114630240,European Bioinformatics Institute,ERA27404583,07,2024,"","",MO_rep2_7d_small_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,mock,,2024-05-08,SAMEA114630240,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:MO_rep2_7d_small_RNA_seq,ArrayExpress,E-MTAB-13539:MO_rep2_7d_small_RNA_seq
ERR12268587,21180095,1609687220,76,610,ERX11678804,MO_rep2_7d_RNA_seq_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014238,SAMEA114630239,simple,4100,Nicotiana benthamiana,E-MTAB-13539:MO_rep2_7d_RNA_seq,European Bioinformatics Institute,ERA27404583,07,2024,"","",MO_rep2_7d_RNA_seq,not applicable,Nicotiana benthamiana,Nicotiana benthamiana,not collected,Nicotiana benthamiana,leaf,3,not collected,mock,2023-11-16,,,,,,,,
ERR12268581,20960626,1593007576,76,615,ERX11678798,AV2-WT_rep3_7d_RNA_seq_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014232,SAMEA114630233,simple,4100,Nicotiana benthamiana,SAMEA114630233,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-WT_rep3_7d_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 WT,,2024-05-08,SAMEA114630233,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-WT_rep3_7d_RNA_seq,ArrayExpress,E-MTAB-13539:AV2-WT_rep3_7d_RNA_seq
ERR12268574,18007860,1368597360,76,531,ERX11678791,AV2-WT_rep1_14d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014225,SAMEA114630226,simple,4100,Nicotiana benthamiana,SAMEA114630226,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-WT_rep1_14d_small_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 WT,,2024-05-08,SAMEA114630226,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-WT_rep1_14d_small_RNA_seq,ArrayExpress,E-MTAB-13539:AV2-WT_rep1_14d_small_RNA_seq
ERR12268579,21317336,1620117536,76,636,ERX11678796,AV2-WT_rep2_7d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014230,SAMEA114630231,simple,4100,Nicotiana benthamiana,SAMEA114630231,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-WT_rep2_7d_small_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 WT,,2024-05-08,SAMEA114630231,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-WT_rep2_7d_small_RNA_seq,ArrayExpress,E-MTAB-13539:AV2-WT_rep2_7d_small_RNA_seq
ERR12268576,21794709,1656397884,76,645,ERX11678793,AV2-WT_rep1_7d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014227,SAMEA114630228,simple,4100,Nicotiana benthamiana,SAMEA114630228,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-WT_rep1_7d_small_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 2st,,2024-05-08,SAMEA114630228,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-WT_rep1_7d_small_RNA_seq,ArrayExpress,E-MTAB-13539:AV2-WT_rep1_7d_small_RNA_seq
ERR12268578,18894263,1435963988,76,559,ERX11678795,AV2-WT_rep2_7d_RNA_seq_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014229,SAMEA114630230,simple,4100,Nicotiana benthamiana,SAMEA114630230,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-WT_rep2_7d_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 WT,,2024-05-08,SAMEA114630230,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-WT_rep2_7d_RNA_seq,ArrayExpress,E-MTAB-13539:AV2-WT_rep2_7d_RNA_seq
ERR12268589,21660514,1646199064,76,641,ERX11678806,MO_rep3_14d_small_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014240,SAMEA114630241,simple,4100,Nicotiana benthamiana,SAMEA114630241,European Bioinformatics Institute,ERA27404583,07,2024,"","",MO_rep3_14d_small_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,mock,,2024-05-08,SAMEA114630241,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:MO_rep3_14d_small_RNA_seq,ArrayExpress,E-MTAB-13539:MO_rep3_14d_small_RNA_seq
ERR12268575,19816597,1506061372,76,587,ERX11678792,AV2-WT_rep1_7d_RNA_seq_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014226,SAMEA114630227,simple,4100,Nicotiana benthamiana,SAMEA114630227,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-WT_rep1_7d_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 WT,,2024-05-08,SAMEA114630227,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-WT_rep1_7d_RNA_seq,ArrayExpress,E-MTAB-13539:AV2-WT_rep1_7d_RNA_seq
ERR12268563,50912256,3869331456,76,1531,ERX11678780,AV2-2st_12d_Ribo_seq_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014214,SAMEA114630215,simple,4100,Nicotiana benthamiana,SAMEA114630215,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-2st_12d_Ribo_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3.5,not collected,Asparagus Virus 2 2st,,2024-05-08,SAMEA114630215,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-2st_12d_Ribo_seq,ArrayExpress,E-MTAB-13539:AV2-2st_12d_Ribo_seq
ERR12268565,21634990,1644259240,76,624,ERX11678782,AV2-2st_rep1_7d_RNA_seq_s,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP154626,PRJEB69686,,"",ERS17014216,SAMEA114630217,simple,4100,Nicotiana benthamiana,SAMEA114630217,European Bioinformatics Institute,ERA27404583,07,2024,"","",AV2-2st_rep1_7d_RNA_seq,not applicable,,,not collected,Nicotiana benthamiana,leaf,3,not collected,Asparagus Virus 2 2st,,2024-05-08,SAMEA114630217,University of Cambridge,2023-11-16T14:34:32Z,public,E-MTAB-13539:AV2-2st_rep1_7d_RNA_seq,ArrayExpress,E-MTAB-13539:AV2-2st_rep1_7d_RNA_seq
