Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment,batch,geo_loc_name,collection_date
SRR26898585,20402441,1530183075,75,682,SRX22592762,GSM7911894,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599367,SAMN38344863,simple,10090,Mus musculus,GSM7911894,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/RPF biol rep1 [RPF 2],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,1,missing,missing
SRR26898584,18188743,1364155725,75,624,SRX22592763,GSM7911895,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599364,SAMN38344862,simple,10090,Mus musculus,GSM7911895,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/RPF biol rep2 [RPF 3],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,1,missing,missing
SRR26898583,18723227,1404242025,75,636,SRX22592764,GSM7911896,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599366,SAMN38344861,simple,10090,Mus musculus,GSM7911896,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/RPF biol rep2 [RPF 4],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,1,missing,missing
SRR26898582,26314080,1973556000,75,872,SRX22592765,GSM7911897,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599370,SAMN38344860,simple,10090,Mus musculus,GSM7911897,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/RPF biol rep3 [RPF 5],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,1,missing,missing
SRR26898581,19564953,1467371475,75,664,SRX22592766,GSM7911898,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599368,SAMN38344859,simple,10090,Mus musculus,GSM7911898,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/RPF biol rep3 [RPF 6],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,1,missing,missing
SRR26898580,17136686,1285251450,75,580,SRX22592767,GSM7911899,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599373,SAMN38344858,simple,10090,Mus musculus,GSM7911899,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/RPF biol rep4 [RPF 7],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,1,missing,missing
SRR26898579,19314372,1448577900,75,657,SRX22592768,GSM7911900,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599371,SAMN38344857,simple,10090,Mus musculus,GSM7911900,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/RPF biol rep4 [RPF 8],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,1,missing,missing
SRR26898578,7102336,532675200,75,255,SRX22592769,GSM7911901,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599369,SAMN38344856,simple,10090,Mus musculus,GSM7911901,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/RPF biol rep5 [RPF 9],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,2,missing,missing
SRR26898577,6757569,506817675,75,242,SRX22592770,GSM7911902,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599372,SAMN38344855,simple,10090,Mus musculus,GSM7911902,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/RPF biol rep5 [RPF 10],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,2,missing,missing
SRR26898576,5496286,412221450,75,199,SRX22592771,GSM7911903,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599374,SAMN38344854,simple,10090,Mus musculus,GSM7911903,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/RPF biol rep6 [RPF 11],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,2,missing,missing
SRR26898575,5296305,397222875,75,191,SRX22592772,GSM7911904,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599375,SAMN38344853,simple,10090,Mus musculus,GSM7911904,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/RPF biol rep6 [RPF 12],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,2,missing,missing
SRR26898574,6423330,481749750,75,230,SRX22592773,GSM7911905,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599376,SAMN38344852,simple,10090,Mus musculus,GSM7911905,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/RPF biol rep7 [RPF 13],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,2,missing,missing
SRR26898573,5565547,417416025,75,201,SRX22592774,GSM7911906,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599377,SAMN38344851,simple,10090,Mus musculus,GSM7911906,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/RPF biol rep7 [RPF 14],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,2,missing,missing
SRR26898572,6993710,524528250,75,251,SRX22592775,GSM7911907,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599378,SAMN38344850,simple,10090,Mus musculus,GSM7911907,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/5.5mM/RPF biol rep8 [RPF 15],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,5.5mM,2,missing,missing
SRR26898571,8738077,655355775,75,313,SRX22592776,GSM7911908,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP473216,PRJNA1043570,1,"",SRS19599379,SAMN38344849,simple,10090,Mus musculus,GSM7911908,"Bioinformatics & Biostatistics Core, Joslin Diabetes Center",SRA1755123,12,2023,Makar,Pancreas,MIN6 cells/25mM/RPF biol rep8 [RPF 16],Pancreas,Pancreas,MIN6,Beta cells,Wildtype,25mM,2,missing,missing
