Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,hours in fe-deficient conditions,geo_loc_name,collection_date
SRR17429235,4071829,206307275,50,63,SRX13600570,GSM5771586,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489981,SAMN24611849,simple,4932,Saccharomyces cerevisiae,GSM5771586,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant RNA-seq, 0H, replicate 2",Whole cells,cth1deltacth2delta mutant,0h,missing,missing
SRR17429234,13974279,707475315,50,220,SRX13600571,GSM5771587,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489982,SAMN24611848,simple,4932,Saccharomyces cerevisiae,GSM5771587,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant RNA-seq, 0H, replicate 3",Whole cells,cth1deltacth2delta mutant,0h,missing,missing
SRR17429233,2940480,148961169,50,46,SRX13600572,GSM5771588,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489983,SAMN24611847,simple,4932,Saccharomyces cerevisiae,GSM5771588,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant RNA-seq, 3H, replicate 1",Whole cells,cth1deltacth2delta mutant,3h,missing,missing
SRR17429231,1802652,91324874,50,28,SRX13600573,GSM5771589,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489984,SAMN24611846,simple,4932,Saccharomyces cerevisiae,GSM5771589,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant RNA-seq, 3H, replicate 2",Whole cells,cth1deltacth2delta mutant,3h,missing,missing
SRR17429230,16091567,815138784,50,252,SRX13600574,GSM5771590,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489985,SAMN24611845,simple,4932,Saccharomyces cerevisiae,GSM5771590,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant RNA-seq, 3H, replicate 3",Whole cells,cth1deltacth2delta mutant,3h,missing,missing
SRR17429229,11621998,588718113,50,183,SRX13600575,GSM5771591,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489986,SAMN24611844,simple,4932,Saccharomyces cerevisiae,GSM5771591,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant RNA-seq, 6H, replicate 1",Whole cells,cth1deltacth2delta mutant,6h,missing,missing
SRR17429232,12871393,652031493,50,203,SRX13600576,GSM5771592,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489987,SAMN24611843,simple,4932,Saccharomyces cerevisiae,GSM5771592,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant RNA-seq, 6H, replicate 2",Whole cells,cth1deltacth2delta mutant,6h,missing,missing
SRR17429228,10217014,517831621,50,160,SRX13600577,GSM5771593,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489988,SAMN24611842,simple,4932,Saccharomyces cerevisiae,GSM5771593,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant RNA-seq, 6H, replicate 3",Whole cells,cth1deltacth2delta mutant,6h,missing,missing
SRR17429227,2970333,148685743,50,47,SRX13600578,GSM5771594,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489989,SAMN24611841,simple,4932,Saccharomyces cerevisiae,GSM5771594,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type Ribo-seq, 0H, replicate 1",Whole cells,wild-type (W303a),0h,missing,missing
SRR17429226,3478587,173837722,49,54,SRX13600579,GSM5771595,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489990,SAMN24611840,simple,4932,Saccharomyces cerevisiae,GSM5771595,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type Ribo-seq, 0H, replicate 2",Whole cells,wild-type (W303a),0h,missing,missing
SRR17429225,37549807,1886614396,50,574,SRX13600580,GSM5771596,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489991,SAMN24611839,simple,4932,Saccharomyces cerevisiae,GSM5771596,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type Ribo-seq, 0H, replicate 3",Whole cells,wild-type (W303a),0h,missing,missing
SRR17429224,61220255,3058509538,49,938,SRX13600581,GSM5771597,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489992,SAMN24611838,simple,4932,Saccharomyces cerevisiae,GSM5771597,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type Ribo-seq, 3H, replicate 1",Whole cells,wild-type (W303a),3h,missing,missing
SRR17429223,7691116,385190531,50,117,SRX13600582,GSM5771598,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489993,SAMN24611837,simple,4932,Saccharomyces cerevisiae,GSM5771598,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type Ribo-seq, 3H, replicate 2",Whole cells,wild-type (W303a),3h,missing,missing
SRR17429222,11607846,582103591,50,177,SRX13600583,GSM5771599,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489994,SAMN24611836,simple,4932,Saccharomyces cerevisiae,GSM5771599,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type Ribo-seq, 3H, replicate 3",Whole cells,wild-type (W303a),3h,missing,missing
SRR17429221,11310663,565376712,49,172,SRX13600584,GSM5771600,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489995,SAMN24611835,simple,4932,Saccharomyces cerevisiae,GSM5771600,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type Ribo-seq, 6H, replicate 1",Whole cells,wild-type (W303a),6h,missing,missing
SRR17429220,42462204,2126249995,50,652,SRX13600585,GSM5771601,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489996,SAMN24611834,simple,4932,Saccharomyces cerevisiae,GSM5771601,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type Ribo-seq, 6H, replicate 2",Whole cells,wild-type (W303a),6h,missing,missing
SRR17429219,16890559,846898817,50,259,SRX13600586,GSM5771602,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489997,SAMN24611833,simple,4932,Saccharomyces cerevisiae,GSM5771602,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"wild-type Ribo-seq, 6H, replicate 3",Whole cells,wild-type (W303a),6h,missing,missing
SRR17429218,8356480,417405928,49,128,SRX13600587,GSM5771603,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489998,SAMN24611832,simple,4932,Saccharomyces cerevisiae,GSM5771603,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant Ribo-seq, 0H, replicate 1",Whole cells,cth1deltacth2delta mutant,0h,missing,missing
SRR17429217,4207665,210699426,50,64,SRX13600588,GSM5771604,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11489999,SAMN24611831,simple,4932,Saccharomyces cerevisiae,GSM5771604,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant Ribo-seq, 0H, replicate 2",Whole cells,cth1deltacth2delta mutant,0h,missing,missing
SRR17429216,26714055,1341467888,50,411,SRX13600589,GSM5771605,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11490000,SAMN24611830,simple,4932,Saccharomyces cerevisiae,GSM5771605,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant Ribo-seq, 0H, replicate 3",Whole cells,cth1deltacth2delta mutant,0h,missing,missing
SRR17429215,7203490,360359513,50,110,SRX13600590,GSM5771606,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11490001,SAMN24611829,simple,4932,Saccharomyces cerevisiae,GSM5771606,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant Ribo-seq, 3H, replicate 1",Whole cells,cth1deltacth2delta mutant,3h,missing,missing
SRR17429214,20699115,1037808631,50,317,SRX13600591,GSM5771607,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11490002,SAMN24611828,simple,4932,Saccharomyces cerevisiae,GSM5771607,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant Ribo-seq, 3H, replicate 2",Whole cells,cth1deltacth2delta mutant,3h,missing,missing
SRR17429213,24718117,1242624405,50,379,SRX13600592,GSM5771608,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11490003,SAMN24611827,simple,4932,Saccharomyces cerevisiae,GSM5771608,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant Ribo-seq, 3H, replicate 3",Whole cells,cth1deltacth2delta mutant,3h,missing,missing
SRR17429212,25174454,1258919649,50,392,SRX13600593,GSM5771609,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11490004,SAMN24611826,simple,4932,Saccharomyces cerevisiae,GSM5771609,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant Ribo-seq, 6H, replicate 1",Whole cells,cth1deltacth2delta mutant,6h,missing,missing
SRR17429211,8613168,432519157,50,131,SRX13600594,GSM5771610,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11490005,SAMN24611825,simple,4932,Saccharomyces cerevisiae,GSM5771610,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant Ribo-seq, 6H, replicate 2",Whole cells,cth1deltacth2delta mutant,6h,missing,missing
SRR17429210,3369712,168280024,49,51,SRX13600595,GSM5771611,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353480,PRJNA794153,38779483,"",SRS11490006,SAMN24611824,simple,4932,Saccharomyces cerevisiae,GSM5771611,"Labunskyy Lab, Department of Dermatology, Boston University School of Medicine",SRA1352116,04,2024,Barlit,Whole cells,"cth1Δcth2Δ mutant Ribo-seq, 6H, replicate 3",Whole cells,cth1deltacth2delta mutant,6h,missing,missing
