Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tretment,replicate,molecule,geo_loc_name,collection_date
SRR25443514,13983515,1412335015,101,653,SRX21176763,GSM7664491,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438075,SAMN36734108,simple,10090,Mus musculus,GSM7664491,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from cell bodies of mouse PCNs expressing tRFP, rep 2",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP,2,free RNA,missing,missing
SRR25443513,16572523,1673824823,101,774,SRX21176764,GSM7664492,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438076,SAMN36734107,simple,10090,Mus musculus,GSM7664492,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from cell bodies of mouse PCNs expressing tRFP, rep 1",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP,1,polysomal RNA,missing,missing
SRR25443512,13980135,1411993635,101,655,SRX21176765,GSM7664493,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438077,SAMN36734106,simple,10090,Mus musculus,GSM7664493,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from cell bodies of mouse PCNs expressing tRFP, rep 2",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP,2,polysomal RNA,missing,missing
SRR25443511,103462100,10449672100,101,4688,SRX21176766,GSM7664494,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438078,SAMN36734105,simple,10090,Mus musculus,GSM7664494,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from axons of mouse PCNs expressing exogenous TDP43-WT, rep 1",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- WT,1,free RNA,missing,missing
SRR25443510,97989250,9896914250,101,4403,SRX21176767,GSM7664495,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438079,SAMN36734104,simple,10090,Mus musculus,GSM7664495,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from axons of mouse PCNs expressing exogenous TDP43-WT, rep 2",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- WT,2,free RNA,missing,missing
SRR25443509,97708753,9868584053,101,4436,SRX21176768,GSM7664496,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438080,SAMN36734103,simple,10090,Mus musculus,GSM7664496,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from axons of mouse PCNs expressing exogenous TDP43-WT, rep 1",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- WT,1,polysomal RNA,missing,missing
SRR25443508,99939416,10093881016,101,4518,SRX21176769,GSM7664497,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438081,SAMN36734102,simple,10090,Mus musculus,GSM7664497,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from axons of mouse PCNs expressing exogenous TDP43-WT, rep 2",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- WT,2,polysomal RNA,missing,missing
SRR25443507,74963970,7571360970,101,3586,SRX21176770,GSM7664498,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438082,SAMN36734101,simple,10090,Mus musculus,GSM7664498,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from cell bodies of mouse PCNs expressing exogenous TDP43-WT, rep 1",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- WT,1,free RNA,missing,missing
SRR25443506,77716116,7849327716,101,3577,SRX21176771,GSM7664499,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438083,SAMN36734100,simple,10090,Mus musculus,GSM7664499,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from cell bodies of mouse PCNs expressing exogenous TDP43-WT, rep 2",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- WT,2,free RNA,missing,missing
SRR25443505,48685217,4917206917,101,2102,SRX21176772,GSM7664500,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438084,SAMN36734099,simple,10090,Mus musculus,GSM7664500,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from cell bodies of mouse PCNs expressing exogenous TDP43-WT, rep 1",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- WT,1,polysomal RNA,missing,missing
SRR25443504,867389,87606289,101,38,SRX21176773,GSM7664501,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438085,SAMN36734098,simple,10090,Mus musculus,GSM7664501,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from cell bodies of mouse PCNs expressing exogenous TDP43-WT, rep 2",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- WT,2,polysomal RNA,missing,missing
SRR25443503,141094023,14250496323,101,6467,SRX21176774,GSM7664502,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438086,SAMN36734097,simple,10090,Mus musculus,GSM7664502,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from axons of mouse PCNs expressing exogenous TDP43-A315T, rep 1",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- A315T,1,free RNA,missing,missing
SRR25443502,109936277,11103563977,101,4983,SRX21176775,GSM7664503,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438087,SAMN36734096,simple,10090,Mus musculus,GSM7664503,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from axons of mouse PCNs expressing exogenous TDP43-A315T, rep 2",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- A315T,2,free RNA,missing,missing
SRR25443501,97770711,9874841811,101,4438,SRX21176776,GSM7664504,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438088,SAMN36734095,simple,10090,Mus musculus,GSM7664504,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from axons of mouse PCNs expressing exogenous TDP43-A315T, rep 3",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- A315T,3,free RNA,missing,missing
SRR25443500,160821047,16242925747,101,7889,SRX21176777,GSM7664505,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438089,SAMN36734094,simple,10090,Mus musculus,GSM7664505,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from axons of mouse PCNs expressing exogenous TDP43-A315T, rep 1",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- A315T,1,polysomal RNA,missing,missing
SRR25443499,97014636,9798478236,101,4386,SRX21176778,GSM7664506,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438090,SAMN36734093,simple,10090,Mus musculus,GSM7664506,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from axons of mouse PCNs expressing exogenous TDP43-A315T, rep 2",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- A315T,2,polysomal RNA,missing,missing
SRR25443498,84216490,8505865490,101,3743,SRX21176779,GSM7664507,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438091,SAMN36734092,simple,10090,Mus musculus,GSM7664507,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from axons of mouse PCNs expressing exogenous TDP43-A315T, rep 3",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- A315T,3,polysomal RNA,missing,missing
SRR25443497,54304684,5484773084,101,2393,SRX21176780,GSM7664508,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438092,SAMN36734091,simple,10090,Mus musculus,GSM7664508,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from cell bodies of mouse PCNs expressing exogenous TDP43-A315T, rep 1",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- A315T,1,free RNA,missing,missing
SRR25443496,45735646,4619300246,101,2126,SRX21176781,GSM7664509,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438093,SAMN36734090,simple,10090,Mus musculus,GSM7664509,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from cell bodies of mouse PCNs expressing exogenous TDP43-A315T, rep 2",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- A315T,2,free RNA,missing,missing
SRR25443495,58822928,5941115728,101,2677,SRX21176782,GSM7664510,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438094,SAMN36734089,simple,10090,Mus musculus,GSM7664510,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"free RNA from cell bodies of mouse PCNs expressing exogenous TDP43-A315T, rep 3",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- A315T,3,free RNA,missing,missing
SRR25443494,50420027,5092422727,101,2198,SRX21176783,GSM7664511,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438095,SAMN36734088,simple,10090,Mus musculus,GSM7664511,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from cell bodies of mouse PCNs expressing exogenous TDP43-A315T, rep 1",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- A315T,1,polysomal RNA,missing,missing
SRR25443493,41910016,4232911616,101,1850,SRX21176784,GSM7664512,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438096,SAMN36734087,simple,10090,Mus musculus,GSM7664512,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from cell bodies of mouse PCNs expressing exogenous TDP43-A315T, rep 2",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- A315T,2,polysomal RNA,missing,missing
SRR25443492,83787372,8462524572,101,3822,SRX21176785,GSM7664513,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP451889,PRJNA999250,38026702,"",SRS18438097,SAMN36734086,simple,10090,Mus musculus,GSM7664513,Institute of Biophysics (Italian National Research Council),SRA1682026,12,2023,Pisciottani,mouse primary cortical neurons,"polysomal RNA from cell bodies of mouse PCNs expressing exogenous TDP43-A315T, rep 3",mouse primary cortical neurons,transfection with lentiviral particles overexpressing tRFP-TDP43- A315T,3,polysomal RNA,missing,missing
