Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,molecule subtype,geo_loc_name,collection_date
SRR22122978,127373910,6368695500,50,1679,SRX18102688,GSM6701452,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605582,SAMN31544956,simple,9606,Homo sapiens,GSM6701452,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 3_HeLa cells, 80S footprints, NT control, rep3",HeLa,HeLa,human epithelial cell,WT,"non-targeting siRNA, 72 hours",80S RNA footprints,missing,missing
SRR22122977,140498106,7024905300,50,1865,SRX18102689,GSM6701453,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605583,SAMN31544955,simple,9606,Homo sapiens,GSM6701453,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 4_HeLa cells, 80S footprints, eIF3d KD, rep1",HeLa,HeLa,human epithelial cell,EIF3D knock down,"eIF3d siRNA, 72 hours",80S RNA footprints,missing,missing
SRR22122976,130088015,6504400750,50,1789,SRX18102690,GSM6701454,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605584,SAMN31544954,simple,9606,Homo sapiens,GSM6701454,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 5_HeLa cells, 80S footprints, eIF3d KD, rep2",HeLa,HeLa,human epithelial cell,EIF3D knock down,"eIF3d siRNA, 72 hours",80S RNA footprints,missing,missing
SRR22122975,118314018,5915700900,50,1598,SRX18102691,GSM6701455,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605585,SAMN31544953,simple,9606,Homo sapiens,GSM6701455,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 6_HeLa cells, 80S footprints, eIF3d KD, rep3",HeLa,HeLa,human epithelial cell,EIF3D knock down,"eIF3d siRNA, 72 hours",80S RNA footprints,missing,missing
SRR22122974,151061240,7553062000,50,2015,SRX18102692,GSM6701456,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605586,SAMN31544952,simple,9606,Homo sapiens,GSM6701456,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 7_HeLa cells, 80S footprints, eIF3e KD, rep1",HeLa,HeLa,human epithelial cell,EIF3E knock down,"eIF3e siRNA, 72 hours",80S RNA footprints,missing,missing
SRR22122973,150953912,7547695600,50,2041,SRX18102693,GSM6701457,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605587,SAMN31544951,simple,9606,Homo sapiens,GSM6701457,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 8_HeLa cells, 80S footprints, eIF3e KD, rep2",HeLa,HeLa,human epithelial cell,EIF3E knock down,"eIF3e siRNA, 72 hours",80S RNA footprints,missing,missing
SRR22122972,169032168,8451608400,50,2271,SRX18102694,GSM6701458,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605588,SAMN31544950,simple,9606,Homo sapiens,GSM6701458,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 9_HeLa cells, 80S footprints, eIF3e KD, rep3",HeLa,HeLa,human epithelial cell,EIF3E knock down,"eIF3e siRNA, 72 hours",80S RNA footprints,missing,missing
SRR22122971,92005234,4600261700,50,1239,SRX18102695,GSM6701459,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605589,SAMN31544949,simple,9606,Homo sapiens,GSM6701459,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 10_HeLa cells, 80S footprints, eIF3h KD, rep1",HeLa,HeLa,human epithelial cell,EIF3H knock down,"eIF3h siRNA, 72 hours",80S RNA footprints,missing,missing
SRR22122970,105649870,5282493500,50,1422,SRX18102696,GSM6701460,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605590,SAMN31544948,simple,9606,Homo sapiens,GSM6701460,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 11_HeLa cells, 80S footprints, eIF3h KD, rep2",HeLa,HeLa,human epithelial cell,EIF3H knock down,"eIF3h siRNA, 72 hours",80S RNA footprints,missing,missing
SRR22122969,127835673,6391783650,50,1719,SRX18102697,GSM6701461,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605591,SAMN31544947,simple,9606,Homo sapiens,GSM6701461,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 12_HeLa cells, 80S footprints, eIF3h KD, rep3",HeLa,HeLa,human epithelial cell,EIF3H knock down,"eIF3h siRNA, 72 hours",80S RNA footprints,missing,missing
SRR22122968,45264638,6789695700,150,2473,SRX18102698,GSM6701462,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605592,SAMN31544946,simple,9606,Homo sapiens,GSM6701462,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 13_HeLa cells, mRNA, NT control, rep1",HeLa,HeLa,human epithelial cell,WT,"non-targeting siRNA, 72 hours",,missing,missing
SRR22122967,50407959,7561193850,150,2745,SRX18102699,GSM6701463,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605593,SAMN31544945,simple,9606,Homo sapiens,GSM6701463,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 14_HeLa cells, mRNA, NT control, rep2",HeLa,HeLa,human epithelial cell,WT,"non-targeting siRNA, 72 hours",,missing,missing
SRR22122966,50469600,7570440000,150,2748,SRX18102700,GSM6701464,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605594,SAMN31544944,simple,9606,Homo sapiens,GSM6701464,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 15_HeLa cells, mRNA, NT control, rep3",HeLa,HeLa,human epithelial cell,WT,"non-targeting siRNA, 72 hours",,missing,missing
SRR22122965,48868992,7330348800,150,2663,SRX18102701,GSM6701465,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605595,SAMN31544943,simple,9606,Homo sapiens,GSM6701465,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 16_HeLa cells, mRNA, NT control, rep4",HeLa,HeLa,human epithelial cell,WT,"non-targeting siRNA, 72 hours",,missing,missing
SRR22122964,53636173,8045425950,150,2931,SRX18102702,GSM6701466,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605596,SAMN31544942,simple,9606,Homo sapiens,GSM6701466,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 17_HeLa cells, mRNA, eIF3d KD, rep1",HeLa,HeLa,human epithelial cell,EIF3D knock down,"eIF3d siRNA, 72 hours",,missing,missing
SRR22122963,37170662,5575599300,150,2033,SRX18102703,GSM6701475,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605597,SAMN31544933,simple,9606,Homo sapiens,GSM6701475,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 26_HeLa cells, mRNA, eIF3h KD, rep2",HeLa,HeLa,human epithelial cell,EIF3H knock down,"eIF3h siRNA, 72 hours",,missing,missing
SRR22122962,50389137,7558370550,150,2756,SRX18102704,GSM6701476,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605598,SAMN31544932,simple,9606,Homo sapiens,GSM6701476,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 27_HeLa cells, mRNA, eIF3h KD, rep3",HeLa,HeLa,human epithelial cell,EIF3H knock down,"eIF3h siRNA, 72 hours",,missing,missing
SRR22122961,58594598,8789189700,150,3195,SRX18102705,GSM6701477,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605599,SAMN31544931,simple,9606,Homo sapiens,GSM6701477,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 28_HeLa cells, mRNA, eIF3h KD, rep4",HeLa,HeLa,human epithelial cell,EIF3H knock down,"eIF3h siRNA, 72 hours",,missing,missing
