Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,time,cell type,strain,age,Sex,treatment,cell line,tissue,growth condition,GEO Accession
SRR1551125,190694057,7627762280,40,4974,SRX680680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684359,SAMN02990351,simple,10090,Mus musculus,GSM1479574,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 4 h RPF,primary B cell,8h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479579
SRR1551126,23383376,771651408,33,446,SRX680681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684361,SAMN02990352,simple,10090,Mus musculus,GSM1479575,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 8 h RPF,primary B cell,48h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479580
SRR1551127,215233395,8609335800,40,5639,SRX680681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684361,SAMN02990352,simple,10090,Mus musculus,GSM1479575,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 8 h RPF,primary B cell,2h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479581
SRR1551128,21329650,767867400,36,453,SRX680682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684360,SAMN02990353,simple,10090,Mus musculus,GSM1479576,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 48 h RPF,primary B cell,4h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479582
SRR1551129,33184330,1194635880,36,731,SRX680682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684360,SAMN02990353,simple,10090,Mus musculus,GSM1479576,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 48 h RPF,primary B cell,8h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479583
SRR1551130,33091126,1191280536,36,729,SRX680682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684360,SAMN02990353,simple,10090,Mus musculus,GSM1479576,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 48 h RPF,primary B cell,48h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479584
SRR1551131,32563900,1172300400,36,714,SRX680682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684360,SAMN02990353,simple,10090,Mus musculus,GSM1479576,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 48 h RPF,U2OS cell line,,,,,,mock transfection,U2OS cell line,,,GSM1479585
SRR1551132,23530267,847089612,36,481,SRX680682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684360,SAMN02990353,simple,10090,Mus musculus,GSM1479576,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 48 h RPF,U2OS cell line,,,,,,mock transfection,U2OS cell line,,,GSM1479586
SRR1551133,24948153,898133508,36,469,SRX680683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684362,SAMN02990354,simple,10090,Mus musculus,GSM1479577,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 2h RNA,U2OS cell line,,,,,,mock transfection,U2OS cell line,,,GSM1479587
SRR1551134,176403260,7056130400,40,4483,SRX680683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684362,SAMN02990354,simple,10090,Mus musculus,GSM1479577,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 2h RNA,U2OS cell line,,,,,,mock transfection,U2OS cell line,,,GSM1479588
SRR1551135,19714630,709726680,36,355,SRX680684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684363,SAMN02990355,simple,10090,Mus musculus,GSM1479578,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 4h RNA,U2OS cell line,,,,,,miR-1 transfection,U2OS cell line,,,GSM1479589
SRR1551136,172343897,6893755880,40,4387,SRX680684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684363,SAMN02990355,simple,10090,Mus musculus,GSM1479578,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 4h RNA,U2OS cell line,,,,,,miR-1 transfection,U2OS cell line,,,GSM1479590
SRR1551137,26039771,937431756,36,488,SRX680685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684364,SAMN02990356,simple,10090,Mus musculus,GSM1479579,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 8h RNA,U2OS cell line,,,,,,miR-1 transfection,U2OS cell line,,,GSM1479591
SRR1551138,204446884,8177875360,40,5353,SRX680685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684364,SAMN02990356,simple,10090,Mus musculus,GSM1479579,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 8h RNA,U2OS cell line,,,,,,miR-1 transfection,U2OS cell line,,,GSM1479592
SRR1551139,28750129,1035004644,36,615,SRX680686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684365,SAMN02990357,simple,10090,Mus musculus,GSM1479580,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 48h RNA,U2OS cell line,,,,,,miR-155 transfection,U2OS cell line,,,GSM1479593
SRR1551140,22764624,751232592,33,429,SRX680687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684366,SAMN02990358,simple,10090,Mus musculus,GSM1479581,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 2h RPF,U2OS cell line,,,,,,miR-155 transfection,U2OS cell line,,,GSM1479594
SRR1551141,197416510,7896660400,40,5155,SRX680687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684366,SAMN02990358,simple,10090,Mus musculus,GSM1479581,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 2h RPF,U2OS cell line,,,,,,miR-155 transfection,U2OS cell line,,,GSM1479595
SRR1551142,22905869,755893677,33,436,SRX680688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684367,SAMN02990359,simple,10090,Mus musculus,GSM1479582,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 4h RPF,U2OS cell line,,,,,,miR-155 transfection,U2OS cell line,,,GSM1479596
SRR1551143,221810135,8872405400,40,5876,SRX680688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684367,SAMN02990359,simple,10090,Mus musculus,GSM1479582,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 4h RPF,HEK293T cell line,,,,,,mock transfection,HEK293T cell line,,,GSM1479597
SRR1551144,23871394,787756002,33,458,SRX680689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684368,SAMN02990360,simple,10090,Mus musculus,GSM1479583,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 8h RPF,HEK293T cell line,,,,,,mock transfection,HEK293T cell line,,,GSM1479598
SRR1551145,189045827,7561833080,40,4943,SRX680689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684368,SAMN02990360,simple,10090,Mus musculus,GSM1479583,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 8h RPF,HEK293T cell line,,,,,,miR-1 transfection,HEK293T cell line,,,GSM1479599
SRR1551146,23459521,844542756,36,517,SRX680690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684369,SAMN02990361,simple,10090,Mus musculus,GSM1479584,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 48h RPF,HEK293T cell line,,,,,,miR-1 transfection,HEK293T cell line,,,GSM1479600
SRR1551147,32680587,1176501132,36,696,SRX680690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684369,SAMN02990361,simple,10090,Mus musculus,GSM1479584,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 48h RPF,primary liver tissue,,,C57BL/6,6 weeks,male,,,primary liver tissue,,GSM1479601
SRR1551148,32578859,1172838924,36,690,SRX680690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684369,SAMN02990361,simple,10090,Mus musculus,GSM1479584,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 48h RPF,primary liver tissue,,,C57BL/6,6 weeks,male,,,primary liver tissue,,GSM1479602
SRR1551149,32797120,1180696320,36,710,SRX680690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684369,SAMN02990361,simple,10090,Mus musculus,GSM1479584,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 48h RPF,primary liver tissue,,,C57BL/6,6 weeks,male,,,primary liver tissue,,GSM1479603
SRR1551150,21641304,779086944,36,428,SRX680690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684369,SAMN02990361,simple,10090,Mus musculus,GSM1479584,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 48h RPF,primary liver tissue,,,C57BL/6,6 weeks,male,,,primary liver tissue,,GSM1479604
SRR1551151,21633421,778803156,36,429,SRX680690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684369,SAMN02990361,simple,10090,Mus musculus,GSM1479584,GEO,SRA179319,07,2015,Eichhorn,primary B cell,miR-155 knockout B cell 48h RPF,3T3 cell line,0 h,,,,,,3T3 cell line,,contact inhibited,GSM1479605
SRR1551152,22541209,811483524,36,434,SRX680691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684370,SAMN02990362,simple,9606,Homo sapiens,GSM1479585,GEO,SRA179319,07,2015,Eichhorn,U2OS cell line,mock-transfected U2OS poly(A)-selected total RNA,3T3 cell line,4 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479606
SRR1551153,23575196,848707056,36,454,SRX680692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684377,SAMN02990363,simple,9606,Homo sapiens,GSM1479586,GEO,SRA179319,07,2015,Eichhorn,U2OS cell line,mock-transfected U2OS poly(A)-selected cytoplasmic RNA,3T3 cell line,8 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479607
SRR1551154,33575017,1208700612,36,697,SRX680693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684371,SAMN02990364,simple,9606,Homo sapiens,GSM1479587,GEO,SRA179319,07,2015,Eichhorn,U2OS cell line,mock-transfected U2OS tRNA and rRNA depleted RNA,3T3 cell line,12 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479608
SRR1551155,28443731,1023974316,36,588,SRX680694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684372,SAMN02990365,simple,9606,Homo sapiens,GSM1479588,GEO,SRA179319,07,2015,Eichhorn,U2OS cell line,mock-transfected U2OS RPF,3T3 cell line,48 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479609
SRR1551156,24522192,882798912,36,480,SRX680695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684373,SAMN02990366,simple,9606,Homo sapiens,GSM1479589,GEO,SRA179319,07,2015,Eichhorn,U2OS cell line,miR-1-transfected U2OS poly(A)-selected total RNA,3T3 cell line,0 h,,,,,,3T3 cell line,,contact inhibited,GSM1479610
SRR1551157,29217281,1051822116,36,595,SRX680696,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684374,SAMN02990367,simple,9606,Homo sapiens,GSM1479590,GEO,SRA179319,07,2015,Eichhorn,U2OS cell line,miR-1-transfected U2OS poly(A)-selected cytoplasmic RNA,3T3 cell line,4 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479611
SRR1551158,100219284,5010964200,50,2929,SRX680697,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684375,SAMN02990368,simple,9606,Homo sapiens,GSM1479591,GEO,SRA179319,07,2015,Eichhorn,U2OS cell line,miR-1-transfected U2OS tRNA and rRNA depleted RNA,3T3 cell line,8 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479612
SRR1551159,92575736,4628786800,50,2729,SRX680698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684376,SAMN02990369,simple,9606,Homo sapiens,GSM1479592,GEO,SRA179319,07,2015,Eichhorn,U2OS cell line,miR-1-transfected U2OS RPF,3T3 cell line,12 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479613
SRR1551160,22928008,825408288,36,440,SRX680699,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684378,SAMN02990370,simple,9606,Homo sapiens,GSM1479593,GEO,SRA179319,07,2015,Eichhorn,U2OS cell line,miR-155-transfected U2OS poly(A)-selected total RNA,3T3 cell line,48 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479614
SRR1551161,28238845,1016598420,36,572,SRX680700,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684379,SAMN02990371,simple,9606,Homo sapiens,GSM1479594,GEO,SRA179319,07,2015,Eichhorn,U2OS cell line,miR-155-transfected U2OS poly(A)-selected cytoplasmic RNA,3T3 cell line,0 h,,,,,,3T3 cell line,,contact inhibited,GSM1479615
SRR1551162,32751523,1179054828,36,674,SRX680701,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684382,SAMN02990372,simple,9606,Homo sapiens,GSM1479595,GEO,SRA179319,07,2015,Eichhorn,U2OS cell line,miR-155-transfected U2OS tRNA and rRNA depleted RNA,3T3 cell line,4 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479616
SRR1551163,29613617,1066090212,36,611,SRX680702,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684380,SAMN02990373,simple,9606,Homo sapiens,GSM1479596,GEO,SRA179319,07,2015,Eichhorn,U2OS cell line,miR-155-transfected U2OS RPF,3T3 cell line,8 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479617
SRR1551164,20865702,834628080,40,490,SRX680703,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684381,SAMN02990374,simple,9606,Homo sapiens,GSM1479597,GEO,SRA179319,07,2015,Eichhorn,HEK293T cell line,mock-transfected HEK293T RNA,3T3 cell line,12 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479618
SRR1551165,22153203,886128120,40,529,SRX680704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684383,SAMN02990375,simple,9606,Homo sapiens,GSM1479598,GEO,SRA179319,07,2015,Eichhorn,HEK293T cell line,mock-transfected HEK293T RPF,3T3 cell line,0 h,,,,,,3T3 cell line,,contact inhibited,GSM1479619
SRR1551166,18240711,729628440,40,429,SRX680705,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684384,SAMN02990401,simple,9606,Homo sapiens,GSM1479599,GEO,SRA179319,07,2015,Eichhorn,HEK293T cell line,miR-1-transfected HEK293T RNA,3T3 cell line,4 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479620
SRR1551167,16621586,664863440,40,396,SRX680706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684385,SAMN02990402,simple,9606,Homo sapiens,GSM1479600,GEO,SRA179319,07,2015,Eichhorn,HEK293T cell line,miR-1-transfected HEK293T RPF,3T3 cell line,8 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479621
SRR1551168,33038565,2643085200,80,1415,SRX680707,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684386,SAMN02990403,simple,10090,Mus musculus,GSM1479601,GEO,SRA179319,07,2015,Eichhorn,primary liver tissue,wild-type mouse liver RNA,3T3 cell line,12 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479622
SRR1593030,57074284,2282971360,40,1377,SRX680707,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684386,SAMN02990403,simple,10090,Mus musculus,GSM1479601,GEO,SRA179319,07,2015,Eichhorn,primary liver tissue,wild-type mouse liver RNA,3T3 cell line,0 h,,,,,,3T3 cell line,,contact inhibited,GSM1479623
SRR1551169,24902545,1992203600,80,1082,SRX680708,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684387,SAMN02990404,simple,10090,Mus musculus,GSM1479602,GEO,SRA179319,07,2015,Eichhorn,primary liver tissue,wild-type mouse liver RPF,3T3 cell line,4 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479624
SRR1593031,148414487,5936579480,40,3710,SRX680708,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684387,SAMN02990404,simple,10090,Mus musculus,GSM1479602,GEO,SRA179319,07,2015,Eichhorn,primary liver tissue,wild-type mouse liver RPF,3T3 cell line,6 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479625
SRR1551170,31282596,2502607680,80,1342,SRX680709,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684388,SAMN02990405,simple,10090,Mus musculus,GSM1479603,GEO,SRA179319,07,2015,Eichhorn,primary liver tissue,miR-122 knockout mouse liver RNA,3T3 cell line,8 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479626
